model_type,feature_level,label,best_value,best_ridge_alpha,best_lasso_alpha,best_enet_alpha,best_enet_l1_ratio,best_lgbm_num_leaves,best_lgbm_max_depth,best_lgbm_learning_rate,best_lgbm_min_child_samples,best_lgbm_subsample,best_lgbm_colsample_bytree,best_lgbm_n_estimators,best_lgbm_reg_alpha,best_lgbm_reg_lambda,best_xgb_max_depth,best_xgb_min_child_weight,best_xgb_subsample,best_xgb_colsample_bytree,best_xgb_learning_rate,best_xgb_n_estimators,best_xgb_reg_lambda,best_xgb_reg_alpha
ols,none,final,-34.77475430736301,,,,,,,,,,,,,,,,,,,,,
ols,simple,final,-27.39197360030307,,,,,,,,,,,,,,,,,,,,,
ols,simple2,final,-29.060330059634044,,,,,,,,,,,,,,,,,,,,,
ols,medium,final,-428311532.9632318,,,,,,,,,,,,,,,,,,,,,
ols,advanced,final,-441600454.5746885,,,,,,,,,,,,,,,,,,,,,
ols,extensive,final,-1523013022.5449407,,,,,,,,,,,,,,,,,,,,,
ridge,none,final,-0.3236302049846189,451.85609510240965,,,,,,,,,,,,,,,,,,,,
ridge,simple,final,-0.29251969035470743,451.85609510240965,,,,,,,,,,,,,,,,,,,,
ridge,simple2,final,-0.41994433883712134,451.85609510240965,,,,,,,,,,,,,,,,,,,,
ridge,medium,final,-30517.34228856121,451.85609510240965,,,,,,,,,,,,,,,,,,,,
ridge,advanced,final,-26683.416468970627,451.85609510240965,,,,,,,,,,,,,,,,,,,,
ridge,extensive,final,-9823.040330334594,451.85609510240965,,,,,,,,,,,,,,,,,,,,
lasso,none,final,-0.0016559721242364045,,0.0074593432857265485,,,,,,,,,,,,,,,,,,,
lasso,simple,final,-0.0016559721242364045,,0.0074593432857265485,,,,,,,,,,,,,,,,,,,
lasso,simple2,final,-0.0016559721242364045,,0.0074593432857265485,,,,,,,,,,,,,,,,,,,
lasso,medium,final,-0.0016559721242364045,,0.0074593432857265485,,,,,,,,,,,,,,,,,,,
lasso,advanced,final,-0.0016559721242364045,,0.0074593432857265485,,,,,,,,,,,,,,,,,,,
lasso,extensive,final,-0.0016559721242364045,,0.0074593432857265485,,,,,,,,,,,,,,,,,,,
elastic,none,final,-0.0016559721242364045,,,0.008471801418819975,0.5986584841970366,,,,,,,,,,,,,,,,,
elastic,simple,final,-0.0016559721242364045,,,0.008471801418819975,0.5986584841970366,,,,,,,,,,,,,,,,,
elastic,simple2,final,-0.0016559721242364045,,,0.008471801418819975,0.5986584841970366,,,,,,,,,,,,,,,,,
elastic,medium,final,-0.0016559721242364045,,,0.008471801418819975,0.5986584841970366,,,,,,,,,,,,,,,,,
elastic,advanced,final,-0.0016559721242364045,,,0.008471801418819975,0.5986584841970366,,,,,,,,,,,,,,,,,
elastic,extensive,final,-0.0016559721242364045,,,0.008471801418819975,0.5986584841970366,,,,,,,,,,,,,,,,,
lgbm,none,final,-0.0016532214395248435,,,,,110.0,3.0,0.09138013915892866,85.0,0.6061695553391381,0.5909124836035503,897.0,1.5212112147976886,1.6124278458562613,,,,,,,,
lgbm,simple,final,-0.0016532214395248435,,,,,110.0,3.0,0.09138013915892866,85.0,0.6061695553391381,0.5909124836035503,897.0,1.5212112147976886,1.6124278458562613,,,,,,,,
lgbm,simple2,final,-0.0016559720935109083,,,,,88.0,12.0,0.044803926826840625,64.0,0.5780093202212182,0.5779972601681014,420.0,4.330880728874676,2.416482602989751,,,,,,,,
lgbm,medium,final,-0.0016041826867279063,,,,,110.0,3.0,0.09138013915892866,85.0,0.6061695553391381,0.5909124836035503,897.0,1.5212112147976886,1.6124278458562613,,,,,,,,
lgbm,advanced,final,-0.0015968917655884152,,,,,110.0,3.0,0.09138013915892866,85.0,0.6061695553391381,0.5909124836035503,897.0,1.5212112147976886,1.6124278458562613,,,,,,,,
lgbm,extensive,final,-0.0015968917655884152,,,,,110.0,3.0,0.09138013915892866,85.0,0.6061695553391381,0.5909124836035503,897.0,1.5212112147976886,1.6124278458562613,,,,,,,,
xgb,none,final,-0.0016559721404409238,,,,,,,,,,,,,,5.0,20.0,0.7391963650868432,0.659195090518222,0.0018410729205738682,792.0,0.1360354613611808,4.330880728874676
xgb,simple,final,-0.001583762492324059,,,,,,,,,,,,,,7.0,15.0,0.31235069657748143,0.8819459112971966,0.025959425503112647,1007.0,0.2620503255096255,0.9170225492671691
xgb,simple2,final,-0.0016559721404409238,,,,,,,,,,,,,,5.0,20.0,0.7391963650868432,0.659195090518222,0.0018410729205738682,792.0,0.1360354613611808,4.330880728874676
xgb,medium,final,-0.0016559721404409238,,,,,,,,,,,,,,5.0,20.0,0.7391963650868432,0.659195090518222,0.0018410729205738682,792.0,0.1360354613611808,4.330880728874676
xgb,advanced,final,-0.0016559721404409238,,,,,,,,,,,,,,5.0,20.0,0.7391963650868432,0.659195090518222,0.0018410729205738682,792.0,0.1360354613611808,4.330880728874676
xgb,extensive,final,-0.0016559721404409238,,,,,,,,,,,,,,5.0,20.0,0.7391963650868432,0.659195090518222,0.0018410729205738682,792.0,0.1360354613611808,4.330880728874676
