number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.0009470627492772868,2025-12-04 19:11:28.490936,2025-12-04 19:11:28.588851,0 days 00:00:00.097915,0.0074593432857265485,0.9507143064099162,none,COMPLETE
1,-0.0009470627492772868,2025-12-04 19:11:28.589851,2025-12-04 19:11:28.728286,0 days 00:00:00.138435,0.4570563099801455,0.5986584841970366,simple,COMPLETE
2,-0.15768735404409337,2025-12-04 19:11:28.729286,2025-12-04 19:11:29.611069,0 days 00:00:00.881783,0.0006026889128682511,0.15599452033620265,simple2,COMPLETE
3,-0.1393536602166919,2025-12-04 19:11:29.612072,2025-12-04 19:11:31.567030,0 days 00:00:01.954958,0.00019517224641449495,0.8661761457749352,medium,COMPLETE
4,-0.0009470627492772868,2025-12-04 19:11:31.568030,2025-12-04 19:11:31.669536,0 days 00:00:00.101506,0.10129197956845731,0.7080725777960455,none,COMPLETE
5,-0.05881423527348676,2025-12-04 19:11:31.670534,2025-12-04 19:11:31.820111,0 days 00:00:00.149577,0.00012674255898937226,0.9699098521619943,simple,COMPLETE
6,-0.0009470627492772868,2025-12-04 19:11:31.821109,2025-12-04 19:11:32.183140,0 days 00:00:00.362031,1.452824663751602,0.21233911067827616,simple2,COMPLETE
7,-0.1765067092561309,2025-12-04 19:11:32.184140,2025-12-04 19:11:36.563937,0 days 00:00:04.379797,0.0008111941985431928,0.18340450985343382,medium,COMPLETE
8,-0.0009470627492772868,2025-12-04 19:11:36.564933,2025-12-04 19:11:36.662861,0 days 00:00:00.097928,0.0033205591037519565,0.5247564316322378,none,COMPLETE
9,-0.0009470627492772868,2025-12-04 19:11:36.663857,2025-12-04 19:11:36.805413,0 days 00:00:00.141556,0.01444525102276306,0.2912291401980419,simple,COMPLETE
10,-0.0009470627492772868,2025-12-04 19:11:36.806413,2025-12-04 19:11:37.165218,0 days 00:00:00.358805,5.3171966339820935,0.7713875440128322,simple2,COMPLETE
11,-0.0009470627492772868,2025-12-04 19:11:37.166229,2025-12-04 19:11:38.928103,0 days 00:00:01.761874,0.17252824336922895,0.5517130042066924,medium,COMPLETE
12,-0.0009470627492772868,2025-12-04 19:11:38.929102,2025-12-04 19:11:39.028596,0 days 00:00:00.099494,0.37657203126402644,0.3891958488372309,none,COMPLETE
13,-0.0009470627492772868,2025-12-04 19:11:39.029594,2025-12-04 19:11:39.170443,0 days 00:00:00.140849,0.023178312278369542,0.6379717552110609,simple,COMPLETE
14,-0.22735220320900643,2025-12-04 19:11:39.171450,2025-12-04 19:11:39.749171,0 days 00:00:00.577721,0.0047203682560124196,0.013176732463340557,simple2,COMPLETE
15,-0.0009470627492772868,2025-12-04 19:11:39.750172,2025-12-04 19:11:41.479760,0 days 00:00:01.729588,0.8677865593937518,0.9458097199737129,medium,COMPLETE
16,-0.0009470627492772868,2025-12-04 19:11:41.480765,2025-12-04 19:11:41.587911,0 days 00:00:00.107146,0.05921071312554344,0.8035557014604009,none,COMPLETE
17,-0.0009470627492772868,2025-12-04 19:11:41.588912,2025-12-04 19:11:41.731681,0 days 00:00:00.142769,5.036949227869073,0.42588790097661267,simple,COMPLETE
18,-0.0009470627492772868,2025-12-04 19:11:41.733014,2025-12-04 19:11:42.096093,0 days 00:00:00.363079,0.006687945138918927,0.609601844543625,simple2,COMPLETE
19,-0.0009470627492772868,2025-12-04 19:11:42.097099,2025-12-04 19:11:43.802318,0 days 00:00:01.705219,0.48162804246880303,0.8715186824465031,medium,COMPLETE
20,-0.0009470627492772868,2025-12-04 19:11:43.802318,2025-12-04 19:11:43.904922,0 days 00:00:00.102604,0.0015871719012486448,0.689536601120642,none,COMPLETE
21,-0.0009470627492772868,2025-12-04 19:11:43.905924,2025-12-04 19:11:44.054312,0 days 00:00:00.148388,0.07136363666532287,0.7234801504213723,simple,COMPLETE
22,-0.0009470627492772868,2025-12-04 19:11:44.054820,2025-12-04 19:11:44.414839,0 days 00:00:00.360019,0.13747215044198854,0.4481539727299376,simple2,COMPLETE
23,-0.0009470627492772868,2025-12-04 19:11:44.415850,2025-12-04 19:11:46.174789,0 days 00:00:01.758939,0.01594562017727785,0.9960165317474352,medium,COMPLETE
24,-0.0009470627492772868,2025-12-04 19:11:46.175789,2025-12-04 19:11:46.276026,0 days 00:00:00.100237,1.7178317166633594,0.8195914026854039,none,COMPLETE
25,-0.0009470627492772868,2025-12-04 19:11:46.276026,2025-12-04 19:11:46.420765,0 days 00:00:00.144739,0.04714014445921873,0.6125690261205133,simple,COMPLETE
26,-0.0009470627492772868,2025-12-04 19:11:46.421764,2025-12-04 19:11:46.778929,0 days 00:00:00.357165,0.1950479998860492,0.7048583129767125,simple2,COMPLETE
27,-0.0009470627492772868,2025-12-04 19:11:46.780572,2025-12-04 19:11:48.482251,0 days 00:00:01.701679,0.010110667966085687,0.8914170823635684,medium,COMPLETE
28,-0.0009470627492772868,2025-12-04 19:11:48.483256,2025-12-04 19:11:48.582278,0 days 00:00:00.099022,0.034081459930994346,0.7603669283712207,none,COMPLETE
29,-0.00011694366039253594,2025-12-04 19:11:48.583283,2025-12-04 19:11:48.724346,0 days 00:00:00.141063,0.002342482517000255,0.37290150780775977,simple,COMPLETE
30,0.0011191462567698245,2025-12-04 19:11:48.725343,2025-12-04 19:11:49.079124,0 days 00:00:00.353781,0.0019766997185209747,0.3325598675987722,simple2,COMPLETE
31,-0.00018281073135958023,2025-12-04 19:11:49.080129,2025-12-04 19:11:50.757449,0 days 00:00:01.677320,0.0018909274124572749,0.28802744191877383,medium,COMPLETE
32,0.0011820887510163673,2025-12-04 19:11:50.758450,2025-12-04 19:11:50.857399,0 days 00:00:00.098949,0.002034968847993705,0.36029682954807757,none,COMPLETE
33,0.0006808358273431662,2025-12-04 19:11:50.858400,2025-12-04 19:11:51.005217,0 days 00:00:00.146817,0.0024238434008943175,0.3261297381669988,simple,COMPLETE
34,-0.043257603355901564,2025-12-04 19:11:51.006216,2025-12-04 19:11:51.490128,0 days 00:00:00.483912,0.00043563385310059477,0.3469518385560623,simple2,COMPLETE
35,-28.420563708303842,2025-12-04 19:11:51.491129,2025-12-04 19:11:53.818214,0 days 00:00:02.327085,0.0003201409986672448,0.26652540932956603,medium,COMPLETE
36,0.002131440733550575,2025-12-04 19:11:53.819216,2025-12-04 19:11:53.924842,0 days 00:00:00.105626,0.0012269925891138919,0.477921949858929,none,COMPLETE
37,-0.12356219687665633,2025-12-04 19:11:53.925841,2025-12-04 19:11:54.387511,0 days 00:00:00.461670,0.0009046109320719666,0.09810717156814253,simple,COMPLETE
38,-0.30661421142993567,2025-12-04 19:11:54.388510,2025-12-04 19:11:54.879311,0 days 00:00:00.490801,0.000101686916212121,0.4715698247664081,simple2,COMPLETE
39,-0.005638667130300812,2025-12-04 19:11:54.880311,2025-12-04 19:11:57.077570,0 days 00:00:02.197259,0.001421436693990034,0.33018572446261385,medium,COMPLETE
40,-0.08542044277830078,2025-12-04 19:11:57.078570,2025-12-04 19:11:57.196523,0 days 00:00:00.117953,0.000196315409455644,0.5041367858839083,none,COMPLETE
41,-0.0009470627492772868,2025-12-04 19:11:57.197524,2025-12-04 19:11:57.339940,0 days 00:00:00.142416,0.003019059814290282,0.3883794143617986,simple,COMPLETE
42,-0.018865632928440346,2025-12-04 19:11:57.340940,2025-12-04 19:11:57.983691,0 days 00:00:00.642751,0.0007378903096962732,0.24765058644515991,simple2,COMPLETE
43,-0.0009470627492772868,2025-12-04 19:11:57.984689,2025-12-04 19:11:59.752141,0 days 00:00:01.767452,0.003099774809811288,0.3458853125397697,medium,COMPLETE
44,-0.0009470627492772868,2025-12-04 19:11:59.753170,2025-12-04 19:11:59.866516,0 days 00:00:00.113346,0.00563186796791376,0.21152199425362397,none,COMPLETE
45,0.0022211013176987038,2025-12-04 19:11:59.867517,2025-12-04 19:12:00.044151,0 days 00:00:00.176634,0.0010330830319115736,0.5510965404711512,simple,COMPLETE
46,0.0016375941787514596,2025-12-04 19:12:00.045149,2025-12-04 19:12:00.468741,0 days 00:00:00.423592,0.0010542893478118652,0.51817041089012,simple2,COMPLETE
47,-0.18833463733346925,2025-12-04 19:12:00.469745,2025-12-04 19:12:02.673269,0 days 00:00:02.203524,0.00027515325466697293,0.5221725424602759,medium,COMPLETE
48,0.000301955675145497,2025-12-04 19:12:02.674270,2025-12-04 19:12:02.778682,0 days 00:00:00.104412,0.00047785269526376455,0.5774713649567379,none,COMPLETE
49,0.003457754202202882,2025-12-04 19:12:02.780684,2025-12-04 19:12:03.003536,0 days 00:00:00.222852,0.0007610407844059147,0.43473052223445074,simple,COMPLETE
50,0.0009437405086688555,2025-12-04 19:12:03.004536,2025-12-04 19:12:03.364995,0 days 00:00:00.360459,0.0012244848908086602,0.5578583278996012,simple2,COMPLETE
51,-0.009013960756329173,2025-12-04 19:12:03.366479,2025-12-04 19:12:05.490815,0 days 00:00:02.124336,0.0010069877607498346,0.440125504354969,medium,COMPLETE
52,-0.0018694138104777824,2025-12-04 19:12:05.491815,2025-12-04 19:12:05.639585,0 days 00:00:00.147770,0.0005140132688863616,0.4932201646906625,none,COMPLETE
53,-0.05931584313006503,2025-12-04 19:12:05.640584,2025-12-04 19:12:05.795718,0 days 00:00:00.155134,0.00018914135104704908,0.6476777478759437,simple,COMPLETE
54,-0.0009470627492772868,2025-12-04 19:12:05.796722,2025-12-04 19:12:06.165924,0 days 00:00:00.369202,0.004533578555201535,0.4192819758368786,simple2,COMPLETE
55,-0.0009470627492772868,2025-12-04 19:12:06.166924,2025-12-04 19:12:07.912186,0 days 00:00:01.745262,0.009660018825245318,0.5478269453842665,medium,COMPLETE
56,0.0033343620612674707,2025-12-04 19:12:07.913185,2025-12-04 19:12:08.057299,0 days 00:00:00.144114,0.0007362183953168259,0.4690401683163034,none,COMPLETE
57,-0.029224664526630455,2025-12-04 19:12:08.058300,2025-12-04 19:12:08.209168,0 days 00:00:00.150868,0.00033684946841560975,0.4741623695100744,simple,COMPLETE
58,-0.0022352445993939485,2025-12-04 19:12:08.209168,2025-12-04 19:12:08.666821,0 days 00:00:00.457653,0.0006365605978339866,0.4151281067566902,simple2,COMPLETE
