number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_feature_level,user_attrs_feature_level,state
0,-0.11046368419752801,2025-12-04 20:19:16.522405,2025-12-04 20:19:16.973853,0 days 00:00:00.451448,0.0006026889128682511,0.15599452033620265,simple,simple,COMPLETE
1,-0.05881423527348676,2025-12-04 20:19:16.974854,2025-12-04 20:19:17.138769,0 days 00:00:00.163915,0.00012674255898937226,0.9699098521619943,simple,simple,COMPLETE
2,-0.0009470627492772868,2025-12-04 20:19:17.139769,2025-12-04 20:19:17.243883,0 days 00:00:00.104114,0.0033205591037519565,0.5247564316322378,none,none,COMPLETE
3,-0.0009470627492772868,2025-12-04 20:19:17.244882,2025-12-04 20:19:17.603937,0 days 00:00:00.359055,0.0028888383623653178,0.3663618432936917,simple2,simple2,COMPLETE
4,-0.0009470627492772868,2025-12-04 20:19:17.604937,2025-12-04 20:19:17.749743,0 days 00:00:00.144806,0.09163741808778776,0.046450412719997725,simple,simple,COMPLETE
5,-0.0009470627492772868,2025-12-04 20:19:17.750743,2025-12-04 20:19:19.399362,0 days 00:00:01.648619,6.732248920775331,0.8083973481164611,medium,medium,COMPLETE
6,-0.012347946440338061,2025-12-04 20:19:19.400368,2025-12-04 20:19:19.769387,0 days 00:00:00.369019,0.0004075596440072873,0.4951769101112702,simple2,simple2,COMPLETE
7,-0.0009470627492772868,2025-12-04 20:19:19.770387,2025-12-04 20:19:19.913513,0 days 00:00:00.143126,0.003618723330959626,0.5200680211778108,simple,simple,COMPLETE
8,-0.0009470627492772868,2025-12-04 20:19:19.914513,2025-12-04 20:19:20.270970,0 days 00:00:00.356457,4.9830438374949075,0.8948273504276488,simple2,simple2,COMPLETE
9,-0.2560196362619999,2025-12-04 20:19:20.270970,2025-12-04 20:19:20.463722,0 days 00:00:00.192752,0.00016832027985721928,0.32533033076326434,simple,simple,COMPLETE
10,-0.0009470627492772868,2025-12-04 20:19:20.465225,2025-12-04 20:19:20.565193,0 days 00:00:00.099968,0.13694160221226592,0.696117803358321,none,none,COMPLETE
11,-0.0009470627492772868,2025-12-04 20:19:20.566629,2025-12-04 20:19:20.663863,0 days 00:00:00.097234,0.007301619300638306,0.4118848269437797,none,none,COMPLETE
12,-0.0009470627492772868,2025-12-04 20:19:20.663863,2025-12-04 20:19:20.763815,0 days 00:00:00.099952,0.006631116962037083,0.6268836449065676,none,none,COMPLETE
13,0.001060192587621615,2025-12-04 20:19:20.763815,2025-12-04 20:19:21.130074,0 days 00:00:00.366259,0.0022328330732308073,0.29837363717367277,simple2,simple2,COMPLETE
14,-0.0009470627492772868,2025-12-04 20:19:21.131078,2025-12-04 20:19:22.847255,0 days 00:00:01.716177,0.030240014274152734,0.25061685422907687,medium,medium,COMPLETE
