number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0009470627492772868,2025-12-04 19:10:26.320566,2025-12-04 19:10:26.419380,0 days 00:00:00.098814,0.0074593432857265485,none,COMPLETE
1,-0.0009470627492772868,2025-12-04 19:10:26.419380,2025-12-04 19:10:26.563332,0 days 00:00:00.143952,5.669849511478847,simple,COMPLETE
2,-0.0009470627492772868,2025-12-04 19:10:26.564335,2025-12-04 19:10:26.931334,0 days 00:00:00.366999,0.4570563099801455,simple2,COMPLETE
3,-0.0009470627492772868,2025-12-04 19:10:26.932356,2025-12-04 19:10:28.664779,0 days 00:00:01.732423,0.09846738873614563,medium,COMPLETE
4,0.0020687045290005792,2025-12-04 19:10:28.665787,2025-12-04 19:10:28.768422,0 days 00:00:00.102635,0.0006026889128682511,none,COMPLETE
5,0.0020692995974766295,2025-12-04 19:10:28.769428,2025-12-04 19:10:28.929998,0 days 00:00:00.160570,0.000602521573620386,simple,COMPLETE
6,-0.01395164645138769,2025-12-04 19:10:28.931075,2025-12-04 19:10:29.308365,0 days 00:00:00.377290,0.00019517224641449495,simple2,COMPLETE
7,-0.0009470627492772868,2025-12-04 19:10:29.309365,2025-12-04 19:10:31.022855,0 days 00:00:01.713490,2.1423021757741068,medium,COMPLETE
8,-0.0009470627492772868,2025-12-04 19:10:31.024929,2025-12-04 19:10:31.126759,0 days 00:00:00.101830,0.10129197956845731,none,COMPLETE
9,-0.0009470627492772868,2025-12-04 19:10:31.127757,2025-12-04 19:10:31.269567,0 days 00:00:00.141810,0.3470266988650412,simple,COMPLETE
10,-0.0009470627492772868,2025-12-04 19:10:31.270569,2025-12-04 19:10:31.638826,0 days 00:00:00.368257,0.0036035178201071797,simple2,COMPLETE
11,-0.3020810323792294,2025-12-04 19:10:31.638826,2025-12-04 19:10:33.798890,0 days 00:00:02.160064,0.00010359916440554263,medium,COMPLETE
12,-0.0009470627492772868,2025-12-04 19:10:33.799890,2025-12-04 19:10:33.903844,0 days 00:00:00.103954,0.0010735378215036783,none,COMPLETE
13,-4.2473289825354733e-05,2025-12-04 19:10:33.904348,2025-12-04 19:10:34.051176,0 days 00:00:00.146828,0.0008645528610564826,simple,COMPLETE
14,-0.0009470627492772868,2025-12-04 19:10:34.052201,2025-12-04 19:10:34.420684,0 days 00:00:00.368483,0.009683790422339342,simple2,COMPLETE
15,0.00044680469701607883,2025-12-04 19:10:34.421684,2025-12-04 19:10:36.167536,0 days 00:00:01.745852,0.0008146970248165323,medium,COMPLETE
16,0.0020496107960583285,2025-12-04 19:10:36.168539,2025-12-04 19:10:36.270948,0 days 00:00:00.102409,0.00029837746301121656,none,COMPLETE
17,-0.0009470627492772868,2025-12-04 19:10:36.271948,2025-12-04 19:10:36.416224,0 days 00:00:00.144276,0.01932360965321236,simple,COMPLETE
18,-0.0009470627492772868,2025-12-04 19:10:36.417730,2025-12-04 19:10:36.771121,0 days 00:00:00.353391,0.004579169815969729,simple2,COMPLETE
19,-0.0009470627492772868,2025-12-04 19:10:36.772122,2025-12-04 19:10:38.477127,0 days 00:00:01.705005,0.001825302404290731,medium,COMPLETE
20,-0.0009470627492772868,2025-12-04 19:10:38.478126,2025-12-04 19:10:38.577989,0 days 00:00:00.099863,0.04633043521124795,none,COMPLETE
21,0.0032573702081267752,2025-12-04 19:10:38.578989,2025-12-04 19:10:38.728267,0 days 00:00:00.149278,0.0004354711607514992,simple,COMPLETE
22,0.0020459954233557807,2025-12-04 19:10:38.730268,2025-12-04 19:10:39.102198,0 days 00:00:00.371930,0.00041165833877968575,simple2,COMPLETE
23,-0.0009470627492772868,2025-12-04 19:10:39.104704,2025-12-04 19:10:40.813542,0 days 00:00:01.708838,0.0019069508654554663,medium,COMPLETE
24,-0.03739496186166317,2025-12-04 19:10:40.814546,2025-12-04 19:10:40.931970,0 days 00:00:00.117424,0.0001352710343160136,none,COMPLETE
25,0.003688857730451097,2025-12-04 19:10:40.932970,2025-12-04 19:10:41.083213,0 days 00:00:00.150243,0.00036124964043704927,simple,COMPLETE
26,0.0020907200519068394,2025-12-04 19:10:41.084214,2025-12-04 19:10:41.455097,0 days 00:00:00.370883,0.0003972005324312416,simple2,COMPLETE
27,-0.04859879615183371,2025-12-04 19:10:41.456095,2025-12-04 19:10:43.501574,0 days 00:00:02.045479,0.0002597843676687489,medium,COMPLETE
28,-0.0009470627492772868,2025-12-04 19:10:43.502579,2025-12-04 19:10:43.600077,0 days 00:00:00.097498,0.0021624962584771514,none,COMPLETE
29,-0.0009470627492772868,2025-12-04 19:10:43.600077,2025-12-04 19:10:43.741509,0 days 00:00:00.141432,0.00866904026900546,simple,COMPLETE
30,-0.0009470627492772868,2025-12-04 19:10:43.742510,2025-12-04 19:10:44.107814,0 days 00:00:00.365304,0.022229167910858487,simple2,COMPLETE
31,-0.019383269314910967,2025-12-04 19:10:44.108816,2025-12-04 19:10:45.911904,0 days 00:00:01.803088,0.00038658965305612877,medium,COMPLETE
32,-0.0009470627492772868,2025-12-04 19:10:45.912907,2025-12-04 19:10:46.013522,0 days 00:00:00.100615,0.001156727467552571,none,COMPLETE
33,-0.039240204435213887,2025-12-04 19:10:46.014520,2025-12-04 19:10:46.161528,0 days 00:00:00.147008,0.00014364760327403262,simple,COMPLETE
34,0.0018211638421880005,2025-12-04 19:10:46.162528,2025-12-04 19:10:46.536175,0 days 00:00:00.373647,0.0003495786544047752,simple2,COMPLETE
35,-0.0009470627492772868,2025-12-04 19:10:46.537776,2025-12-04 19:10:48.225101,0 days 00:00:01.687325,0.004118256543562961,medium,COMPLETE
36,0.0024710730174502724,2025-12-04 19:10:48.226102,2025-12-04 19:10:48.327117,0 days 00:00:00.101015,0.0005282399020773009,none,COMPLETE
37,-0.0009470627492772868,2025-12-04 19:10:48.328122,2025-12-04 19:10:48.473321,0 days 00:00:00.145199,9.551743658898717,simple,COMPLETE
38,0.0015424160449287367,2025-12-04 19:10:48.474320,2025-12-04 19:10:48.829017,0 days 00:00:00.354697,0.0005745671274783037,simple2,COMPLETE
39,-0.12432852284258122,2025-12-04 19:10:48.830018,2025-12-04 19:10:50.807991,0 days 00:00:01.977973,0.00017802444074912282,medium,COMPLETE
40,-0.0009470627492772868,2025-12-04 19:10:50.808991,2025-12-04 19:10:50.914751,0 days 00:00:00.105760,1.874392326853529,none,COMPLETE
41,0.002190473802300308,2025-12-04 19:10:50.914751,2025-12-04 19:10:51.057417,0 days 00:00:00.142666,0.0005753675372183521,simple,COMPLETE
42,-0.0009470627492772868,2025-12-04 19:10:51.058420,2025-12-04 19:10:51.419186,0 days 00:00:00.360766,0.0013732294705765152,simple2,COMPLETE
43,0.0005713970860172038,2025-12-04 19:10:51.420188,2025-12-04 19:10:53.127402,0 days 00:00:01.707214,0.0006128563821336902,medium,COMPLETE
44,-0.008222322871041373,2025-12-04 19:10:53.128401,2025-12-04 19:10:53.233479,0 days 00:00:00.105078,0.00020821315574882468,none,COMPLETE
45,-0.0009470627492772868,2025-12-04 19:10:53.234480,2025-12-04 19:10:53.374995,0 days 00:00:00.140515,0.0023064250102460457,simple,COMPLETE
46,-0.11621388228078995,2025-12-04 19:10:53.376014,2025-12-04 19:10:53.928801,0 days 00:00:00.552787,0.00010921588631568558,simple2,COMPLETE
47,-0.010949337211072238,2025-12-04 19:10:53.930401,2025-12-04 19:10:55.790543,0 days 00:00:01.860142,0.00042940880688195035,medium,COMPLETE
48,0.00015592160769776578,2025-12-04 19:10:55.792049,2025-12-04 19:10:55.901970,0 days 00:00:00.109921,0.000843914981900611,none,COMPLETE
49,-0.0009470627492772868,2025-12-04 19:10:55.902974,2025-12-04 19:10:56.049243,0 days 00:00:00.146269,0.14921544175587417,simple,COMPLETE
50,-0.005182186383333158,2025-12-04 19:10:56.050243,2025-12-04 19:10:56.426289,0 days 00:00:00.376046,0.00023738333250239723,simple2,COMPLETE
51,0.0010794327394510288,2025-12-04 19:10:56.427282,2025-12-04 19:10:58.194100,0 days 00:00:01.766818,0.0007160303280001345,medium,COMPLETE
52,0.00257250670376478,2025-12-04 19:10:58.194100,2025-12-04 19:10:58.291668,0 days 00:00:00.097568,0.0005071167771950393,none,COMPLETE
53,-0.0009470627492772868,2025-12-04 19:10:58.291668,2025-12-04 19:10:58.433166,0 days 00:00:00.141498,0.0030502432276902957,simple,COMPLETE
54,-0.0009470627492772868,2025-12-04 19:10:58.434168,2025-12-04 19:10:58.795133,0 days 00:00:00.360965,0.0011741896680561616,simple2,COMPLETE
55,-0.0032163202049024044,2025-12-04 19:10:58.796133,2025-12-04 19:11:00.575955,0 days 00:00:01.779822,0.000488512508751291,medium,COMPLETE
56,-0.0028337098972451478,2025-12-04 19:11:00.576957,2025-12-04 19:11:00.677164,0 days 00:00:00.100207,0.00024448372815720737,none,COMPLETE
57,-0.08986543886131348,2025-12-04 19:11:00.678164,2025-12-04 19:11:00.843053,0 days 00:00:00.164889,0.00010284764558197399,simple,COMPLETE
58,-0.0009470627492772868,2025-12-04 19:11:00.844052,2025-12-04 19:11:01.202398,0 days 00:00:00.358346,0.0012307321105800436,simple2,COMPLETE
59,-0.034321127482475434,2025-12-04 19:11:01.204905,2025-12-04 19:11:02.974401,0 days 00:00:01.769496,0.00032963656505423204,medium,COMPLETE
60,-0.0009470627492772868,2025-12-04 19:11:02.975402,2025-12-04 19:11:03.078149,0 days 00:00:00.102747,0.005229714528320166,none,COMPLETE
61,0.002126249029175168,2025-12-04 19:11:03.079148,2025-12-04 19:11:03.217894,0 days 00:00:00.138746,0.0005878701229767956,simple,COMPLETE
62,0.00042443021241596785,2025-12-04 19:11:03.219059,2025-12-04 19:11:03.585085,0 days 00:00:00.366026,0.0007479252994166133,simple2,COMPLETE
63,-0.0021900028679989747,2025-12-04 19:11:03.586910,2025-12-04 19:11:05.418454,0 days 00:00:01.831544,0.0004982240696998951,medium,COMPLETE
64,-0.02450268027622123,2025-12-04 19:11:05.420084,2025-12-04 19:11:05.524349,0 days 00:00:00.104265,0.00015904854947539548,none,COMPLETE
65,0.002476896757147388,2025-12-04 19:11:05.525351,2025-12-04 19:11:05.672518,0 days 00:00:00.147167,0.0002986138084652236,simple,COMPLETE
66,-0.0009470627492772868,2025-12-04 19:11:05.672518,2025-12-04 19:11:06.040173,0 days 00:00:00.367655,0.0015800625760671796,simple2,COMPLETE
67,-0.04989670080430993,2025-12-04 19:11:06.041758,2025-12-04 19:11:08.090219,0 days 00:00:02.048461,0.0002559818472661917,medium,COMPLETE
68,-0.0003546427702900701,2025-12-04 19:11:08.091217,2025-12-04 19:11:08.190190,0 days 00:00:00.098973,0.0009018127837354612,none,COMPLETE
69,-0.0009470627492772868,2025-12-04 19:11:08.191188,2025-12-04 19:11:08.333269,0 days 00:00:00.142081,0.002811101748125919,simple,COMPLETE
70,0.001513432202340274,2025-12-04 19:11:08.334268,2025-12-04 19:11:08.705742,0 days 00:00:00.371474,0.000328224273636541,simple2,COMPLETE
71,-0.00047449833702932026,2025-12-04 19:11:08.706741,2025-12-04 19:11:10.425244,0 days 00:00:01.718503,0.0005307188358195713,medium,COMPLETE
72,-0.012834557969522228,2025-12-04 19:11:10.426249,2025-12-04 19:11:10.534133,0 days 00:00:00.107884,0.0001897313289782985,none,COMPLETE
73,-0.0009470627492772868,2025-12-04 19:11:10.534797,2025-12-04 19:11:10.677417,0 days 00:00:00.142620,0.012335465466563864,simple,COMPLETE
74,0.0014832542640983808,2025-12-04 19:11:10.678418,2025-12-04 19:11:11.054097,0 days 00:00:00.375679,0.0003267031450616886,simple2,COMPLETE
75,-0.0009470627492772868,2025-12-04 19:11:11.055102,2025-12-04 19:11:12.793773,0 days 00:00:01.738671,0.0010113408063018665,medium,COMPLETE
76,0.0018596286991386564,2025-12-04 19:11:12.794774,2025-12-04 19:11:12.895687,0 days 00:00:00.100913,0.0006405177403496702,none,COMPLETE
77,0.003454413707706087,2025-12-04 19:11:12.896693,2025-12-04 19:11:13.044893,0 days 00:00:00.148200,0.0004187256937486295,simple,COMPLETE
78,-0.05875884991040895,2025-12-04 19:11:13.045894,2025-12-04 19:11:13.523020,0 days 00:00:00.477126,0.0001389205950682796,simple2,COMPLETE
79,-0.0009470627492772868,2025-12-04 19:11:13.524021,2025-12-04 19:11:15.242733,0 days 00:00:01.718712,1.1748124164727554,medium,COMPLETE
80,-0.0009470627492772868,2025-12-04 19:11:15.243732,2025-12-04 19:11:15.346479,0 days 00:00:00.102747,0.0016470183144895614,none,COMPLETE
81,0.0034328254730925747,2025-12-04 19:11:15.346479,2025-12-04 19:11:15.490175,0 days 00:00:00.143696,0.00042070942840905824,simple,COMPLETE
82,0.0019775939973113443,2025-12-04 19:11:15.491176,2025-12-04 19:11:15.860702,0 days 00:00:00.369526,0.0004295406097365703,simple2,COMPLETE
