number,value,datetime_start,datetime_complete,duration,params_feature_level,params_lasso_alpha,user_attrs_feature_level,state
0,0.0020687045290005792,2025-12-04 20:18:47.286297,2025-12-04 20:18:47.441756,0 days 00:00:00.155459,simple,0.0006026889128682511,simple,COMPLETE
1,-0.0009470627492772868,2025-12-04 20:18:47.442756,2025-12-04 20:18:47.792827,0 days 00:00:00.350071,simple2,0.3470266988650412,simple2,COMPLETE
2,0.00048550475267838955,2025-12-04 20:18:47.793422,2025-12-04 20:18:47.990552,0 days 00:00:00.197130,simple,0.0008111941985431928,simple,COMPLETE
3,-0.0009470627492772868,2025-12-04 20:18:47.991552,2025-12-04 20:18:48.339749,0 days 00:00:00.348197,simple2,0.0028585493941961923,simple2,COMPLETE
4,-0.0009470627492772868,2025-12-04 20:18:48.340749,2025-12-04 20:18:48.439630,0 days 00:00:00.098881,none,0.019069966103000432,none,COMPLETE
5,-0.019552697685972047,2025-12-04 20:18:48.440630,2025-12-04 20:18:48.540913,0 days 00:00:00.100283,none,0.00017070728830306665,none,COMPLETE
6,-0.0009470627492772868,2025-12-04 20:18:48.542457,2025-12-04 20:18:50.227640,0 days 00:00:01.685183,medium,6.732248920775331,medium,COMPLETE
7,-0.0009470627492772868,2025-12-04 20:18:50.228640,2025-12-04 20:18:50.325810,0 days 00:00:00.097170,none,0.015876781526923997,none,COMPLETE
8,-0.0009470627492772868,2025-12-04 20:18:50.326810,2025-12-04 20:18:51.956363,0 days 00:00:01.629553,medium,0.0019674328025306126,medium,COMPLETE
9,0.00019663266933752274,2025-12-04 20:18:51.956940,2025-12-04 20:18:52.059896,0 days 00:00:00.102956,none,0.0008399864445957502,none,COMPLETE
10,-0.08200957236426343,2025-12-04 20:18:52.060895,2025-12-04 20:18:52.218982,0 days 00:00:00.158087,simple,0.00010714845538373152,simple,COMPLETE
11,0.0020766453273085572,2025-12-04 20:18:52.220681,2025-12-04 20:18:52.358540,0 days 00:00:00.137859,simple,0.0006003917345129201,simple,COMPLETE
12,-0.0009470627492772868,2025-12-04 20:18:52.360144,2025-12-04 20:18:52.496692,0 days 00:00:00.136548,simple,0.2826411346239428,simple,COMPLETE
13,-0.0009470627492772868,2025-12-04 20:18:52.498195,2025-12-04 20:18:52.641209,0 days 00:00:00.143014,simple,0.00540269933557727,simple,COMPLETE
14,0.0033914431415627,2025-12-04 20:18:52.641209,2025-12-04 20:18:52.785347,0 days 00:00:00.144138,simple,0.00042438972468976605,simple,COMPLETE
15,-0.0009470627492772868,2025-12-04 20:18:52.786351,2025-12-04 20:18:52.925529,0 days 00:00:00.139178,simple,0.11986301755344242,simple,COMPLETE
16,0.00198170238226536,2025-12-04 20:18:52.926531,2025-12-04 20:18:53.070023,0 days 00:00:00.143492,simple,0.00029119763260537356,simple,COMPLETE
17,-0.0009470627492772868,2025-12-04 20:18:53.071027,2025-12-04 20:18:53.206694,0 days 00:00:00.135667,simple,0.006085438729156636,simple,COMPLETE
18,-0.0009470627492772868,2025-12-04 20:18:53.207694,2025-12-04 20:18:53.551520,0 days 00:00:00.343826,simple2,0.09086950863125914,simple2,COMPLETE
