number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.0009470627455911244,2025-12-04 19:12:37.033942,2025-12-04 19:12:41.818759,0 days 00:00:04.784817,0.5779972601681014,0.044803926826840625,12,64,420,58,4.330880728874676,2.416482602989751,0.5780093202212182,medium,COMPLETE
1,-0.0010412823986429103,2025-12-04 19:12:41.819762,2025-12-04 19:12:49.034241,0 days 00:00:07.214479,0.5909124836035503,0.09138013915892866,3,85,897,96,1.5212112147976886,1.6124278458562613,0.6061695553391381,advanced,COMPLETE
2,-0.0009470627455911244,2025-12-04 19:12:49.036240,2025-12-04 19:13:00.672567,0 days 00:00:11.636327,0.6831809216468459,0.03126143958203108,5,22,1933,64,3.925879806965068,0.2880416977880551,0.6460723242676091,extensive,COMPLETE
3,-0.0009470627455911244,2025-12-04 19:13:00.674567,2025-12-04 19:13:09.891172,0 days 00:00:09.216605,0.5325257964926398,0.005746499650110705,8,65,3806,74,4.828160165372797,7.246804518258447,0.5852620618436457,medium,COMPLETE
4,-0.0009470627455911244,2025-12-04 19:13:09.892171,2025-12-04 19:13:14.788867,0 days 00:00:04.896696,0.7475884550556351,0.03883092140196444,3,50,330,50,4.546602010393911,0.3939675937754722,0.5610191174223894,advanced,COMPLETE
5,-0.0009470627455911244,2025-12-04 19:13:14.789867,2025-12-04 19:13:33.961166,0 days 00:00:19.171299,0.9847923138822793,0.023746198818402044,6,59,3146,90,4.697494707820946,11.455777613940603,0.5924272277627636,extensive,COMPLETE
6,-0.0010108576033974377,2025-12-04 19:13:33.962166,2025-12-04 19:13:39.309483,0 days 00:00:05.347317,0.6626651653816322,0.006517805612564439,12,27,1677,83,1.3567451588694794,8.071418522169695,0.522613644455269,medium,COMPLETE
7,-0.0009470627455911244,2025-12-04 19:13:39.311481,2025-12-04 19:13:55.867264,0 days 00:00:16.555783,0.5372753218398854,0.025411709798607296,5,22,3951,56,3.861223846483287,0.28658321062461245,0.9010984903770198,advanced,COMPLETE
8,-0.01821002700117284,2025-12-04 19:13:55.868254,2025-12-04 19:14:06.424146,0 days 00:00:10.555892,0.5370223258670452,0.04155397855708038,11,76,1562,16,0.5793452976256486,9.683377710407786,0.8856351733429728,extensive,COMPLETE
9,-0.0009470627455911244,2025-12-04 19:14:06.426146,2025-12-04 19:14:14.582043,0 days 00:00:08.155897,0.864803089169032,0.006048689963516921,6,38,2623,86,4.436063712881633,1.2206206339370174,0.6625916610133735,medium,COMPLETE
10,-0.0009470627455911244,2025-12-04 19:14:14.583577,2025-12-04 19:14:19.762518,0 days 00:00:05.178941,0.8451235367845726,0.012568672294227045,10,94,257,122,3.1168825931473276,2.0551699966459283,0.7606700059313507,advanced,COMPLETE
11,-0.0009470627455911244,2025-12-04 19:14:19.763516,2025-12-04 19:14:28.087919,0 days 00:00:08.324403,0.6712579968688783,0.06801792870270096,9,42,1112,42,3.035921370166128,0.10491008795326386,0.7171781358782057,extensive,COMPLETE
12,-0.0009470627455911244,2025-12-04 19:14:28.088916,2025-12-04 19:14:34.309057,0 days 00:00:06.220141,0.6677053164327783,0.04532239420908332,5,11,2257,33,3.6022462429065305,0.5924403347999859,0.793493864660677,medium,COMPLETE
13,-0.0009470627455911244,2025-12-04 19:14:34.310029,2025-12-04 19:14:48.781269,0 days 00:00:14.471240,0.7484483315394533,0.013018642134250098,7,65,2734,68,2.3574036960553473,3.2488221005892646,0.675740511956825,advanced,COMPLETE
14,-0.0009470627455911244,2025-12-04 19:14:48.782269,2025-12-04 19:14:57.111851,0 days 00:00:08.329582,0.6173983977980622,0.01488482502567071,12,77,1188,62,3.910875896204159,0.1618418829859547,0.9801248314395012,extensive,COMPLETE
15,-0.0009470627455911244,2025-12-04 19:14:57.112893,2025-12-04 19:15:03.311765,0 days 00:00:06.198872,0.8083236047451089,0.05405395291019681,9,48,1959,106,2.539728801000257,3.9890917111759894,0.5130307607596081,medium,COMPLETE
16,-0.0009470627455911244,2025-12-04 19:15:03.313811,2025-12-04 19:15:09.239268,0 days 00:00:05.925457,0.6063151814651538,0.02478794070916184,4,34,672,26,4.064676113552498,0.8592696413184279,0.6569226111586831,advanced,COMPLETE
17,-0.0009470627455911244,2025-12-04 19:15:09.240268,2025-12-04 19:15:25.524415,0 days 00:00:16.284147,0.71078703429053,0.03255090017172061,7,18,3293,45,3.3970776103681573,19.078647856602792,0.8132394567758081,extensive,COMPLETE
18,-0.0009470627455911244,2025-12-04 19:15:25.525414,2025-12-04 19:15:31.208420,0 days 00:00:05.683006,0.961885142943517,0.07975818872855356,10,61,1485,71,2.414243232306961,0.23893612955741908,0.7097403731067032,medium,COMPLETE
19,-0.0009470627455911244,2025-12-04 19:15:31.208926,2025-12-04 19:15:42.421509,0 days 00:00:11.212583,0.5035688138117864,0.01760686538594443,8,100,2262,106,4.991776730623377,0.6311284724814733,0.6267280407601736,advanced,COMPLETE
20,-0.0009470627455911244,2025-12-04 19:15:42.423021,2025-12-04 19:15:49.309686,0 days 00:00:06.886665,0.5953430002624879,0.06250033572484387,5,73,727,56,4.291506117365491,3.2669321908887397,0.553801730914383,extensive,COMPLETE
21,-0.0009470627455911244,2025-12-04 19:15:49.311686,2025-12-04 19:15:58.497427,0 days 00:00:09.185741,0.5513335604203182,0.00878171010338589,8,68,3821,74,4.804385584664498,5.643391364007214,0.5949218502169088,medium,COMPLETE
22,-0.0009470627455911244,2025-12-04 19:15:58.498427,2025-12-04 19:16:13.969738,0 days 00:00:15.471311,0.6483900816759383,0.03231484197856781,11,55,3566,79,4.987349142404867,2.199495951486489,0.5580786748829545,advanced,COMPLETE
23,-0.0009470627455911244,2025-12-04 19:16:13.971240,2025-12-04 19:16:28.420496,0 days 00:00:14.449256,0.5564001685010252,0.008751040942934843,6,84,2956,64,4.091972034364747,5.349049229465341,0.6350824785460615,extensive,COMPLETE
24,-0.0009470627455911244,2025-12-04 19:16:28.420998,2025-12-04 19:16:34.022931,0 days 00:00:05.601933,0.708113486995972,0.03217013535544255,4,48,1919,35,3.537273634029762,18.036977740980966,0.7041978603097443,medium,COMPLETE
25,-0.0009470627455911244,2025-12-04 19:16:34.023931,2025-12-04 19:16:48.655629,0 days 00:00:14.631698,0.5016216715208529,0.018691729023918215,9,56,3537,75,4.46118262716303,1.0537669107751781,0.5769580205167225,advanced,COMPLETE
