number,value,datetime_start,datetime_complete,duration,params_feature_level,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.08864760213640362,2025-12-04 20:20:01.535780,2025-12-04 20:21:12.873244,0 days 00:01:11.337464,advanced,0.8005575058716043,0.00797854234707418,4,15,2891,83,0.10292247147901223,17.052641538983092,0.9330880728874675,advanced,COMPLETE
1,-0.000988146042797548,2025-12-04 20:21:12.874243,2025-12-04 20:21:16.719964,0 days 00:00:03.845721,medium,0.8059264473611898,0.02408207265453543,6,49,730,36,1.4607232426760908,0.6966418981413739,0.645614570099021,medium,COMPLETE
2,-0.0009470627455911244,2025-12-04 20:21:16.720964,2025-12-04 20:21:32.837565,0 days 00:00:16.116601,advanced,0.5325257964926398,0.005746499650110705,8,65,3806,74,4.828160165372797,7.246804518258447,0.5852620618436457,advanced,COMPLETE
3,-0.0009896359832127406,2025-12-04 20:21:32.839068,2025-12-04 20:21:46.606802,0 days 00:00:13.767734,extensive,0.6293899908000085,0.022039920190846215,4,13,2718,65,1.5585553804470549,1.572867419497858,0.954660201039391,extensive,COMPLETE
4,-0.09123974928578904,2025-12-04 20:21:46.607802,2025-12-04 20:21:58.127061,0 days 00:00:11.519259,extensive,0.5442462510259598,0.07297384471483423,12,64,944,103,0.22613644455269033,0.5605248221933016,0.9609371175115584,extensive,COMPLETE
5,-0.0009470627455911244,2025-12-04 20:21:58.128061,2025-12-04 20:22:15.901157,0 days 00:00:17.773096,extensive,0.5372753218398854,0.025411709798607296,5,22,3951,56,3.861223846483287,0.28658321062461245,0.9010984903770198,extensive,COMPLETE
6,-0.0010308158713801714,2025-12-04 20:22:15.902157,2025-12-04 20:22:31.138702,0 days 00:00:15.236545,advanced,0.9315517129377968,0.006241720498669827,10,42,2569,98,1.654490124263246,0.14003921591980473,0.5579345297625649,advanced,COMPLETE
7,-0.0009470627455911244,2025-12-04 20:22:31.139702,2025-12-04 20:22:45.746222,0 days 00:00:14.606520,extensive,0.8803925243084487,0.020574807773456685,11,20,2333,88,3.854835899772805,1.3684800764953189,0.8566223936114975,extensive,COMPLETE
8,-0.0009470627455911244,2025-12-04 20:22:45.747222,2025-12-04 20:22:50.556952,0 days 00:00:04.809730,medium,0.9537832369630466,0.03364798323396056,3,38,1147,28,2.0519146151781484,5.4770389956238,0.7542853455823514,medium,COMPLETE
9,-0.0009470627455911244,2025-12-04 20:22:50.557953,2025-12-04 20:22:58.773642,0 days 00:00:08.215689,extensive,0.9018360384495572,0.05628061807968162,12,67,909,34,4.462794992449889,1.7419780429779415,0.9357302950938589,extensive,COMPLETE
10,-0.0009470627455911244,2025-12-04 20:22:58.774643,2025-12-04 20:23:15.798969,0 days 00:00:17.024326,advanced,0.6806559982209047,0.010561851267458618,8,97,3912,57,3.134418224532838,19.20685509152278,0.5193625999805915,advanced,COMPLETE
11,-0.0009470627455911244,2025-12-04 20:23:15.799971,2025-12-04 20:23:32.179385,0 days 00:00:16.379414,advanced,0.5035244062600627,0.012799550591126398,7,82,3997,122,4.748640763259841,0.10410295138886388,0.7672011503560486,advanced,COMPLETE
12,-0.0009470627455911244,2025-12-04 20:23:32.180385,2025-12-04 20:23:48.405726,0 days 00:00:16.225341,extensive,0.6040480561972924,0.03797786964803238,9,73,3380,52,3.685912145814642,0.3046023103254905,0.6174273340571953,extensive,COMPLETE
13,-0.0009470627455911244,2025-12-04 20:23:48.406726,2025-12-04 20:23:58.328259,0 days 00:00:09.921533,advanced,0.697183403886832,0.014402867012312737,6,31,1773,74,4.9419257325931305,5.169464354451941,0.8342340845456843,advanced,COMPLETE
14,-0.0009470627455911244,2025-12-04 20:23:58.329259,2025-12-04 20:24:06.689340,0 days 00:00:08.360081,medium,0.596609562772596,0.03940781917599237,6,54,3360,48,2.950108960389428,6.268928953136687,0.6669680248018883,medium,COMPLETE
15,-0.0009470627455911244,2025-12-04 20:24:06.690340,2025-12-04 20:24:21.991011,0 days 00:00:15.300671,extensive,0.5004065307940784,0.005683325629142427,8,29,3377,71,4.202685958641559,0.2482753940637073,0.8571298462080281,extensive,COMPLETE
16,-0.0009470627455911244,2025-12-04 20:24:21.992013,2025-12-04 20:24:31.285909,0 days 00:00:09.293896,advanced,0.5621243005829863,0.016732662226901025,5,89,1721,19,3.314132491935567,2.839910012435889,0.6907331226019537,advanced,COMPLETE
17,-0.0009470627455911244,2025-12-04 20:24:31.287910,2025-12-04 20:24:48.747978,0 days 00:00:17.460068,extensive,0.6701096087764186,0.00929915370090235,9,60,3689,120,4.093784190410645,10.566849986197077,0.5749651424412255,extensive,COMPLETE
18,-0.0009470627455911244,2025-12-04 20:24:48.749978,2025-12-04 20:25:03.964304,0 days 00:00:15.214326,advanced,0.7569405787682557,0.030700991447280807,7,79,3109,46,4.991345887242311,0.6509610765979146,0.8020947211594065,advanced,COMPLETE
19,-0.0009470627455911244,2025-12-04 20:25:03.965304,2025-12-04 20:25:06.581700,0 days 00:00:02.616396,medium,0.5693849697152993,0.05303515484438113,3,46,244,62,2.603354693256558,2.8139312229780153,0.7053615290772693,medium,COMPLETE
20,-0.0009470627455911244,2025-12-04 20:25:06.582701,2025-12-04 20:25:17.762283,0 days 00:00:11.179582,extensive,0.6467859223698288,0.09234864242673113,5,27,1985,83,3.673890146609609,0.307390771764457,0.9082631313326377,extensive,COMPLETE
21,-0.0009470627455911244,2025-12-04 20:25:17.763282,2025-12-04 20:25:32.459158,0 days 00:00:14.695876,extensive,0.8947900223275803,0.01748361670399642,11,21,2366,89,3.8583143902056127,1.074119145807017,0.9987349142404867,extensive,COMPLETE
22,-0.0009470627455911244,2025-12-04 20:25:32.460158,2025-12-04 20:25:50.452807,0 days 00:00:17.992649,extensive,0.7311213963056294,0.021398414625347018,10,10,3628,106,4.386908334412812,2.896910840054128,0.8755441254912064,extensive,COMPLETE
23,-0.0009470627455911244,2025-12-04 20:25:50.453809,2025-12-04 20:26:07.396334,0 days 00:00:16.942525,extensive,0.8451222040988928,0.007018565136043654,10,36,3033,74,3.3960557771380335,1.0304207691974399,0.8130439667102342,extensive,COMPLETE
24,-0.0009470627455911244,2025-12-04 20:26:07.397334,2025-12-04 20:26:18.328466,0 days 00:00:10.931132,extensive,0.9747514141515028,0.01122775504749691,11,18,1396,78,4.556078723699699,0.1987562177377211,0.8641404203412878,extensive,COMPLETE
25,-0.0009470627455911244,2025-12-04 20:26:18.329469,2025-12-04 20:26:32.165562,0 days 00:00:13.836093,advanced,0.8472147933184166,0.02666201285570776,9,23,2469,93,2.5670722957611334,9.707531126756619,0.7244278109981884,advanced,COMPLETE
26,-0.0009470627455911244,2025-12-04 20:26:32.166562,2025-12-04 20:26:43.904259,0 days 00:00:11.737697,extensive,0.5335202948502222,0.005190108655299748,5,54,2182,114,3.889423331003157,0.39212043488843423,0.7865900112127263,extensive,COMPLETE
27,-0.0009470627455911244,2025-12-04 20:26:43.905761,2025-12-04 20:27:02.136133,0 days 00:00:18.230372,extensive,0.7244562050406812,0.05070418430934403,8,34,3786,64,4.195251743031221,2.0094991509706666,0.991920906997036,extensive,COMPLETE
28,-0.0009470627455911244,2025-12-04 20:27:02.137635,2025-12-04 20:27:11.254817,0 days 00:00:09.117182,medium,0.7760826093291852,0.01858590595183408,7,71,3486,87,2.99108480948977,4.017245257563085,0.9026351545998642,medium,COMPLETE
29,-0.016742860554672372,2025-12-04 20:27:11.256822,2025-12-04 20:27:32.161202,0 days 00:00:20.904380,advanced,0.8167719303459663,0.008381200611322876,4,15,2951,79,0.6115771361104569,10.518037890423711,0.5026370426030133,advanced,COMPLETE
30,-0.0009470627455911244,2025-12-04 20:27:32.162203,2025-12-04 20:27:50.095922,0 days 00:00:17.933719,advanced,0.9997984743663778,0.030033626124616613,11,25,3099,41,4.6259623444201114,1.0833928696150275,0.8979739020911905,advanced,COMPLETE
31,-0.0009470627455911244,2025-12-04 20:27:50.096924,2025-12-04 20:27:55.169809,0 days 00:00:05.072885,medium,0.9452487940225844,0.036439018581882,3,38,1289,18,2.0814148242152255,7.415173044051418,0.7442850509668516,medium,COMPLETE
32,-0.0009470627455911244,2025-12-04 20:27:55.170813,2025-12-04 20:27:57.938635,0 days 00:00:02.767822,medium,0.901723024533457,0.046793797945719064,4,46,305,26,2.144419436421665,13.02576625290609,0.8315592710401928,medium,COMPLETE
33,-0.0001525930812758721,2025-12-04 20:27:57.940140,2025-12-04 20:28:01.430494,0 days 00:00:03.490354,medium,0.8670192081239578,0.023574513359280767,3,18,602,33,1.015840757214098,4.5269276721252405,0.6054447933591248,medium,COMPLETE
34,-0.0026306490820462436,2025-12-04 20:28:01.431997,2025-12-04 20:28:05.288734,0 days 00:00:03.856737,medium,0.7973860424845611,0.024265047649380006,5,17,583,56,0.7380600909802644,3.965786247453978,0.5960211145055585,medium,COMPLETE
35,-0.0006616276783050212,2025-12-04 20:28:05.290236,2025-12-04 20:28:13.522711,0 days 00:00:08.232475,medium,0.8590788865515172,0.020674907978757297,6,12,2794,42,1.109513288699826,0.47973829432773557,0.6494163889034419,medium,COMPLETE
36,-0.0008617974136217269,2025-12-04 20:28:13.523711,2025-12-04 20:28:21.446179,0 days 00:00:07.922468,medium,0.8575385814820825,0.014758872159370162,6,11,2617,41,1.133396819505404,0.48838721454291384,0.6397243036868452,medium,COMPLETE
37,-0.0009335733855479292,2025-12-04 20:28:21.447178,2025-12-04 20:28:29.598460,0 days 00:00:08.151282,medium,0.8591755485463521,0.014703712609204242,6,11,2766,36,1.1605088867250397,0.4360873351202996,0.637328454258748,medium,COMPLETE
38,-0.0009092070144027057,2025-12-04 20:28:29.599460,2025-12-04 20:28:37.780975,0 days 00:00:08.181515,medium,0.8542165331890511,0.014588461987200603,6,10,2728,35,1.0581069974092152,0.4347779893169907,0.6272410703931331,medium,COMPLETE
39,-0.0009181171353909168,2025-12-04 20:28:37.781975,2025-12-04 20:28:45.914076,0 days 00:00:08.132101,medium,0.9263212592714308,0.014782735696924941,6,10,2600,28,1.1225784117510187,0.5033358677179656,0.5429485320823879,medium,COMPLETE
40,-0.21474564402600818,2025-12-04 20:28:45.915077,2025-12-04 20:29:10.848538,0 days 00:00:24.933461,medium,0.8219247030627865,0.012084775766410094,4,15,2049,40,0.005130792205681578,0.7660504451764325,0.6641280408482695,medium,COMPLETE
41,-0.0009119032264179872,2025-12-04 20:29:10.850533,2025-12-04 20:29:19.152785,0 days 00:00:08.302252,medium,0.9193060517067252,0.014850709230270905,6,10,2636,28,1.1844217759658158,0.47831560355030756,0.541275034362987,medium,COMPLETE
42,-0.000935746952052785,2025-12-04 20:29:19.154292,2025-12-04 20:29:27.590628,0 days 00:00:08.436336,medium,0.8721164234486869,0.019362370142783455,7,14,2864,32,1.3367246771209444,0.7853540240574584,0.6145393458012269,medium,COMPLETE
43,-0.0017299911953013354,2025-12-04 20:29:27.591632,2025-12-04 20:29:36.239232,0 days 00:00:08.647600,medium,0.9209051476351489,0.016699509495402786,5,17,2655,40,0.768830970367482,0.20496703677044634,0.5830758856154384,medium,COMPLETE
44,-0.04280100752011232,2025-12-04 20:29:36.241740,2025-12-04 20:29:49.979547,0 days 00:00:13.737807,medium,0.8369344765339696,0.013301759455780651,6,21,2299,24,0.395933860868251,0.3769458848436938,0.5540849744177707,medium,COMPLETE
45,-0.0009613102460898452,2025-12-04 20:29:49.981551,2025-12-04 20:29:57.902760,0 days 00:00:07.921209,medium,0.7882192750182216,0.02290937505846552,6,25,2787,46,1.759117338536658,0.5559429478305489,0.6345979228707674,medium,COMPLETE
46,-0.0010310395502982257,2025-12-04 20:29:57.902760,2025-12-04 20:30:04.504277,0 days 00:00:06.601517,medium,0.8862393347874178,0.009724138394487887,7,12,1856,32,0.9822185842499841,0.1518676139698163,0.6698630039615306,medium,COMPLETE
47,-0.0009670960098876099,2025-12-04 20:30:04.505786,2025-12-04 20:30:12.637184,0 days 00:00:08.131398,medium,0.9645088516545022,0.027782906526656385,5,30,2491,23,1.4448540531562426,0.8545161436550959,0.6111329614932065,medium,COMPLETE
48,-0.0010341038903164772,2025-12-04 20:30:12.639184,2025-12-04 20:30:18.428757,0 days 00:00:05.789573,medium,0.8727515053362118,0.015980540274110718,6,20,1638,36,1.5991479523046388,1.3123749154911952,0.531590526922724,medium,COMPLETE
49,-0.0529983931856323,2025-12-04 20:30:18.429757,2025-12-04 20:30:31.688417,0 days 00:00:13.258660,medium,0.8261337625770091,0.020133654126676784,4,10,3229,51,0.3983778271925159,0.3448156077994398,0.5645123490618923,medium,COMPLETE
50,-0.0009820905771987427,2025-12-04 20:30:31.689417,2025-12-04 20:30:38.774045,0 days 00:00:07.084628,medium,0.907559635017682,0.01172712759509554,3,15,2206,44,1.766981623714891,0.24373023281357134,0.5936114739181328,medium,COMPLETE
