number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-7.64101011520447,2025-12-04 19:07:58.394328,2025-12-04 19:07:58.527863,0 days 00:00:00.133535,none,COMPLETE
1,-9.96272628844387,2025-12-04 19:07:58.528863,2025-12-04 19:07:58.737718,0 days 00:00:00.208855,simple,COMPLETE
2,-11.280007133069331,2025-12-04 19:07:58.738718,2025-12-04 19:07:59.195708,0 days 00:00:00.456990,simple2,COMPLETE
3,-21745751.799559038,2025-12-04 19:07:59.196708,2025-12-04 19:08:02.167248,0 days 00:00:02.970540,medium,COMPLETE
4,-7.64101011520447,2025-12-04 19:08:02.168255,2025-12-04 19:08:02.328262,0 days 00:00:00.160007,none,COMPLETE
5,-9.96272628844387,2025-12-04 19:08:02.329766,2025-12-04 19:08:02.541648,0 days 00:00:00.211882,simple,COMPLETE
6,-11.280007133069331,2025-12-04 19:08:02.542649,2025-12-04 19:08:02.985714,0 days 00:00:00.443065,simple2,COMPLETE
7,-21745751.799559038,2025-12-04 19:08:02.986720,2025-12-04 19:08:05.737379,0 days 00:00:02.750659,medium,COMPLETE
8,-7.64101011520447,2025-12-04 19:08:05.738380,2025-12-04 19:08:05.885701,0 days 00:00:00.147321,none,COMPLETE
9,-9.96272628844387,2025-12-04 19:08:05.886700,2025-12-04 19:08:06.096148,0 days 00:00:00.209448,simple,COMPLETE
10,-11.280007133069331,2025-12-04 19:08:06.097148,2025-12-04 19:08:06.552543,0 days 00:00:00.455395,simple2,COMPLETE
11,-21745751.799559038,2025-12-04 19:08:06.553576,2025-12-04 19:08:09.280942,0 days 00:00:02.727366,medium,COMPLETE
12,-7.64101011520447,2025-12-04 19:08:09.281942,2025-12-04 19:08:09.420719,0 days 00:00:00.138777,none,COMPLETE
13,-9.96272628844387,2025-12-04 19:08:09.421719,2025-12-04 19:08:09.637120,0 days 00:00:00.215401,simple,COMPLETE
14,-11.280007133069331,2025-12-04 19:08:09.638120,2025-12-04 19:08:10.097464,0 days 00:00:00.459344,simple2,COMPLETE
15,-21745751.799559038,2025-12-04 19:08:10.098466,2025-12-04 19:08:12.841306,0 days 00:00:02.742840,medium,COMPLETE
16,-7.64101011520447,2025-12-04 19:08:12.842306,2025-12-04 19:08:12.982773,0 days 00:00:00.140467,none,COMPLETE
17,-9.96272628844387,2025-12-04 19:08:12.983774,2025-12-04 19:08:13.182926,0 days 00:00:00.199152,simple,COMPLETE
18,-11.280007133069331,2025-12-04 19:08:13.183924,2025-12-04 19:08:13.630223,0 days 00:00:00.446299,simple2,COMPLETE
19,-21745751.799559038,2025-12-04 19:08:13.631228,2025-12-04 19:08:16.269753,0 days 00:00:02.638525,medium,COMPLETE
20,-7.64101011520447,2025-12-04 19:08:16.270754,2025-12-04 19:08:16.405597,0 days 00:00:00.134843,none,COMPLETE
21,-9.96272628844387,2025-12-04 19:08:16.406597,2025-12-04 19:08:16.605779,0 days 00:00:00.199182,simple,COMPLETE
22,-11.280007133069331,2025-12-04 19:08:16.606778,2025-12-04 19:08:17.047806,0 days 00:00:00.441028,simple2,COMPLETE
23,-21745751.799559038,2025-12-04 19:08:17.048806,2025-12-04 19:08:19.776267,0 days 00:00:02.727461,medium,COMPLETE
24,-7.64101011520447,2025-12-04 19:08:19.777267,2025-12-04 19:08:19.911478,0 days 00:00:00.134211,none,COMPLETE
25,-9.96272628844387,2025-12-04 19:08:19.912981,2025-12-04 19:08:20.113327,0 days 00:00:00.200346,simple,COMPLETE
26,-11.280007133069331,2025-12-04 19:08:20.114351,2025-12-04 19:08:20.565442,0 days 00:00:00.451091,simple2,COMPLETE
27,-21745751.799559038,2025-12-04 19:08:20.566442,2025-12-04 19:08:23.328520,0 days 00:00:02.762078,medium,COMPLETE
28,-7.64101011520447,2025-12-04 19:08:23.330023,2025-12-04 19:08:23.460493,0 days 00:00:00.130470,none,COMPLETE
29,-9.96272628844387,2025-12-04 19:08:23.461494,2025-12-04 19:08:23.663496,0 days 00:00:00.202002,simple,COMPLETE
30,-11.280007133069331,2025-12-04 19:08:23.664510,2025-12-04 19:08:24.118578,0 days 00:00:00.454068,simple2,COMPLETE
31,-21745751.799559038,2025-12-04 19:08:24.119578,2025-12-04 19:08:26.827878,0 days 00:00:02.708300,medium,COMPLETE
32,-7.64101011520447,2025-12-04 19:08:26.828878,2025-12-04 19:08:26.975671,0 days 00:00:00.146793,none,COMPLETE
33,-9.96272628844387,2025-12-04 19:08:26.975671,2025-12-04 19:08:27.189267,0 days 00:00:00.213596,simple,COMPLETE
34,-11.280007133069331,2025-12-04 19:08:27.190267,2025-12-04 19:08:27.656766,0 days 00:00:00.466499,simple2,COMPLETE
35,-21745751.799559038,2025-12-04 19:08:27.657767,2025-12-04 19:08:30.392140,0 days 00:00:02.734373,medium,COMPLETE
36,-7.64101011520447,2025-12-04 19:08:30.393141,2025-12-04 19:08:30.526314,0 days 00:00:00.133173,none,COMPLETE
37,-9.96272628844387,2025-12-04 19:08:30.527315,2025-12-04 19:08:30.724286,0 days 00:00:00.196971,simple,COMPLETE
38,-11.280007133069331,2025-12-04 19:08:30.725288,2025-12-04 19:08:31.172533,0 days 00:00:00.447245,simple2,COMPLETE
39,-21745751.799559038,2025-12-04 19:08:31.173532,2025-12-04 19:08:33.820569,0 days 00:00:02.647037,medium,COMPLETE
40,-7.64101011520447,2025-12-04 19:08:33.821571,2025-12-04 19:08:33.956834,0 days 00:00:00.135263,none,COMPLETE
41,-9.96272628844387,2025-12-04 19:08:33.957835,2025-12-04 19:08:34.158265,0 days 00:00:00.200430,simple,COMPLETE
42,-11.280007133069331,2025-12-04 19:08:34.159264,2025-12-04 19:08:34.601107,0 days 00:00:00.441843,simple2,COMPLETE
43,-21745751.799559038,2025-12-04 19:08:34.602609,2025-12-04 19:08:37.269164,0 days 00:00:02.666555,medium,COMPLETE
44,-7.64101011520447,2025-12-04 19:08:37.270167,2025-12-04 19:08:37.406715,0 days 00:00:00.136548,none,COMPLETE
45,-9.96272628844387,2025-12-04 19:08:37.407714,2025-12-04 19:08:37.606980,0 days 00:00:00.199266,simple,COMPLETE
46,-11.280007133069331,2025-12-04 19:08:37.607981,2025-12-04 19:08:38.057971,0 days 00:00:00.449990,simple2,COMPLETE
47,-21745751.799559038,2025-12-04 19:08:38.058972,2025-12-04 19:08:40.708995,0 days 00:00:02.650023,medium,COMPLETE
48,-7.64101011520447,2025-12-04 19:08:40.709995,2025-12-04 19:08:40.843953,0 days 00:00:00.133958,none,COMPLETE
49,-9.96272628844387,2025-12-04 19:08:40.843953,2025-12-04 19:08:41.047595,0 days 00:00:00.203642,simple,COMPLETE
50,-11.280007133069331,2025-12-04 19:08:41.047595,2025-12-04 19:08:41.494839,0 days 00:00:00.447244,simple2,COMPLETE
51,-21745751.799559038,2025-12-04 19:08:41.494839,2025-12-04 19:08:44.171554,0 days 00:00:02.676715,medium,COMPLETE
52,-7.64101011520447,2025-12-04 19:08:44.172554,2025-12-04 19:08:44.305968,0 days 00:00:00.133414,none,COMPLETE
53,-9.96272628844387,2025-12-04 19:08:44.306969,2025-12-04 19:08:44.508815,0 days 00:00:00.201846,simple,COMPLETE
54,-11.280007133069331,2025-12-04 19:08:44.509815,2025-12-04 19:08:44.953947,0 days 00:00:00.444132,simple2,COMPLETE
55,-21745751.799559038,2025-12-04 19:08:44.953947,2025-12-04 19:08:47.617643,0 days 00:00:02.663696,medium,COMPLETE
56,-7.64101011520447,2025-12-04 19:08:47.618644,2025-12-04 19:08:47.752816,0 days 00:00:00.134172,none,COMPLETE
57,-9.96272628844387,2025-12-04 19:08:47.753820,2025-12-04 19:08:47.955655,0 days 00:00:00.201835,simple,COMPLETE
