number,value,datetime_start,datetime_complete,duration,params_feature_level,user_attrs_feature_level,state
0,-9.96272628844387,2025-12-04 20:17:37.189822,2025-12-04 20:17:37.407963,0 days 00:00:00.218141,simple,simple,COMPLETE
1,-21745751.799559038,2025-12-04 20:17:37.408963,2025-12-04 20:17:40.019392,0 days 00:00:02.610429,medium,medium,COMPLETE
2,-21745751.799559038,2025-12-04 20:17:40.020393,2025-12-04 20:17:42.645679,0 days 00:00:02.625286,medium,medium,COMPLETE
3,-7.64101011520447,2025-12-04 20:17:42.646676,2025-12-04 20:17:42.785707,0 days 00:00:00.139031,none,none,COMPLETE
4,-9.96272628844387,2025-12-04 20:17:42.787211,2025-12-04 20:17:42.982701,0 days 00:00:00.195490,simple,simple,COMPLETE
5,-7.64101011520447,2025-12-04 20:17:42.982701,2025-12-04 20:17:43.109608,0 days 00:00:00.126907,none,none,COMPLETE
6,-9.96272628844387,2025-12-04 20:17:43.109608,2025-12-04 20:17:43.298846,0 days 00:00:00.189238,simple,simple,COMPLETE
7,-11.280007133069331,2025-12-04 20:17:43.298846,2025-12-04 20:17:43.722038,0 days 00:00:00.423192,simple2,simple2,COMPLETE
8,-11.280007133069331,2025-12-04 20:17:43.723036,2025-12-04 20:17:44.146933,0 days 00:00:00.423897,simple2,simple2,COMPLETE
9,-11.280007133069331,2025-12-04 20:17:44.147936,2025-12-04 20:17:44.566431,0 days 00:00:00.418495,simple2,simple2,COMPLETE
10,-7.64101011520447,2025-12-04 20:17:44.567432,2025-12-04 20:17:44.695921,0 days 00:00:00.128489,none,none,COMPLETE
11,-7.64101011520447,2025-12-04 20:17:44.695921,2025-12-04 20:17:44.828077,0 days 00:00:00.132156,none,none,COMPLETE
12,-7.64101011520447,2025-12-04 20:17:44.829076,2025-12-04 20:17:44.967353,0 days 00:00:00.138277,none,none,COMPLETE
13,-7.64101011520447,2025-12-04 20:17:44.968352,2025-12-04 20:17:45.098962,0 days 00:00:00.130610,none,none,COMPLETE
14,-7.64101011520447,2025-12-04 20:17:45.099962,2025-12-04 20:17:45.238047,0 days 00:00:00.138085,none,none,COMPLETE
15,-7.64101011520447,2025-12-04 20:17:45.239048,2025-12-04 20:17:45.370127,0 days 00:00:00.131079,none,none,COMPLETE
16,-7.64101011520447,2025-12-04 20:17:45.371131,2025-12-04 20:17:45.501218,0 days 00:00:00.130087,none,none,COMPLETE
17,-7.64101011520447,2025-12-04 20:17:45.502222,2025-12-04 20:17:45.630374,0 days 00:00:00.128152,none,none,COMPLETE
18,-21745751.799559038,2025-12-04 20:17:45.631373,2025-12-04 20:17:48.337158,0 days 00:00:02.705785,medium,medium,COMPLETE
19,-7.64101011520447,2025-12-04 20:17:48.338161,2025-12-04 20:17:48.474022,0 days 00:00:00.135861,none,none,COMPLETE
20,-7.64101011520447,2025-12-04 20:17:48.475022,2025-12-04 20:17:48.606979,0 days 00:00:00.131957,none,none,COMPLETE
21,-7.64101011520447,2025-12-04 20:17:48.607984,2025-12-04 20:17:48.737302,0 days 00:00:00.129318,none,none,COMPLETE
22,-7.64101011520447,2025-12-04 20:17:48.737302,2025-12-04 20:17:48.860943,0 days 00:00:00.123641,none,none,COMPLETE
23,-7.64101011520447,2025-12-04 20:17:48.861944,2025-12-04 20:17:49.003482,0 days 00:00:00.141538,none,none,COMPLETE
24,-7.64101011520447,2025-12-04 20:17:49.004482,2025-12-04 20:17:49.133276,0 days 00:00:00.128794,none,none,COMPLETE
25,-7.64101011520447,2025-12-04 20:17:49.134780,2025-12-04 20:17:49.262868,0 days 00:00:00.128088,none,none,COMPLETE
26,-21745751.799559038,2025-12-04 20:17:49.263869,2025-12-04 20:17:51.851066,0 days 00:00:02.587197,medium,medium,COMPLETE
27,-9.96272628844387,2025-12-04 20:17:51.852581,2025-12-04 20:17:52.069915,0 days 00:00:00.217334,simple,simple,COMPLETE
28,-11.280007133069331,2025-12-04 20:17:52.069915,2025-12-04 20:17:52.505319,0 days 00:00:00.435404,simple2,simple2,COMPLETE
29,-9.96272628844387,2025-12-04 20:17:52.506288,2025-12-04 20:17:52.703429,0 days 00:00:00.197141,simple,simple,COMPLETE
30,-7.64101011520447,2025-12-04 20:17:52.704430,2025-12-04 20:17:52.833436,0 days 00:00:00.129006,none,none,COMPLETE
31,-7.64101011520447,2025-12-04 20:17:52.834939,2025-12-04 20:17:52.967791,0 days 00:00:00.132852,none,none,COMPLETE
32,-7.64101011520447,2025-12-04 20:17:52.967791,2025-12-04 20:17:53.098882,0 days 00:00:00.131091,none,none,COMPLETE
33,-7.64101011520447,2025-12-04 20:17:53.099882,2025-12-04 20:17:53.234778,0 days 00:00:00.134896,none,none,COMPLETE
34,-21745751.799559038,2025-12-04 20:17:53.235782,2025-12-04 20:17:55.862473,0 days 00:00:02.626691,medium,medium,COMPLETE
35,-7.64101011520447,2025-12-04 20:17:55.863473,2025-12-04 20:17:56.007518,0 days 00:00:00.144045,none,none,COMPLETE
36,-9.96272628844387,2025-12-04 20:17:56.008518,2025-12-04 20:17:56.202408,0 days 00:00:00.193890,simple,simple,COMPLETE
37,-7.64101011520447,2025-12-04 20:17:56.202958,2025-12-04 20:17:56.334727,0 days 00:00:00.131769,none,none,COMPLETE
38,-11.280007133069331,2025-12-04 20:17:56.334727,2025-12-04 20:17:56.747043,0 days 00:00:00.412316,simple2,simple2,COMPLETE
39,-21745751.799559038,2025-12-04 20:17:56.748047,2025-12-04 20:17:59.396226,0 days 00:00:02.648179,medium,medium,COMPLETE
40,-7.64101011520447,2025-12-04 20:17:59.397768,2025-12-04 20:17:59.540740,0 days 00:00:00.142972,none,none,COMPLETE
41,-7.64101011520447,2025-12-04 20:17:59.540740,2025-12-04 20:17:59.676696,0 days 00:00:00.135956,none,none,COMPLETE
42,-7.64101011520447,2025-12-04 20:17:59.677276,2025-12-04 20:17:59.807256,0 days 00:00:00.129980,none,none,COMPLETE
43,-7.64101011520447,2025-12-04 20:17:59.808257,2025-12-04 20:17:59.946286,0 days 00:00:00.138029,none,none,COMPLETE
44,-7.64101011520447,2025-12-04 20:17:59.946286,2025-12-04 20:18:00.083656,0 days 00:00:00.137370,none,none,COMPLETE
45,-11.280007133069331,2025-12-04 20:18:00.083656,2025-12-04 20:18:00.504129,0 days 00:00:00.420473,simple2,simple2,COMPLETE
46,-7.64101011520447,2025-12-04 20:18:00.505226,2025-12-04 20:18:00.638510,0 days 00:00:00.133284,none,none,COMPLETE
47,-9.96272628844387,2025-12-04 20:18:00.639511,2025-12-04 20:18:00.827487,0 days 00:00:00.187976,simple,simple,COMPLETE
48,-7.64101011520447,2025-12-04 20:18:00.828486,2025-12-04 20:18:00.968328,0 days 00:00:00.139842,none,none,COMPLETE
49,-7.64101011520447,2025-12-04 20:18:00.969326,2025-12-04 20:18:01.096754,0 days 00:00:00.127428,none,none,COMPLETE
50,-7.64101011520447,2025-12-04 20:18:01.097755,2025-12-04 20:18:01.223892,0 days 00:00:00.126137,none,none,COMPLETE
51,-7.64101011520447,2025-12-04 20:18:01.224892,2025-12-04 20:18:01.356598,0 days 00:00:00.131706,none,none,COMPLETE
52,-7.64101011520447,2025-12-04 20:18:01.358556,2025-12-04 20:18:01.486087,0 days 00:00:00.127531,none,none,COMPLETE
53,-7.64101011520447,2025-12-04 20:18:01.487087,2025-12-04 20:18:01.618054,0 days 00:00:00.130967,none,none,COMPLETE
54,-7.64101011520447,2025-12-04 20:18:01.619052,2025-12-04 20:18:01.751438,0 days 00:00:00.132386,none,none,COMPLETE
55,-21745751.799559038,2025-12-04 20:18:01.752443,2025-12-04 20:18:04.364559,0 days 00:00:02.612116,medium,medium,COMPLETE
56,-7.64101011520447,2025-12-04 20:18:04.364559,2025-12-04 20:18:04.498678,0 days 00:00:00.134119,none,none,COMPLETE
57,-7.64101011520447,2025-12-04 20:18:04.499681,2025-12-04 20:18:04.631342,0 days 00:00:00.131661,none,none,COMPLETE
58,-11.280007133069331,2025-12-04 20:18:04.632341,2025-12-04 20:18:05.052870,0 days 00:00:00.420529,simple2,simple2,COMPLETE
59,-7.64101011520447,2025-12-04 20:18:05.054150,2025-12-04 20:18:05.187326,0 days 00:00:00.133176,none,none,COMPLETE
60,-7.64101011520447,2025-12-04 20:18:05.188332,2025-12-04 20:18:05.317309,0 days 00:00:00.128977,none,none,COMPLETE
61,-7.64101011520447,2025-12-04 20:18:05.318313,2025-12-04 20:18:05.449868,0 days 00:00:00.131555,none,none,COMPLETE
62,-7.64101011520447,2025-12-04 20:18:05.451370,2025-12-04 20:18:05.582175,0 days 00:00:00.130805,none,none,COMPLETE
63,-7.64101011520447,2025-12-04 20:18:05.583176,2025-12-04 20:18:05.714824,0 days 00:00:00.131648,none,none,COMPLETE
64,-9.96272628844387,2025-12-04 20:18:05.715852,2025-12-04 20:18:05.908870,0 days 00:00:00.193018,simple,simple,COMPLETE
65,-7.64101011520447,2025-12-04 20:18:05.909874,2025-12-04 20:18:06.048421,0 days 00:00:00.138547,none,none,COMPLETE
66,-7.64101011520447,2025-12-04 20:18:06.049425,2025-12-04 20:18:06.177461,0 days 00:00:00.128036,none,none,COMPLETE
