number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-7.398268076222919,2025-12-04 19:09:25.735728,2025-12-04 19:09:25.840884,0 days 00:00:00.105156,0.041858227295469716,none,COMPLETE
1,-0.135941895856697,2025-12-04 19:09:25.841883,2025-12-04 19:09:25.990222,0 days 00:00:00.148339,451.85609510240965,simple,COMPLETE
2,-1.52424436463954,2025-12-04 19:09:25.991221,2025-12-04 19:09:26.351641,0 days 00:00:00.360420,13.3032451015229,simple2,COMPLETE
3,-141106.18266190813,2025-12-04 19:09:26.351641,2025-12-04 19:09:28.219377,0 days 00:00:01.867736,1.55099139875943,medium,COMPLETE
4,-7.63357080277914,2025-12-04 19:09:28.220377,2025-12-04 19:09:28.325994,0 days 00:00:00.105617,0.0012363188277052211,none,COMPLETE
5,-9.956236033980273,2025-12-04 19:09:28.326993,2025-12-04 19:09:28.476005,0 days 00:00:00.149012,0.0012358382772306934,simple,COMPLETE
6,-11.277348452473964,2025-12-04 19:09:28.477004,2025-12-04 19:09:28.855014,0 days 00:00:00.378010,0.00025502648504032837,simple2,COMPLETE
7,-23759.42449273473,2025-12-04 19:09:28.856019,2025-12-04 19:09:30.760239,0 days 00:00:01.904220,115.67327199145953,medium,COMPLETE
8,-3.5988216828823223,2025-12-04 19:09:30.761238,2025-12-04 19:09:30.864350,0 days 00:00:00.103112,1.6136341713591311,none,COMPLETE
9,-1.9031745205959467,2025-12-04 19:09:30.865351,2025-12-04 19:09:31.025818,0 days 00:00:00.160467,9.047071957568372,simple,COMPLETE
10,-0.12539343534876246,2025-12-04 19:09:31.026817,2025-12-04 19:09:31.405066,0 days 00:00:00.378249,718.5614470935544,simple2,COMPLETE
11,-10648.818706846849,2025-12-04 19:09:31.406068,2025-12-04 19:09:33.267947,0 days 00:00:01.861879,338.8706842735184,medium,COMPLETE
12,-0.10132022374876566,2025-12-04 19:09:33.269951,2025-12-04 19:09:33.374445,0 days 00:00:00.104494,612.0117715317866,none,COMPLETE
13,-0.6222477291748528,2025-12-04 19:09:33.375442,2025-12-04 19:09:33.525623,0 days 00:00:00.150181,42.78248928108161,simple,COMPLETE
14,-0.11004451683578331,2025-12-04 19:09:33.526623,2025-12-04 19:09:33.915413,0 days 00:00:00.388790,864.5839377181267,simple2,COMPLETE
15,-2677209.1839970504,2025-12-04 19:09:33.916412,2025-12-04 19:09:35.761216,0 days 00:00:01.844804,0.025531292949199733,medium,COMPLETE
16,-0.4641765161667037,2025-12-04 19:09:35.762216,2025-12-04 19:09:35.862647,0 days 00:00:00.100431,51.596749232467324,none,COMPLETE
17,-7.5618034383128645,2025-12-04 19:09:35.864150,2025-12-04 19:09:36.025485,0 days 00:00:00.161335,0.6053400498632163,simple,COMPLETE
