number,value,datetime_start,datetime_complete,duration,params_feature_level,params_ridge_alpha,user_attrs_feature_level,state
0,-9.956233512046113,2025-12-04 20:18:18.840432,2025-12-04 20:18:18.983997,0 days 00:00:00.143565,simple,0.0012363188277052211,simple,COMPLETE
1,-1.977069213460143,2025-12-04 20:18:18.984995,2025-12-04 20:18:19.336266,0 days 00:00:00.351271,simple2,9.047071957568372,simple2,COMPLETE
2,-9.952888014137907,2025-12-04 20:18:19.336266,2025-12-04 20:18:19.472601,0 days 00:00:00.136335,simple,0.0018740223688836334,simple,COMPLETE
3,-11.16810046290596,2025-12-04 20:18:19.472601,2025-12-04 20:18:19.817167,0 days 00:00:00.344566,simple2,0.010929592787219389,simple2,COMPLETE
4,-6.820201450502265,2025-12-04 20:18:19.818171,2025-12-04 20:18:19.914785,0 days 00:00:00.096614,none,0.15577217702693022,none,COMPLETE
5,-7.639736703255644,2025-12-04 20:18:19.915288,2025-12-04 20:18:20.016077,0 days 00:00:00.100789,none,0.00021142332035497166,none,COMPLETE
6,-8820.030754543464,2025-12-04 20:18:20.017075,2025-12-04 20:18:21.711447,0 days 00:00:01.694372,medium,574.6775499181848,medium,COMPLETE
7,-6.987566116665795,2025-12-04 20:18:21.713450,2025-12-04 20:18:21.814784,0 days 00:00:00.101334,none,0.12052231254145616,none,COMPLETE
8,-5368535.322113884,2025-12-04 20:18:21.815789,2025-12-04 20:18:23.558175,0 days 00:00:01.742386,medium,0.006478282331897323,medium,COMPLETE
9,-7.629177288466313,2025-12-04 20:18:23.559175,2025-12-04 20:18:23.659669,0 days 00:00:00.100494,none,0.001967801053211494,none,COMPLETE
10,-0.6780189046649938,2025-12-04 20:18:23.660669,2025-12-04 20:18:24.019309,0 days 00:00:00.358640,simple2,46.58203647475288,simple2,COMPLETE
11,-0.6274597915138633,2025-12-04 20:18:24.020254,2025-12-04 20:18:24.371528,0 days 00:00:00.351274,simple2,53.01136230521693,simple2,COMPLETE
12,-0.7299909875587142,2025-12-04 20:18:24.372531,2025-12-04 20:18:24.724815,0 days 00:00:00.352284,simple2,41.24763734015361,simple2,COMPLETE
13,-2.5501391577519184,2025-12-04 20:18:24.725814,2025-12-04 20:18:25.086267,0 days 00:00:00.360453,simple2,6.14906188646791,simple2,COMPLETE
14,-0.10426996841964124,2025-12-04 20:18:25.087772,2025-12-04 20:18:25.439967,0 days 00:00:00.352195,simple2,931.846469060939,simple2,COMPLETE
15,-0.14010714801759874,2025-12-04 20:18:25.440966,2025-12-04 20:18:25.794621,0 days 00:00:00.353655,simple2,611.6939556615655,simple2,COMPLETE
16,-0.10415420608368635,2025-12-04 20:18:25.795620,2025-12-04 20:18:26.147433,0 days 00:00:00.351813,simple2,933.2779078116369,simple2,COMPLETE
17,-5.844346884253375,2025-12-04 20:18:26.148432,2025-12-04 20:18:26.501832,0 days 00:00:00.353400,simple2,1.3665221215850774,simple2,COMPLETE
18,-7707.881229911681,2025-12-04 20:18:26.502834,2025-12-04 20:18:28.267961,0 days 00:00:01.765127,medium,984.1249185098026,medium,COMPLETE
19,-0.25177939211514927,2025-12-04 20:18:28.268960,2025-12-04 20:18:28.427499,0 days 00:00:00.158539,simple,171.4795473501127,simple,COMPLETE
20,-5.097361204853695,2025-12-04 20:18:28.428500,2025-12-04 20:18:28.781288,0 days 00:00:00.352788,simple2,1.8439397104317108,simple2,COMPLETE
21,-0.2799692695627127,2025-12-04 20:18:28.781994,2025-12-04 20:18:29.135979,0 days 00:00:00.353985,simple2,208.1063179831531,simple2,COMPLETE
22,-0.26737708192272763,2025-12-04 20:18:29.135979,2025-12-04 20:18:29.489172,0 days 00:00:00.353193,simple2,224.3931158962973,simple2,COMPLETE
23,-0.10378936952971311,2025-12-04 20:18:29.490172,2025-12-04 20:18:29.834288,0 days 00:00:00.344116,simple2,937.8118632537149,simple2,COMPLETE
24,-1.3585821247993808,2025-12-04 20:18:29.835288,2025-12-04 20:18:30.190216,0 days 00:00:00.354928,simple2,15.774246910248635,simple2,COMPLETE
25,-0.36308707432013265,2025-12-04 20:18:30.191914,2025-12-04 20:18:30.545189,0 days 00:00:00.353275,simple2,134.8146220396075,simple2,COMPLETE
26,-0.1032096257700487,2025-12-04 20:18:30.546189,2025-12-04 20:18:30.890554,0 days 00:00:00.344365,simple2,945.0879581858463,simple2,COMPLETE
27,-4.756142518953478,2025-12-04 20:18:30.891554,2025-12-04 20:18:31.035896,0 days 00:00:00.144342,simple,2.115932272663268,simple,COMPLETE
28,-42670.12668897059,2025-12-04 20:18:31.035896,2025-12-04 20:18:32.743536,0 days 00:00:01.707640,medium,23.69747203254619,medium,COMPLETE
29,-0.28143977005182524,2025-12-04 20:18:32.744536,2025-12-04 20:18:32.891332,0 days 00:00:00.146796,simple,143.64730651470416,simple,COMPLETE
30,-8.09236181546801,2025-12-04 20:18:32.892332,2025-12-04 20:18:33.250409,0 days 00:00:00.358077,simple2,0.5222376908674639,simple2,COMPLETE
31,-0.1032146630225997,2025-12-04 20:18:33.251409,2025-12-04 20:18:33.616978,0 days 00:00:00.365569,simple2,945.0243570419292,simple2,COMPLETE
32,-0.1845553514808019,2025-12-04 20:18:33.618553,2025-12-04 20:18:33.969748,0 days 00:00:00.351195,simple2,404.1454772299541,simple2,COMPLETE
33,-0.47833175642123343,2025-12-04 20:18:33.970751,2025-12-04 20:18:34.317831,0 days 00:00:00.347080,simple2,84.1470316905168,simple2,COMPLETE
34,-0.19975119287177523,2025-12-04 20:18:34.318830,2025-12-04 20:18:34.672687,0 days 00:00:00.353857,simple2,357.4755954180819,simple2,COMPLETE
35,-1.3654628084557645,2025-12-04 20:18:34.673025,2025-12-04 20:18:35.028826,0 days 00:00:00.355801,simple2,15.656400174388668,simple2,COMPLETE
36,-2.56862724621333,2025-12-04 20:18:35.029825,2025-12-04 20:18:35.385859,0 days 00:00:00.356034,simple2,6.080634632619074,simple2,COMPLETE
37,-0.1436138911246283,2025-12-04 20:18:35.386859,2025-12-04 20:18:35.482238,0 days 00:00:00.095379,none,367.55402770231564,none,COMPLETE
38,-0.08289947205731078,2025-12-04 20:18:35.482238,2025-12-04 20:18:35.622732,0 days 00:00:00.140494,simple,937.639901277158,simple,COMPLETE
39,-0.4075826554855524,2025-12-04 20:18:35.623732,2025-12-04 20:18:35.758159,0 days 00:00:00.134427,simple,80.40062529192292,simple,COMPLETE
40,-9.693922542005105,2025-12-04 20:18:35.759160,2025-12-04 20:18:35.894231,0 days 00:00:00.135071,simple,0.05264830133512071,simple,COMPLETE
41,-0.08456317939303244,2025-12-04 20:18:35.895231,2025-12-04 20:18:36.040636,0 days 00:00:00.145405,simple,911.5755322690196,simple,COMPLETE
42,-0.1561014134654505,2025-12-04 20:18:36.040636,2025-12-04 20:18:36.175329,0 days 00:00:00.134693,simple,365.0270296501639,simple,COMPLETE
43,-0.1452819650089959,2025-12-04 20:18:36.176328,2025-12-04 20:18:36.313431,0 days 00:00:00.137103,simple,407.98978867806755,simple,COMPLETE
44,-0.2986683894212438,2025-12-04 20:18:36.313431,2025-12-04 20:18:36.443553,0 days 00:00:00.130122,simple,130.7313594953877,simple,COMPLETE
45,-0.07992949782246961,2025-12-04 20:18:36.444553,2025-12-04 20:18:36.585994,0 days 00:00:00.141441,simple,987.1901912627054,simple,COMPLETE
46,-9.961179983471117,2025-12-04 20:18:36.585994,2025-12-04 20:18:36.722109,0 days 00:00:00.136115,simple,0.0002942826945522907,simple,COMPLETE
47,-0.7052187940617234,2025-12-04 20:18:36.723109,2025-12-04 20:18:36.855657,0 days 00:00:00.132548,simple,35.764087397813505,simple,COMPLETE
48,-9.818969484612277,2025-12-04 20:18:36.857217,2025-12-04 20:18:36.995530,0 days 00:00:00.138313,simple,0.027779714068110983,simple,COMPLETE
49,-0.3398697513635805,2025-12-04 20:18:36.996531,2025-12-04 20:18:37.091474,0 days 00:00:00.094943,none,90.55719883641852,none,COMPLETE
50,-0.11718479450044161,2025-12-04 20:18:37.091474,2025-12-04 20:18:37.230298,0 days 00:00:00.138824,simple,565.8756694628972,simple,COMPLETE
51,-8191.2637264255345,2025-12-04 20:18:37.231299,2025-12-04 20:18:38.978074,0 days 00:00:01.746775,medium,763.0259982416321,medium,COMPLETE
52,-0.18837101075237958,2025-12-04 20:18:38.979074,2025-12-04 20:18:39.122442,0 days 00:00:00.143368,simple,271.86554367393205,simple,COMPLETE
53,-0.08466505163095601,2025-12-04 20:18:39.123443,2025-12-04 20:18:39.252826,0 days 00:00:00.129383,simple,910.0167824719281,simple,COMPLETE
54,-0.116148455737395,2025-12-04 20:18:39.253827,2025-12-04 20:18:39.391842,0 days 00:00:00.138015,simple,573.4595101955599,simple,COMPLETE
55,-0.20386367549231096,2025-12-04 20:18:39.392843,2025-12-04 20:18:39.531212,0 days 00:00:00.138369,simple,239.89545892914535,simple,COMPLETE
56,-0.4796567724636563,2025-12-04 20:18:39.531212,2025-12-04 20:18:39.670728,0 days 00:00:00.139516,simple,62.768460125717496,simple,COMPLETE
57,-0.08434974500254404,2025-12-04 20:18:39.671728,2025-12-04 20:18:39.808591,0 days 00:00:00.136863,simple,914.8549796889854,simple,COMPLETE
58,-0.1177860970094824,2025-12-04 20:18:39.808591,2025-12-04 20:18:39.942367,0 days 00:00:00.133776,simple,561.5472525575415,simple,COMPLETE
