number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.0009470627425554786,2025-12-04 19:27:30.186710,2025-12-04 19:27:37.973768,0 days 00:00:07.787058,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,medium,COMPLETE
1,-0.004247749463161791,2025-12-04 19:27:37.974768,2025-12-04 19:28:02.369154,0 days 00:00:24.394386,0.8819459112971966,0.025959425503112647,7,15,1007,0.9170225492671691,0.2620503255096255,0.31235069657748143,advanced,COMPLETE
2,-0.0009461098848919658,2025-12-04 19:28:02.370153,2025-12-04 19:28:14.773395,0 days 00:00:12.403242,0.47473748411882516,0.010952662748632562,5,11,730,1.8318092164684585,0.4701469243560972,0.5591670111852695,extensive,COMPLETE
3,-0.000782936637587032,2025-12-04 19:28:14.785438,2025-12-04 19:28:23.041329,0 days 00:00:08.255891,0.608540663048167,0.010150667045928576,6,16,376,0.8526206184364576,2.5002240473339543,0.41980426929501585,medium,COMPLETE
4,-0.0009483428096922856,2025-12-04 19:28:23.042329,2025-12-04 19:28:33.006442,0 days 00:00:09.964113,0.7850384088698767,0.0032925293631105254,3,19,571,2.2007624686980067,3.753537145233125,0.8793792198447357,advanced,COMPLETE
5,-0.0009470627425554786,2025-12-04 19:28:33.007442,2025-12-04 19:29:08.349852,0 days 00:00:35.342410,0.8455922412472694,0.0027520696850790523,3,10,2718,2.600340105889054,0.5215026697411662,0.320633112669131,extensive,COMPLETE
6,-0.0009470627425554786,2025-12-04 19:29:08.350853,2025-12-04 19:29:36.704031,0 days 00:00:28.353178,0.7650796940166689,0.03946212980759095,7,4,3601,4.609371175115584,2.375668206925437,0.8817507766587351,medium,COMPLETE
7,-0.0009470627425554786,2025-12-04 19:29:36.705030,2025-12-04 19:29:53.481386,0 days 00:00:16.776356,0.49519819845795865,0.004574578205475401,3,4,1231,1.7837666334679465,8.071418522169695,0.32713637334632284,advanced,COMPLETE
8,-0.0007087295578758201,2025-12-04 19:29:53.482386,2025-12-04 19:31:19.829600,0 days 00:01:26.347214,0.7813181884524238,0.0013386261584543908,5,11,3951,0.993578407670862,5.983542473217019,0.3845545349848576,extensive,COMPLETE
9,-0.013856642234680713,2025-12-04 19:31:19.830601,2025-12-04 19:31:28.743693,0 days 00:00:08.913092,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,medium,COMPLETE
10,-0.0009470627425554786,2025-12-04 19:31:28.744694,2025-12-04 19:32:10.869555,0 days 00:00:42.124861,0.310777125368892,0.0010586414866322784,10,10,3650,3.3820892378437533,16.685321327549868,0.48461652687015744,advanced,COMPLETE
11,-0.07948019680255973,2025-12-04 19:32:10.871555,2025-12-04 19:33:47.350143,0 days 00:01:36.478588,0.6122043737729015,0.00929558204571347,5,13,1930,0.11389806391162005,5.531817948589211,0.44877230848385635,extensive,COMPLETE
12,-0.001055052396994179,2025-12-04 19:33:47.351144,2025-12-04 19:34:12.893833,0 days 00:00:25.542689,0.5121247007031318,0.006848342316856315,9,7,2820,1.3724248664124048,1.4102385037522365,0.4357297432683836,medium,COMPLETE
