number,value,datetime_start,datetime_complete,duration,params_feature_level,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.12618051399225635,2025-12-04 20:40:05.078858,2025-12-04 20:42:10.599606,0 days 00:02:05.520748,advanced,0.33485016730091965,0.029621516588303493,7,4,2484,0.10292247147901223,4.258888210290081,0.3935967122017216,advanced,COMPLETE
1,-0.00477211124715371,2025-12-04 20:42:10.600608,2025-12-04 20:42:33.176470,0 days 00:00:22.575862,medium,0.6148538589793427,0.005418282319533243,4,4,1306,0.6974693032602092,2.5579488960947363,0.4825453457757226,medium,COMPLETE
2,-0.0063459942315794065,2025-12-04 20:42:33.178473,2025-12-04 20:47:58.170411,0 days 00:05:24.991938,extensive,0.6554487413172255,0.0011992724522955163,9,4,2509,0.3252579649263976,0.24682044079890128,0.608540663048167,extensive,COMPLETE
3,-0.0009470627425554786,2025-12-04 20:47:58.172411,2025-12-04 20:48:28.289039,0 days 00:00:30.116628,advanced,0.5640914962437609,0.001611904472760919,5,2,2082,4.546602010393911,0.11998556988857204,0.7105398159072942,advanced,COMPLETE
4,-0.0009470627425554786,2025-12-04 20:48:28.290041,2025-12-04 20:49:20.789599,0 days 00:00:52.499558,advanced,0.8817507766587351,0.020745667656752512,7,11,3771,2.9894998940554256,11.455777613940603,0.4109126733153162,advanced,COMPLETE
5,-0.0009470627425554786,2025-12-04 20:49:20.790603,2025-12-04 20:49:37.584570,0 days 00:00:16.793967,medium,0.4628094190643376,0.02558586885593425,3,7,1556,2.7134804157912424,0.4430357105538921,0.5332063738136892,medium,COMPLETE
6,-0.0009470627425554786,2025-12-04 20:49:37.585570,2025-12-04 20:50:27.781364,0 days 00:00:50.195794,advanced,0.30331327027416144,0.024290950368254956,10,16,2886,3.8563517334297286,4.758470274910409,0.4192294089205034,advanced,COMPLETE
7,-0.0009470627425554786,2025-12-04 20:50:27.783365,2025-12-04 20:50:57.724002,0 days 00:00:29.940637,advanced,0.3381350101716142,0.0033755895712060846,9,13,1436,3.1877873567760657,4.7735964446695265,0.4985388149115895,advanced,COMPLETE
8,-0.07543935160913806,2025-12-04 20:50:57.726003,2025-12-04 20:55:59.094190,0 days 00:05:01.368187,medium,0.7625803079727367,0.0069015065817919245,8,16,2186,0.12709563372047594,0.9633513440110397,0.6367663185416979,medium,COMPLETE
9,-0.03954765145985221,2025-12-04 20:55:59.095694,2025-12-04 21:00:44.006738,0 days 00:04:44.911044,extensive,0.449575337489325,0.004979987773685085,5,11,3071,0.38489954914396496,0.33610226697378737,0.844539884355656,extensive,COMPLETE
10,-0.0009470627425554786,2025-12-04 21:00:44.008743,2025-12-04 21:00:54.607032,0 days 00:00:10.598289,advanced,0.49897050866854586,0.0011635711727477796,5,1,259,4.850248734594017,0.1059315608878958,0.785609900030437,advanced,COMPLETE
11,-0.000900831189491802,2025-12-04 21:00:54.609035,2025-12-04 21:02:40.426293,0 days 00:01:45.817258,advanced,0.8571863722591776,0.0022435556749506487,6,9,3789,1.646137183053573,19.0490095691167,0.7024891192679494,advanced,COMPLETE
12,-0.0006988037301836799,2025-12-04 21:02:40.427292,2025-12-04 21:04:45.583642,0 days 00:02:05.156350,advanced,0.738279760856559,0.002702711334398091,6,8,3940,1.4957701167097994,19.01069398066308,0.7137219606723852,advanced,COMPLETE
13,-0.0008003481277715588,2025-12-04 21:04:45.584649,2025-12-04 21:06:13.045575,0 days 00:01:27.460926,advanced,0.8763653277986873,0.002482262510578762,6,8,3987,1.5501861355280075,19.509515370514656,0.7385467813820495,advanced,COMPLETE
14,-0.000585045238705062,2025-12-04 21:06:13.048079,2025-12-04 21:07:26.180754,0 days 00:01:13.132675,advanced,0.7666269621041645,0.012776641845339002,6,19,3935,1.6042508930990853,11.349252347080414,0.8976101936167281,advanced,COMPLETE
15,-0.0004916219069970676,2025-12-04 21:07:26.181753,2025-12-04 21:08:29.064110,0 days 00:01:02.882357,extensive,0.7563930858845699,0.012757643268205355,3,20,3354,1.6823239270484815,9.223467845480242,0.8625366956196132,extensive,COMPLETE
16,-0.0009554738296852309,2025-12-04 21:08:29.065112,2025-12-04 21:09:27.733693,0 days 00:00:58.668581,extensive,0.7582484369489115,0.01394627068181505,3,20,3369,2.1095837399361974,7.830490671841776,0.8919903310086156,extensive,COMPLETE
17,-0.021227361973338077,2025-12-04 21:09:27.735694,2025-12-04 21:10:43.381621,0 days 00:01:15.645927,extensive,0.6940748061670389,0.049179400357851906,4,20,3293,0.9665990302988234,1.5008659858880098,0.8887857396746273,extensive,COMPLETE
18,-0.0009485252281791942,2025-12-04 21:10:43.383622,2025-12-04 21:11:57.020154,0 days 00:01:13.636532,extensive,0.8102249643049242,0.01301963461244502,4,17,3560,2.224285445014594,7.533882177935847,0.7948958444006318,extensive,COMPLETE
19,-0.0009470627425554786,2025-12-04 21:11:57.021661,2025-12-04 21:12:54.057571,0 days 00:00:57.035910,extensive,0.8168910833870044,0.012711233837902456,8,18,2879,3.6387196729957054,2.2964935493537384,0.3259205097245888,extensive,COMPLETE
20,-0.0015039006419018304,2025-12-04 21:12:54.058575,2025-12-04 21:13:26.421610,0 days 00:00:32.363035,extensive,0.6976875999436419,0.009841603968239836,3,14,727,1.0276277126186897,9.836729247647426,0.8172821029127815,extensive,COMPLETE
21,-0.0005184704050924527,2025-12-04 21:13:26.422611,2025-12-04 21:14:56.346245,0 days 00:01:29.923634,advanced,0.7524752099547356,0.00864444549925533,6,19,3973,1.5614227212190754,13.143648060015119,0.7537479421892035,advanced,COMPLETE
22,-0.0010774224549646345,2025-12-04 21:14:56.347245,2025-12-04 21:16:08.463819,0 days 00:01:12.116574,advanced,0.7967136746238545,0.009360334416887987,7,18,3469,1.9773669321759102,11.342594958781575,0.852344196351952,advanced,COMPLETE
23,-0.0019483053324929056,2025-12-04 21:16:08.465323,2025-12-04 21:17:09.790040,0 days 00:01:01.324717,medium,0.6957669640557046,0.016309888827655907,5,20,3597,1.2175500580059708,6.584354759894191,0.8995760862502634,medium,COMPLETE
24,-0.0009470627425554786,2025-12-04 21:17:09.790753,2025-12-04 21:18:06.379582,0 days 00:00:56.588829,advanced,0.6031255129887421,0.007847823885368787,8,14,3105,2.5969953580913456,3.178299623499619,0.7761372691781433,advanced,COMPLETE
25,-0.0008862801666697321,2025-12-04 21:18:06.380097,2025-12-04 21:19:30.136688,0 days 00:01:23.756591,extensive,0.6512393680781917,0.005547230628959956,6,18,3963,1.763674178518645,12.017147636222212,0.6581080613559308,extensive,COMPLETE
26,-0.000991278069671549,2025-12-04 21:19:30.138208,2025-12-04 21:20:40.066386,0 days 00:01:09.928178,advanced,0.7360740947932263,0.03625367145034972,4,19,3650,2.2290256914475615,0.9500859067560814,0.831366985854928,advanced,COMPLETE
