number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
0,-0.015083003934141895,2025-12-07 02:11:29.348590,2025-12-07 02:11:30.875950,0 days 00:00:01.527360,0.00031489116479568613,0.9507143064099162,366,extensive,366,COMPLETE
1,-0.0033688407647629224,2025-12-07 02:11:30.875950,2025-12-07 02:11:32.302892,0 days 00:00:01.426942,0.0024810409748678114,0.15601864044243652,78,extensive,78,COMPLETE
2,-4.576441707169973,2025-12-07 02:11:32.302892,2025-12-07 02:11:34.505417,0 days 00:00:02.202525,1.7073967431528103e-05,0.8661761457749352,301,extensive,301,COMPLETE
3,-0.2743812254476412,2025-12-07 02:11:34.506420,2025-12-07 02:11:36.378339,0 days 00:00:01.871919,0.006796578090758156,0.020584494295802447,485,extensive,485,COMPLETE
4,-0.0016559721242364045,2025-12-07 02:11:36.379341,2025-12-07 02:11:37.827719,0 days 00:00:01.448378,0.021368329072358756,0.21233911067827616,91,extensive,91,COMPLETE
5,-3.8832627895238363,2025-12-07 02:11:37.828290,2025-12-07 02:11:39.625539,0 days 00:00:01.797249,5.415244119402538e-05,0.3042422429595377,263,extensive,263,COMPLETE
6,-0.21596979993850707,2025-12-07 02:11:39.626542,2025-12-07 02:11:41.309012,0 days 00:00:01.682470,0.0005342937261279777,0.2912291401980419,306,extensive,306,COMPLETE
7,-27.457940802856573,2025-12-07 02:11:41.310016,2025-12-07 02:11:42.966693,0 days 00:00:01.656677,3.613894271216525e-05,0.29214464853521815,184,extensive,184,COMPLETE
8,0.00019577938937898054,2025-12-07 02:11:42.967737,2025-12-07 02:11:44.430814,0 days 00:00:01.463077,0.0006672367170464204,0.7851759613930136,100,extensive,100,COMPLETE
9,7.722615641048147e-05,2025-12-07 02:11:44.431817,2025-12-07 02:11:45.914055,0 days 00:00:01.482238,0.0011400863701127321,0.5924145688620425,24,extensive,24,COMPLETE
10,-0.0016559721242364045,2025-12-07 02:11:45.916559,2025-12-07 02:11:47.387208,0 days 00:00:01.470649,0.06033178530661212,0.6998750099215972,160,extensive,160,COMPLETE
11,-0.03152403422026425,2025-12-07 02:11:47.389211,2025-12-07 02:11:48.802778,0 days 00:00:01.413567,0.00024400771927662236,0.5806112213279113,20,extensive,20,COMPLETE
12,-0.0016559721242364045,2025-12-07 02:11:48.804281,2025-12-07 02:11:50.248219,0 days 00:00:01.443938,0.002086433350183063,0.7471522741026703,20,extensive,20,COMPLETE
13,-0.00011025035094662054,2025-12-07 02:11:50.248723,2025-12-07 02:11:51.860749,0 days 00:00:01.612026,0.001119628107170992,0.5605434198776816,152,extensive,152,COMPLETE
14,-0.3094318107621184,2025-12-07 02:11:51.861753,2025-12-07 02:11:53.496858,0 days 00:00:01.635105,0.00012469878332736528,0.44337392182465307,88,extensive,88,COMPLETE
15,-0.0016559721242364045,2025-12-07 02:11:53.497858,2025-12-07 02:11:54.968307,0 days 00:00:01.470449,0.004664334752212163,0.7241282880805195,3,extensive,3,COMPLETE
16,-0.0016559721242364045,2025-12-07 02:11:54.970305,2025-12-07 02:11:56.402294,0 days 00:00:01.431989,0.01613236140622209,0.8448132833248991,206,extensive,206,COMPLETE
