number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
0,-0.0016559721242364045,2025-12-07 02:04:00.796911,2025-12-07 02:04:02.470504,0 days 00:00:01.673593,0.0074593432857265485,476,extensive,476,COMPLETE
1,-0.0016559721242364045,2025-12-07 02:04:02.471638,2025-12-07 02:04:04.106303,0 days 00:00:01.634665,0.4570563099801455,300,extensive,300,COMPLETE
2,3.751736436567269e-05,2025-12-07 02:04:04.107410,2025-12-07 02:04:05.606218,0 days 00:00:01.498808,0.0006026889128682511,78,extensive,78,COMPLETE
3,-0.09124693247282467,2025-12-07 02:04:05.606855,2025-12-07 02:04:07.220512,0 days 00:00:01.613657,0.00019517224641449495,434,extensive,434,COMPLETE
4,-0.0016559721242364045,2025-12-07 02:04:07.220512,2025-12-07 02:04:08.787775,0 days 00:00:01.567263,0.10129197956845731,355,extensive,355,COMPLETE
5,-0.4064191461306712,2025-12-07 02:04:08.788794,2025-12-07 02:04:10.490406,0 days 00:00:01.701612,0.00012674255898937226,485,extensive,485,COMPLETE
6,-0.0016559721242364045,2025-12-07 02:04:10.491542,2025-12-07 02:04:11.990149,0 days 00:00:01.498607,1.452824663751602,107,extensive,107,COMPLETE
7,-0.000854890122013785,2025-12-07 02:04:11.991207,2025-12-07 02:04:13.636533,0 days 00:00:01.645326,0.0008111941985431928,92,extensive,92,COMPLETE
8,-0.0016559721242364045,2025-12-07 02:04:13.636533,2025-12-07 02:04:15.252540,0 days 00:00:01.616007,0.0033205591037519565,263,extensive,263,COMPLETE
9,-0.0016559721242364045,2025-12-07 02:04:15.252540,2025-12-07 02:04:16.807138,0 days 00:00:01.554598,0.01444525102276306,146,extensive,146,COMPLETE
10,-0.0016559721242364045,2025-12-07 02:04:16.808221,2025-12-07 02:04:18.417857,0 days 00:00:01.609636,5.3171966339820935,3,extensive,3,COMPLETE
11,-0.0016559721242364045,2025-12-07 02:04:18.419362,2025-12-07 02:04:20.035744,0 days 00:00:01.616382,0.001198382948700739,128,extensive,128,COMPLETE
12,-0.00012471734638141996,2025-12-07 02:04:20.036745,2025-12-07 02:04:21.591778,0 days 00:00:01.555033,0.0006971123012897838,20,extensive,20,COMPLETE
13,-0.0016559721242364045,2025-12-07 02:04:21.592839,2025-12-07 02:04:23.121414,0 days 00:00:01.528575,0.05449280398972806,6,extensive,6,COMPLETE
14,-0.0005434058940596564,2025-12-07 02:04:23.122692,2025-12-07 02:04:24.707469,0 days 00:00:01.584777,0.0007147877527105637,190,extensive,190,COMPLETE
15,-0.0016559721242364045,2025-12-07 02:04:24.708568,2025-12-07 02:04:26.252757,0 days 00:00:01.544189,0.00312128163854902,63,extensive,63,COMPLETE
16,-0.007445946985068101,2025-12-07 02:04:26.252757,2025-12-07 02:04:27.887101,0 days 00:00:01.634344,0.0003366138487257742,198,extensive,198,COMPLETE
17,-0.0016559721242364045,2025-12-07 02:04:27.888106,2025-12-07 02:04:29.488523,0 days 00:00:01.600417,0.019469311432399997,44,extensive,44,COMPLETE
18,-0.0016559721242364045,2025-12-07 02:04:29.490786,2025-12-07 02:04:31.158900,0 days 00:00:01.668114,0.003149892123404186,155,extensive,155,COMPLETE
19,-0.0016559721242364045,2025-12-07 02:04:31.160017,2025-12-07 02:04:32.871918,0 days 00:00:01.711901,0.15849892041439206,51,extensive,51,COMPLETE
20,-0.0027550791104542873,2025-12-07 02:04:32.873033,2025-12-07 02:04:34.675234,0 days 00:00:01.802201,0.00041067172757338575,229,extensive,229,COMPLETE
21,-0.000998201750343893,2025-12-07 02:04:34.677385,2025-12-07 02:04:36.408786,0 days 00:00:01.731401,0.0008473988695690193,189,extensive,189,COMPLETE
22,-0.0016559721242364045,2025-12-07 02:04:36.410912,2025-12-07 02:04:38.056236,0 days 00:00:01.645324,0.0022792358458954007,91,extensive,91,COMPLETE
23,-0.21489387265219503,2025-12-07 02:04:38.057241,2025-12-07 02:04:39.762543,0 days 00:00:01.705302,0.0001075891866241094,172,extensive,172,COMPLETE
24,0.00020457715034220372,2025-12-07 02:04:39.764549,2025-12-07 02:04:41.508321,0 days 00:00:01.743772,0.0005128936898979924,331,extensive,331,COMPLETE
25,-0.0016559721242364045,2025-12-07 02:04:41.509367,2025-12-07 02:04:43.192175,0 days 00:00:01.682808,0.006257039211104601,352,extensive,352,COMPLETE
26,-0.012495282463217036,2025-12-07 02:04:43.194244,2025-12-07 02:04:44.774707,0 days 00:00:01.580463,0.000313563037793817,339,extensive,339,COMPLETE
27,-0.0016559721242364045,2025-12-07 02:04:44.776041,2025-12-07 02:04:46.264833,0 days 00:00:01.488792,0.001548356331563737,397,extensive,397,COMPLETE
28,-0.0016559721242364045,2025-12-07 02:04:46.265837,2025-12-07 02:04:47.773494,0 days 00:00:01.507657,0.008835962045044336,273,extensive,273,COMPLETE
29,-0.0017500640987817562,2025-12-07 02:04:47.774498,2025-12-07 02:04:49.391826,0 days 00:00:01.617328,0.0004290587936284601,440,extensive,440,COMPLETE
30,-0.0016559721242364045,2025-12-07 02:04:49.392426,2025-12-07 02:04:50.888738,0 days 00:00:01.496312,0.005761611537614148,36,extensive,36,COMPLETE
31,-0.0004934398984701346,2025-12-07 02:04:50.889547,2025-12-07 02:04:52.391529,0 days 00:00:01.501982,0.0007023510700179702,304,extensive,304,COMPLETE
32,-0.08536660996208852,2025-12-07 02:04:52.392354,2025-12-07 02:04:53.953723,0 days 00:00:01.561369,0.00019924416371594348,287,extensive,287,COMPLETE
33,-0.0016559721242364045,2025-12-07 02:04:53.955728,2025-12-07 02:04:55.506501,0 days 00:00:01.550773,0.0013944004491341655,306,extensive,306,COMPLETE
34,9.2461212867249e-05,2025-12-07 02:04:55.508739,2025-12-07 02:04:56.956998,0 days 00:00:01.448259,0.0005785964669070151,391,extensive,391,COMPLETE
35,-0.11059685424255557,2025-12-07 02:04:56.959200,2025-12-07 02:04:58.440006,0 days 00:00:01.480806,0.00017771162547991268,398,extensive,398,COMPLETE
36,-0.024174034606664674,2025-12-07 02:04:58.441306,2025-12-07 02:05:00.023385,0 days 00:00:01.582079,0.00026622215196149166,397,extensive,397,COMPLETE
37,-0.35098781685198593,2025-12-07 02:05:00.025567,2025-12-07 02:05:01.527295,0 days 00:00:01.501728,0.0001026326660653328,235,extensive,235,COMPLETE
38,-0.0016559721242364045,2025-12-07 02:05:01.528433,2025-12-07 02:05:03.041184,0 days 00:00:01.512751,0.695916179578944,373,extensive,373,COMPLETE
39,-0.00018955089161358055,2025-12-07 02:05:03.042505,2025-12-07 02:05:04.526683,0 days 00:00:01.484178,0.0006258343804329926,464,extensive,464,COMPLETE
40,-0.0016559721242364045,2025-12-07 02:05:04.527727,2025-12-07 02:05:06.042382,0 days 00:00:01.514655,0.0018087395400840183,334,extensive,334,COMPLETE
41,0.00030520316263375297,2025-12-07 02:05:06.042939,2025-12-07 02:05:07.592921,0 days 00:00:01.549982,0.0005126057944045506,458,extensive,458,COMPLETE
42,0.00020955676730290604,2025-12-07 02:05:07.594023,2025-12-07 02:05:09.157973,0 days 00:00:01.563950,0.00055617980642199,450,extensive,450,COMPLETE
