number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
0,-0.0016559720935109083,2025-12-07 02:19:24.018612,2025-12-07 02:19:27.830397,0 days 00:00:03.811785,0.5779972601681014,0.044803926826840625,12,64,420,88,4.330880728874676,2.416482602989751,0.5780093202212182,355,extensive,355,COMPLETE
1,-0.0016559720935109083,2025-12-07 02:19:27.831396,2025-12-07 02:19:31.089744,0 days 00:00:03.258348,0.5917022549267169,0.060534484680010825,12,29,1356,65,2.6237821581611893,0.9860942908083906,0.5909124836035503,146,extensive,146,COMPLETE
2,-0.0016559720935109083,2025-12-07 02:19:31.090748,2025-12-07 02:19:34.006684,0 days 00:00:02.915936,0.8925879806965068,0.011996621453406362,4,43,958,103,2.571172192068058,2.3076168040117313,0.728034992108518,24,extensive,24,COMPLETE
3,-0.012996496055266427,2025-12-07 02:19:34.007682,2025-12-07 02:19:38.399873,0 days 00:00:04.392191,0.9041986740582306,0.0060758085133366885,4,96,1357,103,0.48836057003191935,3.753537145233125,0.9828160165372797,221,extensive,221,COMPLETE
4,-0.0016559720935109083,2025-12-07 02:19:38.400873,2025-12-07 02:19:41.491722,0 days 00:00:03.090849,0.831261142176991,0.005542561258655853,7,92,1384,71,2.600340105889054,1.811326544803338,0.6293899908000085,93,extensive,93,COMPLETE
5,-0.001701094820123113,2025-12-07 02:19:41.492722,2025-12-07 02:19:44.072493,0 days 00:00:02.579771,0.9609371175115584,0.08342309693146736,10,91,536,127,0.979914312095726,0.12707770074499689,0.7989499894055425,163,extensive,163,COMPLETE
6,-0.0016559720935109083,2025-12-07 02:19:44.074499,2025-12-07 02:19:46.246616,0 days 00:00:02.172117,0.7713480415791243,0.05986629236379361,5,42,735,89,4.010984903770199,0.14843737558790304,0.6404672548436904,494,extensive,494,COMPLETE
7,-0.024886400350695632,2025-12-07 02:19:46.247616,2025-12-07 02:19:49.289212,0 days 00:00:03.041596,0.8645035840204937,0.0050834018700114374,4,84,3131,114,0.3702232586704518,0.6680983417211186,0.8534286719238086,58,extensive,58,COMPLETE
8,-0.0016559720935109083,2025-12-07 02:19:49.290216,2025-12-07 02:19:51.978653,0 days 00:00:02.688437,0.6625916610133735,0.013473432786208842,9,15,2973,120,3.1877873567760657,11.00279783199859,0.6554911608578311,237,extensive,237,COMPLETE
9,-0.0016559720935109083,2025-12-07 02:19:51.980163,2025-12-07 02:19:53.834600,0 days 00:00:01.854437,0.7468977981821954,0.04883983328839159,10,61,2186,71,2.137705091792748,0.11441689901040722,0.8854835899772805,54,extensive,54,COMPLETE
10,-0.0016559720935109083,2025-12-07 02:19:53.836607,2025-12-07 02:19:57.282813,0 days 00:00:03.446206,0.5193625999805915,0.029488577315088194,12,68,3848,84,4.880699499289976,15.100373251274021,0.5076838686640521,370,extensive,370,COMPLETE
11,-0.0016559720935109083,2025-12-07 02:19:57.283821,2025-12-07 02:19:59.040380,0 days 00:00:01.756559,0.5472666635128242,0.03288419832556901,12,15,226,64,4.970201868150516,0.5296727963138952,0.5168163024120214,363,extensive,363,COMPLETE
12,-0.0016559720935109083,2025-12-07 02:19:59.041389,2025-12-07 02:20:01.560331,0 days 00:00:02.518942,0.609303657185796,0.09846956706550422,12,34,1949,83,3.711737673685114,0.6625563338858239,0.573934948755293,338,extensive,338,COMPLETE
13,-0.0016559720935109083,2025-12-07 02:20:01.561335,2025-12-07 02:20:04.306156,0 days 00:00:02.744821,0.6511020710303068,0.04666293894010466,8,73,1457,76,1.6585907103179687,5.559263683495038,0.7052548278984161,447,extensive,447,COMPLETE
14,-0.0016559720935109083,2025-12-07 02:20:04.307150,2025-12-07 02:20:06.125339,0 days 00:00:01.818189,0.5785932138359383,0.019833400102206335,11,52,249,96,3.9732268205604444,0.9863830920479993,0.559834872154931,146,extensive,146,COMPLETE
15,-0.0016559720935109083,2025-12-07 02:20:06.126385,2025-12-07 02:20:08.555716,0 days 00:00:02.429331,0.6966713259977332,0.06707300933147195,7,27,2042,93,3.3663589538233,0.38627265695119706,0.5813833144057525,289,extensive,289,COMPLETE
16,-0.0016559720935109083,2025-12-07 02:20:08.556716,2025-12-07 02:20:10.407814,0 days 00:00:01.851098,0.511847705752916,0.03682585715727364,10,57,967,64,1.9483226210357247,4.450427631644385,0.6818008844279342,161,extensive,161,COMPLETE
17,-0.0016559720935109083,2025-12-07 02:20:10.409319,2025-12-07 02:20:12.660697,0 days 00:00:02.251378,0.6123467940735869,0.019328032076393976,11,23,1628,80,4.47802461852368,0.2560776809869462,0.7752847229001597,296,extensive,296,COMPLETE
18,-0.0015540236996034462,2025-12-07 02:20:12.660697,2025-12-07 02:20:15.914355,0 days 00:00:03.253658,0.7201273557961427,0.026031579901507326,8,76,2406,104,1.207917130883944,1.3570721616839772,0.6091330191487017,431,extensive,431,COMPLETE
19,-0.0016879223229284701,2025-12-07 02:20:15.916361,2025-12-07 02:20:19.861172,0 days 00:00:03.944811,0.7225162029677038,0.013326315863783744,6,77,2649,105,1.2034707908980098,2.8291558022432195,0.6105004095182173,435,extensive,435,COMPLETE
20,-0.14330371933560695,2025-12-07 02:20:19.862177,2025-12-07 02:20:32.824482,0 days 00:00:12.962305,0.8108166063095041,0.023605527314014923,8,64,2496,111,0.08417801423658267,1.4013430560436444,0.5425113679869669,426,extensive,426,COMPLETE
21,-0.0016559720935109083,2025-12-07 02:20:32.825486,2025-12-07 02:20:36.779722,0 days 00:00:03.954236,0.6599732671349234,0.04088680183951777,11,50,3478,90,3.0793830215868208,1.1725863321255532,0.5986691241176779,387,extensive,387,COMPLETE
22,-0.001798366597213293,2025-12-07 02:20:36.780728,2025-12-07 02:20:39.853485,0 days 00:00:03.072757,0.5770570987170855,0.05684399079968932,9,82,1776,99,1.3271750135604417,8.072347584346828,0.6700188345463167,497,extensive,497,COMPLETE
23,-0.0016559720935109083,2025-12-07 02:20:39.854484,2025-12-07 02:20:42.750423,0 days 00:00:02.895939,0.5974027371364075,0.026511838535776183,3,70,2507,112,2.235127000842062,1.8941126885102668,0.531866196903666,308,extensive,308,COMPLETE
24,-0.005899596288092039,2025-12-07 02:20:42.752419,2025-12-07 02:20:44.968379,0 days 00:00:02.215960,0.6870081785315927,0.07497469248268379,9,44,1066,72,0.7783622114006487,0.864580909847836,0.6134436465725459,400,extensive,400,COMPLETE
25,-0.0016559720935109083,2025-12-07 02:20:44.969389,2025-12-07 02:20:46.912543,0 days 00:00:01.943154,0.6296780913561227,0.044619507015858054,11,32,615,87,1.7168212266693592,2.785876665087952,0.730847561732929,206,extensive,206,COMPLETE
26,-0.0016559720935109083,2025-12-07 02:20:46.913650,2025-12-07 02:20:49.193650,0 days 00:00:02.280000,0.5429390946150754,0.016698990413621297,12,81,2903,77,3.0307011848758743,0.32548261779795246,0.5006225393284622,113,extensive,113,COMPLETE
27,-0.0016559720935109083,2025-12-07 02:20:49.194657,2025-12-07 02:20:52.012007,0 days 00:00:02.817350,0.7523268455889267,0.00849809293171998,6,62,2245,99,2.773922714091569,1.2410080319258276,0.5718847466539504,268,extensive,268,COMPLETE
28,-0.0016559720935109083,2025-12-07 02:20:52.013009,2025-12-07 02:20:54.529055,0 days 00:00:02.516046,0.7949866834933749,0.031660492958997574,10,100,1173,108,4.35018788020834,7.426895507653528,0.6494765150306268,338,extensive,338,COMPLETE
29,-0.0016559720935109083,2025-12-07 02:20:54.530062,2025-12-07 02:20:57.681243,0 days 00:00:03.151181,0.5592820864601283,0.05558558636173503,11,42,1680,119,3.642573464455381,2.1731602677515873,0.7013804755099171,470,extensive,470,COMPLETE
30,-0.0016559720935109083,2025-12-07 02:20:57.683249,2025-12-07 02:20:59.546107,0 days 00:00:01.862858,0.5027292876886567,0.03602060931208424,6,48,817,98,2.4244866462771038,3.409326301384133,0.7552592851571649,21,extensive,21,COMPLETE
31,-0.0016559720935109083,2025-12-07 02:20:59.547106,2025-12-07 02:21:01.515063,0 days 00:00:01.967957,0.9303037842964204,0.007700249100644129,3,37,436,103,2.7557396026400314,1.880985872705129,0.9924055697102568,197,extensive,197,COMPLETE
32,-0.0016559720935109083,2025-12-07 02:21:01.516064,2025-12-07 02:21:03.284734,0 days 00:00:01.768670,0.8451045430933406,0.01170266948043778,4,21,1262,106,1.706119708298533,4.19633024193403,0.8213881075058282,2,extensive,2,COMPLETE
33,-0.0016559720935109083,2025-12-07 02:21:03.286736,2025-12-07 02:21:05.266738,0 days 00:00:01.980002,0.9808681070675658,0.024654559762926177,5,88,869,103,2.4713266565961476,2.5819888561242976,0.9443096783813314,114,extensive,114,COMPLETE
34,-0.008370620688453548,2025-12-07 02:21:05.266738,2025-12-07 02:21:07.710881,0 days 00:00:02.444143,0.9253455407697825,0.009088543189555041,7,57,1436,94,0.642172125113806,1.6441710612878973,0.6206471153180871,57,extensive,57,COMPLETE
35,-0.001415750380590275,2025-12-07 02:21:07.711420,2025-12-07 02:21:09.601772,0 days 00:00:01.890352,0.880756309721835,0.0069263515950771844,5,37,521,118,1.3033178290456129,0.9193384428864869,0.5487699206821544,86,extensive,86,COMPLETE
36,-0.0009388350734534182,2025-12-07 02:21:09.602772,2025-12-07 02:21:11.457821,0 days 00:00:01.855049,0.8817517161332135,0.08481314136612901,5,28,443,127,1.1977241229729623,0.6998572711012381,0.545697598126929,89,extensive,89,COMPLETE
37,-0.001005327461621075,2025-12-07 02:21:11.458828,2025-12-07 02:21:13.321771,0 days 00:00:01.862943,0.8726078929261007,0.09923781306765046,5,10,442,126,1.2318494836817964,0.7121837084916826,0.5411371072670893,91,extensive,91,COMPLETE
38,-0.0013812660958683054,2025-12-07 02:21:13.323776,2025-12-07 02:21:15.319857,0 days 00:00:01.996081,0.8646788367553955,0.09092165173750687,5,11,630,127,1.2819839675685225,0.21130834128637632,0.544342710511336,82,extensive,82,COMPLETE
39,-0.0016559720935109083,2025-12-07 02:21:15.321360,2025-12-07 02:21:17.235250,0 days 00:00:01.913890,0.8782859848946553,0.09888514600697054,5,10,647,128,1.513119908506296,0.21270128685718567,0.5449418378284688,91,extensive,91,COMPLETE
40,-0.00042564927010694625,2025-12-07 02:21:17.235250,2025-12-07 02:21:19.405149,0 days 00:00:02.169899,0.9163158331075091,0.08031211572121975,5,10,422,123,1.01688950311422,0.4677239398257403,0.5290307111828817,85,extensive,85,COMPLETE
41,-0.000577119401862225,2025-12-07 02:21:19.406148,2025-12-07 02:21:21.461908,0 days 00:00:02.055760,0.9043854616426825,0.0820110084596413,5,10,405,123,0.9119832459999784,0.44096046408778344,0.5315062084771387,82,extensive,82,COMPLETE
42,-0.001660763245919165,2025-12-07 02:21:21.463911,2025-12-07 02:21:23.449601,0 days 00:00:01.985690,0.913371977533779,0.08573849365974875,4,10,364,124,0.9617246621843906,0.4416470075429207,0.5259409491727434,139,extensive,139,COMPLETE
43,-0.02569772969567415,2025-12-07 02:21:23.450601,2025-12-07 02:21:25.466270,0 days 00:00:02.015669,0.9506403136559338,0.07501938484239729,6,16,739,124,0.40331710289263345,0.19010700978834177,0.5031028031195932,35,extensive,35,COMPLETE
44,-0.000763777800638743,2025-12-07 02:21:25.467274,2025-12-07 02:21:27.374058,0 days 00:00:01.906784,0.9994632583633389,0.08466139445816029,5,18,219,123,0.9726338185712915,0.6240845236771758,0.5874122076962677,76,extensive,76,COMPLETE
45,-0.2522593611032376,2025-12-07 02:21:27.375062,2025-12-07 02:21:29.864015,0 days 00:00:02.488953,0.9955796597899239,0.06865064001133617,4,19,358,123,0.01875023206704851,0.5891614722054808,0.5911167852341151,184,extensive,184,COMPLETE
46,-0.0003261860722115391,2025-12-07 02:21:29.865520,2025-12-07 02:21:31.798946,0 days 00:00:01.933426,0.9564753571414405,0.07915680381215139,6,25,217,117,0.8322186343790845,0.7615116066977257,0.5590929477095643,114,extensive,114,COMPLETE
47,-0.0017623860073877617,2025-12-07 02:21:31.799945,2025-12-07 02:21:33.716530,0 days 00:00:01.916585,0.9568084167113375,0.07821249700509081,6,25,277,115,0.857807392810911,0.31672864007473234,0.5666424099684811,123,extensive,123,COMPLETE
48,-0.006148384022298596,2025-12-07 02:21:33.716530,2025-12-07 02:21:35.686982,0 days 00:00:01.970452,0.8993686827648072,0.05317320511785511,4,30,1028,121,0.6794343412521215,0.5114325893944319,0.5240375870395001,65,extensive,65,COMPLETE
49,-0.07830452347330907,2025-12-07 02:21:35.688985,2025-12-07 02:21:37.608153,0 days 00:00:01.919168,0.9379162269762534,0.067148845800007,7,18,203,116,0.30592341160409553,0.7599481370832901,0.6337798955224937,39,extensive,39,COMPLETE
50,-0.0018197320233341863,2025-12-07 02:21:37.609153,2025-12-07 02:21:39.523210,0 days 00:00:01.914057,0.9866478648915809,0.06220431362012118,5,27,461,122,1.0206261158968202,0.46284611069693576,0.5848648371210169,168,extensive,168,COMPLETE
51,-0.005148330127724347,2025-12-07 02:21:39.524214,2025-12-07 02:21:41.411992,0 days 00:00:01.887778,0.9624668189783285,0.08611655016093961,5,14,485,125,0.5388671664943123,0.6745249927971978,0.5637684539497506,104,extensive,104,COMPLETE
52,-0.0004534087794172785,2025-12-07 02:21:41.412996,2025-12-07 02:21:43.242154,0 days 00:00:01.829158,0.8362797128625074,0.09345179917625368,6,22,842,117,1.0136879568982438,0.3651991401019321,0.5207025993063903,74,extensive,74,COMPLETE
53,-0.0013402913405515433,2025-12-07 02:21:43.242154,2025-12-07 02:21:45.247634,0 days 00:00:02.005480,0.8379895904057042,0.07695403218589722,6,23,806,117,1.0553959236062334,0.3473171236406931,0.522104160935984,134,extensive,134,COMPLETE
54,-0.08983169088335015,2025-12-07 02:21:45.248641,2025-12-07 02:21:47.320001,0 days 00:00:02.071360,0.9136821113544852,0.06407582297740232,7,14,607,120,0.23798443300387018,0.4121702521482126,0.5604645979123752,61,extensive,61,COMPLETE
55,-0.0016559720935109083,2025-12-07 02:21:47.321512,2025-12-07 02:21:48.972051,0 days 00:00:01.650539,0.9719038655507289,0.09063846463307286,6,20,200,112,1.9066332783414635,0.2663121036729986,0.5004186366092125,2,extensive,2,COMPLETE
