number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
0,-114634382.20981304,2025-12-07 01:48:25.727221,2025-12-07 01:48:28.723890,0 days 00:00:02.996669,188,extensive,188,COMPLETE
1,-34158927.119085245,2025-12-07 01:48:28.725015,2025-12-07 01:48:31.371521,0 days 00:00:02.646506,476,extensive,476,COMPLETE
2,-75363275.47244115,2025-12-07 01:48:31.372522,2025-12-07 01:48:33.853781,0 days 00:00:02.481259,366,extensive,366,COMPLETE
3,-97121721.53943932,2025-12-07 01:48:33.854785,2025-12-07 01:48:36.257025,0 days 00:00:02.402240,300,extensive,300,COMPLETE
4,-0.9380237345233349,2025-12-07 01:48:36.258591,2025-12-07 01:48:38.609521,0 days 00:00:02.350930,79,extensive,79,COMPLETE
5,-0.939270373395381,2025-12-07 01:48:38.610424,2025-12-07 01:48:40.473235,0 days 00:00:01.862811,78,extensive,78,COMPLETE
6,-0.34061329142113594,2025-12-07 01:48:40.475015,2025-12-07 01:48:41.922009,0 days 00:00:01.446994,30,extensive,30,COMPLETE
7,-81368351.96784765,2025-12-07 01:48:41.923116,2025-12-07 01:48:43.572013,0 days 00:00:01.648897,434,extensive,434,COMPLETE
8,-97121721.33609699,2025-12-07 01:48:43.572013,2025-12-07 01:48:45.122493,0 days 00:00:01.550480,301,extensive,301,COMPLETE
9,-75363271.30611633,2025-12-07 01:48:45.123505,2025-12-07 01:48:46.741748,0 days 00:00:01.618243,355,extensive,355,COMPLETE
10,-0.010409126173960429,2025-12-07 01:48:46.742793,2025-12-07 01:48:48.221432,0 days 00:00:01.478639,11,extensive,11,COMPLETE
11,0.00013629396337352015,2025-12-07 01:48:48.221432,2025-12-07 01:48:49.674395,0 days 00:00:01.452963,1,extensive,1,COMPLETE
12,-114912075.5689938,2025-12-07 01:48:49.675564,2025-12-07 01:48:51.124474,0 days 00:00:01.448910,164,extensive,164,COMPLETE
13,0.001391881667360891,2025-12-07 01:48:51.126148,2025-12-07 01:48:52.505569,0 days 00:00:01.379421,3,extensive,3,COMPLETE
14,-114912075.56196363,2025-12-07 01:48:52.506918,2025-12-07 01:48:54.005891,0 days 00:00:01.498973,159,extensive,159,COMPLETE
15,-0.9280956294018109,2025-12-07 01:48:54.007030,2025-12-07 01:48:55.490126,0 days 00:00:01.483096,87,extensive,87,COMPLETE
16,0.0008291072913103233,2025-12-07 01:48:55.490632,2025-12-07 01:48:56.972693,0 days 00:00:01.482061,4,extensive,4,COMPLETE
17,-75252.01071687622,2025-12-07 01:48:56.973782,2025-12-07 01:48:58.492456,0 days 00:00:01.518674,120,extensive,120,COMPLETE
18,-127946575.79412733,2025-12-07 01:48:58.493460,2025-12-07 01:49:00.024091,0 days 00:00:01.530631,229,extensive,229,COMPLETE
19,-0.5320558187157862,2025-12-07 01:49:00.025091,2025-12-07 01:49:01.542028,0 days 00:00:01.516937,63,extensive,63,COMPLETE
20,-114912075.48758264,2025-12-07 01:49:01.542028,2025-12-07 01:49:03.041674,0 days 00:00:01.499646,141,extensive,141,COMPLETE
