number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-34.77475430736301,2025-12-07 15:21:58.560383,2025-12-07 15:22:00.080438,0 days 00:00:01.520055,none,COMPLETE
1,-34.77475430736301,2025-12-07 15:22:00.081442,2025-12-07 15:22:01.148048,0 days 00:00:01.066606,none,COMPLETE
2,-34.77475430736301,2025-12-07 15:22:01.148048,2025-12-07 15:22:02.196913,0 days 00:00:01.048865,none,COMPLETE
3,-34.77475430736301,2025-12-07 15:22:02.197959,2025-12-07 15:22:03.247360,0 days 00:00:01.049401,none,COMPLETE
4,-34.77475430736301,2025-12-07 15:22:03.249268,2025-12-07 15:22:04.294349,0 days 00:00:01.045081,none,COMPLETE
5,-34.77475430736301,2025-12-07 15:22:04.296349,2025-12-07 15:22:05.281511,0 days 00:00:00.985162,none,COMPLETE
6,-34.77475430736301,2025-12-07 15:22:05.282106,2025-12-07 15:22:05.479753,0 days 00:00:00.197647,none,COMPLETE
7,-34.77475430736301,2025-12-07 15:22:05.481300,2025-12-07 15:22:05.681749,0 days 00:00:00.200449,none,COMPLETE
8,-34.77475430736301,2025-12-07 15:22:05.682255,2025-12-07 15:22:05.877763,0 days 00:00:00.195508,none,COMPLETE
9,-34.77475430736301,2025-12-07 15:22:05.881061,2025-12-07 15:22:06.080166,0 days 00:00:00.199105,none,COMPLETE
