number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
0,-17369.683348600658,2025-12-07 01:55:57.495147,2025-12-07 01:55:59.012364,0 days 00:00:01.517217,0.041858227295469716,476,extensive,476,COMPLETE
1,-14.377080446712078,2025-12-07 01:55:59.013371,2025-12-07 01:56:00.496778,0 days 00:00:01.483407,13.3032451015229,300,extensive,300,COMPLETE
2,-0.9392441175300722,2025-12-07 01:56:00.497704,2025-12-07 01:56:01.926091,0 days 00:00:01.428387,0.0012363188277052211,78,extensive,78,COMPLETE
3,-165146.89154445744,2025-12-07 01:56:01.926091,2025-12-07 01:56:03.463880,0 days 00:00:01.537789,0.00025502648504032837,434,extensive,434,COMPLETE
4,-1139.1980542548733,2025-12-07 01:56:03.465043,2025-12-07 01:56:04.911287,0 days 00:00:01.446244,1.6136341713591311,355,extensive,355,COMPLETE
5,-347009.84339049767,2025-12-07 01:56:04.911287,2025-12-07 01:56:06.428165,0 days 00:00:01.516878,0.000139345022513376,485,extensive,485,COMPLETE
6,-0.44708628312992366,2025-12-07 01:56:06.429000,2025-12-07 01:56:07.829798,0 days 00:00:01.400798,67.1581131106993,107,extensive,107,COMPLETE
7,-0.929571847570349,2025-12-07 01:56:07.830803,2025-12-07 01:56:09.245545,0 days 00:00:01.414742,0.0018740223688836334,92,extensive,92,COMPLETE
8,-12389.81298782926,2025-12-07 01:56:09.246721,2025-12-07 01:56:10.698363,0 days 00:00:01.451642,0.013480180290890806,263,extensive,263,COMPLETE
9,-24300.463059150337,2025-12-07 01:56:10.699403,2025-12-07 01:56:12.097958,0 days 00:00:01.398555,0.10558813779064824,146,extensive,146,COMPLETE
10,0.0027971197194404476,2025-12-07 01:56:12.098843,2025-12-07 01:56:13.481272,0 days 00:00:01.382429,701.4109129011315,3,extensive,3,COMPLETE
11,0.0027072530421392202,2025-12-07 01:56:13.483367,2025-12-07 01:56:14.862784,0 days 00:00:01.379417,612.0117715317866,3,extensive,3,COMPLETE
12,-0.0060490538121111825,2025-12-07 01:56:14.864435,2025-12-07 01:56:16.299163,0 days 00:00:01.434728,863.9715474724188,15,extensive,15,COMPLETE
13,0.002866768869508688,2025-12-07 01:56:16.300201,2025-12-07 01:56:17.766236,0 days 00:00:01.466035,783.2121514844528,3,extensive,3,COMPLETE
14,-72.00467965457399,2025-12-07 01:56:17.766236,2025-12-07 01:56:19.266158,0 days 00:00:01.499922,42.66177861155277,190,extensive,190,COMPLETE
15,-739.8279347718748,2025-12-07 01:56:19.266158,2025-12-07 01:56:20.749566,0 days 00:00:01.483408,2.1880964086312056,194,extensive,194,COMPLETE
16,-0.16191477735259918,2025-12-07 01:56:20.750713,2025-12-07 01:56:22.194762,0 days 00:00:01.444049,143.65691860413116,40,extensive,40,COMPLETE
17,-114.28966179350402,2025-12-07 01:56:22.196458,2025-12-07 01:56:23.849177,0 days 00:00:01.652719,8.936394864868713,160,extensive,160,COMPLETE
18,-0.140806353328631,2025-12-07 01:56:23.850178,2025-12-07 01:56:25.482593,0 days 00:00:01.632415,243.76632245684794,58,extensive,58,COMPLETE
19,-1911.7891266236911,2025-12-07 01:56:25.483641,2025-12-07 01:56:27.013375,0 days 00:00:01.529734,0.8239278991020161,346,extensive,346,COMPLETE
20,-1.9072677871378623,2025-12-07 01:56:27.014436,2025-12-07 01:56:28.499749,0 days 00:00:01.485313,10.574799019192506,121,extensive,121,COMPLETE
21,-0.0045954310210312155,2025-12-07 01:56:28.500791,2025-12-07 01:56:29.914084,0 days 00:00:01.413293,918.5231892062468,10,extensive,10,COMPLETE
22,-0.03818619371594175,2025-12-07 01:56:29.915624,2025-12-07 01:56:31.380554,0 days 00:00:01.464930,338.8687681741472,17,extensive,17,COMPLETE
23,-0.30592685275723963,2025-12-07 01:56:31.381567,2025-12-07 01:56:32.849650,0 days 00:00:01.468083,48.29860737125653,61,extensive,61,COMPLETE
24,0.0008637407683197799,2025-12-07 01:56:32.851688,2025-12-07 01:56:34.264932,0 days 00:00:01.413244,878.5294392698725,1,extensive,1,COMPLETE
25,-0.1967033057258034,2025-12-07 01:56:34.266045,2025-12-07 01:56:35.665846,0 days 00:00:01.399801,145.307593783338,54,extensive,54,COMPLETE
26,-1.4562398098883726,2025-12-07 01:56:35.666936,2025-12-07 01:56:37.127356,0 days 00:00:01.460420,26.11172737081779,121,extensive,121,COMPLETE
27,-3.9821411082486318,2025-12-07 01:56:37.128361,2025-12-07 01:56:38.660903,0 days 00:00:01.532542,250.39460667658935,216,extensive,216,COMPLETE
28,-0.41010192101612536,2025-12-07 01:56:38.661910,2025-12-07 01:56:40.048353,0 days 00:00:01.386443,4.628771168860417,35,extensive,35,COMPLETE
29,-40.983846047061355,2025-12-07 01:56:40.048789,2025-12-07 01:56:41.583207,0 days 00:00:01.534418,95.25294025355872,430,extensive,430,COMPLETE
30,-0.9295735051221806,2025-12-07 01:56:41.584292,2025-12-07 01:56:43.150259,0 days 00:00:01.565967,0.12674462207375978,88,extensive,88,COMPLETE
31,-0.00544099648630673,2025-12-07 01:56:43.151386,2025-12-07 01:56:44.662754,0 days 00:00:01.511368,827.0331120950681,16,extensive,16,COMPLETE
32,-0.0076988703304672335,2025-12-07 01:56:44.664262,2025-12-07 01:56:46.194158,0 days 00:00:01.529896,336.8654988356619,12,extensive,12,COMPLETE
33,0.000890535365996444,2025-12-07 01:56:46.195162,2025-12-07 01:56:47.834797,0 days 00:00:01.639635,983.0295521991593,1,extensive,1,COMPLETE
