number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,user_attrs_top_k_features,state
0,-0.0016559721404409238,2025-12-07 02:29:33.708397,2025-12-07 02:29:38.157734,0 days 00:00:04.449337,301,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,extensive,301,COMPLETE
1,-0.0013097308219407837,2025-12-07 02:29:38.158734,2025-12-07 02:29:43.406606,0 days 00:00:05.247872,263,0.7994655844802532,0.002294868368113055,8,1,891,1.5212112147976886,0.26425260575499165,0.8819459112971966,extensive,263,COMPLETE
2,-0.0016559721404409238,2025-12-07 02:29:43.407605,2025-12-07 02:29:50.346480,0 days 00:00:06.938875,100,0.3836963163912251,0.0031357757322577457,6,6,1592,3.925879806965068,1.120548642504815,0.6671117368334277,extensive,100,COMPLETE
3,-0.0016559721404409238,2025-12-07 02:29:50.347483,2025-12-07 02:29:53.578716,0 days 00:00:03.231233,405,0.664526911140863,0.001948567125127258,7,12,447,4.828160165372797,15.255065745117381,0.3278702476319986,extensive,405,COMPLETE
4,-0.0016559721404409238,2025-12-07 02:29:53.579717,2025-12-07 02:30:02.745822,0 days 00:00:09.166105,130,0.5640914962437609,0.001611904472760919,5,2,2082,4.546602010393911,0.11998556988857204,0.7105398159072942,extensive,130,COMPLETE
5,-0.0016559721404409238,2025-12-07 02:30:02.749221,2025-12-07 02:30:21.318871,0 days 00:00:18.569650,448,0.6280261676059677,0.0020609249413202366,8,7,3885,4.697494707820946,6.0758057027616355,0.6120408127066865,extensive,448,COMPLETE
6,-0.0016543701889344398,2025-12-07 02:30:21.319871,2025-12-07 02:30:28.787651,0 days 00:00:07.467780,415,0.4175897174514871,0.0011935477742481386,7,19,1436,1.3567451588694794,0.7840758945457351,0.3530955012311517,extensive,415,COMPLETE
7,-0.0016559721404409238,2025-12-07 02:30:28.788653,2025-12-07 02:30:31.430473,0 days 00:00:02.641820,100,0.3845545349848576,0.02306261812167794,5,6,483,3.861223846483287,18.65762858779244,0.6256176498949491,extensive,100,COMPLETE
8,-0.017894497994606223,2025-12-07 02:30:31.431478,2025-12-07 02:30:36.572418,0 days 00:00:05.140940,432,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,extensive,432,COMPLETE
9,-0.0016559721404409238,2025-12-07 02:30:36.573423,2025-12-07 02:30:49.345170,0 days 00:00:12.771747,237,0.4865893930293973,0.003568426123255422,7,7,2973,4.436063712881633,2.931155546232916,0.3381350101716142,extensive,237,COMPLETE
