number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.03131913107116876,2025-12-07 17:38:55.066760,2025-12-07 17:38:56.677100,0 days 00:00:01.610340,0.00031489116479568613,0.9507143064099162,advanced,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:38:56.685798,2025-12-07 17:38:57.935746,0 days 00:00:01.249948,0.008471801418819975,0.5986584841970366,advanced,COMPLETE
2,-595166.9713333881,2025-12-07 17:38:57.937753,2025-12-07 17:39:44.709296,0 days 00:00:46.771543,4.207988669606632e-05,0.15599452033620265,advanced,COMPLETE
3,-139486.28724795076,2025-12-07 17:39:44.711302,2025-12-07 17:40:09.094257,0 days 00:00:24.382955,1.7073967431528103e-05,0.8661761457749352,advanced,COMPLETE
4,-0.0016559721242364045,2025-12-07 17:40:09.096265,2025-12-07 17:40:10.257822,0 days 00:00:01.161557,0.002537815508265664,0.7080725777960455,advanced,COMPLETE
5,-229260.77736820883,2025-12-07 17:40:10.257822,2025-12-07 17:41:04.779830,0 days 00:00:54.522008,1.2087541473056957e-05,0.9699098521619943,advanced,COMPLETE
6,-0.0016559721242364045,2025-12-07 17:41:04.781334,2025-12-07 17:41:06.020218,0 days 00:00:01.238884,0.021368329072358756,0.21233911067827616,advanced,COMPLETE
7,-581749.6609704521,2025-12-07 17:41:06.022225,2025-12-07 17:41:56.089223,0 days 00:00:50.066998,5.3370327626039544e-05,0.18340450985343382,advanced,COMPLETE
8,-138.32150776703574,2025-12-07 17:41:56.091052,2025-12-07 17:41:59.496857,0 days 00:00:03.405805,0.00016480446427978953,0.5247564316322378,advanced,COMPLETE
9,-0.2851000694445978,2025-12-07 17:41:59.499432,2025-12-07 17:42:02.288972,0 days 00:00:02.789540,0.0005342937261279777,0.2912291401980419,advanced,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:42:02.288972,2025-12-07 17:42:03.523247,0 days 00:00:01.234275,0.07606194283024033,0.47332732145466855,advanced,COMPLETE
11,-0.0016559721242364045,2025-12-07 17:42:03.525254,2025-12-07 17:42:04.777706,0 days 00:00:01.252452,0.005953887145582646,0.6990886947608699,advanced,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:42:04.777706,2025-12-07 17:42:06.018204,0 days 00:00:01.240498,0.0036337413409136773,0.6902470735691452,advanced,COMPLETE
13,-0.0016559721242364045,2025-12-07 17:42:06.020232,2025-12-07 17:42:07.135791,0 days 00:00:01.115559,0.0029714502927617806,0.6472204460094831,advanced,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:42:07.136891,2025-12-07 17:42:08.368472,0 days 00:00:01.231581,0.013630710204863549,0.3796042434202235,advanced,COMPLETE
15,-0.0016559721242364045,2025-12-07 17:42:08.368472,2025-12-07 17:42:09.591868,0 days 00:00:01.223396,0.001868165694521581,0.7757183712887339,advanced,COMPLETE
16,-0.0016559721242364045,2025-12-07 17:42:09.607855,2025-12-07 17:42:10.908518,0 days 00:00:01.300663,0.040000592548039206,0.5402069591555734,advanced,COMPLETE
17,-0.0001276993614325687,2025-12-07 17:42:10.908518,2025-12-07 17:42:12.166825,0 days 00:00:01.258307,0.0008464188343830302,0.8072280306853136,advanced,COMPLETE
18,-0.0005530965834957083,2025-12-07 17:42:12.166825,2025-12-07 17:42:13.434034,0 days 00:00:01.267209,0.0008943227783322239,0.8182300018921357,advanced,COMPLETE
19,-0.00146479501724317,2025-12-07 17:42:13.435560,2025-12-07 17:42:14.752196,0 days 00:00:01.316636,0.000560497402946097,0.8407543787677791,advanced,COMPLETE
20,-951199.507346742,2025-12-07 17:42:14.753500,2025-12-07 17:43:03.339397,0 days 00:00:48.585897,0.0001310897045698038,0.026368084405807735,advanced,COMPLETE
21,-0.0006993012378049279,2025-12-07 17:43:03.339397,2025-12-07 17:43:04.619528,0 days 00:00:01.280131,0.0009522737650689477,0.8240042723485829,advanced,COMPLETE
22,-0.0016559721242364045,2025-12-07 17:43:04.620538,2025-12-07 17:43:05.860652,0 days 00:00:01.240114,0.0013918076789301607,0.8349218903741812,advanced,COMPLETE
23,-0.0009604414169380368,2025-12-07 17:43:05.862511,2025-12-07 17:43:07.004826,0 days 00:00:01.142315,0.0008416934971427061,0.9960165317474352,advanced,COMPLETE
24,-0.1624719622670475,2025-12-07 17:43:07.007139,2025-12-07 17:43:08.494898,0 days 00:00:01.487759,0.0002462409999139145,0.7713918717405757,advanced,COMPLETE
25,-0.0013160101124940482,2025-12-07 17:43:08.497912,2025-12-07 17:43:09.736176,0 days 00:00:01.238264,0.0010448712890807237,0.8991469162476181,advanced,COMPLETE
26,-1982.9881529971492,2025-12-07 17:43:09.737050,2025-12-07 17:43:12.275006,0 days 00:00:02.537956,8.588343382607306e-05,0.7860680243474258,advanced,COMPLETE
27,-0.22168531761238883,2025-12-07 17:43:12.275006,2025-12-07 17:43:15.004118,0 days 00:00:02.729112,0.00040162790396223454,0.42747402082625385,advanced,COMPLETE
28,-0.0005386717689800369,2025-12-07 17:43:15.004615,2025-12-07 17:43:16.303044,0 days 00:00:01.298429,0.0008518172893217294,0.6089641854946792,advanced,COMPLETE
29,-0.32052644012706627,2025-12-07 17:43:16.304555,2025-12-07 17:43:18.811078,0 days 00:00:02.506523,0.0002559127451736249,0.5850734807505863,advanced,COMPLETE
30,-0.0016559721242364045,2025-12-07 17:43:18.811078,2025-12-07 17:43:20.069891,0 days 00:00:01.258813,0.005444240235468192,0.900389044089537,advanced,COMPLETE
31,-0.0006529668370825285,2025-12-07 17:43:20.071935,2025-12-07 17:43:21.367846,0 days 00:00:01.295911,0.000824269843577317,0.9273868362338927,advanced,COMPLETE
32,3.9384100514072706e-05,2025-12-07 17:43:21.369568,2025-12-07 17:43:22.621722,0 days 00:00:01.252154,0.0006824789675445165,0.9312868127305053,advanced,COMPLETE
33,-0.0016559721242364045,2025-12-07 17:43:22.622827,2025-12-07 17:43:23.877311,0 days 00:00:01.254484,0.0017499813180027561,0.638197735380285,advanced,COMPLETE
34,-0.04761867825276286,2025-12-07 17:43:23.877311,2025-12-07 17:43:25.558664,0 days 00:00:01.681353,0.00035734087645257923,0.740305750465787,advanced,COMPLETE
35,-0.0005120443670731204,2025-12-07 17:43:25.558664,2025-12-07 17:43:26.840580,0 days 00:00:01.281916,0.0005519131358645874,0.9466169121683352,advanced,COMPLETE
36,-0.282111310749074,2025-12-07 17:43:26.840580,2025-12-07 17:43:29.460221,0 days 00:00:02.619641,0.00016079899070469274,0.9726371084914529,advanced,COMPLETE
37,-1813.890494453561,2025-12-07 17:43:29.460727,2025-12-07 17:43:32.125164,0 days 00:00:02.664437,7.270927937597292e-05,0.9076994454055386,advanced,COMPLETE
38,-30787.9049959572,2025-12-07 17:43:32.125164,2025-12-07 17:43:38.275955,0 days 00:00:06.150791,3.4989057367457064e-05,0.8654798490892153,advanced,COMPLETE
39,-0.0010070963160359419,2025-12-07 17:43:38.275955,2025-12-07 17:43:39.558605,0 days 00:00:01.282650,0.0005209082901925691,0.9416945470446609,advanced,COMPLETE
40,-0.0016559721242364045,2025-12-07 17:43:39.558605,2025-12-07 17:43:40.799571,0 days 00:00:01.240966,0.0020142864113542065,0.5882166687353478,advanced,COMPLETE
41,-0.001449896591006657,2025-12-07 17:43:40.800509,2025-12-07 17:43:42.059654,0 days 00:00:01.259145,0.0012362034839181928,0.807199033978222,advanced,COMPLETE
42,-0.00042602238752686983,2025-12-07 17:43:42.059654,2025-12-07 17:43:43.324562,0 days 00:00:01.264908,0.0007443114554094525,0.7227380568642588,advanced,COMPLETE
43,-0.0031074158090883173,2025-12-07 17:43:43.326641,2025-12-07 17:43:44.625854,0 days 00:00:01.299213,0.0005957205854336128,0.7323299822649386,advanced,COMPLETE
44,-0.26103324544290735,2025-12-07 17:43:44.625854,2025-12-07 17:43:47.680284,0 days 00:00:03.054430,0.00024775250267077947,0.6501246985292477,advanced,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:43:47.680284,2025-12-07 17:43:48.922048,0 days 00:00:01.241764,0.003973809342796725,0.8690733123222578,advanced,COMPLETE
46,-0.074991213892597,2025-12-07 17:43:48.924254,2025-12-07 17:43:50.541107,0 days 00:00:01.616853,0.0003421541947039797,0.682788043978857,advanced,COMPLETE
47,-0.0016559721242364045,2025-12-07 17:43:50.542070,2025-12-07 17:43:51.791849,0 days 00:00:01.249779,0.0025021511189531986,0.7251631165298421,advanced,COMPLETE
48,-0.03649382969850564,2025-12-07 17:43:51.791849,2025-12-07 17:43:53.468177,0 days 00:00:01.676328,0.0005944233902733632,0.4809853451486056,advanced,COMPLETE
49,-0.0016559721242364045,2025-12-07 17:43:53.470183,2025-12-07 17:43:54.726864,0 days 00:00:01.256681,0.00798310544045975,0.9505193672297392,advanced,COMPLETE
50,-0.0016559721242364045,2025-12-07 17:43:54.731378,2025-12-07 17:43:55.960901,0 days 00:00:01.229523,0.001446979112649434,0.9973504985452696,advanced,COMPLETE
51,-0.00028051402124810537,2025-12-07 17:43:55.960901,2025-12-07 17:43:57.295362,0 days 00:00:01.334461,0.0006540794109824172,0.8661220529918848,advanced,COMPLETE
52,-0.017306287211464582,2025-12-07 17:43:57.295362,2025-12-07 17:43:58.644646,0 days 00:00:01.349284,0.00040400575110621095,0.8709907735115137,advanced,COMPLETE
