number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.041513589760170166,2025-12-07 17:51:05.828695,2025-12-07 17:51:07.662603,0 days 00:00:01.833908,0.00031489116479568613,0.9507143064099162,extensive,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:51:07.664607,2025-12-07 17:51:09.315024,0 days 00:00:01.650417,0.008471801418819975,0.5986584841970366,extensive,COMPLETE
2,-126852.97251706537,2025-12-07 17:51:09.316790,2025-12-07 17:52:20.611457,0 days 00:01:11.294667,4.207988669606632e-05,0.15599452033620265,extensive,COMPLETE
3,-39864.55906977568,2025-12-07 17:52:20.613465,2025-12-07 17:53:10.918233,0 days 00:00:50.304768,1.7073967431528103e-05,0.8661761457749352,extensive,COMPLETE
4,-0.0016559721242364045,2025-12-07 17:53:10.919933,2025-12-07 17:53:12.531403,0 days 00:00:01.611470,0.002537815508265664,0.7080725777960455,extensive,COMPLETE
5,-12256.625013571758,2025-12-07 17:53:12.531403,2025-12-07 17:54:31.393117,0 days 00:01:18.861714,1.2087541473056957e-05,0.9699098521619943,extensive,COMPLETE
6,-0.0016559721242364045,2025-12-07 17:54:31.395377,2025-12-07 17:54:33.009232,0 days 00:00:01.613855,0.021368329072358756,0.21233911067827616,extensive,COMPLETE
7,-63256.92318858818,2025-12-07 17:54:33.010989,2025-12-07 17:55:51.416196,0 days 00:01:18.405207,5.3370327626039544e-05,0.18340450985343382,extensive,COMPLETE
8,-4.765035088364001,2025-12-07 17:55:51.416196,2025-12-07 17:55:54.710690,0 days 00:00:03.294494,0.00016480446427978953,0.5247564316322378,extensive,COMPLETE
9,-0.2737373052632322,2025-12-07 17:55:54.711607,2025-12-07 17:55:57.582638,0 days 00:00:02.871031,0.0005342937261279777,0.2912291401980419,extensive,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:55:57.582638,2025-12-07 17:55:59.212875,0 days 00:00:01.630237,0.07606194283024033,0.47332732145466855,extensive,COMPLETE
11,-0.0016559721242364045,2025-12-07 17:55:59.214928,2025-12-07 17:56:00.843677,0 days 00:00:01.628749,0.005953887145582646,0.6990886947608699,extensive,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:56:00.844302,2025-12-07 17:56:02.477597,0 days 00:00:01.633295,0.0036337413409136773,0.6902470735691452,extensive,COMPLETE
13,-0.0016559721242364045,2025-12-07 17:56:02.477597,2025-12-07 17:56:04.183254,0 days 00:00:01.705657,0.0029714502927617806,0.6472204460094831,extensive,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:56:04.183254,2025-12-07 17:56:05.829108,0 days 00:00:01.645854,0.013630710204863549,0.3796042434202235,extensive,COMPLETE
15,-0.0016559721242364045,2025-12-07 17:56:05.830585,2025-12-07 17:56:07.382416,0 days 00:00:01.551831,0.001868165694521581,0.7757183712887339,extensive,COMPLETE
16,-0.0016559721242364045,2025-12-07 17:56:07.382923,2025-12-07 17:56:09.011055,0 days 00:00:01.628132,0.040000592548039206,0.5402069591555734,extensive,COMPLETE
17,-0.0001276993614325687,2025-12-07 17:56:09.013207,2025-12-07 17:56:10.690502,0 days 00:00:01.677295,0.0008464188343830302,0.8072280306853136,extensive,COMPLETE
18,-0.0005530965834957083,2025-12-07 17:56:10.690502,2025-12-07 17:56:12.338986,0 days 00:00:01.648484,0.0008943227783322239,0.8182300018921357,extensive,COMPLETE
19,-0.0035551307557426894,2025-12-07 17:56:12.340994,2025-12-07 17:56:14.049890,0 days 00:00:01.708896,0.000560497402946097,0.8407543787677791,extensive,COMPLETE
20,-3317969.5618687253,2025-12-07 17:56:14.051897,2025-12-07 17:57:09.722481,0 days 00:00:55.670584,0.0001310897045698038,0.026368084405807735,extensive,COMPLETE
21,-0.0011283583918487345,2025-12-07 17:57:09.724492,2025-12-07 17:57:11.348623,0 days 00:00:01.624131,0.0010475459782992205,0.8374293009946657,extensive,COMPLETE
22,-0.0016559721242364045,2025-12-07 17:57:11.349668,2025-12-07 17:57:12.966936,0 days 00:00:01.617268,0.0014403910932208465,0.8349218903741812,extensive,COMPLETE
23,-0.0009604414169380368,2025-12-07 17:57:12.966936,2025-12-07 17:57:14.590884,0 days 00:00:01.623948,0.0008416934971427061,0.9960165317474352,extensive,COMPLETE
24,-0.0009829708313097891,2025-12-07 17:57:14.593054,2025-12-07 17:57:16.332041,0 days 00:00:01.738987,0.0005437071770122751,0.9909252829191902,extensive,COMPLETE
25,-1.8229129542869262,2025-12-07 17:57:16.334175,2025-12-07 17:57:19.658653,0 days 00:00:03.324478,0.00010269363194469811,0.8991469162476181,extensive,COMPLETE
26,-0.10264949852411953,2025-12-07 17:57:19.658653,2025-12-07 17:57:21.465564,0 days 00:00:01.806911,0.00028662610135092234,0.7574921977047434,extensive,COMPLETE
27,-0.0009124250290652262,2025-12-07 17:57:21.466563,2025-12-07 17:57:23.090061,0 days 00:00:01.623498,0.0009158840075967216,0.9055445473281558,extensive,COMPLETE
28,-0.14359578934233683,2025-12-07 17:57:23.092068,2025-12-07 17:57:24.896361,0 days 00:00:01.804293,0.00025721929684513283,0.7713983226180783,extensive,COMPLETE
29,-0.0016559721242364045,2025-12-07 17:57:24.897084,2025-12-07 17:57:26.513136,0 days 00:00:01.616052,0.0057242999270429,0.9097155864623354,extensive,COMPLETE
30,-0.01915532366932034,2025-12-07 17:57:26.515112,2025-12-07 17:57:28.206928,0 days 00:00:01.691816,0.0009225514300552157,0.4190029424484062,extensive,COMPLETE
31,-0.0006713690248215295,2025-12-07 17:57:28.206928,2025-12-07 17:57:29.838869,0 days 00:00:01.631941,0.0007809985135420871,0.9964918574503155,extensive,COMPLETE
32,-0.021636734989124884,2025-12-07 17:57:29.838869,2025-12-07 17:57:31.542030,0 days 00:00:01.703161,0.00040850815084177616,0.9255214889243792,extensive,COMPLETE
33,-0.0012541811402405252,2025-12-07 17:57:31.544244,2025-12-07 17:57:33.082296,0 days 00:00:01.538052,0.0015216198647865118,0.5982726364827973,extensive,COMPLETE
34,-94.40971031853125,2025-12-07 17:57:33.082296,2025-12-07 17:57:36.561798,0 days 00:00:03.479502,7.328760455995637e-05,0.9224054708326115,extensive,COMPLETE
35,-0.15237736660967807,2025-12-07 17:57:36.563303,2025-12-07 17:57:38.382651,0 days 00:00:01.819348,0.0002457494543397245,0.7934329884778691,extensive,COMPLETE
36,-53081.57699790884,2025-12-07 17:57:38.384112,2025-12-07 17:58:02.772671,0 days 00:00:24.388559,2.5941899623997246e-05,0.8781325622915361,extensive,COMPLETE
37,-0.0016559721242364045,2025-12-07 17:58:02.774679,2025-12-07 17:58:04.303543,0 days 00:00:01.528864,0.0039506824996529905,0.9400656060281708,extensive,COMPLETE
38,-0.002007575469477015,2025-12-07 17:58:04.305558,2025-12-07 17:58:05.994329,0 days 00:00:01.688771,0.0008097707934026706,0.6188408158652258,extensive,COMPLETE
39,-0.0016559721242364045,2025-12-07 17:58:05.995926,2025-12-07 17:58:07.626173,0 days 00:00:01.630247,0.0021687124483620013,0.732945750016036,extensive,COMPLETE
40,-0.3378364829797646,2025-12-07 17:58:07.635221,2025-12-07 17:58:10.420002,0 days 00:00:02.784781,0.00017488706073998147,0.8159414354995232,extensive,COMPLETE
41,-0.001429598865736829,2025-12-07 17:58:10.422010,2025-12-07 17:58:12.050459,0 days 00:00:01.628449,0.0009951131621175416,0.9942408942590644,extensive,COMPLETE
42,-0.0009981226942356036,2025-12-07 17:58:12.050459,2025-12-07 17:58:13.710747,0 days 00:00:01.660288,0.000559733567204323,0.9608193027580728,extensive,COMPLETE
43,-0.0016559721242364045,2025-12-07 17:58:13.710747,2025-12-07 17:58:15.344822,0 days 00:00:01.634075,0.0013251788380646261,0.8759319499264159,extensive,COMPLETE
44,-0.0006073862613414915,2025-12-07 17:58:15.347336,2025-12-07 17:58:17.005659,0 days 00:00:01.658323,0.0007524602935211987,0.9832274786997698,extensive,COMPLETE
45,-0.018277779277454036,2025-12-07 17:58:17.007666,2025-12-07 17:58:18.729638,0 days 00:00:01.721972,0.00041509565548657364,0.939125876666849,extensive,COMPLETE
46,-0.0016559721242364045,2025-12-07 17:58:18.729638,2025-12-07 17:58:20.344957,0 days 00:00:01.615319,0.0023932528377508906,0.860043461940371,extensive,COMPLETE
47,-0.0016559721242364045,2025-12-07 17:58:20.344957,2025-12-07 17:58:21.992411,0 days 00:00:01.647454,0.006921230011628105,0.6631217756564227,extensive,COMPLETE
48,-0.031554338255872505,2025-12-07 17:58:21.992411,2025-12-07 17:58:23.734398,0 days 00:00:01.741987,0.00035340497453889254,0.9539561395282327,extensive,COMPLETE
49,-0.0016559721242364045,2025-12-07 17:58:23.734398,2025-12-07 17:58:25.395890,0 days 00:00:01.661492,0.013487626553297025,0.7981877936034134,extensive,COMPLETE
50,-0.0016559721242364045,2025-12-07 17:58:25.397898,2025-12-07 17:58:27.011653,0 days 00:00:01.613755,0.0036796104390777397,0.7138139954090842,extensive,COMPLETE
51,5.625620515433324e-05,2025-12-07 17:58:27.013677,2025-12-07 17:58:28.657578,0 days 00:00:01.643901,0.0006540794109824172,0.9801983679027995,extensive,COMPLETE
52,-0.16646237850016768,2025-12-07 17:58:28.657578,2025-12-07 17:58:31.339582,0 days 00:00:02.682004,0.00020890445794269333,0.9091952991225635,extensive,COMPLETE
53,-8.836765332032037e-06,2025-12-07 17:58:31.341590,2025-12-07 17:58:32.984017,0 days 00:00:01.642427,0.0006820887345440442,0.9669473394331043,extensive,COMPLETE
54,5.631788485408832e-05,2025-12-07 17:58:32.984017,2025-12-07 17:58:34.629770,0 days 00:00:01.645753,0.0006603734178956117,0.9702170640071739,extensive,COMPLETE
55,4.6108870864943384e-05,2025-12-07 17:58:34.629770,2025-12-07 17:58:36.306838,0 days 00:00:01.677068,0.000659427561534345,0.9668285540541484,extensive,COMPLETE
56,-0.0016559721242364045,2025-12-07 17:58:36.308773,2025-12-07 17:58:37.859425,0 days 00:00:01.550652,0.0017318715806185364,0.8628737891688237,extensive,COMPLETE
57,-0.3589321099896931,2025-12-07 17:58:37.859425,2025-12-07 17:58:40.653313,0 days 00:00:02.793888,0.0004376061070208573,0.31874259599615673,extensive,COMPLETE
58,-0.0016559721242364045,2025-12-07 17:58:40.654514,2025-12-07 17:58:42.269382,0 days 00:00:01.614868,0.0013229632878502587,0.9571037987471132,extensive,COMPLETE
59,-69091.19233136215,2025-12-07 17:58:42.271254,2025-12-07 17:59:56.697030,0 days 00:01:14.425776,0.000132871972391223,0.11315151444651206,extensive,COMPLETE
60,-0.0013352251835066682,2025-12-07 17:59:56.697030,2025-12-07 17:59:58.367294,0 days 00:00:01.670264,0.00059076879222938,0.8827202997647186,extensive,COMPLETE
61,-6.277606404484863e-05,2025-12-07 17:59:58.369535,2025-12-07 17:59:59.922053,0 days 00:00:01.552518,0.0006342773280916451,0.9725055018512141,extensive,COMPLETE
62,-0.05152326983672317,2025-12-07 17:59:59.922053,2025-12-07 18:00:01.694430,0 days 00:00:01.772377,0.00032724292066255075,0.8354937610069284,extensive,COMPLETE
63,-0.0016559721242364045,2025-12-07 18:00:01.696438,2025-12-07 18:00:03.311186,0 days 00:00:01.614748,0.001191200487329823,0.9611489046401603,extensive,COMPLETE
64,-0.0016570725487929556,2025-12-07 18:00:03.313194,2025-12-07 18:00:05.064901,0 days 00:00:01.751707,0.0005538163422868522,0.921896426206436,extensive,COMPLETE
65,-0.0018946916332915527,2025-12-07 18:00:05.064901,2025-12-07 18:00:06.759962,0 days 00:00:01.695061,0.0006693048898607458,0.7528332753672473,extensive,COMPLETE
66,-0.028372607289594825,2025-12-07 18:00:06.759962,2025-12-07 18:00:08.468250,0 days 00:00:01.708288,0.0004317227264547595,0.811126417022907,extensive,COMPLETE
67,-0.0016559721242364045,2025-12-07 18:00:08.472262,2025-12-07 18:00:10.082856,0 days 00:00:01.610594,0.0029356649532542318,0.9718094057280838,extensive,COMPLETE
68,-0.0015450292083892443,2025-12-07 18:00:10.084865,2025-12-07 18:00:11.591905,0 days 00:00:01.507040,0.0018182819825239254,0.5699054756297403,extensive,COMPLETE
69,-0.04877421160958617,2025-12-07 18:00:11.591905,2025-12-07 18:00:13.377438,0 days 00:00:01.785533,0.0003126178807951644,0.8938320231202008,extensive,COMPLETE
70,-0.19495648512649963,2025-12-07 18:00:13.379444,2025-12-07 18:00:16.831421,0 days 00:00:03.451977,0.0002122965964409561,0.8498125310664991,extensive,COMPLETE
71,-0.0004083756707573549,2025-12-07 18:00:16.833429,2025-12-07 18:00:18.496325,0 days 00:00:01.662896,0.0007282929328202557,0.9809304903487633,extensive,COMPLETE
72,-0.0012787682480384088,2025-12-07 18:00:18.497324,2025-12-07 18:00:20.151008,0 days 00:00:01.653684,0.00098014488592425,0.9408560626616324,extensive,COMPLETE
73,-0.0003260553795341921,2025-12-07 18:00:20.151665,2025-12-07 18:00:21.906503,0 days 00:00:01.754838,0.0007062706686916538,0.9999207620006089,extensive,COMPLETE
