number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.025520067162627447,2025-12-07 17:27:01.194537,2025-12-07 17:27:02.330182,0 days 00:00:01.135645,0.00031489116479568613,0.9507143064099162,medium,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:27:02.330182,2025-12-07 17:27:03.378027,0 days 00:00:01.047845,0.008471801418819975,0.5986584841970366,medium,COMPLETE
2,-879299.8848175817,2025-12-07 17:27:03.378881,2025-12-07 17:27:51.665557,0 days 00:00:48.286676,4.207988669606632e-05,0.15599452033620265,medium,COMPLETE
3,-206396.342175666,2025-12-07 17:27:51.666660,2025-12-07 17:28:29.223973,0 days 00:00:37.557313,1.7073967431528103e-05,0.8661761457749352,medium,COMPLETE
4,-0.0016559721242364045,2025-12-07 17:28:29.225975,2025-12-07 17:28:30.240648,0 days 00:00:01.014673,0.002537815508265664,0.7080725777960455,medium,COMPLETE
5,-265607.72353005206,2025-12-07 17:28:30.240648,2025-12-07 17:29:09.303359,0 days 00:00:39.062711,1.2087541473056957e-05,0.9699098521619943,medium,COMPLETE
6,-0.0016559721242364045,2025-12-07 17:29:09.305533,2025-12-07 17:29:10.322674,0 days 00:00:01.017141,0.021368329072358756,0.21233911067827616,medium,COMPLETE
7,-884830.5751337223,2025-12-07 17:29:10.322674,2025-12-07 17:29:57.397056,0 days 00:00:47.074382,5.3370327626039544e-05,0.18340450985343382,medium,COMPLETE
8,-1225.0894491159563,2025-12-07 17:29:57.399063,2025-12-07 17:29:59.077017,0 days 00:00:01.677954,0.00016480446427978953,0.5247564316322378,medium,COMPLETE
9,-0.27442990331028144,2025-12-07 17:29:59.077017,2025-12-07 17:30:01.728306,0 days 00:00:02.651289,0.0005342937261279777,0.2912291401980419,medium,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:30:01.730317,2025-12-07 17:30:02.746009,0 days 00:00:01.015692,0.07606194283024033,0.47332732145466855,medium,COMPLETE
11,-0.0016559721242364045,2025-12-07 17:30:02.748020,2025-12-07 17:30:03.785145,0 days 00:00:01.037125,0.005953887145582646,0.6990886947608699,medium,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:30:03.785145,2025-12-07 17:30:04.799436,0 days 00:00:01.014291,0.0036337413409136773,0.6902470735691452,medium,COMPLETE
13,-0.0016559721242364045,2025-12-07 17:30:04.799436,2025-12-07 17:30:05.817695,0 days 00:00:01.018259,0.0029714502927617806,0.6472204460094831,medium,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:30:05.817695,2025-12-07 17:30:06.840614,0 days 00:00:01.022919,0.013630710204863549,0.3796042434202235,medium,COMPLETE
15,-0.0016559721242364045,2025-12-07 17:30:06.840614,2025-12-07 17:30:07.875795,0 days 00:00:01.035181,0.001868165694521581,0.7757183712887339,medium,COMPLETE
16,-0.0016559721242364045,2025-12-07 17:30:07.875795,2025-12-07 17:30:08.894143,0 days 00:00:01.018348,0.040000592548039206,0.5402069591555734,medium,COMPLETE
17,0.0007252322990495644,2025-12-07 17:30:08.896152,2025-12-07 17:30:09.930075,0 days 00:00:01.033923,0.0008464188343830302,0.8072280306853136,medium,COMPLETE
18,0.00024072375178348557,2025-12-07 17:30:09.932082,2025-12-07 17:30:10.965138,0 days 00:00:01.033056,0.0008943227783322239,0.8182300018921357,medium,COMPLETE
19,0.0003779687052411311,2025-12-07 17:30:10.966643,2025-12-07 17:30:11.903681,0 days 00:00:00.937038,0.000560497402946097,0.8407543787677791,medium,COMPLETE
20,-2540489.162023925,2025-12-07 17:30:11.905000,2025-12-07 17:30:59.833700,0 days 00:00:47.928700,0.00016543822184376413,0.026368084405807735,medium,COMPLETE
21,-0.00014281580708970973,2025-12-07 17:30:59.835708,2025-12-07 17:31:00.864142,0 days 00:00:01.028434,0.0009522737650689477,0.8240042723485829,medium,COMPLETE
22,7.794744246062783e-05,2025-12-07 17:31:00.864142,2025-12-07 17:31:01.883218,0 days 00:00:01.019076,0.0008394067543033944,0.8949298145128244,medium,COMPLETE
23,-0.15469279310086304,2025-12-07 17:31:01.883218,2025-12-07 17:31:03.215551,0 days 00:00:01.332333,0.0002400288412677501,0.7712579552024951,medium,COMPLETE
24,-2353.7943155704857,2025-12-07 17:31:03.215551,2025-12-07 17:31:05.522851,0 days 00:00:02.307300,7.858225236486107e-05,0.9909252829191902,medium,COMPLETE
25,-0.0036328365686939534,2025-12-07 17:31:05.524859,2025-12-07 17:31:06.715513,0 days 00:00:01.190654,0.0005284919026755062,0.7897321541305902,medium,COMPLETE
26,-0.0016559721242364045,2025-12-07 17:31:06.715513,2025-12-07 17:31:07.762925,0 days 00:00:01.047412,0.0013978648250335174,0.8786098173289282,medium,COMPLETE
27,-0.09510188525530035,2025-12-07 17:31:07.764933,2025-12-07 17:31:09.399934,0 days 00:00:01.635001,0.0004909773309964403,0.42747402082625385,medium,COMPLETE
28,-3258.1073300790063,2025-12-07 17:31:09.401941,2025-12-07 17:31:12.326060,0 days 00:00:02.924119,9.391232328339791e-05,0.60935255071615,medium,COMPLETE
29,-0.03066386514259567,2025-12-07 17:31:12.327751,2025-12-07 17:31:13.505235,0 days 00:00:01.177484,0.00030580181484875674,0.9212340362201722,medium,COMPLETE
30,-0.0015732764603294165,2025-12-07 17:31:13.505235,2025-12-07 17:31:14.523691,0 days 00:00:01.018456,0.0011854549172164027,0.8179024660943778,medium,COMPLETE
31,0.0006179722423699981,2025-12-07 17:31:14.527245,2025-12-07 17:31:15.573500,0 days 00:00:01.046255,0.0007655910698628264,0.9087400378378843,medium,COMPLETE
32,0.0008580772588906438,2025-12-07 17:31:15.575165,2025-12-07 17:31:16.686673,0 days 00:00:01.111508,0.0006975299446912336,0.9398615010651856,medium,COMPLETE
33,-0.0016559721242364045,2025-12-07 17:31:16.686673,2025-12-07 17:31:17.796537,0 days 00:00:01.109864,0.005639307182615801,0.9458648425147831,medium,COMPLETE
34,-0.00838713156404336,2025-12-07 17:31:17.796537,2025-12-07 17:31:18.881546,0 days 00:00:01.085009,0.00043443789104500414,0.8751878096465799,medium,COMPLETE
35,-0.10786460656712109,2025-12-07 17:31:18.881546,2025-12-07 17:31:20.276559,0 days 00:00:01.395013,0.00020617576883897822,0.9813161611068333,medium,COMPLETE
36,-0.0016559721242364045,2025-12-07 17:31:20.277623,2025-12-07 17:31:21.297795,0 days 00:00:01.020172,0.001999643985730898,0.7505589794411317,medium,COMPLETE
37,-0.024381165807614735,2025-12-07 17:31:21.299803,2025-12-07 17:31:22.458525,0 days 00:00:01.158722,0.00033313236308932215,0.9108091215421869,medium,COMPLETE
38,-37369.78742102263,2025-12-07 17:31:22.461730,2025-12-07 17:31:28.228053,0 days 00:00:05.766323,3.865703886034957e-05,0.8498589760605334,medium,COMPLETE
39,-2581.0576313874712,2025-12-07 17:31:28.228053,2025-12-07 17:31:30.672137,0 days 00:00:02.444084,0.00010476790916451212,0.7224077014162339,medium,COMPLETE
40,0.0008279473349180888,2025-12-07 17:31:30.674143,2025-12-07 17:31:31.742275,0 days 00:00:01.068132,0.0006290424324305684,0.9335745775141304,medium,COMPLETE
41,-0.0005095624917646665,2025-12-07 17:31:31.742748,2025-12-07 17:31:32.754207,0 days 00:00:01.011459,0.0008426872953204328,0.990013898658734,medium,COMPLETE
42,-0.0016559721242364045,2025-12-07 17:31:32.755229,2025-12-07 17:31:33.780462,0 days 00:00:01.025233,0.0014681670656718508,0.932581198438624,medium,COMPLETE
43,0.0005584463303593598,2025-12-07 17:31:33.783242,2025-12-07 17:31:34.815758,0 days 00:00:01.032516,0.0005720028897931793,0.855758314012487,medium,COMPLETE
44,0.0009184713574527844,2025-12-07 17:31:34.817765,2025-12-07 17:31:35.867872,0 days 00:00:01.050107,0.0006576340936407243,0.9402589772016975,medium,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:31:35.869569,2025-12-07 17:31:36.901012,0 days 00:00:01.031443,0.004068561088747606,0.9519451553329662,medium,COMPLETE
