number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.01049344349965157,2025-12-07 17:23:16.757217,2025-12-07 17:23:16.974632,0 days 00:00:00.217415,0.00031489116479568613,0.9507143064099162,none,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:23:16.974632,2025-12-07 17:23:17.173356,0 days 00:00:00.198724,0.008471801418819975,0.5986584841970366,none,COMPLETE
2,-10.068725053887093,2025-12-07 17:23:17.174362,2025-12-07 17:23:17.901029,0 days 00:00:00.726667,4.207988669606632e-05,0.15599452033620265,none,COMPLETE
3,-1.3782450400353479,2025-12-07 17:23:17.902413,2025-12-07 17:23:18.152945,0 days 00:00:00.250532,1.7073967431528103e-05,0.8661761457749352,none,COMPLETE
4,-0.0016559721242364045,2025-12-07 17:23:18.152945,2025-12-07 17:23:18.342817,0 days 00:00:00.189872,0.002537815508265664,0.7080725777960455,none,COMPLETE
5,-2.3342193819667245,2025-12-07 17:23:18.344827,2025-12-07 17:23:18.602985,0 days 00:00:00.258158,1.2087541473056957e-05,0.9699098521619943,none,COMPLETE
6,-0.0016559721242364045,2025-12-07 17:23:18.602985,2025-12-07 17:23:18.778549,0 days 00:00:00.175564,0.021368329072358756,0.21233911067827616,none,COMPLETE
7,-4.361065120094485,2025-12-07 17:23:18.778549,2025-12-07 17:23:19.228327,0 days 00:00:00.449778,5.3370327626039544e-05,0.18340450985343382,none,COMPLETE
8,-0.21530885939172198,2025-12-07 17:23:19.228327,2025-12-07 17:23:19.425626,0 days 00:00:00.197299,0.00016480446427978953,0.5247564316322378,none,COMPLETE
9,-0.081013245696773,2025-12-07 17:23:19.429466,2025-12-07 17:23:19.719235,0 days 00:00:00.289769,0.0005342937261279777,0.2912291401980419,none,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:23:19.719235,2025-12-07 17:23:19.924215,0 days 00:00:00.204980,0.07606194283024033,0.47332732145466855,none,COMPLETE
11,-0.0016559721242364045,2025-12-07 17:23:19.926037,2025-12-07 17:23:20.123920,0 days 00:00:00.197883,0.005953887145582646,0.6990886947608699,none,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:23:20.123920,2025-12-07 17:23:20.325059,0 days 00:00:00.201139,0.0036337413409136773,0.6902470735691452,none,COMPLETE
13,-0.0016559721242364045,2025-12-07 17:23:20.325059,2025-12-07 17:23:20.523757,0 days 00:00:00.198698,0.0029714502927617806,0.6472204460094831,none,COMPLETE
