number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.015135335539974407,2025-12-07 17:25:29.226818,2025-12-07 17:25:29.516348,0 days 00:00:00.289530,0.00031489116479568613,0.9507143064099162,simple2,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:25:29.516348,2025-12-07 17:25:29.803482,0 days 00:00:00.287134,0.008471801418819975,0.5986584841970366,simple2,COMPLETE
2,-8.47254812149179,2025-12-07 17:25:29.805175,2025-12-07 17:25:31.060268,0 days 00:00:01.255093,4.207988669606632e-05,0.15599452033620265,simple2,COMPLETE
3,-3.45713722487071,2025-12-07 17:25:31.060268,2025-12-07 17:25:31.434337,0 days 00:00:00.374069,1.7073967431528103e-05,0.8661761457749352,simple2,COMPLETE
4,-0.0016559721242364045,2025-12-07 17:25:31.434337,2025-12-07 17:25:31.718192,0 days 00:00:00.283855,0.002537815508265664,0.7080725777960455,simple2,COMPLETE
5,-3.8917768988947308,2025-12-07 17:25:31.718192,2025-12-07 17:25:32.123917,0 days 00:00:00.405725,1.2087541473056957e-05,0.9699098521619943,simple2,COMPLETE
6,-0.0016559721242364045,2025-12-07 17:25:32.125672,2025-12-07 17:25:32.405043,0 days 00:00:00.279371,0.021368329072358756,0.21233911067827616,simple2,COMPLETE
7,-4.621923426594408,2025-12-07 17:25:32.407008,2025-12-07 17:25:32.729862,0 days 00:00:00.322854,5.3370327626039544e-05,0.18340450985343382,simple2,COMPLETE
8,-0.39881752162872935,2025-12-07 17:25:32.731733,2025-12-07 17:25:33.032286,0 days 00:00:00.300553,0.00016480446427978953,0.5247564316322378,simple2,COMPLETE
9,-0.12755719558448697,2025-12-07 17:25:33.032286,2025-12-07 17:25:33.441395,0 days 00:00:00.409109,0.0005342937261279777,0.2912291401980419,simple2,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:25:33.441395,2025-12-07 17:25:33.734227,0 days 00:00:00.292832,0.07606194283024033,0.47332732145466855,simple2,COMPLETE
11,-0.0016559721242364045,2025-12-07 17:25:33.736236,2025-12-07 17:25:34.004124,0 days 00:00:00.267888,0.005953887145582646,0.6990886947608699,simple2,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:25:34.008568,2025-12-07 17:25:34.301701,0 days 00:00:00.293133,0.0036337413409136773,0.6902470735691452,simple2,COMPLETE
13,-0.0016559721242364045,2025-12-07 17:25:34.302045,2025-12-07 17:25:34.572995,0 days 00:00:00.270950,0.0029714502927617806,0.6472204460094831,simple2,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:25:34.574476,2025-12-07 17:25:34.848690,0 days 00:00:00.274214,0.013630710204863549,0.3796042434202235,simple2,COMPLETE
15,-0.0016559721242364045,2025-12-07 17:25:34.848690,2025-12-07 17:25:35.135783,0 days 00:00:00.287093,0.001868165694521581,0.7757183712887339,simple2,COMPLETE
16,-0.0016559721242364045,2025-12-07 17:25:35.135783,2025-12-07 17:25:35.418832,0 days 00:00:00.283049,0.040000592548039206,0.5402069591555734,simple2,COMPLETE
17,-0.00022050618338002406,2025-12-07 17:25:35.418832,2025-12-07 17:25:35.715049,0 days 00:00:00.296217,0.0008464188343830302,0.8072280306853136,simple2,COMPLETE
18,-0.0005456816083250956,2025-12-07 17:25:35.716937,2025-12-07 17:25:36.002129,0 days 00:00:00.285192,0.0008943227783322239,0.8182300018921357,simple2,COMPLETE
19,-0.00026361659449606706,2025-12-07 17:25:36.003367,2025-12-07 17:25:36.300446,0 days 00:00:00.297079,0.000560497402946097,0.8407543787677791,simple2,COMPLETE
20,-12.587789427617304,2025-12-07 17:25:36.301956,2025-12-07 17:25:37.616067,0 days 00:00:01.314111,0.00016543822184376413,0.026368084405807735,simple2,COMPLETE
21,-0.0006925563147427797,2025-12-07 17:25:37.618250,2025-12-07 17:25:37.916170,0 days 00:00:00.297920,0.0009522737650689477,0.8240042723485829,simple2,COMPLETE
22,-0.0006411740557568102,2025-12-07 17:25:37.918178,2025-12-07 17:25:38.221992,0 days 00:00:00.303814,0.0008394067543033944,0.8949298145128244,simple2,COMPLETE
23,-0.0753847668551928,2025-12-07 17:25:38.224004,2025-12-07 17:25:38.516378,0 days 00:00:00.292374,0.0002400288412677501,0.7712579552024951,simple2,COMPLETE
24,-0.4837701118084136,2025-12-07 17:25:38.518185,2025-12-07 17:25:38.818862,0 days 00:00:00.300677,7.858225236486107e-05,0.9909252829191902,simple2,COMPLETE
25,-0.0027101426498242764,2025-12-07 17:25:38.818862,2025-12-07 17:25:39.100536,0 days 00:00:00.281674,0.0005284919026755062,0.7897321541305902,simple2,COMPLETE
26,-0.0016559721242364045,2025-12-07 17:25:39.102637,2025-12-07 17:25:39.384445,0 days 00:00:00.281808,0.0013978648250335174,0.8786098173289282,simple2,COMPLETE
27,-0.05397260965312537,2025-12-07 17:25:39.384445,2025-12-07 17:25:39.689438,0 days 00:00:00.304993,0.0004909773309964403,0.42747402082625385,simple2,COMPLETE
28,-0.8210514836824677,2025-12-07 17:25:39.690448,2025-12-07 17:25:40.016428,0 days 00:00:00.325980,9.391232328339791e-05,0.60935255071615,simple2,COMPLETE
29,-0.019010573834850164,2025-12-07 17:25:40.016428,2025-12-07 17:25:40.308551,0 days 00:00:00.292123,0.00030580181484875674,0.9212340362201722,simple2,COMPLETE
30,-0.0013834369729373759,2025-12-07 17:25:40.309553,2025-12-07 17:25:40.602861,0 days 00:00:00.293308,0.0011854549172164027,0.8179024660943778,simple2,COMPLETE
31,-0.00029480150472197913,2025-12-07 17:25:40.603822,2025-12-07 17:25:40.875336,0 days 00:00:00.271514,0.0007655910698628264,0.9087400378378843,simple2,COMPLETE
32,-6.66329481511611e-05,2025-12-07 17:25:40.875336,2025-12-07 17:25:41.166468,0 days 00:00:00.291132,0.0006975299446912336,0.9398615010651856,simple2,COMPLETE
33,-0.0016559721242364045,2025-12-07 17:25:41.168226,2025-12-07 17:25:41.455018,0 days 00:00:00.286792,0.005639307182615801,0.9458648425147831,simple2,COMPLETE
34,-0.005106855326261502,2025-12-07 17:25:41.455018,2025-12-07 17:25:41.749266,0 days 00:00:00.294248,0.00043443789104500414,0.8751878096465799,simple2,COMPLETE
35,-0.0603607813219816,2025-12-07 17:25:41.749266,2025-12-07 17:25:42.033711,0 days 00:00:00.284445,0.00020617576883897822,0.9813161611068333,simple2,COMPLETE
36,-0.0016559721242364045,2025-12-07 17:25:42.033711,2025-12-07 17:25:42.318344,0 days 00:00:00.284633,0.001999643985730898,0.7505589794411317,simple2,COMPLETE
37,-0.014340782819982375,2025-12-07 17:25:42.318344,2025-12-07 17:25:42.599054,0 days 00:00:00.280710,0.00033313236308932215,0.9108091215421869,simple2,COMPLETE
38,-1.414380771212177,2025-12-07 17:25:42.599054,2025-12-07 17:25:42.952563,0 days 00:00:00.353509,3.865703886034957e-05,0.8498589760605334,simple2,COMPLETE
39,-0.5082854607104913,2025-12-07 17:25:42.954507,2025-12-07 17:25:43.269048,0 days 00:00:00.314541,0.00010476790916451212,0.7224077014162339,simple2,COMPLETE
40,0.00019778870977478954,2025-12-07 17:25:43.269048,2025-12-07 17:25:43.572196,0 days 00:00:00.303148,0.0006290424324305684,0.9335745775141304,simple2,COMPLETE
41,-0.0009384870633100858,2025-12-07 17:25:43.572196,2025-12-07 17:25:43.868022,0 days 00:00:00.295826,0.0008426872953204328,0.990013898658734,simple2,COMPLETE
42,-0.0016559721242364045,2025-12-07 17:25:43.868022,2025-12-07 17:25:44.152513,0 days 00:00:00.284491,0.0014681670656718508,0.932581198438624,simple2,COMPLETE
43,-0.00019800338556585917,2025-12-07 17:25:44.154104,2025-12-07 17:25:44.434367,0 days 00:00:00.280263,0.0005720028897931793,0.855758314012487,simple2,COMPLETE
44,-0.017733538858787406,2025-12-07 17:25:44.434367,2025-12-07 17:25:44.733060,0 days 00:00:00.298693,0.0003390620286273993,0.8472168705493784,simple2,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:25:44.733060,2025-12-07 17:25:45.015276,0 days 00:00:00.282216,0.0034648212017837636,0.6698694741880438,simple2,COMPLETE
46,-0.25428168823303476,2025-12-07 17:25:45.019989,2025-12-07 17:25:45.318175,0 days 00:00:00.298186,0.00014946555983928262,0.7419601853392499,simple2,COMPLETE
47,-0.006224153305488829,2025-12-07 17:25:45.318175,2025-12-07 17:25:45.603500,0 days 00:00:00.285325,0.0006145998293479238,0.5946577907232475,simple2,COMPLETE
48,-0.0016559721242364045,2025-12-07 17:25:45.604416,2025-12-07 17:25:45.884472,0 days 00:00:00.280056,0.002289091810569795,0.9405802528934338,simple2,COMPLETE
49,-1.782977604129058,2025-12-07 17:25:45.886292,2025-12-07 17:25:46.237393,0 days 00:00:00.351101,3.49249782102265e-05,0.8148690938991923,simple2,COMPLETE
50,-0.0016559721242364045,2025-12-07 17:25:46.237393,2025-12-07 17:25:46.515682,0 days 00:00:00.278289,0.004578835947230511,0.8667261500943914,simple2,COMPLETE
51,-0.00020009656045927304,2025-12-07 17:25:46.517707,2025-12-07 17:25:46.803138,0 days 00:00:00.285431,0.0007149526519273855,0.950593211727095,simple2,COMPLETE
52,-0.0016559721242364045,2025-12-07 17:25:46.803138,2025-12-07 17:25:47.085072,0 days 00:00:00.281934,0.001316160227407375,0.9460260895384771,simple2,COMPLETE
53,2.4662258659010245e-05,2025-12-07 17:25:47.085072,2025-12-07 17:25:47.367445,0 days 00:00:00.282373,0.0006428611752053586,0.9913415931231279,simple2,COMPLETE
54,-0.008381664469519564,2025-12-07 17:25:47.367445,2025-12-07 17:25:47.649942,0 days 00:00:00.282497,0.000355152684082907,0.9610490084984493,simple2,COMPLETE
55,-0.00012590812480698746,2025-12-07 17:25:47.649942,2025-12-07 17:25:47.935673,0 days 00:00:00.285731,0.0006703100741250231,0.9928630635072893,simple2,COMPLETE
56,-0.03612361962590175,2025-12-07 17:25:47.936431,2025-12-07 17:25:48.234005,0 days 00:00:00.297574,0.00023955351431915762,0.9904096032504482,simple2,COMPLETE
57,0.0001513550336377234,2025-12-07 17:25:48.235012,2025-12-07 17:25:48.536835,0 days 00:00:00.301823,0.0017805638081971682,0.31874259599615673,simple2,COMPLETE
58,-0.0016559721242364045,2025-12-07 17:25:48.538845,2025-12-07 17:25:48.807769,0 days 00:00:00.268924,0.011273030966982985,0.2645341680518012,simple2,COMPLETE
59,-0.0533581229208803,2025-12-07 17:25:48.808823,2025-12-07 17:25:49.195727,0 days 00:00:00.386904,0.0018565525769271042,0.11315151444651206,simple2,COMPLETE
60,-0.12775971883374523,2025-12-07 17:25:49.195727,2025-12-07 17:25:49.515350,0 days 00:00:00.319623,0.000417636740250847,0.3724917278159961,simple2,COMPLETE
61,-0.04921496976061827,2025-12-07 17:25:49.515350,2025-12-07 17:25:49.785143,0 days 00:00:00.269793,0.0006376333962740829,0.3386302769555014,simple2,COMPLETE
62,-0.001399084633419534,2025-12-07 17:25:49.788032,2025-12-07 17:25:50.069039,0 days 00:00:00.281007,0.0010847317591758327,0.9001054728076485,simple2,COMPLETE
63,-0.0016559721242364045,2025-12-07 17:25:50.069039,2025-12-07 17:25:50.347602,0 days 00:00:00.278563,0.002870292880137754,0.4698148342752704,simple2,COMPLETE
64,-0.0016559721242364045,2025-12-07 17:25:50.348608,2025-12-07 17:25:50.636786,0 days 00:00:00.288178,0.0015437916609685716,0.9572737984138269,simple2,COMPLETE
65,-3.335873786943407e-06,2025-12-07 17:25:50.636786,2025-12-07 17:25:50.909360,0 days 00:00:00.272574,0.0005970161387089851,0.8891230449375547,simple2,COMPLETE
66,-0.0015994627544722768,2025-12-07 17:25:50.909881,2025-12-07 17:25:51.201160,0 days 00:00:00.291279,0.0010609578222689523,0.9965492626757406,simple2,COMPLETE
67,-1.2138607238607397,2025-12-07 17:25:51.203199,2025-12-07 17:25:51.710851,0 days 00:00:00.507652,0.00028301869209123356,0.12884773731077498,simple2,COMPLETE
68,-0.0029538941606105373,2025-12-07 17:25:51.710851,2025-12-07 17:25:52.006963,0 days 00:00:00.296112,0.00046684373368823044,0.8876046377438941,simple2,COMPLETE
69,-1.0616734602154805,2025-12-07 17:25:52.010710,2025-12-07 17:25:52.380189,0 days 00:00:00.369479,0.00017292192045948148,0.2427261912180695,simple2,COMPLETE
70,-0.22422921936208332,2025-12-07 17:25:52.380189,2025-12-07 17:25:52.683621,0 days 00:00:00.303432,0.00012828720143718964,0.9192839499197715,simple2,COMPLETE
71,0.00012522175422139772,2025-12-07 17:25:52.683621,2025-12-07 17:25:52.969505,0 days 00:00:00.285884,0.0006991161014722946,0.866996412781103,simple2,COMPLETE
72,4.381748722052473e-05,2025-12-07 17:25:52.969505,2025-12-07 17:25:53.253329,0 days 00:00:00.283824,0.0006852150818451819,0.7877544096600878,simple2,COMPLETE
73,-0.0004781849810052696,2025-12-07 17:25:53.254325,2025-12-07 17:25:53.536479,0 days 00:00:00.282154,0.0007423230368226914,0.9736857645404587,simple2,COMPLETE
74,-0.0013323464692423699,2025-12-07 17:25:53.537486,2025-12-07 17:25:53.837650,0 days 00:00:00.300164,0.0010791646238363622,0.8774623128642488,simple2,COMPLETE
75,-0.0016559721242364045,2025-12-07 17:25:53.837650,2025-12-07 17:25:54.125027,0 days 00:00:00.287377,0.0016988555067691436,0.7871811280288427,simple2,COMPLETE
76,-0.0016559721242364045,2025-12-07 17:25:54.125540,2025-12-07 17:25:54.417183,0 days 00:00:00.291643,0.0024170346526770844,0.9171486241407094,simple2,COMPLETE
77,-0.007633344723808981,2025-12-07 17:25:54.417183,2025-12-07 17:25:54.704937,0 days 00:00:00.287754,0.00041584230968560765,0.8378384409101804,simple2,COMPLETE
78,-0.18309177266839974,2025-12-07 17:25:54.706523,2025-12-07 17:25:55.018420,0 days 00:00:00.311897,0.00024679121218088295,0.5321415262835928,simple2,COMPLETE
79,-0.00029853306499771914,2025-12-07 17:25:55.022127,2025-12-07 17:25:55.302627,0 days 00:00:00.280500,0.0005217713017701645,0.8925316560861345,simple2,COMPLETE
80,-0.000580809736451989,2025-12-07 17:25:55.303719,2025-12-07 17:25:55.584578,0 days 00:00:00.280859,0.0007976300021427185,0.5674894069245655,simple2,COMPLETE
81,4.539640276686926e-05,2025-12-07 17:25:55.584578,2025-12-07 17:25:55.884064,0 days 00:00:00.299486,0.0006361226904953434,0.8490728659576969,simple2,COMPLETE
82,-0.00037074300699080354,2025-12-07 17:25:55.884064,2025-12-07 17:25:56.169142,0 days 00:00:00.285078,0.0009247245099294082,0.7650667963343745,simple2,COMPLETE
83,-0.001512399412506434,2025-12-07 17:25:56.169142,2025-12-07 17:25:56.463738,0 days 00:00:00.294596,0.0012724930220974961,0.8042082775628875,simple2,COMPLETE
84,9.348552412835609e-05,2025-12-07 17:25:56.465507,2025-12-07 17:25:56.742822,0 days 00:00:00.277315,0.0006659886949620681,0.928736142493297,simple2,COMPLETE
85,-0.0042763959670536105,2025-12-07 17:25:56.743350,2025-12-07 17:25:57.036171,0 days 00:00:00.292821,0.00042127299654718797,0.9318472866735562,simple2,COMPLETE
86,-0.0003395504675674695,2025-12-07 17:25:57.036171,2025-12-07 17:25:57.307392,0 days 00:00:00.271221,0.0005497845582419373,0.8377640192060717,simple2,COMPLETE
87,-0.00804608708929396,2025-12-07 17:25:57.309398,2025-12-07 17:25:57.603902,0 days 00:00:00.294504,0.0003562662130205011,0.9666765742481639,simple2,COMPLETE
88,-5.075860061390535,2025-12-07 17:25:57.603902,2025-12-07 17:25:58.108081,0 days 00:00:00.504179,0.0009448609193945909,0.00906656229217534,simple2,COMPLETE
89,-0.0016559721242364045,2025-12-07 17:25:58.109591,2025-12-07 17:25:58.374344,0 days 00:00:00.264753,0.00206331924477282,0.8647067184987332,simple2,COMPLETE
90,-0.07415468538034602,2025-12-07 17:25:58.384847,2025-12-07 17:25:58.683332,0 days 00:00:00.298485,0.00020571488851837396,0.9063490193207202,simple2,COMPLETE
91,9.704858151030985e-06,2025-12-07 17:25:58.683332,2025-12-07 17:25:58.970849,0 days 00:00:00.287517,0.0006628942052659983,0.966440997084234,simple2,COMPLETE
92,0.00011977634763153204,2025-12-07 17:25:58.972707,2025-12-07 17:25:59.251005,0 days 00:00:00.278298,0.0006530404880803338,0.9319078408712586,simple2,COMPLETE
93,-0.0016559721242364045,2025-12-07 17:25:59.251005,2025-12-07 17:25:59.536223,0 days 00:00:00.285218,0.0013626514447305324,0.9264158114172949,simple2,COMPLETE
94,9.491183657561741e-05,2025-12-07 17:25:59.536223,2025-12-07 17:25:59.835477,0 days 00:00:00.299254,0.0006364965346290707,0.9710180064898949,simple2,COMPLETE
95,-0.01986384418234703,2025-12-07 17:25:59.835477,2025-12-07 17:26:00.131944,0 days 00:00:00.296467,0.00028946179428990005,0.9610819997956739,simple2,COMPLETE
96,-0.0016559721242364045,2025-12-07 17:26:00.131944,2025-12-07 17:26:00.419793,0 days 00:00:00.287849,0.0787654649641982,0.9726457600894702,simple2,COMPLETE
97,-0.10659726535601248,2025-12-07 17:26:00.420669,2025-12-07 17:26:00.848265,0 days 00:00:00.427596,0.0008423180834620272,0.1971419469453115,simple2,COMPLETE
98,-0.0016559721242364045,2025-12-07 17:26:00.848265,2025-12-07 17:26:01.135892,0 days 00:00:00.287627,0.049153853806376345,0.4542216849011833,simple2,COMPLETE
99,-0.0016559721242364045,2025-12-07 17:26:01.137624,2025-12-07 17:26:01.418556,0 days 00:00:00.280932,0.0011695510172784896,0.944637283977402,simple2,COMPLETE
100,-0.129142593151054,2025-12-07 17:26:01.418556,2025-12-07 17:26:01.800182,0 days 00:00:00.381626,0.00048421571269941963,0.3197777717649589,simple2,COMPLETE
