number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feature_level,state
0,-0.009590716795238116,2025-12-07 17:24:18.735197,2025-12-07 17:24:18.945664,0 days 00:00:00.210467,0.00031489116479568613,0.9507143064099162,simple,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:24:18.947994,2025-12-07 17:24:19.146529,0 days 00:00:00.198535,0.008471801418819975,0.5986584841970366,simple,COMPLETE
2,-8.483659467368136,2025-12-07 17:24:19.148041,2025-12-07 17:24:19.942221,0 days 00:00:00.794180,4.207988669606632e-05,0.15599452033620265,simple,COMPLETE
3,-2.4041224184842367,2025-12-07 17:24:19.942221,2025-12-07 17:24:20.210347,0 days 00:00:00.268126,1.7073967431528103e-05,0.8661761457749352,simple,COMPLETE
4,-0.0016559721242364045,2025-12-07 17:24:20.210347,2025-12-07 17:24:20.399804,0 days 00:00:00.189457,0.002537815508265664,0.7080725777960455,simple,COMPLETE
5,-2.8462304073326252,2025-12-07 17:24:20.401814,2025-12-07 17:24:20.694649,0 days 00:00:00.292835,1.2087541473056957e-05,0.9699098521619943,simple,COMPLETE
6,-0.0016559721242364045,2025-12-07 17:24:20.694649,2025-12-07 17:24:20.898694,0 days 00:00:00.204045,0.021368329072358756,0.21233911067827616,simple,COMPLETE
7,-4.252551978459717,2025-12-07 17:24:20.898694,2025-12-07 17:24:21.224446,0 days 00:00:00.325752,5.3370327626039544e-05,0.18340450985343382,simple,COMPLETE
8,-0.18327138907375976,2025-12-07 17:24:21.224446,2025-12-07 17:24:21.447910,0 days 00:00:00.223464,0.00016480446427978953,0.5247564316322378,simple,COMPLETE
9,-0.0716886472348716,2025-12-07 17:24:21.450417,2025-12-07 17:24:21.775817,0 days 00:00:00.325400,0.0005342937261279777,0.2912291401980419,simple,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:24:21.775817,2025-12-07 17:24:21.979677,0 days 00:00:00.203860,0.07606194283024033,0.47332732145466855,simple,COMPLETE
11,-0.0016559721242364045,2025-12-07 17:24:21.981443,2025-12-07 17:24:22.179810,0 days 00:00:00.198367,0.005953887145582646,0.6990886947608699,simple,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:24:22.179810,2025-12-07 17:24:22.384006,0 days 00:00:00.204196,0.0036337413409136773,0.6902470735691452,simple,COMPLETE
13,-0.0016559721242364045,2025-12-07 17:24:22.392476,2025-12-07 17:24:22.597990,0 days 00:00:00.205514,0.0029714502927617806,0.6472204460094831,simple,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:24:22.599708,2025-12-07 17:24:22.813881,0 days 00:00:00.214173,0.013630710204863549,0.3796042434202235,simple,COMPLETE
15,-0.0016559721242364045,2025-12-07 17:24:22.815725,2025-12-07 17:24:23.028733,0 days 00:00:00.213008,0.001868165694521581,0.7757183712887339,simple,COMPLETE
16,-0.0016559721242364045,2025-12-07 17:24:23.030560,2025-12-07 17:24:23.245015,0 days 00:00:00.214455,0.040000592548039206,0.5402069591555734,simple,COMPLETE
17,0.0005738660728108469,2025-12-07 17:24:23.245015,2025-12-07 17:24:23.451221,0 days 00:00:00.206206,0.0008464188343830302,0.8072280306853136,simple,COMPLETE
18,0.0002460779627767214,2025-12-07 17:24:23.451221,2025-12-07 17:24:23.665203,0 days 00:00:00.213982,0.0008943227783322239,0.8182300018921357,simple,COMPLETE
19,0.0008898328829278768,2025-12-07 17:24:23.665203,2025-12-07 17:24:23.880698,0 days 00:00:00.215495,0.000560497402946097,0.8407543787677791,simple,COMPLETE
20,-11.971631809445794,2025-12-07 17:24:23.882440,2025-12-07 17:24:24.804419,0 days 00:00:00.921979,0.00016543822184376413,0.026368084405807735,simple,COMPLETE
21,-0.00013556418976790052,2025-12-07 17:24:24.805483,2025-12-07 17:24:25.014685,0 days 00:00:00.209202,0.0009522737650689477,0.8240042723485829,simple,COMPLETE
22,8.516615942547971e-05,2025-12-07 17:24:25.018595,2025-12-07 17:24:25.229845,0 days 00:00:00.211250,0.0008394067543033944,0.8949298145128244,simple,COMPLETE
23,-0.04872716179786566,2025-12-07 17:24:25.231853,2025-12-07 17:24:25.448270,0 days 00:00:00.216417,0.0002400288412677501,0.7712579552024951,simple,COMPLETE
24,-0.22390550319134114,2025-12-07 17:24:25.449798,2025-12-07 17:24:25.679977,0 days 00:00:00.230179,7.858225236486107e-05,0.9909252829191902,simple,COMPLETE
25,-0.0010348823161475302,2025-12-07 17:24:25.679977,2025-12-07 17:24:25.881947,0 days 00:00:00.201970,0.0005284919026755062,0.7897321541305902,simple,COMPLETE
26,-0.0016559721242364045,2025-12-07 17:24:25.883701,2025-12-07 17:24:26.084940,0 days 00:00:00.201239,0.0013978648250335174,0.8786098173289282,simple,COMPLETE
27,-0.03223947417557108,2025-12-07 17:24:26.086660,2025-12-07 17:24:26.377201,0 days 00:00:00.290541,0.0004909773309964403,0.42747402082625385,simple,COMPLETE
28,-0.3344900674732723,2025-12-07 17:24:26.377201,2025-12-07 17:24:26.612335,0 days 00:00:00.235134,9.391232328339791e-05,0.60935255071615,simple,COMPLETE
29,-0.012096893941502188,2025-12-07 17:24:26.613342,2025-12-07 17:24:26.832605,0 days 00:00:00.219263,0.00030580181484875674,0.9212340362201722,simple,COMPLETE
30,-0.0015732764603294165,2025-12-07 17:24:26.832605,2025-12-07 17:24:27.046962,0 days 00:00:00.214357,0.0011854549172164027,0.8179024660943778,simple,COMPLETE
31,0.0005061456349866692,2025-12-07 17:24:27.049181,2025-12-07 17:24:27.262320,0 days 00:00:00.213139,0.0007655910698628264,0.9087400378378843,simple,COMPLETE
32,0.0007068906470639366,2025-12-07 17:24:27.264179,2025-12-07 17:24:27.479145,0 days 00:00:00.214966,0.0006975299446912336,0.9398615010651856,simple,COMPLETE
33,-0.0016559721242364045,2025-12-07 17:24:27.479145,2025-12-07 17:24:27.684074,0 days 00:00:00.204929,0.005639307182615801,0.9458648425147831,simple,COMPLETE
34,-0.0025441123065561935,2025-12-07 17:24:27.687353,2025-12-07 17:24:27.899494,0 days 00:00:00.212141,0.00043443789104500414,0.8751878096465799,simple,COMPLETE
35,-0.036767168835511566,2025-12-07 17:24:27.899494,2025-12-07 17:24:28.115004,0 days 00:00:00.215510,0.00020617576883897822,0.9813161611068333,simple,COMPLETE
36,-0.0016559721242364045,2025-12-07 17:24:28.119020,2025-12-07 17:24:28.330880,0 days 00:00:00.211860,0.001999643985730898,0.7505589794411317,simple,COMPLETE
37,-0.009054935185150695,2025-12-07 17:24:28.330880,2025-12-07 17:24:28.548693,0 days 00:00:00.217813,0.00033313236308932215,0.9108091215421869,simple,COMPLETE
38,-0.9001689234124516,2025-12-07 17:24:28.551341,2025-12-07 17:24:28.799120,0 days 00:00:00.247779,3.865703886034957e-05,0.8498589760605334,simple,COMPLETE
39,-0.23430271037987938,2025-12-07 17:24:28.799120,2025-12-07 17:24:29.029598,0 days 00:00:00.230478,0.00010476790916451212,0.7224077014162339,simple,COMPLETE
40,0.00097818728707888,2025-12-07 17:24:29.031413,2025-12-07 17:24:29.247313,0 days 00:00:00.215900,0.0006290424324305684,0.9335745775141304,simple,COMPLETE
41,-0.0005080041371984626,2025-12-07 17:24:29.248323,2025-12-07 17:24:29.462300,0 days 00:00:00.213977,0.0008426872953204328,0.990013898658734,simple,COMPLETE
42,-0.0016559721242364045,2025-12-07 17:24:29.462300,2025-12-07 17:24:29.680212,0 days 00:00:00.217912,0.0014681670656718508,0.932581198438624,simple,COMPLETE
43,0.0011056701752823288,2025-12-07 17:24:29.682206,2025-12-07 17:24:29.898354,0 days 00:00:00.216148,0.0005720028897931793,0.855758314012487,simple,COMPLETE
44,-0.011277101922952134,2025-12-07 17:24:29.899701,2025-12-07 17:24:30.114566,0 days 00:00:00.214865,0.0003390620286273993,0.8472168705493784,simple,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:24:30.116641,2025-12-07 17:24:30.319880,0 days 00:00:00.203239,0.0034648212017837636,0.6698694741880438,simple,COMPLETE
46,-0.12619383653882674,2025-12-07 17:24:30.319880,2025-12-07 17:24:30.530249,0 days 00:00:00.210369,0.00014946555983928262,0.7419601853392499,simple,COMPLETE
47,-0.0030419389255058236,2025-12-07 17:24:30.532098,2025-12-07 17:24:30.746032,0 days 00:00:00.213934,0.0006145998293479238,0.5946577907232475,simple,COMPLETE
48,-0.0016559721242364045,2025-12-07 17:24:30.748544,2025-12-07 17:24:30.962148,0 days 00:00:00.213604,0.002289091810569795,0.9405802528934338,simple,COMPLETE
49,-1.2745756900579994,2025-12-07 17:24:30.965910,2025-12-07 17:24:31.227895,0 days 00:00:00.261985,3.49249782102265e-05,0.8148690938991923,simple,COMPLETE
50,-0.0016559721242364045,2025-12-07 17:24:31.229904,2025-12-07 17:24:31.437438,0 days 00:00:00.207534,0.004578835947230511,0.8667261500943914,simple,COMPLETE
51,0.0005928461284223641,2025-12-07 17:24:31.438948,2025-12-07 17:24:31.649371,0 days 00:00:00.210423,0.0007149526519273855,0.950593211727095,simple,COMPLETE
52,-0.0016559721242364045,2025-12-07 17:24:31.650913,2025-12-07 17:24:31.865389,0 days 00:00:00.214476,0.001316160227407375,0.9460260895384771,simple,COMPLETE
53,0.0007813091466626343,2025-12-07 17:24:31.865389,2025-12-07 17:24:32.081639,0 days 00:00:00.216250,0.0006428611752053586,0.9913415931231279,simple,COMPLETE
54,-0.004118671485355607,2025-12-07 17:24:32.083569,2025-12-07 17:24:32.295904,0 days 00:00:00.212335,0.0003651599722522754,0.9610490084984493,simple,COMPLETE
55,-0.019498809762742392,2025-12-07 17:24:32.297812,2025-12-07 17:24:32.500405,0 days 00:00:00.202593,0.00024150179244412988,0.9933009686836138,simple,COMPLETE
56,0.000876668852212196,2025-12-07 17:24:32.500405,2025-12-07 17:24:32.715635,0 days 00:00:00.215230,0.0006804449411928096,0.9006412608565784,simple,COMPLETE
57,0.001033935715296752,2025-12-07 17:24:32.715635,2025-12-07 17:24:32.930842,0 days 00:00:00.215207,0.0017805638081971682,0.31874259599615673,simple,COMPLETE
58,-0.0016559721242364045,2025-12-07 17:24:32.932641,2025-12-07 17:24:33.146259,0 days 00:00:00.213618,0.011273030966982985,0.2645341680518012,simple,COMPLETE
59,-0.05913605442270309,2025-12-07 17:24:33.146259,2025-12-07 17:24:33.460460,0 days 00:00:00.314201,0.0015144085276146788,0.11315151444651206,simple,COMPLETE
60,-0.0477828005489751,2025-12-07 17:24:33.460460,2025-12-07 17:24:33.762702,0 days 00:00:00.302242,0.0005000028085071045,0.3724917278159961,simple,COMPLETE
61,-0.0006900698127606889,2025-12-07 17:24:33.762702,2025-12-07 17:24:33.981116,0 days 00:00:00.218414,0.0025280151548422156,0.3386302769555014,simple,COMPLETE
62,-0.0013744540300914359,2025-12-07 17:24:33.981116,2025-12-07 17:24:34.200182,0 days 00:00:00.219066,0.0010495783697045062,0.8925442790574836,simple,COMPLETE
63,-0.013344664672131171,2025-12-07 17:24:34.201435,2025-12-07 17:24:34.462907,0 days 00:00:00.261472,0.0005821346390121472,0.4698148342752704,simple,COMPLETE
64,-0.00314171709770091,2025-12-07 17:24:34.462907,2025-12-07 17:24:34.679745,0 days 00:00:00.216838,0.00042972277699702066,0.8453918515113993,simple,COMPLETE
65,-0.0016559721242364045,2025-12-07 17:24:34.681464,2025-12-07 17:24:34.898819,0 days 00:00:00.217355,0.0019792214173525585,0.9015741199644953,simple,COMPLETE
66,-0.06564296712410951,2025-12-07 17:24:34.899738,2025-12-07 17:24:35.229896,0 days 00:00:00.330158,0.0006649636749094734,0.24582863718895526,simple,COMPLETE
67,-0.042293067717699216,2025-12-07 17:24:35.229896,2025-12-07 17:24:35.447808,0 days 00:00:00.217912,0.00024823591791845384,0.7815208836645569,simple,COMPLETE
68,-0.07298991067886185,2025-12-07 17:24:35.449829,2025-12-07 17:24:35.666974,0 days 00:00:00.217145,0.0011060959986754324,0.13883949027875728,simple,COMPLETE
69,-0.044138246170252714,2025-12-07 17:24:35.666974,2025-12-07 17:24:35.875216,0 days 00:00:00.208242,0.00019173994649893624,0.9981024537358388,simple,COMPLETE
70,-0.26442080940176016,2025-12-07 17:24:35.875216,2025-12-07 17:24:36.097427,0 days 00:00:00.222211,0.00012828720143718964,0.5420075443669522,simple,COMPLETE
71,0.0006953315021644979,2025-12-07 17:24:36.100256,2025-12-07 17:24:36.314293,0 days 00:00:00.214037,0.0006920275909230542,0.951133864786831,simple,COMPLETE
72,-0.0009123000514621449,2025-12-07 17:24:36.314293,2025-12-07 17:24:36.530620,0 days 00:00:00.216327,0.0009541530482655823,0.9224936895401948,simple,COMPLETE
73,-0.0029648771077603886,2025-12-07 17:24:36.530620,2025-12-07 17:24:36.749789,0 days 00:00:00.219169,0.0004212606178033303,0.8731406670425684,simple,COMPLETE
74,0.0006754102693788214,2025-12-07 17:24:36.750478,2025-12-07 17:24:36.964796,0 days 00:00:00.214318,0.0006842559804365611,0.9683930345343261,simple,COMPLETE
75,-0.0016559721242364045,2025-12-07 17:24:36.966651,2025-12-07 17:24:37.182341,0 days 00:00:00.215690,0.0016200841982779563,0.8385973303331133,simple,COMPLETE
76,-0.01712826139309424,2025-12-07 17:24:37.184224,2025-12-07 17:24:37.415511,0 days 00:00:00.231287,0.00028138660615022464,0.8943503411335547,simple,COMPLETE
77,-0.0016559721242364045,2025-12-07 17:24:37.415511,2025-12-07 17:24:37.631061,0 days 00:00:00.215550,0.0031394836234172586,0.970555669255922,simple,COMPLETE
78,-0.0016559721242364045,2025-12-07 17:24:37.631061,2025-12-07 17:24:37.847042,0 days 00:00:00.215981,0.0012357625624393087,0.9198323940012547,simple,COMPLETE
79,0.0011031177985823721,2025-12-07 17:24:37.847042,2025-12-07 17:24:38.065638,0 days 00:00:00.218596,0.0005764036724812173,0.8678951358780931,simple,COMPLETE
80,-0.006478592149105326,2025-12-07 17:24:38.065638,2025-12-07 17:24:38.279259,0 days 00:00:00.213621,0.00040527208065187936,0.8032369922995651,simple,COMPLETE
81,0.000616903218752444,2025-12-07 17:24:38.280516,2025-12-07 17:24:38.499016,0 days 00:00:00.218500,0.000776025105404424,0.8696196620307161,simple,COMPLETE
82,0.0009728133145888348,2025-12-07 17:24:38.500086,2025-12-07 17:24:38.716904,0 days 00:00:00.216818,0.0006263401416194242,0.7587490421650805,simple,COMPLETE
83,0.0006983454312448067,2025-12-07 17:24:38.717847,2025-12-07 17:24:38.930823,0 days 00:00:00.212976,0.0005611245050372987,0.8254743484804443,simple,COMPLETE
84,0.00020753957350697996,2025-12-07 17:24:38.930823,2025-12-07 17:24:39.149697,0 days 00:00:00.218874,0.000981322286340338,0.7506052126054003,simple,COMPLETE
85,-0.0016559721242364045,2025-12-07 17:24:39.150858,2025-12-07 17:24:39.368418,0 days 00:00:00.217560,0.0017391437957968306,0.7856454850710646,simple,COMPLETE
86,-0.02590991465736266,2025-12-07 17:24:39.368418,2025-12-07 17:24:39.582670,0 days 00:00:00.214252,0.000311838230607132,0.7163283477735793,simple,COMPLETE
87,-2.5711013552452573,2025-12-07 17:24:39.582670,2025-12-07 17:24:39.870786,0 days 00:00:00.288116,0.0005253529984019516,0.023365165883374228,simple,COMPLETE
88,0.00010318173362907264,2025-12-07 17:24:39.871818,2025-12-07 17:24:40.083218,0 days 00:00:00.211400,0.0008802968576562617,0.8507532437867886,simple,COMPLETE
89,-0.0006406519512407819,2025-12-07 17:24:40.083218,2025-12-07 17:24:40.297042,0 days 00:00:00.213824,0.0004778335758810717,0.8904548514248627,simple,COMPLETE
90,-0.0016559721242364045,2025-12-07 17:24:40.297042,2025-12-07 17:24:40.515524,0 days 00:00:00.218482,0.03874692718654916,0.9284997874151782,simple,COMPLETE
91,0.00046367461565296103,2025-12-07 17:24:40.516534,2025-12-07 17:24:40.732442,0 days 00:00:00.215908,0.0005530183169972161,0.8223571795699105,simple,COMPLETE
92,-0.013457541000007919,2025-12-07 17:24:40.734258,2025-12-07 17:24:40.935508,0 days 00:00:00.201250,0.00035939138360875037,0.7593252551557896,simple,COMPLETE
93,-0.0010985515332226914,2025-12-07 17:24:40.937019,2025-12-07 17:24:41.150027,0 days 00:00:00.213008,0.0011153939213148342,0.8056936374878968,simple,COMPLETE
94,-0.06919455972889647,2025-12-07 17:24:41.150027,2025-12-07 17:24:41.363787,0 days 00:00:00.213760,0.00018878953452915333,0.8423472550159754,simple,COMPLETE
95,0.0011157589251609885,2025-12-07 17:24:41.363787,2025-12-07 17:24:41.581648,0 days 00:00:00.217861,0.0007758473445188452,0.6900940393960273,simple,COMPLETE
96,-0.0010297596267672866,2025-12-07 17:24:41.581648,2025-12-07 17:24:41.848026,0 days 00:00:00.266378,0.0012969841393819259,0.32171042049277265,simple,COMPLETE
97,-0.07594921713936491,2025-12-07 17:24:41.850128,2025-12-07 17:24:42.177081,0 days 00:00:00.326953,0.000790253472261411,0.18956001189688948,simple,COMPLETE
98,-0.0378858109188811,2025-12-07 17:24:42.177081,2025-12-07 17:24:42.398812,0 days 00:00:00.221731,0.00029185291837924515,0.6872210921268016,simple,COMPLETE
99,-0.0012218535116943485,2025-12-07 17:24:42.399970,2025-12-07 17:24:42.616149,0 days 00:00:00.216179,0.0006502240364716572,0.6361285992673231,simple,COMPLETE
100,-0.0016559721242364045,2025-12-07 17:24:42.616149,2025-12-07 17:24:42.833853,0 days 00:00:00.217704,0.0022256479127183387,0.7344123632298445,simple,COMPLETE
101,-0.7241511169826612,2025-12-07 17:24:42.833853,2025-12-07 17:24:43.213206,0 days 00:00:00.379353,0.0005780947705184128,0.061902781529196815,simple,COMPLETE
102,-0.004872370652777384,2025-12-07 17:24:43.213206,2025-12-07 17:24:43.433167,0 days 00:00:00.219961,0.0003981043252050549,0.8609187914542367,simple,COMPLETE
103,-0.0002480121597015679,2025-12-07 17:24:43.433167,2025-12-07 17:24:43.649695,0 days 00:00:00.216528,0.00047922145055092973,0.9068618415737972,simple,COMPLETE
104,0.000981742982450684,2025-12-07 17:24:43.650982,2025-12-07 17:24:43.866760,0 days 00:00:00.215778,0.0007585705190700236,0.77276504609153,simple,COMPLETE
105,0.0004407038601986028,2025-12-07 17:24:43.868551,2025-12-07 17:24:44.079607,0 days 00:00:00.211056,0.0009112243920782158,0.774775507154015,simple,COMPLETE
106,-0.0016559721242364045,2025-12-07 17:24:44.079607,2025-12-07 17:24:44.299446,0 days 00:00:00.219839,0.0015230644772046594,0.6976705649875485,simple,COMPLETE
107,0.0007082602735795455,2025-12-07 17:24:44.300594,2025-12-07 17:24:44.516407,0 days 00:00:00.215813,0.0010679286010310434,0.4340467695780396,simple,COMPLETE
108,0.0011069003387322491,2025-12-07 17:24:44.516407,2025-12-07 17:24:44.732923,0 days 00:00:00.216516,0.0011599691103775626,0.4327055357894608,simple,COMPLETE
109,0.00040041779167169594,2025-12-07 17:24:44.732923,2025-12-07 17:24:44.950533,0 days 00:00:00.217610,0.0018149859499499538,0.39194261350245774,simple,COMPLETE
110,-0.0016559721242364045,2025-12-07 17:24:44.951456,2025-12-07 17:24:45.163031,0 days 00:00:00.211575,0.002557493145768579,0.5079780680239648,simple,COMPLETE
111,0.001093650912825909,2025-12-07 17:24:45.164037,2025-12-07 17:24:45.384037,0 days 00:00:00.220000,0.0011372223412665886,0.4333248422136119,simple,COMPLETE
112,-0.002323044997924647,2025-12-07 17:24:45.384037,2025-12-07 17:24:45.631426,0 days 00:00:00.247389,0.0008242179524264974,0.46934567763404045,simple,COMPLETE
113,-0.0016559721242364045,2025-12-07 17:24:45.633322,2025-12-07 17:24:45.846474,0 days 00:00:00.213152,0.00403934161532189,0.43050705497216396,simple,COMPLETE
114,0.0011069291063106428,2025-12-07 17:24:45.846474,2025-12-07 17:24:46.065747,0 days 00:00:00.219273,0.001394538884019026,0.3869652637380635,simple,COMPLETE
115,0.0011042362600499993,2025-12-07 17:24:46.068240,2025-12-07 17:24:46.283242,0 days 00:00:00.215002,0.001389176474834084,0.3893186105794318,simple,COMPLETE
116,-0.0016559721242364045,2025-12-07 17:24:46.283242,2025-12-07 17:24:46.499328,0 days 00:00:00.216086,0.002761842639359655,0.4051835791955387,simple,COMPLETE
117,0.0011177239310785254,2025-12-07 17:24:46.500828,2025-12-07 17:24:46.714881,0 days 00:00:00.214053,0.001509074307787626,0.354004864954202,simple,COMPLETE
118,-0.004828888048505305,2025-12-07 17:24:46.716689,2025-12-07 17:24:46.996131,0 days 00:00:00.279442,0.001250272550842181,0.2742462705142091,simple,COMPLETE
119,4.1346203428919516e-05,2025-12-07 17:24:46.998142,2025-12-07 17:24:47.216591,0 days 00:00:00.218449,0.002205837736333135,0.34360916704316674,simple,COMPLETE
120,0.0010073362310993132,2025-12-07 17:24:47.216591,2025-12-07 17:24:47.449201,0 days 00:00:00.232610,0.0014455035693700284,0.3299812167025826,simple,COMPLETE
121,0.0008188546250893122,2025-12-07 17:24:47.452430,2025-12-07 17:24:47.666077,0 days 00:00:00.213647,0.0016950896920371581,0.3695853636076428,simple,COMPLETE
122,0.0010969750552125939,2025-12-07 17:24:47.666077,2025-12-07 17:24:47.883353,0 days 00:00:00.217276,0.001402396698455342,0.3550461712315203,simple,COMPLETE
123,-0.0015988001419462439,2025-12-07 17:24:47.883353,2025-12-07 17:24:48.147572,0 days 00:00:00.264219,0.001290434388078307,0.31488653876361106,simple,COMPLETE
124,0.0011224294993803137,2025-12-07 17:24:48.147572,2025-12-07 17:24:48.354096,0 days 00:00:00.206524,0.0014787062461970755,0.3593852935780404,simple,COMPLETE
125,0.0011296063407262302,2025-12-07 17:24:48.359307,2025-12-07 17:24:48.565252,0 days 00:00:00.205945,0.0015048111771820436,0.34971200465452446,simple,COMPLETE
126,-0.00045436366730366995,2025-12-07 17:24:48.565252,2025-12-07 17:24:48.783448,0 days 00:00:00.218196,0.0020171381859384356,0.41020109889511924,simple,COMPLETE
127,-0.0016559721242364045,2025-12-07 17:24:48.785297,2025-12-07 17:24:48.999370,0 days 00:00:00.214073,0.0032481428488113253,0.3475035992884311,simple,COMPLETE
128,-0.0016559721242364045,2025-12-07 17:24:49.000309,2025-12-07 17:24:49.103892,0 days 00:00:00.103583,0.005407102073612971,0.2959381203491759,simple,COMPLETE
129,0.0005575089672023026,2025-12-07 17:24:49.103892,2025-12-07 17:24:49.318303,0 days 00:00:00.214411,0.0015250826795274,0.44991284668072845,simple,COMPLETE
