number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0016559721242364045,2025-12-07 17:07:50.827301,2025-12-07 17:07:52.079655,0 days 00:00:01.252354,0.0074593432857265485,advanced,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:07:52.079655,2025-12-07 17:07:53.320339,0 days 00:00:01.240684,5.669849511478847,advanced,COMPLETE
2,-0.0016559721242364045,2025-12-07 17:07:53.322344,2025-12-07 17:07:54.560650,0 days 00:00:01.238306,0.4570563099801455,advanced,COMPLETE
3,-0.0016559721242364045,2025-12-07 17:07:54.562327,2025-12-07 17:07:55.800040,0 days 00:00:01.237713,0.09846738873614563,advanced,COMPLETE
4,-0.00010531584498603881,2025-12-07 17:07:55.800040,2025-12-07 17:07:57.051029,0 days 00:00:01.250989,0.0006026889128682511,advanced,COMPLETE
5,-0.00010595992013051614,2025-12-07 17:07:57.051029,2025-12-07 17:07:58.338909,0 days 00:00:01.287880,0.000602521573620386,advanced,COMPLETE
6,-0.14920902580473752,2025-12-07 17:07:58.338909,2025-12-07 17:07:59.780017,0 days 00:00:01.441108,0.00019517224641449495,advanced,COMPLETE
7,-0.0016559721242364045,2025-12-07 17:07:59.780017,2025-12-07 17:08:01.037204,0 days 00:00:01.257187,2.1423021757741068,advanced,COMPLETE
8,-0.0016559721242364045,2025-12-07 17:08:01.038558,2025-12-07 17:08:02.274377,0 days 00:00:01.235819,0.10129197956845731,advanced,COMPLETE
9,-0.0016559721242364045,2025-12-07 17:08:02.275386,2025-12-07 17:08:03.592250,0 days 00:00:01.316864,0.3470266988650412,advanced,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:08:03.593761,2025-12-07 17:08:04.878257,0 days 00:00:01.284496,0.0036035178201071797,advanced,COMPLETE
11,-1.0775405921768009,2025-12-07 17:08:04.879100,2025-12-07 17:08:08.953848,0 days 00:00:04.074748,0.00010359916440554263,advanced,COMPLETE
12,-0.0016426797902154473,2025-12-07 17:08:08.956459,2025-12-07 17:08:10.179641,0 days 00:00:01.223182,0.0010735378215036783,advanced,COMPLETE
13,-0.0010716451142991357,2025-12-07 17:08:10.179641,2025-12-07 17:08:11.432251,0 days 00:00:01.252610,0.0008645528610564826,advanced,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:08:11.432251,2025-12-07 17:08:12.671543,0 days 00:00:01.239292,0.009683790422339342,advanced,COMPLETE
15,-0.0008383296674938645,2025-12-07 17:08:12.671543,2025-12-07 17:08:13.944815,0 days 00:00:01.273272,0.0008146970248165323,advanced,COMPLETE
16,-0.03168765374352726,2025-12-07 17:08:13.946636,2025-12-07 17:08:15.559507,0 days 00:00:01.612871,0.00029837746301121656,advanced,COMPLETE
17,-0.0016559721242364045,2025-12-07 17:08:15.561165,2025-12-07 17:08:16.796522,0 days 00:00:01.235357,0.01932360965321236,advanced,COMPLETE
18,-0.0016559721242364045,2025-12-07 17:08:16.797566,2025-12-07 17:08:18.052320,0 days 00:00:01.254754,0.004579169815969729,advanced,COMPLETE
19,-0.0016559721242364045,2025-12-07 17:08:18.052320,2025-12-07 17:08:19.302671,0 days 00:00:01.250351,0.001825302404290731,advanced,COMPLETE
20,-0.0016559721242364045,2025-12-07 17:08:19.304646,2025-12-07 17:08:20.532551,0 days 00:00:01.227905,0.04633043521124795,advanced,COMPLETE
21,-0.0006863351398396592,2025-12-07 17:08:20.534294,2025-12-07 17:08:21.832903,0 days 00:00:01.298609,0.0005078929047587406,advanced,COMPLETE
22,-0.00579428052296264,2025-12-07 17:08:21.832903,2025-12-07 17:08:23.146988,0 days 00:00:01.314085,0.00041165833877968575,advanced,COMPLETE
23,-0.0016559721242364045,2025-12-07 17:08:23.147860,2025-12-07 17:08:24.384086,0 days 00:00:01.236226,0.0019069508654554663,advanced,COMPLETE
24,-0.4238848467843129,2025-12-07 17:08:24.384086,2025-12-07 17:08:26.709719,0 days 00:00:02.325633,0.0001352710343160136,advanced,COMPLETE
25,-0.01521133022719523,2025-12-07 17:08:26.711548,2025-12-07 17:08:28.039142,0 days 00:00:01.327594,0.00036124964043704927,advanced,COMPLETE
26,-0.0016559721242364045,2025-12-07 17:08:28.040962,2025-12-07 17:08:29.282111,0 days 00:00:01.241149,0.002154851188001226,advanced,COMPLETE
27,-0.0001029365587518205,2025-12-07 17:08:29.282111,2025-12-07 17:08:30.564970,0 days 00:00:01.282859,0.0006033175476678097,advanced,COMPLETE
28,-0.0016559721242364045,2025-12-07 17:08:30.564970,2025-12-07 17:08:31.836533,0 days 00:00:01.271563,0.01505345110786249,advanced,COMPLETE
29,-0.0016559721242364045,2025-12-07 17:08:31.836533,2025-12-07 17:08:33.079422,0 days 00:00:01.242889,0.007788333626887665,advanced,COMPLETE
30,-0.0016559721242364045,2025-12-07 17:08:33.080851,2025-12-07 17:08:34.328042,0 days 00:00:01.247191,0.003778628826890182,advanced,COMPLETE
31,-0.0017508205745532985,2025-12-07 17:08:34.329671,2025-12-07 17:08:35.617090,0 days 00:00:01.287419,0.00046042181370349106,advanced,COMPLETE
32,-0.0001291369009835952,2025-12-07 17:08:35.617090,2025-12-07 17:08:36.884996,0 days 00:00:01.267906,0.0005959439946187845,advanced,COMPLETE
33,-0.0016559721242364045,2025-12-07 17:08:36.884996,2025-12-07 17:08:38.124470,0 days 00:00:01.239474,0.0012086006550743914,advanced,COMPLETE
34,-0.08058875164758288,2025-12-07 17:08:38.124470,2025-12-07 17:08:39.661782,0 days 00:00:01.537312,0.0002291027226303695,advanced,COMPLETE
35,-1.9223185880249776e-05,2025-12-07 17:08:39.662622,2025-12-07 17:08:40.917473,0 days 00:00:01.254851,0.0006622599815293231,advanced,COMPLETE
36,-0.20513266511928166,2025-12-07 17:08:40.917473,2025-12-07 17:08:43.631149,0 days 00:00:02.713676,0.00017669536308457547,advanced,COMPLETE
37,-0.0016559721242364045,2025-12-07 17:08:43.631149,2025-12-07 17:08:44.869382,0 days 00:00:01.238233,9.551743658898701,advanced,COMPLETE
38,-0.0016559721242364045,2025-12-07 17:08:44.869382,2025-12-07 17:08:46.100204,0 days 00:00:01.230822,1.7178317166633594,advanced,COMPLETE
