number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0016559721242364045,2025-12-07 17:14:41.231663,2025-12-07 17:14:42.938315,0 days 00:00:01.706652,0.0074593432857265485,extensive,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:14:42.938315,2025-12-07 17:14:44.662364,0 days 00:00:01.724049,5.669849511478847,extensive,COMPLETE
2,-0.0016559721242364045,2025-12-07 17:14:44.662364,2025-12-07 17:14:46.386485,0 days 00:00:01.724121,0.4570563099801455,extensive,COMPLETE
3,-0.0016559721242364045,2025-12-07 17:14:46.386485,2025-12-07 17:14:48.050289,0 days 00:00:01.663804,0.09846738873614563,extensive,COMPLETE
4,-0.00015244632443785674,2025-12-07 17:14:48.050289,2025-12-07 17:14:49.823618,0 days 00:00:01.773329,0.0006026889128682511,extensive,COMPLETE
5,-0.00015324740669890127,2025-12-07 17:14:49.824694,2025-12-07 17:14:51.563982,0 days 00:00:01.739288,0.000602521573620386,extensive,COMPLETE
6,-0.151916170390906,2025-12-07 17:14:51.563982,2025-12-07 17:14:53.790578,0 days 00:00:02.226596,0.00019517224641449495,extensive,COMPLETE
7,-0.0016559721242364045,2025-12-07 17:14:53.790578,2025-12-07 17:14:55.453502,0 days 00:00:01.662924,2.1423021757741068,extensive,COMPLETE
8,-0.0016559721242364045,2025-12-07 17:14:55.453502,2025-12-07 17:14:57.116044,0 days 00:00:01.662542,0.10129197956845731,extensive,COMPLETE
9,-0.0016559721242364045,2025-12-07 17:14:57.118047,2025-12-07 17:14:58.843087,0 days 00:00:01.725040,0.3470266988650412,extensive,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:14:58.843087,2025-12-07 17:15:00.548606,0 days 00:00:01.705519,0.0036035178201071797,extensive,COMPLETE
11,-0.9983572100270838,2025-12-07 17:15:00.548606,2025-12-07 17:15:03.608480,0 days 00:00:03.059874,0.00010359916440554263,extensive,COMPLETE
12,-0.0016426797902154473,2025-12-07 17:15:03.608480,2025-12-07 17:15:05.290123,0 days 00:00:01.681643,0.0010735378215036783,extensive,COMPLETE
13,-0.0010716451142991357,2025-12-07 17:15:05.291345,2025-12-07 17:15:06.995065,0 days 00:00:01.703720,0.0008645528610564826,extensive,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:15:06.995065,2025-12-07 17:15:08.706702,0 days 00:00:01.711637,0.009683790422339342,extensive,COMPLETE
15,-0.0008383296674938645,2025-12-07 17:15:08.707205,2025-12-07 17:15:10.398830,0 days 00:00:01.691625,0.0008146970248165323,extensive,COMPLETE
16,-0.0418339946160066,2025-12-07 17:15:10.398830,2025-12-07 17:15:12.263308,0 days 00:00:01.864478,0.00029837746301121656,extensive,COMPLETE
17,-0.0016559721242364045,2025-12-07 17:15:12.263308,2025-12-07 17:15:13.988553,0 days 00:00:01.725245,0.01932360965321236,extensive,COMPLETE
18,-0.0016559721242364045,2025-12-07 17:15:13.988553,2025-12-07 17:15:15.667192,0 days 00:00:01.678639,0.004579169815969729,extensive,COMPLETE
19,-0.0016559721242364045,2025-12-07 17:15:15.669195,2025-12-07 17:15:17.361535,0 days 00:00:01.692340,0.001825302404290731,extensive,COMPLETE
20,-0.0016559721242364045,2025-12-07 17:15:17.361535,2025-12-07 17:15:19.054961,0 days 00:00:01.693426,0.04633043521124795,extensive,COMPLETE
21,-0.0017467949838709436,2025-12-07 17:15:19.054961,2025-12-07 17:15:20.876243,0 days 00:00:01.821282,0.0005078929047587406,extensive,COMPLETE
22,-0.0016559721242364045,2025-12-07 17:15:20.876750,2025-12-07 17:15:22.661305,0 days 00:00:01.784555,0.002139089935552731,extensive,COMPLETE
23,-0.0036084182128684286,2025-12-07 17:15:22.661305,2025-12-07 17:15:24.574667,0 days 00:00:01.913362,0.0004707564561736037,extensive,COMPLETE
24,-0.39051838147411905,2025-12-07 17:15:24.576180,2025-12-07 17:15:27.600228,0 days 00:00:03.024048,0.0001352710343160136,extensive,COMPLETE
25,-4.7046687320362324e-05,2025-12-07 17:15:27.600228,2025-12-07 17:15:29.327431,0 days 00:00:01.727203,0.0006686702875917742,extensive,COMPLETE
26,-0.0436552488139362,2025-12-07 17:15:29.327431,2025-12-07 17:15:31.193094,0 days 00:00:01.865663,0.0002928038914201676,extensive,COMPLETE
27,-0.0016559721242364045,2025-12-07 17:15:31.193094,2025-12-07 17:15:32.885249,0 days 00:00:01.692155,0.0020022933864824594,extensive,COMPLETE
28,-0.0016559721242364045,2025-12-07 17:15:32.885249,2025-12-07 17:15:34.578853,0 days 00:00:01.693604,0.01505345110786249,extensive,COMPLETE
29,-0.0016559721242364045,2025-12-07 17:15:34.578853,2025-12-07 17:15:36.336972,0 days 00:00:01.758119,0.007788333626887665,extensive,COMPLETE
30,-0.0016559721242364045,2025-12-07 17:15:36.336972,2025-12-07 17:15:38.029509,0 days 00:00:01.692537,0.003778628826890182,extensive,COMPLETE
31,-0.0016559721242364045,2025-12-07 17:15:38.029509,2025-12-07 17:15:39.692900,0 days 00:00:01.663391,0.0010825321061144432,extensive,COMPLETE
32,-0.0335385914741532,2025-12-07 17:15:39.694922,2025-12-07 17:15:41.494703,0 days 00:00:01.799781,0.0003289029200130744,extensive,COMPLETE
33,-0.0013864156971329737,2025-12-07 17:15:41.494703,2025-12-07 17:15:43.204672,0 days 00:00:01.709969,0.0009709053568635715,extensive,COMPLETE
34,-0.0021772865684812257,2025-12-07 17:15:43.204672,2025-12-07 17:15:44.977142,0 days 00:00:01.772470,0.0004972810201662107,extensive,COMPLETE
