number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0016559721242364045,2025-12-07 17:02:07.318406,2025-12-07 17:02:08.487722,0 days 00:00:01.169316,0.0074593432857265485,medium,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:02:08.488726,2025-12-07 17:02:09.597079,0 days 00:00:01.108353,5.669849511478847,medium,COMPLETE
2,-0.0016559721242364045,2025-12-07 17:02:09.597079,2025-12-07 17:02:10.660553,0 days 00:00:01.063474,0.4570563099801455,medium,COMPLETE
3,-0.0016559721242364045,2025-12-07 17:02:10.661561,2025-12-07 17:02:11.738181,0 days 00:00:01.076620,0.09846738873614563,medium,COMPLETE
4,0.0008894859986559774,2025-12-07 17:02:11.738181,2025-12-07 17:02:12.830969,0 days 00:00:01.092788,0.0006026889128682511,medium,COMPLETE
5,0.0008889910392067361,2025-12-07 17:02:12.832974,2025-12-07 17:02:13.941572,0 days 00:00:01.108598,0.000602521573620386,medium,COMPLETE
6,-0.12370894897950113,2025-12-07 17:02:13.942577,2025-12-07 17:02:15.221382,0 days 00:00:01.278805,0.00019517224641449495,medium,COMPLETE
7,-0.0016559721242364045,2025-12-07 17:02:15.221382,2025-12-07 17:02:16.347722,0 days 00:00:01.126340,2.1423021757741068,medium,COMPLETE
8,-0.0016559721242364045,2025-12-07 17:02:16.349727,2025-12-07 17:02:17.424426,0 days 00:00:01.074699,0.10129197956845731,medium,COMPLETE
9,-0.0016559721242364045,2025-12-07 17:02:17.424426,2025-12-07 17:02:18.504188,0 days 00:00:01.079762,0.3470266988650412,medium,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:02:18.504188,2025-12-07 17:02:19.583293,0 days 00:00:01.079105,0.0036035178201071797,medium,COMPLETE
11,-45.65620418842352,2025-12-07 17:02:19.583293,2025-12-07 17:02:21.722668,0 days 00:00:02.139375,0.00010359916440554263,medium,COMPLETE
12,-0.0016559721242364045,2025-12-07 17:02:21.722668,2025-12-07 17:02:22.847994,0 days 00:00:01.125326,0.0010735378215036783,medium,COMPLETE
13,-0.0007622493294340282,2025-12-07 17:02:22.847994,2025-12-07 17:02:23.910654,0 days 00:00:01.062660,0.0008645528610564826,medium,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:02:23.910654,2025-12-07 17:02:24.988852,0 days 00:00:01.078198,0.009683790422339342,medium,COMPLETE
15,-0.00035827007804745126,2025-12-07 17:02:24.988852,2025-12-07 17:02:26.097404,0 days 00:00:01.108552,0.0008146970248165323,medium,COMPLETE
16,-0.025801761685891284,2025-12-07 17:02:26.098977,2025-12-07 17:02:27.300669,0 days 00:00:01.201692,0.00029837746301121656,medium,COMPLETE
17,-0.0016559721242364045,2025-12-07 17:02:27.300669,2025-12-07 17:02:28.390169,0 days 00:00:01.089500,0.01932360965321236,medium,COMPLETE
18,-0.0016559721242364045,2025-12-07 17:02:28.390169,2025-12-07 17:02:29.457773,0 days 00:00:01.067604,0.004579169815969729,medium,COMPLETE
19,-0.0016559721242364045,2025-12-07 17:02:29.459038,2025-12-07 17:02:30.551818,0 days 00:00:01.092780,0.001825302404290731,medium,COMPLETE
20,-0.0016559721242364045,2025-12-07 17:02:30.552820,2025-12-07 17:02:31.647105,0 days 00:00:01.094285,0.04633043521124795,medium,COMPLETE
21,0.000659350363806858,2025-12-07 17:02:31.648109,2025-12-07 17:02:32.832767,0 days 00:00:01.184658,0.0005078929047587406,medium,COMPLETE
22,-0.004250773578432436,2025-12-07 17:02:32.832767,2025-12-07 17:02:33.975636,0 days 00:00:01.142869,0.00041165833877968575,medium,COMPLETE
23,-0.0016559721242364045,2025-12-07 17:02:33.975636,2025-12-07 17:02:35.100329,0 days 00:00:01.124693,0.0019069508654554663,medium,COMPLETE
