number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0016559721242364045,2025-12-07 16:58:35.818561,2025-12-07 16:58:36.004782,0 days 00:00:00.186221,0.0074593432857265485,none,COMPLETE
1,-0.0016559721242364045,2025-12-07 16:58:36.004782,2025-12-07 16:58:36.200225,0 days 00:00:00.195443,5.669849511478847,none,COMPLETE
2,-0.0016559721242364045,2025-12-07 16:58:36.201776,2025-12-07 16:58:36.385439,0 days 00:00:00.183663,0.4570563099801455,none,COMPLETE
3,-0.0016559721242364045,2025-12-07 16:58:36.386832,2025-12-07 16:58:36.582284,0 days 00:00:00.195452,0.09846738873614563,none,COMPLETE
4,0.0009054760584533325,2025-12-07 16:58:36.584321,2025-12-07 16:58:36.780280,0 days 00:00:00.195959,0.0006026889128682511,none,COMPLETE
5,0.0009061420664067121,2025-12-07 16:58:36.782008,2025-12-07 16:58:36.981696,0 days 00:00:00.199688,0.000602521573620386,none,COMPLETE
6,-0.04834026987080753,2025-12-07 16:58:36.981696,2025-12-07 16:58:37.160260,0 days 00:00:00.178564,0.00019517224641449495,none,COMPLETE
7,-0.0016559721242364045,2025-12-07 16:58:37.160260,2025-12-07 16:58:37.345783,0 days 00:00:00.185523,2.1423021757741068,none,COMPLETE
8,-0.0016559721242364045,2025-12-07 16:58:37.347451,2025-12-07 16:58:37.531625,0 days 00:00:00.184174,0.10129197956845731,none,COMPLETE
9,-0.0016559721242364045,2025-12-07 16:58:37.536315,2025-12-07 16:58:37.723428,0 days 00:00:00.187113,0.3470266988650412,none,COMPLETE
10,-0.0016559721242364045,2025-12-07 16:58:37.724435,2025-12-07 16:58:37.910093,0 days 00:00:00.185658,0.0036035178201071797,none,COMPLETE
11,-0.1508129674608946,2025-12-07 16:58:37.912830,2025-12-07 16:58:38.103222,0 days 00:00:00.190392,0.00010359916440554263,none,COMPLETE
12,-0.0016559721242364045,2025-12-07 16:58:38.103755,2025-12-07 16:58:38.286064,0 days 00:00:00.182309,0.0010735378215036783,none,COMPLETE
13,-0.0008196033861388452,2025-12-07 16:58:38.287923,2025-12-07 16:58:38.471552,0 days 00:00:00.183629,0.0008645528610564826,none,COMPLETE
14,-0.0016559721242364045,2025-12-07 16:58:38.473499,2025-12-07 16:58:38.666288,0 days 00:00:00.192789,0.009683790422339342,none,COMPLETE
15,-0.0004243827679654884,2025-12-07 16:58:38.668130,2025-12-07 16:58:38.867786,0 days 00:00:00.199656,0.0008146970248165323,none,COMPLETE
16,-0.010657503994546272,2025-12-07 16:58:38.868297,2025-12-07 16:58:39.066611,0 days 00:00:00.198314,0.00029837746301121656,none,COMPLETE
17,-0.0016559721242364045,2025-12-07 16:58:39.068447,2025-12-07 16:58:39.264684,0 days 00:00:00.196237,0.01932360965321236,none,COMPLETE
18,-0.0016559721242364045,2025-12-07 16:58:39.264684,2025-12-07 16:58:39.456615,0 days 00:00:00.191931,0.004579169815969729,none,COMPLETE
19,-0.0016559721242364045,2025-12-07 16:58:39.458646,2025-12-07 16:58:39.644034,0 days 00:00:00.185388,0.001825302404290731,none,COMPLETE
20,-0.0016559721242364045,2025-12-07 16:58:39.646039,2025-12-07 16:58:39.831746,0 days 00:00:00.185707,0.04633043521124795,none,COMPLETE
21,0.0008143966963087834,2025-12-07 16:58:39.834033,2025-12-07 16:58:40.031920,0 days 00:00:00.197887,0.0005078929047587406,none,COMPLETE
22,-0.0016493141711819332,2025-12-07 16:58:40.033814,2025-12-07 16:58:40.223363,0 days 00:00:00.189549,0.00041165833877968575,none,COMPLETE
