number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0016559721242364045,2025-12-07 17:00:35.717594,2025-12-07 17:00:35.997456,0 days 00:00:00.279862,0.0074593432857265485,simple2,COMPLETE
1,-0.0016559721242364045,2025-12-07 17:00:35.998939,2025-12-07 17:00:36.289806,0 days 00:00:00.290867,5.669849511478847,simple2,COMPLETE
2,-0.0016559721242364045,2025-12-07 17:00:36.290812,2025-12-07 17:00:36.590617,0 days 00:00:00.299805,0.4570563099801455,simple2,COMPLETE
3,-0.0016559721242364045,2025-12-07 17:00:36.590617,2025-12-07 17:00:36.902524,0 days 00:00:00.311907,0.09846738873614563,simple2,COMPLETE
4,0.0001406080743682573,2025-12-07 17:00:36.902524,2025-12-07 17:00:37.214877,0 days 00:00:00.312353,0.0006026889128682511,simple2,COMPLETE
5,0.00014131802020911355,2025-12-07 17:00:37.214877,2025-12-07 17:00:37.527669,0 days 00:00:00.312792,0.000602521573620386,simple2,COMPLETE
6,-0.06644468324332298,2025-12-07 17:00:37.528673,2025-12-07 17:00:37.840253,0 days 00:00:00.311580,0.00019517224641449495,simple2,COMPLETE
7,-0.0016559721242364045,2025-12-07 17:00:37.840253,2025-12-07 17:00:38.129099,0 days 00:00:00.288846,2.1423021757741068,simple2,COMPLETE
8,-0.0016559721242364045,2025-12-07 17:00:38.130103,2025-12-07 17:00:38.435143,0 days 00:00:00.305040,0.10129197956845731,simple2,COMPLETE
9,-0.0016559721242364045,2025-12-07 17:00:38.436156,2025-12-07 17:00:38.731755,0 days 00:00:00.295599,0.3470266988650412,simple2,COMPLETE
10,-0.0016559721242364045,2025-12-07 17:00:38.731755,2025-12-07 17:00:39.026754,0 days 00:00:00.294999,0.0036035178201071797,simple2,COMPLETE
11,-0.29018280630080856,2025-12-07 17:00:39.027264,2025-12-07 17:00:39.356993,0 days 00:00:00.329729,0.00010359916440554263,simple2,COMPLETE
12,-0.0016426797902154473,2025-12-07 17:00:39.356993,2025-12-07 17:00:39.667111,0 days 00:00:00.310118,0.0010735378215036783,simple2,COMPLETE
13,-0.0010716451142991357,2025-12-07 17:00:39.667985,2025-12-07 17:00:39.958251,0 days 00:00:00.290266,0.0008645528610564826,simple2,COMPLETE
14,-0.0016559721242364045,2025-12-07 17:00:39.958251,2025-12-07 17:00:40.263163,0 days 00:00:00.304912,0.009683790422339342,simple2,COMPLETE
15,-0.0008366162732877195,2025-12-07 17:00:40.265173,2025-12-07 17:00:40.561460,0 days 00:00:00.296287,0.0008146970248165323,simple2,COMPLETE
16,-0.015342722071851536,2025-12-07 17:00:40.562467,2025-12-07 17:00:40.872456,0 days 00:00:00.309989,0.00029837746301121656,simple2,COMPLETE
17,-0.0016559721242364045,2025-12-07 17:00:40.872456,2025-12-07 17:00:41.185015,0 days 00:00:00.312559,0.01932360965321236,simple2,COMPLETE
18,-0.0016559721242364045,2025-12-07 17:00:41.186019,2025-12-07 17:00:41.507171,0 days 00:00:00.321152,0.004579169815969729,simple2,COMPLETE
19,-0.0016559721242364045,2025-12-07 17:00:41.507171,2025-12-07 17:00:41.814314,0 days 00:00:00.307143,0.001825302404290731,simple2,COMPLETE
20,-0.0016559721242364045,2025-12-07 17:00:41.814314,2025-12-07 17:00:42.122331,0 days 00:00:00.308017,0.04633043521124795,simple2,COMPLETE
21,-0.00012712899715994208,2025-12-07 17:00:42.122331,2025-12-07 17:00:42.426805,0 days 00:00:00.304474,0.0005078929047587406,simple2,COMPLETE
22,-0.003183108083501492,2025-12-07 17:00:42.427313,2025-12-07 17:00:42.730767,0 days 00:00:00.303454,0.00041165833877968575,simple2,COMPLETE
23,-0.0016559721242364045,2025-12-07 17:00:42.730767,2025-12-07 17:00:43.027031,0 days 00:00:00.296264,0.0019069508654554663,simple2,COMPLETE
24,-0.17364831883826834,2025-12-07 17:00:43.027538,2025-12-07 17:00:43.325045,0 days 00:00:00.297507,0.0001352710343160136,simple2,COMPLETE
25,-0.006581884720894789,2025-12-07 17:00:43.326049,2025-12-07 17:00:43.622276,0 days 00:00:00.296227,0.00036124964043704927,simple2,COMPLETE
26,-0.0016559721242364045,2025-12-07 17:00:43.622276,2025-12-07 17:00:43.919697,0 days 00:00:00.297421,0.002154851188001226,simple2,COMPLETE
27,0.00013786143314694263,2025-12-07 17:00:43.919697,2025-12-07 17:00:44.209046,0 days 00:00:00.289349,0.0006033175476678097,simple2,COMPLETE
28,-0.0016559721242364045,2025-12-07 17:00:44.210050,2025-12-07 17:00:44.496808,0 days 00:00:00.286758,0.01505345110786249,simple2,COMPLETE
29,-0.0016559721242364045,2025-12-07 17:00:44.496808,2025-12-07 17:00:44.777551,0 days 00:00:00.280743,0.007788333626887665,simple2,COMPLETE
30,-0.0016559721242364045,2025-12-07 17:00:44.778216,2025-12-07 17:00:45.075641,0 days 00:00:00.297425,0.003778628826890182,simple2,COMPLETE
31,-0.0003411651610638981,2025-12-07 17:00:45.076651,2025-12-07 17:00:45.373246,0 days 00:00:00.296595,0.00046042181370349106,simple2,COMPLETE
32,0.00016817637864903942,2025-12-07 17:00:45.374313,2025-12-07 17:00:45.686085,0 days 00:00:00.311772,0.0005959439946187845,simple2,COMPLETE
33,-0.0016559721242364045,2025-12-07 17:00:45.686085,2025-12-07 17:00:45.981652,0 days 00:00:00.295567,0.0012086006550743914,simple2,COMPLETE
34,-0.04085598055751986,2025-12-07 17:00:45.981652,2025-12-07 17:00:46.293187,0 days 00:00:00.311535,0.0002291027226303695,simple2,COMPLETE
35,-0.00010672326384908448,2025-12-07 17:00:46.293187,2025-12-07 17:00:46.597967,0 days 00:00:00.304780,0.0006622599815293231,simple2,COMPLETE
36,-0.11448921795450029,2025-12-07 17:00:46.597967,2025-12-07 17:00:46.905887,0 days 00:00:00.307920,0.00016234677172838175,simple2,COMPLETE
37,-0.0016559721242364045,2025-12-07 17:00:46.906892,2025-12-07 17:00:47.209061,0 days 00:00:00.302169,9.551743658898701,simple2,COMPLETE
38,-0.0016559721242364045,2025-12-07 17:00:47.209061,2025-12-07 17:00:47.513380,0 days 00:00:00.304319,1.7178317166633594,simple2,COMPLETE
39,-0.0016559721242364045,2025-12-07 17:00:47.513380,2025-12-07 17:00:47.810284,0 days 00:00:00.296904,0.002818239024859027,simple2,COMPLETE
40,-0.0016559721242364045,2025-12-07 17:00:47.810284,2025-12-07 17:00:48.112179,0 days 00:00:00.301895,0.0012056614085382612,simple2,COMPLETE
41,-3.7939930223200115e-05,2025-12-07 17:00:48.113429,2025-12-07 17:00:48.420785,0 days 00:00:00.307356,0.0006503260573439714,simple2,COMPLETE
42,-0.03880108680925746,2025-12-07 17:00:48.421788,2025-12-07 17:00:48.747814,0 days 00:00:00.326026,0.00023251552830485026,simple2,COMPLETE
43,-0.00012517797912192652,2025-12-07 17:00:48.748819,2025-12-07 17:00:49.076297,0 days 00:00:00.327478,0.0006653791962641976,simple2,COMPLETE
44,-0.0016559721242364045,2025-12-07 17:00:49.076808,2025-12-07 17:00:49.389059,0 days 00:00:00.312251,0.2761515974037503,simple2,COMPLETE
45,-0.0016559721242364045,2025-12-07 17:00:49.389059,2025-12-07 17:00:49.701646,0 days 00:00:00.312587,0.0013515485054136644,simple2,COMPLETE
46,-0.2610466951033584,2025-12-07 17:00:49.701646,2025-12-07 17:00:50.013705,0 days 00:00:00.312059,0.00010935767944590784,simple2,COMPLETE
47,-0.02948571301878004,2025-12-07 17:00:50.013705,2025-12-07 17:00:50.313653,0 days 00:00:00.299948,0.00024962037724843294,simple2,COMPLETE
48,-0.0016559721242364045,2025-12-07 17:00:50.313653,2025-12-07 17:00:50.644313,0 days 00:00:00.330660,0.005028183372852883,simple2,COMPLETE
