number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feature_level,state
0,-0.0016559721242364045,2025-12-07 16:59:32.962035,2025-12-07 16:59:33.164780,0 days 00:00:00.202745,0.0074593432857265485,simple,COMPLETE
1,-0.0016559721242364045,2025-12-07 16:59:33.164780,2025-12-07 16:59:33.366307,0 days 00:00:00.201527,5.669849511478847,simple,COMPLETE
2,-0.0016559721242364045,2025-12-07 16:59:33.368296,2025-12-07 16:59:33.571859,0 days 00:00:00.203563,0.4570563099801455,simple,COMPLETE
3,-0.0016559721242364045,2025-12-07 16:59:33.572413,2025-12-07 16:59:33.820414,0 days 00:00:00.248001,0.09846738873614563,simple,COMPLETE
4,0.0009213399378535195,2025-12-07 16:59:33.822849,2025-12-07 16:59:34.040714,0 days 00:00:00.217865,0.0006026889128682511,simple,COMPLETE
5,0.00092202381883566,2025-12-07 16:59:34.040714,2025-12-07 16:59:34.252564,0 days 00:00:00.211850,0.000602521573620386,simple,COMPLETE
6,-0.04150404072084587,2025-12-07 16:59:34.252564,2025-12-07 16:59:34.460955,0 days 00:00:00.208391,0.00019517224641449495,simple,COMPLETE
7,-0.0016559721242364045,2025-12-07 16:59:34.460955,2025-12-07 16:59:34.663759,0 days 00:00:00.202804,2.1423021757741068,simple,COMPLETE
8,-0.0016559721242364045,2025-12-07 16:59:34.665790,2025-12-07 16:59:34.868152,0 days 00:00:00.202362,0.10129197956845731,simple,COMPLETE
9,-0.0016559721242364045,2025-12-07 16:59:34.868152,2025-12-07 16:59:35.071050,0 days 00:00:00.202898,0.3470266988650412,simple,COMPLETE
10,-0.0016559721242364045,2025-12-07 16:59:35.072311,2025-12-07 16:59:35.289932,0 days 00:00:00.217621,0.0036035178201071797,simple,COMPLETE
11,-0.14338315025791037,2025-12-07 16:59:35.292026,2025-12-07 16:59:35.506523,0 days 00:00:00.214497,0.00010359916440554263,simple,COMPLETE
12,-0.0016559721242364045,2025-12-07 16:59:35.507725,2025-12-07 16:59:35.722797,0 days 00:00:00.215072,0.0010735378215036783,simple,COMPLETE
