number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.0016559720935109083,2025-12-07 18:39:54.661077,2025-12-07 18:39:56.897200,0 days 00:00:02.236123,0.5779972601681014,0.044803926826840625,12,64,420,88,4.330880728874676,2.416482602989751,0.5780093202212182,advanced,COMPLETE
1,-0.0015968917655884152,2025-12-07 18:39:56.897200,2025-12-07 18:39:59.931320,0 days 00:00:03.034120,0.5909124836035503,0.09138013915892866,3,85,897,110,1.5212112147976886,1.6124278458562613,0.6061695553391381,advanced,COMPLETE
2,-0.0016559720935109083,2025-12-07 18:39:59.931320,2025-12-07 18:40:05.166106,0 days 00:00:05.234786,0.6831809216468459,0.03126143958203108,5,22,1933,92,3.925879806965068,0.2880416977880551,0.6460723242676091,advanced,COMPLETE
3,-0.0016559720935109083,2025-12-07 18:40:05.166106,2025-12-07 18:40:13.061557,0 days 00:00:07.895451,0.5325257964926398,0.005746499650110705,8,65,3806,97,4.828160165372797,7.246804518258447,0.5852620618436457,advanced,COMPLETE
4,-0.0016559720935109083,2025-12-07 18:40:13.063108,2025-12-07 18:40:15.219694,0 days 00:00:02.156586,0.7475884550556351,0.03883092140196444,3,50,330,83,4.546602010393911,0.3939675937754722,0.5610191174223894,advanced,COMPLETE
5,-0.0016559720935109083,2025-12-07 18:40:15.220742,2025-12-07 18:40:25.316980,0 days 00:00:10.096238,0.9847923138822793,0.023746198818402044,6,59,3146,107,4.697494707820946,11.455777613940603,0.5924272277627636,advanced,COMPLETE
6,-0.0015794116077837799,2025-12-07 18:40:25.317866,2025-12-07 18:40:30.103079,0 days 00:00:04.785213,0.6626651653816322,0.006517805612564439,12,27,1677,102,1.3567451588694794,8.071418522169695,0.522613644455269,advanced,COMPLETE
7,-0.0016559720935109083,2025-12-07 18:40:30.103079,2025-12-07 18:40:38.157690,0 days 00:00:08.054611,0.5372753218398854,0.025411709798607296,5,22,3951,87,3.861223846483287,0.28658321062461245,0.9010984903770198,advanced,COMPLETE
8,-0.02920814206796137,2025-12-07 18:40:38.157690,2025-12-07 18:40:42.564555,0 days 00:00:04.406865,0.5370223258670452,0.04155397855708038,11,76,1562,64,0.5793452976256486,9.683377710407786,0.8856351733429728,advanced,COMPLETE
9,-0.0016559720935109083,2025-12-07 18:40:42.564555,2025-12-07 18:40:49.912751,0 days 00:00:07.348196,0.864803089169032,0.006048689963516921,6,38,2623,104,4.436063712881633,1.2206206339370174,0.6625916610133735,advanced,COMPLETE
10,-0.0016559720935109083,2025-12-07 18:40:49.913454,2025-12-07 18:40:53.710161,0 days 00:00:03.796707,0.6808837830192477,0.010604680227394138,10,11,1217,125,1.962264460513162,3.461107795152951,0.7828065453407016,advanced,COMPLETE
