number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.0016559720935109083,2025-12-07 18:19:08.804107,2025-12-07 18:19:10.955020,0 days 00:00:02.150913,0.5779972601681014,0.044803926826840625,12,64,420,88,4.330880728874676,2.416482602989751,0.5780093202212182,medium,COMPLETE
1,-0.0016041826867279063,2025-12-07 18:19:10.955020,2025-12-07 18:19:13.933194,0 days 00:00:02.978174,0.5909124836035503,0.09138013915892866,3,85,897,110,1.5212112147976886,1.6124278458562613,0.6061695553391381,medium,COMPLETE
2,-0.0016559720935109083,2025-12-07 18:19:13.933194,2025-12-07 18:19:18.747265,0 days 00:00:04.814071,0.6831809216468459,0.03126143958203108,5,22,1933,92,3.925879806965068,0.2880416977880551,0.6460723242676091,medium,COMPLETE
3,-0.0016559720935109083,2025-12-07 18:19:18.747265,2025-12-07 18:19:25.758307,0 days 00:00:07.011042,0.5325257964926398,0.005746499650110705,8,65,3806,97,4.828160165372797,7.246804518258447,0.5852620618436457,medium,COMPLETE
4,-0.0016559720935109083,2025-12-07 18:19:25.758307,2025-12-07 18:19:27.653200,0 days 00:00:01.894893,0.7475884550556351,0.03883092140196444,3,50,330,83,4.546602010393911,0.3939675937754722,0.5610191174223894,medium,COMPLETE
5,-0.0016559720935109083,2025-12-07 18:19:27.654702,2025-12-07 18:19:36.388524,0 days 00:00:08.733822,0.9847923138822793,0.023746198818402044,6,59,3146,107,4.697494707820946,11.455777613940603,0.5924272277627636,medium,COMPLETE
6,-0.0016462960629721746,2025-12-07 18:19:36.388524,2025-12-07 18:19:40.750375,0 days 00:00:04.361851,0.6626651653816322,0.006517805612564439,12,27,1677,102,1.3567451588694794,8.071418522169695,0.522613644455269,medium,COMPLETE
7,-0.0016559720935109083,2025-12-07 18:19:40.750375,2025-12-07 18:19:48.148662,0 days 00:00:07.398287,0.5372753218398854,0.025411709798607296,5,22,3951,87,3.861223846483287,0.28658321062461245,0.9010984903770198,medium,COMPLETE
8,-0.02869390813433507,2025-12-07 18:19:48.148662,2025-12-07 18:19:52.259374,0 days 00:00:04.110712,0.5370223258670452,0.04155397855708038,11,76,1562,64,0.5793452976256486,9.683377710407786,0.8856351733429728,medium,COMPLETE
9,-0.0016559720935109083,2025-12-07 18:19:52.261380,2025-12-07 18:19:58.835272,0 days 00:00:06.573892,0.864803089169032,0.006048689963516921,6,38,2623,104,4.436063712881633,1.2206206339370174,0.6625916610133735,medium,COMPLETE
10,-0.0016559720935109083,2025-12-07 18:19:58.836268,2025-12-07 18:20:02.559378,0 days 00:00:03.723110,0.8451235367845726,0.09127815799510311,3,96,1170,126,2.020130360093224,1.267279965804996,0.7728591400411078,medium,COMPLETE
11,-0.0015999197492537753,2025-12-07 18:20:02.561380,2025-12-07 18:20:05.789086,0 days 00:00:03.227706,0.6528046433212806,0.01019280850703028,9,93,1112,117,1.555763097643428,3.7362383800411534,0.5156896024754595,medium,COMPLETE
12,-0.0016559720935109083,2025-12-07 18:20:05.789086,2025-12-07 18:20:08.597086,0 days 00:00:02.808000,0.6372424866412405,0.012103649913038639,9,100,890,119,2.870841099321826,2.9440370861718272,0.7343526094439211,medium,COMPLETE
13,-0.04463264468446689,2025-12-07 18:20:08.597086,2025-12-07 18:20:16.783391,0 days 00:00:08.186305,0.7484483315394533,0.011972222025425703,10,83,1110,116,0.3933984322237929,0.6506447431290971,0.5013125171775472,medium,COMPLETE
14,-0.0015921433569134151,2025-12-07 18:20:16.783391,2025-12-07 18:20:21.911752,0 days 00:00:05.128361,0.6061144325936357,0.07719592451172573,8,84,2323,112,1.471208002214497,3.5750056154837258,0.6847233783817671,medium,COMPLETE
15,-0.0016559720935109083,2025-12-07 18:20:21.913424,2025-12-07 18:20:27.778343,0 days 00:00:05.864919,0.6815653198072927,0.011845370222293119,8,76,2493,128,2.7508491606299526,4.813701745638061,0.7852899772874895,medium,COMPLETE
16,-0.005869776599333705,2025-12-07 18:20:27.778343,2025-12-07 18:20:33.788236,0 days 00:00:06.009893,0.6167916454737626,0.061835200948335084,10,93,2697,116,1.0158746401410932,0.10723233615838117,0.7068873422985599,medium,COMPLETE
17,-0.0016559720935109083,2025-12-07 18:20:33.788236,2025-12-07 18:20:39.478311,0 days 00:00:05.690075,0.8214237152952777,0.01815520160405553,7,87,2233,77,2.1451435382376207,19.4373212779029,0.8448372126058836,medium,COMPLETE
18,-0.0016559720935109083,2025-12-07 18:20:39.478311,2025-12-07 18:20:46.520234,0 days 00:00:07.041923,0.7133528366002961,0.008658761363811116,9,49,3191,121,2.199948544063399,3.630512648488239,0.8152150954462254,medium,COMPLETE
19,-0.0016559720935109083,2025-12-07 18:20:46.520234,2025-12-07 18:20:50.812303,0 days 00:00:04.292069,0.8029949026915341,0.01662030949631951,9,74,1578,110,3.213827272429557,4.665236598277345,0.9476234486246518,medium,COMPLETE
20,-0.17480460448619586,2025-12-07 18:20:50.814317,2025-12-07 18:21:07.874022,0 days 00:00:17.059705,0.9192935333529578,0.06195593486423851,7,71,2111,98,0.058104808137766195,2.0753981086054263,0.9940755679519044,medium,COMPLETE
21,-0.0016054935702001967,2025-12-07 18:21:07.874022,2025-12-07 18:21:10.491993,0 days 00:00:02.617971,0.5983947023429603,0.0862086696400962,4,86,796,112,1.5590713666674156,1.4866949762597115,0.6620433464699486,medium,COMPLETE
22,-0.0017279083454763884,2025-12-07 18:21:10.491993,2025-12-07 18:21:12.894965,0 days 00:00:02.402972,0.5838709678860352,0.06295603277013298,10,88,669,112,1.3305128603818839,0.7999199698009415,0.6229149103710878,medium,COMPLETE
23,-0.0016559720935109083,2025-12-07 18:21:12.897214,2025-12-07 18:21:16.292536,0 days 00:00:03.395322,0.6417992544303943,0.09929097114435019,8,11,1260,121,1.7391518625853002,2.0529429638659265,0.6999065487486819,medium,COMPLETE
24,-0.012110286983481119,2025-12-07 18:21:16.295102,2025-12-07 18:21:20.461627,0 days 00:00:04.166525,0.567836097444345,0.06839873259580499,6,81,1799,103,0.848116518521687,4.231007263364097,0.536245863988917,medium,COMPLETE
25,-0.0079039715294598,2025-12-07 18:21:20.461627,2025-12-07 18:21:23.854548,0 days 00:00:03.392921,0.5010688231881053,0.047670615438648097,7,93,1388,123,0.9272497027537808,0.7813022516429069,0.6189762122372202,medium,COMPLETE
26,-0.0016559720935109083,2025-12-07 18:21:23.856591,2025-12-07 18:21:25.613183,0 days 00:00:01.756592,0.691789366510063,0.008327537178284349,11,68,228,115,1.8129026018482026,5.69538688333496,0.5462758066442356,medium,COMPLETE
27,-0.0016559720935109083,2025-12-07 18:21:25.614186,2025-12-07 18:21:31.097332,0 days 00:00:05.483146,0.6272335105110681,0.07943325530422125,4,80,2365,107,2.3147323720742654,1.6603307569186099,0.6860776522846479,medium,COMPLETE
28,-0.0019562924236958454,2025-12-07 18:21:31.097332,2025-12-07 18:21:38.075696,0 days 00:00:06.978364,0.7155876633823498,0.01730443471975251,9,96,2978,109,1.2643784925919033,13.192196250755297,0.6145773566887293,medium,COMPLETE
29,-0.0016559720935109083,2025-12-07 18:21:38.075696,2025-12-07 18:21:40.177163,0 days 00:00:02.101467,0.5798911615974799,0.034134478167367976,8,56,516,99,2.6578762696848983,2.4053203451289176,0.5031513583901845,medium,COMPLETE
30,-0.0016559720935109083,2025-12-07 18:21:40.178668,2025-12-07 18:21:48.317466,0 days 00:00:08.138798,0.77579697362929,0.04945849917739954,11,100,1003,94,3.1256979652010877,3.168343894134961,0.5860506535327282,medium,COMPLETE
31,-0.0016156718908069134,2025-12-07 18:21:48.317466,2025-12-07 18:21:50.840505,0 days 00:00:02.523039,0.6048015988570616,0.078315834625999,3,87,773,113,1.647349103636333,1.4239635203810506,0.6712579797544722,medium,COMPLETE
32,-0.0015903234108602948,2025-12-07 18:21:50.842509,2025-12-07 18:21:53.163666,0 days 00:00:02.321157,0.5989695555993079,0.08154366958417068,4,86,595,118,1.4659236082008376,1.1387414558272573,0.732759981566886,medium,COMPLETE
33,-0.022106580853094027,2025-12-07 18:21:53.165308,2025-12-07 18:21:55.515151,0 days 00:00:02.349843,0.5589757635332835,0.05225067785683946,4,65,518,118,0.6595898824465515,0.9745064645893771,0.7325774967148929,medium,COMPLETE
