number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.0016559720935109083,2025-12-07 18:09:34.585540,2025-12-07 18:09:36.515649,0 days 00:00:01.930109,0.5779972601681014,0.044803926826840625,12,64,420,88,4.330880728874676,2.416482602989751,0.5780093202212182,none,COMPLETE
1,-0.0016532214395248435,2025-12-07 18:09:36.515649,2025-12-07 18:09:38.284134,0 days 00:00:01.768485,0.5909124836035503,0.09138013915892866,3,85,897,110,1.5212112147976886,1.6124278458562613,0.6061695553391381,none,COMPLETE
2,-0.0016559720935109083,2025-12-07 18:09:38.284134,2025-12-07 18:09:40.296973,0 days 00:00:02.012839,0.6831809216468459,0.03126143958203108,5,22,1933,92,3.925879806965068,0.2880416977880551,0.6460723242676091,none,COMPLETE
3,-0.0016559720935109083,2025-12-07 18:09:40.296973,2025-12-07 18:09:42.598016,0 days 00:00:02.301043,0.5325257964926398,0.005746499650110705,8,65,3806,97,4.828160165372797,7.246804518258447,0.5852620618436457,none,COMPLETE
4,-0.0016559720935109083,2025-12-07 18:09:42.599529,2025-12-07 18:09:44.306074,0 days 00:00:01.706545,0.7475884550556351,0.03883092140196444,3,50,330,83,4.546602010393911,0.3939675937754722,0.5610191174223894,none,COMPLETE
5,-0.0016559720935109083,2025-12-07 18:09:44.306074,2025-12-07 18:09:46.112993,0 days 00:00:01.806919,0.9847923138822793,0.023746198818402044,6,59,3146,107,4.697494707820946,11.455777613940603,0.5924272277627636,none,COMPLETE
6,-0.0017389010904425757,2025-12-07 18:09:46.114618,2025-12-07 18:09:46.735934,0 days 00:00:00.621316,0.6626651653816322,0.006517805612564439,12,27,1677,102,1.3567451588694794,8.071418522169695,0.522613644455269,none,COMPLETE
7,-0.0016559720935109083,2025-12-07 18:09:46.735934,2025-12-07 18:09:47.711174,0 days 00:00:00.975240,0.5372753218398854,0.025411709798607296,5,22,3951,87,3.861223846483287,0.28658321062461245,0.9010984903770198,none,COMPLETE
8,-0.00364108653630039,2025-12-07 18:09:47.711174,2025-12-07 18:09:48.304743,0 days 00:00:00.593569,0.5370223258670452,0.04155397855708038,11,76,1562,64,0.5793452976256486,9.683377710407786,0.8856351733429728,none,COMPLETE
9,-0.0016559720935109083,2025-12-07 18:09:48.304743,2025-12-07 18:09:49.053505,0 days 00:00:00.748762,0.864803089169032,0.006048689963516921,6,38,2623,104,4.436063712881633,1.2206206339370174,0.6625916610133735,none,COMPLETE
10,-0.0016559720935109083,2025-12-07 18:09:49.054920,2025-12-07 18:09:49.481589,0 days 00:00:00.426669,0.8451235367845726,0.09127815799510311,3,96,1170,126,2.020130360093224,1.267279965804996,0.7728591400411078,none,COMPLETE
11,-0.0016559720935109083,2025-12-07 18:09:49.481589,2025-12-07 18:09:49.750771,0 days 00:00:00.269182,0.6284908682843016,0.09059349670307948,9,89,283,117,2.8664548882561456,2.6914964369372814,0.7464321851585245,none,COMPLETE
12,-0.0016559720935109083,2025-12-07 18:09:49.750771,2025-12-07 18:09:50.093801,0 days 00:00:00.343030,0.6368719098105871,0.05794418779515518,10,81,693,76,2.6740545336296453,2.6900747167288377,0.7343526094439211,none,COMPLETE
13,-0.001684113288051033,2025-12-07 18:09:50.093801,2025-12-07 18:09:50.563511,0 days 00:00:00.469710,0.5859890951691943,0.011578695967024497,12,71,996,118,1.4228709664159436,3.0437815990665307,0.5027261947767732,none,COMPLETE
