number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.0016559720935109083,2025-12-07 18:14:54.391637,2025-12-07 18:14:54.841220,0 days 00:00:00.449583,0.5779972601681014,0.044803926826840625,12,64,420,88,4.330880728874676,2.416482602989751,0.5780093202212182,simple2,COMPLETE
1,-0.0016559720935109083,2025-12-07 18:14:54.841220,2025-12-07 18:14:55.424690,0 days 00:00:00.583470,0.5909124836035503,0.09138013915892866,3,85,897,110,1.5212112147976886,1.6124278458562613,0.6061695553391381,simple2,COMPLETE
2,-0.0016559720935109083,2025-12-07 18:14:55.424690,2025-12-07 18:14:56.256612,0 days 00:00:00.831922,0.6831809216468459,0.03126143958203108,5,22,1933,92,3.925879806965068,0.2880416977880551,0.6460723242676091,simple2,COMPLETE
3,-0.0016559720935109083,2025-12-07 18:14:56.256612,2025-12-07 18:14:57.562116,0 days 00:00:01.305504,0.5325257964926398,0.005746499650110705,8,65,3806,97,4.828160165372797,7.246804518258447,0.5852620618436457,simple2,COMPLETE
4,-0.0016559720935109083,2025-12-07 18:14:57.562116,2025-12-07 18:14:57.981082,0 days 00:00:00.418966,0.7475884550556351,0.03883092140196444,3,50,330,83,4.546602010393911,0.3939675937754722,0.5610191174223894,simple2,COMPLETE
5,-0.0016559720935109083,2025-12-07 18:14:57.981082,2025-12-07 18:14:59.191106,0 days 00:00:01.210024,0.9847923138822793,0.023746198818402044,6,59,3146,107,4.697494707820946,11.455777613940603,0.5924272277627636,simple2,COMPLETE
6,-0.0016556298409980592,2025-12-07 18:14:59.191106,2025-12-07 18:15:00.050959,0 days 00:00:00.859853,0.6626651653816322,0.006517805612564439,12,27,1677,102,1.3567451588694794,8.071418522169695,0.522613644455269,simple2,COMPLETE
7,-0.0016559720935109083,2025-12-07 18:15:00.050959,2025-12-07 18:15:01.449417,0 days 00:00:01.398458,0.5372753218398854,0.025411709798607296,5,22,3951,87,3.861223846483287,0.28658321062461245,0.9010984903770198,simple2,COMPLETE
8,-0.007291203453200075,2025-12-07 18:15:01.449417,2025-12-07 18:15:02.294383,0 days 00:00:00.844966,0.5370223258670452,0.04155397855708038,11,76,1562,64,0.5793452976256486,9.683377710407786,0.8856351733429728,simple2,COMPLETE
9,-0.0016559720935109083,2025-12-07 18:15:02.294383,2025-12-07 18:15:03.357403,0 days 00:00:01.063020,0.864803089169032,0.006048689963516921,6,38,2623,104,4.436063712881633,1.2206206339370174,0.6625916610133735,simple2,COMPLETE
