number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
0,-0.0016559720935109083,2025-12-07 18:12:10.261621,2025-12-07 18:12:10.584785,0 days 00:00:00.323164,0.5779972601681014,0.044803926826840625,12,64,420,88,4.330880728874676,2.416482602989751,0.5780093202212182,simple,COMPLETE
1,-0.0016532214395248435,2025-12-07 18:12:10.586301,2025-12-07 18:12:11.021220,0 days 00:00:00.434919,0.5909124836035503,0.09138013915892866,3,85,897,110,1.5212112147976886,1.6124278458562613,0.6061695553391381,simple,COMPLETE
2,-0.0016559720935109083,2025-12-07 18:12:11.021220,2025-12-07 18:12:11.722656,0 days 00:00:00.701436,0.6831809216468459,0.03126143958203108,5,22,1933,92,3.925879806965068,0.2880416977880551,0.6460723242676091,simple,COMPLETE
3,-0.0016559720935109083,2025-12-07 18:12:11.722656,2025-12-07 18:12:12.792291,0 days 00:00:01.069635,0.5325257964926398,0.005746499650110705,8,65,3806,97,4.828160165372797,7.246804518258447,0.5852620618436457,simple,COMPLETE
4,-0.0016559720935109083,2025-12-07 18:12:12.792291,2025-12-07 18:12:13.091657,0 days 00:00:00.299366,0.7475884550556351,0.03883092140196444,3,50,330,83,4.546602010393911,0.3939675937754722,0.5610191174223894,simple,COMPLETE
5,-0.0016559720935109083,2025-12-07 18:12:13.091657,2025-12-07 18:12:14.093818,0 days 00:00:01.002161,0.9847923138822793,0.023746198818402044,6,59,3146,107,4.697494707820946,11.455777613940603,0.5924272277627636,simple,COMPLETE
6,-0.0017407461755047187,2025-12-07 18:12:14.093818,2025-12-07 18:12:14.817519,0 days 00:00:00.723701,0.6626651653816322,0.006517805612564439,12,27,1677,102,1.3567451588694794,8.071418522169695,0.522613644455269,simple,COMPLETE
7,-0.0016559720935109083,2025-12-07 18:12:14.818631,2025-12-07 18:12:15.988354,0 days 00:00:01.169723,0.5372753218398854,0.025411709798607296,5,22,3951,87,3.861223846483287,0.28658321062461245,0.9010984903770198,simple,COMPLETE
8,-0.007007105370795186,2025-12-07 18:12:15.988354,2025-12-07 18:12:16.746259,0 days 00:00:00.757905,0.5370223258670452,0.04155397855708038,11,76,1562,64,0.5793452976256486,9.683377710407786,0.8856351733429728,simple,COMPLETE
9,-0.0016559720935109083,2025-12-07 18:12:16.746655,2025-12-07 18:12:17.604650,0 days 00:00:00.857995,0.864803089169032,0.006048689963516921,6,38,2623,104,4.436063712881633,1.2206206339370174,0.6625916610133735,simple,COMPLETE
10,-0.0016559720935109083,2025-12-07 18:12:17.605710,2025-12-07 18:12:18.104408,0 days 00:00:00.498698,0.8451235367845726,0.09127815799510311,3,96,1170,126,2.020130360093224,1.267279965804996,0.7728591400411078,simple,COMPLETE
11,-0.0016559720935109083,2025-12-07 18:12:18.104408,2025-12-07 18:12:18.404209,0 days 00:00:00.299801,0.6284908682843016,0.09059349670307948,9,89,283,117,2.8664548882561456,2.6914964369372814,0.7464321851585245,simple,COMPLETE
12,-0.0016559720935109083,2025-12-07 18:12:18.404209,2025-12-07 18:12:18.784619,0 days 00:00:00.380410,0.6368719098105871,0.05794418779515518,10,81,693,76,2.6740545336296453,2.6900747167288377,0.7343526094439211,simple,COMPLETE
13,-0.0016841113515732402,2025-12-07 18:12:18.784619,2025-12-07 18:12:19.307614,0 days 00:00:00.522995,0.5859890951691943,0.011578695967024497,12,71,996,118,1.4228709664159436,3.0437815990665307,0.5027261947767732,simple,COMPLETE
14,-0.0016559720935109083,2025-12-07 18:12:19.308690,2025-12-07 18:12:19.748261,0 days 00:00:00.439571,0.7466249497215666,0.06088982687850378,8,47,968,111,3.44577911492431,0.6858187140623053,0.6671680435920644,simple,COMPLETE
15,-0.24794027670480237,2025-12-07 18:12:19.748261,2025-12-07 18:12:22.061324,0 days 00:00:02.313063,0.5943154140680537,0.059459792058418816,10,86,2423,71,0.07755190997113548,4.436892093045354,0.8202139292383122,simple,COMPLETE
16,-0.0016559720935109083,2025-12-07 18:12:22.061324,2025-12-07 18:12:22.340718,0 days 00:00:00.279394,0.51059520987161,0.013803691767380733,4,99,203,94,1.9438459739319311,0.10723233615838117,0.6274809405587258,simple,COMPLETE
17,-0.002248356736747651,2025-12-07 18:12:22.340718,2025-12-07 18:12:22.783137,0 days 00:00:00.442419,0.6900913631930553,0.07059064774462229,7,69,1335,81,1.255773118034989,19.078647856602792,0.7117505980173551,simple,COMPLETE
18,-0.0016559720935109083,2025-12-07 18:12:22.783137,2025-12-07 18:12:23.253734,0 days 00:00:00.470597,0.8221116350657081,0.01546867341889106,9,10,698,128,3.111473652446301,0.8294476153405086,0.559052034925493,simple,COMPLETE
19,-0.0016559720935109083,2025-12-07 18:12:23.253734,2025-12-07 18:12:23.628066,0 days 00:00:00.374332,0.586720193068739,0.0437802651972889,7,62,637,114,2.15722290553336,2.078424061187202,0.8222347859504923,simple,COMPLETE
20,-0.0058277172241403274,2025-12-07 18:12:23.628066,2025-12-07 18:12:24.412349,0 days 00:00:00.784283,0.7045005355351618,0.09887559544116296,4,78,2232,101,0.618589853351008,4.458534106961762,0.9725478777943671,simple,COMPLETE
21,-0.0016559720935109083,2025-12-07 18:12:24.412349,2025-12-07 18:12:25.054381,0 days 00:00:00.642032,0.6004377110018971,0.030771050086020844,5,34,1793,92,3.9742730037146368,0.10794644264465772,0.6412958183502866,simple,COMPLETE
22,-0.0016559720935109083,2025-12-07 18:12:25.054381,2025-12-07 18:12:25.962638,0 days 00:00:00.908257,0.6948125233608562,0.018431374036174442,4,44,2863,88,3.7720533712242816,0.2380506314855982,0.6130024066003887,simple,COMPLETE
23,-0.0016559720935109083,2025-12-07 18:12:25.962638,2025-12-07 18:12:26.556422,0 days 00:00:00.593784,0.632764436659482,0.03699705602862758,3,54,1964,91,4.091972034364747,0.7149514160129203,0.689121364560726,simple,COMPLETE
24,-0.0016559720935109083,2025-12-07 18:12:26.558430,2025-12-07 18:12:27.126348,0 days 00:00:00.567918,0.5615819297733018,0.029454127542558297,5,15,1376,99,3.3351944697550313,1.6766857393603045,0.5467003072018446,simple,COMPLETE
25,-0.0016559720935109083,2025-12-07 18:12:27.126348,2025-12-07 18:12:27.485093,0 days 00:00:00.358745,0.5004420350889325,0.05028619606592437,6,90,570,82,2.3455058001480116,0.46535769474868277,0.6083736835510467,simple,COMPLETE
