number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-441600454.5746885,2025-12-07 15:54:33.166690,2025-12-07 15:54:35.791573,0 days 00:00:02.624883,advanced,COMPLETE
1,-441600454.5746885,2025-12-07 15:54:35.791573,2025-12-07 15:54:38.316521,0 days 00:00:02.524948,advanced,COMPLETE
2,-441600454.5746885,2025-12-07 15:54:38.316521,2025-12-07 15:54:40.877030,0 days 00:00:02.560509,advanced,COMPLETE
3,-441600454.5746885,2025-12-07 15:54:40.877030,2025-12-07 15:54:43.384679,0 days 00:00:02.507649,advanced,COMPLETE
4,-441600454.5746885,2025-12-07 15:54:43.384679,2025-12-07 15:54:45.878434,0 days 00:00:02.493755,advanced,COMPLETE
5,-441600454.5746885,2025-12-07 15:54:45.878434,2025-12-07 15:54:48.446662,0 days 00:00:02.568228,advanced,COMPLETE
6,-441600454.5746885,2025-12-07 15:54:48.446662,2025-12-07 15:54:51.016722,0 days 00:00:02.570060,advanced,COMPLETE
7,-441600454.5746885,2025-12-07 15:54:51.017227,2025-12-07 15:54:53.513853,0 days 00:00:02.496626,advanced,COMPLETE
8,-441600454.5746885,2025-12-07 15:54:53.515357,2025-12-07 15:54:55.803207,0 days 00:00:02.287850,advanced,COMPLETE
9,-441600454.5746885,2025-12-07 15:54:55.803207,2025-12-07 15:54:58.336964,0 days 00:00:02.533757,advanced,COMPLETE
10,-441600454.5746885,2025-12-07 15:54:58.336964,2025-12-07 15:55:00.913986,0 days 00:00:02.577022,advanced,COMPLETE
11,-441600454.5746885,2025-12-07 15:55:00.914992,2025-12-07 15:55:03.469687,0 days 00:00:02.554695,advanced,COMPLETE
12,-441600454.5746885,2025-12-07 15:55:03.469687,2025-12-07 15:55:05.970857,0 days 00:00:02.501170,advanced,COMPLETE
13,-441600454.5746885,2025-12-07 15:55:05.970857,2025-12-07 15:55:08.536034,0 days 00:00:02.565177,advanced,COMPLETE
14,-441600454.5746885,2025-12-07 15:55:08.536034,2025-12-07 15:55:11.022702,0 days 00:00:02.486668,advanced,COMPLETE
15,-441600454.5746885,2025-12-07 15:55:11.022702,2025-12-07 15:55:13.527436,0 days 00:00:02.504734,advanced,COMPLETE
16,-441600454.5746885,2025-12-07 15:55:13.527436,2025-12-07 15:55:16.009422,0 days 00:00:02.481986,advanced,COMPLETE
17,-441600454.5746885,2025-12-07 15:55:16.010968,2025-12-07 15:55:18.536391,0 days 00:00:02.525423,advanced,COMPLETE
18,-441600454.5746885,2025-12-07 15:55:18.536391,2025-12-07 15:55:21.199875,0 days 00:00:02.663484,advanced,COMPLETE
19,-441600454.5746885,2025-12-07 15:55:21.201559,2025-12-07 15:55:24.116362,0 days 00:00:02.914803,advanced,COMPLETE
20,-441600454.5746885,2025-12-07 15:55:24.116362,2025-12-07 15:55:26.813576,0 days 00:00:02.697214,advanced,COMPLETE
21,-441600454.5746885,2025-12-07 15:55:26.815084,2025-12-07 15:55:29.338222,0 days 00:00:02.523138,advanced,COMPLETE
22,-441600454.5746885,2025-12-07 15:55:29.338222,2025-12-07 15:55:31.867959,0 days 00:00:02.529737,advanced,COMPLETE
23,-441600454.5746885,2025-12-07 15:55:31.867959,2025-12-07 15:55:34.381027,0 days 00:00:02.513068,advanced,COMPLETE
24,-441600454.5746885,2025-12-07 15:55:34.382039,2025-12-07 15:55:36.843325,0 days 00:00:02.461286,advanced,COMPLETE
25,-441600454.5746885,2025-12-07 15:55:36.843841,2025-12-07 15:55:39.303349,0 days 00:00:02.459508,advanced,COMPLETE
26,-441600454.5746885,2025-12-07 15:55:39.303854,2025-12-07 15:55:41.847973,0 days 00:00:02.544119,advanced,COMPLETE
