number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-1523013022.5449407,2025-12-07 16:07:11.201382,2025-12-07 16:07:16.023453,0 days 00:00:04.822071,extensive,COMPLETE
1,-1523013022.5449407,2025-12-07 16:07:16.023453,2025-12-07 16:07:20.787053,0 days 00:00:04.763600,extensive,COMPLETE
2,-1523013022.5449407,2025-12-07 16:07:20.787053,2025-12-07 16:07:25.445776,0 days 00:00:04.658723,extensive,COMPLETE
3,-1523013022.5449407,2025-12-07 16:07:25.445776,2025-12-07 16:07:30.219549,0 days 00:00:04.773773,extensive,COMPLETE
4,-1523013022.5449407,2025-12-07 16:07:30.219549,2025-12-07 16:07:34.870513,0 days 00:00:04.650964,extensive,COMPLETE
5,-1523013022.5449407,2025-12-07 16:07:34.870513,2025-12-07 16:07:39.607781,0 days 00:00:04.737268,extensive,COMPLETE
6,-1523013022.5449407,2025-12-07 16:07:39.607781,2025-12-07 16:07:44.302517,0 days 00:00:04.694736,extensive,COMPLETE
7,-1523013022.5449407,2025-12-07 16:07:44.302517,2025-12-07 16:07:49.048200,0 days 00:00:04.745683,extensive,COMPLETE
8,-1523013022.5449407,2025-12-07 16:07:49.048200,2025-12-07 16:07:53.816837,0 days 00:00:04.768637,extensive,COMPLETE
9,-1523013022.5449407,2025-12-07 16:07:53.816837,2025-12-07 16:07:58.268728,0 days 00:00:04.451891,extensive,COMPLETE
10,-1523013022.5449407,2025-12-07 16:07:58.268728,2025-12-07 16:08:02.923745,0 days 00:00:04.655017,extensive,COMPLETE
11,-1523013022.5449407,2025-12-07 16:08:02.923745,2025-12-07 16:08:07.614499,0 days 00:00:04.690754,extensive,COMPLETE
12,-1523013022.5449407,2025-12-07 16:08:07.615067,2025-12-07 16:08:12.400134,0 days 00:00:04.785067,extensive,COMPLETE
13,-1523013022.5449407,2025-12-07 16:08:12.401305,2025-12-07 16:08:17.185790,0 days 00:00:04.784485,extensive,COMPLETE
14,-1523013022.5449407,2025-12-07 16:08:17.185790,2025-12-07 16:08:21.937854,0 days 00:00:04.752064,extensive,COMPLETE
15,-1523013022.5449407,2025-12-07 16:08:21.937854,2025-12-07 16:08:26.487757,0 days 00:00:04.549903,extensive,COMPLETE
16,-1523013022.5449407,2025-12-07 16:08:26.487757,2025-12-07 16:08:31.285942,0 days 00:00:04.798185,extensive,COMPLETE
17,-1523013022.5449407,2025-12-07 16:08:31.285942,2025-12-07 16:08:36.206180,0 days 00:00:04.920238,extensive,COMPLETE
18,-1523013022.5449407,2025-12-07 16:08:36.207490,2025-12-07 16:08:40.926289,0 days 00:00:04.718799,extensive,COMPLETE
19,-1523013022.5449407,2025-12-07 16:08:40.926289,2025-12-07 16:08:45.732145,0 days 00:00:04.805856,extensive,COMPLETE
20,-1523013022.5449407,2025-12-07 16:08:45.733877,2025-12-07 16:08:50.470041,0 days 00:00:04.736164,extensive,COMPLETE
21,-1523013022.5449407,2025-12-07 16:08:50.470041,2025-12-07 16:08:55.153878,0 days 00:00:04.683837,extensive,COMPLETE
22,-1523013022.5449407,2025-12-07 16:08:55.153878,2025-12-07 16:08:59.783693,0 days 00:00:04.629815,extensive,COMPLETE
23,-1523013022.5449407,2025-12-07 16:08:59.783693,2025-12-07 16:09:04.504928,0 days 00:00:04.721235,extensive,COMPLETE
24,-1523013022.5449407,2025-12-07 16:09:04.504928,2025-12-07 16:09:09.174911,0 days 00:00:04.669983,extensive,COMPLETE
25,-1523013022.5449407,2025-12-07 16:09:09.174911,2025-12-07 16:09:13.844654,0 days 00:00:04.669743,extensive,COMPLETE
26,-1523013022.5449407,2025-12-07 16:09:13.846658,2025-12-07 16:09:18.579798,0 days 00:00:04.733140,extensive,COMPLETE
27,-1523013022.5449407,2025-12-07 16:09:18.579798,2025-12-07 16:09:23.257279,0 days 00:00:04.677481,extensive,COMPLETE
28,-1523013022.5449407,2025-12-07 16:09:23.257279,2025-12-07 16:09:27.757453,0 days 00:00:04.500174,extensive,COMPLETE
29,-1523013022.5449407,2025-12-07 16:09:27.757453,2025-12-07 16:09:32.519113,0 days 00:00:04.761660,extensive,COMPLETE
30,-1523013022.5449407,2025-12-07 16:09:32.519113,2025-12-07 16:09:37.260553,0 days 00:00:04.741440,extensive,COMPLETE
31,-1523013022.5449407,2025-12-07 16:09:37.260553,2025-12-07 16:09:41.961122,0 days 00:00:04.700569,extensive,COMPLETE
32,-1523013022.5449407,2025-12-07 16:09:41.961122,2025-12-07 16:09:46.630123,0 days 00:00:04.669001,extensive,COMPLETE
33,-1523013022.5449407,2025-12-07 16:09:46.632129,2025-12-07 16:09:51.348641,0 days 00:00:04.716512,extensive,COMPLETE
34,-1523013022.5449407,2025-12-07 16:09:51.350147,2025-12-07 16:09:55.881938,0 days 00:00:04.531791,extensive,COMPLETE
35,-1523013022.5449407,2025-12-07 16:09:55.883564,2025-12-07 16:10:00.667401,0 days 00:00:04.783837,extensive,COMPLETE
36,-1523013022.5449407,2025-12-07 16:10:00.667401,2025-12-07 16:10:05.402904,0 days 00:00:04.735503,extensive,COMPLETE
37,-1523013022.5449407,2025-12-07 16:10:05.402904,2025-12-07 16:10:10.100804,0 days 00:00:04.697900,extensive,COMPLETE
38,-1523013022.5449407,2025-12-07 16:10:10.101316,2025-12-07 16:10:14.779449,0 days 00:00:04.678133,extensive,COMPLETE
39,-1523013022.5449407,2025-12-07 16:10:14.779449,2025-12-07 16:10:19.528946,0 days 00:00:04.749497,extensive,COMPLETE
