number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-428311532.9632318,2025-12-07 15:43:17.640294,2025-12-07 15:43:19.803057,0 days 00:00:02.162763,medium,COMPLETE
1,-428311532.9632318,2025-12-07 15:43:19.803057,2025-12-07 15:43:22.047296,0 days 00:00:02.244239,medium,COMPLETE
2,-428311532.9632318,2025-12-07 15:43:22.047296,2025-12-07 15:43:24.289012,0 days 00:00:02.241716,medium,COMPLETE
3,-428311532.9632318,2025-12-07 15:43:24.289012,2025-12-07 15:43:26.392554,0 days 00:00:02.103542,medium,COMPLETE
4,-428311532.9632318,2025-12-07 15:43:26.393562,2025-12-07 15:43:28.512915,0 days 00:00:02.119353,medium,COMPLETE
5,-428311532.9632318,2025-12-07 15:43:28.512915,2025-12-07 15:43:30.658758,0 days 00:00:02.145843,medium,COMPLETE
6,-428311532.9632318,2025-12-07 15:43:30.658758,2025-12-07 15:43:32.793832,0 days 00:00:02.135074,medium,COMPLETE
7,-428311532.9632318,2025-12-07 15:43:32.793832,2025-12-07 15:43:34.976406,0 days 00:00:02.182574,medium,COMPLETE
8,-428311532.9632318,2025-12-07 15:43:34.976406,2025-12-07 15:43:37.143237,0 days 00:00:02.166831,medium,COMPLETE
9,-428311532.9632318,2025-12-07 15:43:37.143750,2025-12-07 15:43:39.296754,0 days 00:00:02.153004,medium,COMPLETE
10,-428311532.9632318,2025-12-07 15:43:39.296754,2025-12-07 15:43:41.443731,0 days 00:00:02.146977,medium,COMPLETE
11,-428311532.9632318,2025-12-07 15:43:41.443731,2025-12-07 15:43:43.581131,0 days 00:00:02.137400,medium,COMPLETE
12,-428311532.9632318,2025-12-07 15:43:43.582140,2025-12-07 15:43:45.712740,0 days 00:00:02.130600,medium,COMPLETE
13,-428311532.9632318,2025-12-07 15:43:45.712740,2025-12-07 15:43:47.858984,0 days 00:00:02.146244,medium,COMPLETE
14,-428311532.9632318,2025-12-07 15:43:47.858984,2025-12-07 15:43:49.994221,0 days 00:00:02.135237,medium,COMPLETE
15,-428311532.9632318,2025-12-07 15:43:49.994221,2025-12-07 15:43:52.145497,0 days 00:00:02.151276,medium,COMPLETE
16,-428311532.9632318,2025-12-07 15:43:52.145497,2025-12-07 15:43:54.325256,0 days 00:00:02.179759,medium,COMPLETE
17,-428311532.9632318,2025-12-07 15:43:54.325256,2025-12-07 15:43:56.445037,0 days 00:00:02.119781,medium,COMPLETE
18,-428311532.9632318,2025-12-07 15:43:56.445037,2025-12-07 15:43:58.621538,0 days 00:00:02.176501,medium,COMPLETE
19,-428311532.9632318,2025-12-07 15:43:58.623544,2025-12-07 15:44:00.855577,0 days 00:00:02.232033,medium,COMPLETE
20,-428311532.9632318,2025-12-07 15:44:00.855577,2025-12-07 15:44:03.106572,0 days 00:00:02.250995,medium,COMPLETE
21,-428311532.9632318,2025-12-07 15:44:03.106572,2025-12-07 15:44:05.309634,0 days 00:00:02.203062,medium,COMPLETE
22,-428311532.9632318,2025-12-07 15:44:05.309634,2025-12-07 15:44:07.416795,0 days 00:00:02.107161,medium,COMPLETE
23,-428311532.9632318,2025-12-07 15:44:07.416795,2025-12-07 15:44:09.773809,0 days 00:00:02.357014,medium,COMPLETE
24,-428311532.9632318,2025-12-07 15:44:09.773809,2025-12-07 15:44:12.304646,0 days 00:00:02.530837,medium,COMPLETE
25,-428311532.9632318,2025-12-07 15:44:12.304646,2025-12-07 15:44:14.492070,0 days 00:00:02.187424,medium,COMPLETE
26,-428311532.9632318,2025-12-07 15:44:14.493574,2025-12-07 15:44:16.674948,0 days 00:00:02.181374,medium,COMPLETE
27,-428311532.9632318,2025-12-07 15:44:16.674948,2025-12-07 15:44:18.879476,0 days 00:00:02.204528,medium,COMPLETE
28,-428311532.9632318,2025-12-07 15:44:18.879476,2025-12-07 15:44:21.118108,0 days 00:00:02.238632,medium,COMPLETE
29,-428311532.9632318,2025-12-07 15:44:21.118108,2025-12-07 15:44:23.324617,0 days 00:00:02.206509,medium,COMPLETE
30,-428311532.9632318,2025-12-07 15:44:23.324617,2025-12-07 15:44:25.667173,0 days 00:00:02.342556,medium,COMPLETE
31,-428311532.9632318,2025-12-07 15:44:25.667173,2025-12-07 15:44:28.269047,0 days 00:00:02.601874,medium,COMPLETE
32,-428311532.9632318,2025-12-07 15:44:28.269047,2025-12-07 15:44:30.570761,0 days 00:00:02.301714,medium,COMPLETE
33,-428311532.9632318,2025-12-07 15:44:30.570761,2025-12-07 15:44:33.000162,0 days 00:00:02.429401,medium,COMPLETE
34,-428311532.9632318,2025-12-07 15:44:33.001322,2025-12-07 15:44:35.447045,0 days 00:00:02.445723,medium,COMPLETE
35,-428311532.9632318,2025-12-07 15:44:35.447045,2025-12-07 15:44:37.788395,0 days 00:00:02.341350,medium,COMPLETE
36,-428311532.9632318,2025-12-07 15:44:37.788395,2025-12-07 15:44:40.151567,0 days 00:00:02.363172,medium,COMPLETE
37,-428311532.9632318,2025-12-07 15:44:40.151567,2025-12-07 15:44:42.576646,0 days 00:00:02.425079,medium,COMPLETE
38,-428311532.9632318,2025-12-07 15:44:42.576646,2025-12-07 15:44:45.000151,0 days 00:00:02.423505,medium,COMPLETE
39,-428311532.9632318,2025-12-07 15:44:45.001331,2025-12-07 15:44:47.351090,0 days 00:00:02.349759,medium,COMPLETE
40,-428311532.9632318,2025-12-07 15:44:47.351090,2025-12-07 15:44:49.796991,0 days 00:00:02.445901,medium,COMPLETE
41,-428311532.9632318,2025-12-07 15:44:49.796991,2025-12-07 15:44:52.231372,0 days 00:00:02.434381,medium,COMPLETE
42,-428311532.9632318,2025-12-07 15:44:52.231880,2025-12-07 15:44:54.489441,0 days 00:00:02.257561,medium,COMPLETE
43,-428311532.9632318,2025-12-07 15:44:54.489441,2025-12-07 15:44:56.757515,0 days 00:00:02.268074,medium,COMPLETE
44,-428311532.9632318,2025-12-07 15:44:56.757515,2025-12-07 15:44:59.086951,0 days 00:00:02.329436,medium,COMPLETE
45,-428311532.9632318,2025-12-07 15:44:59.086951,2025-12-07 15:45:01.408861,0 days 00:00:02.321910,medium,COMPLETE
46,-428311532.9632318,2025-12-07 15:45:01.408861,2025-12-07 15:45:03.736982,0 days 00:00:02.328121,medium,COMPLETE
47,-428311532.9632318,2025-12-07 15:45:03.736982,2025-12-07 15:45:06.009910,0 days 00:00:02.272928,medium,COMPLETE
