number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-34.77475430736301,2025-12-07 15:39:25.380034,2025-12-07 15:39:26.915095,0 days 00:00:01.535061,none,COMPLETE
1,-34.77475430736301,2025-12-07 15:39:26.916164,2025-12-07 15:39:27.967475,0 days 00:00:01.051311,none,COMPLETE
2,-34.77475430736301,2025-12-07 15:39:27.967475,2025-12-07 15:39:29.041332,0 days 00:00:01.073857,none,COMPLETE
3,-34.77475430736301,2025-12-07 15:39:29.041856,2025-12-07 15:39:30.098976,0 days 00:00:01.057120,none,COMPLETE
4,-34.77475430736301,2025-12-07 15:39:30.099980,2025-12-07 15:39:31.141955,0 days 00:00:01.041975,none,COMPLETE
5,-34.77475430736301,2025-12-07 15:39:31.143168,2025-12-07 15:39:32.075157,0 days 00:00:00.931989,none,COMPLETE
6,-34.77475430736301,2025-12-07 15:39:32.075157,2025-12-07 15:39:32.275413,0 days 00:00:00.200256,none,COMPLETE
7,-34.77475430736301,2025-12-07 15:39:32.275413,2025-12-07 15:39:32.489001,0 days 00:00:00.213588,none,COMPLETE
8,-34.77475430736301,2025-12-07 15:39:32.489001,2025-12-07 15:39:32.692401,0 days 00:00:00.203400,none,COMPLETE
9,-34.77475430736301,2025-12-07 15:39:32.693906,2025-12-07 15:39:32.922613,0 days 00:00:00.228707,none,COMPLETE
10,-34.77475430736301,2025-12-07 15:39:32.922613,2025-12-07 15:39:33.125393,0 days 00:00:00.202780,none,COMPLETE
11,-34.77475430736301,2025-12-07 15:39:33.125393,2025-12-07 15:39:33.337270,0 days 00:00:00.211877,none,COMPLETE
12,-34.77475430736301,2025-12-07 15:39:33.338275,2025-12-07 15:39:33.545694,0 days 00:00:00.207419,none,COMPLETE
13,-34.77475430736301,2025-12-07 15:39:33.546699,2025-12-07 15:39:33.741756,0 days 00:00:00.195057,none,COMPLETE
14,-34.77475430736301,2025-12-07 15:39:33.743053,2025-12-07 15:39:33.957059,0 days 00:00:00.214006,none,COMPLETE
15,-34.77475430736301,2025-12-07 15:39:33.957059,2025-12-07 15:39:34.171966,0 days 00:00:00.214907,none,COMPLETE
16,-34.77475430736301,2025-12-07 15:39:34.171966,2025-12-07 15:39:34.359379,0 days 00:00:00.187413,none,COMPLETE
17,-34.77475430736301,2025-12-07 15:39:34.359379,2025-12-07 15:39:34.574221,0 days 00:00:00.214842,none,COMPLETE
18,-34.77475430736301,2025-12-07 15:39:34.577041,2025-12-07 15:39:34.789987,0 days 00:00:00.212946,none,COMPLETE
19,-34.77475430736301,2025-12-07 15:39:34.789987,2025-12-07 15:39:35.006141,0 days 00:00:00.216154,none,COMPLETE
20,-34.77475430736301,2025-12-07 15:39:35.006141,2025-12-07 15:39:35.222193,0 days 00:00:00.216052,none,COMPLETE
21,-34.77475430736301,2025-12-07 15:39:35.222193,2025-12-07 15:39:35.436178,0 days 00:00:00.213985,none,COMPLETE
22,-34.77475430736301,2025-12-07 15:39:35.436178,2025-12-07 15:39:35.638505,0 days 00:00:00.202327,none,COMPLETE
23,-34.77475430736301,2025-12-07 15:39:35.639052,2025-12-07 15:39:35.837551,0 days 00:00:00.198499,none,COMPLETE
24,-34.77475430736301,2025-12-07 15:39:35.837551,2025-12-07 15:39:36.040068,0 days 00:00:00.202517,none,COMPLETE
25,-34.77475430736301,2025-12-07 15:39:36.040068,2025-12-07 15:39:36.256550,0 days 00:00:00.216482,none,COMPLETE
26,-34.77475430736301,2025-12-07 15:39:36.256550,2025-12-07 15:39:36.461446,0 days 00:00:00.204896,none,COMPLETE
27,-34.77475430736301,2025-12-07 15:39:36.463197,2025-12-07 15:39:36.672938,0 days 00:00:00.209741,none,COMPLETE
28,-34.77475430736301,2025-12-07 15:39:36.673943,2025-12-07 15:39:36.876325,0 days 00:00:00.202382,none,COMPLETE
29,-34.77475430736301,2025-12-07 15:39:36.876325,2025-12-07 15:39:37.081136,0 days 00:00:00.204811,none,COMPLETE
30,-34.77475430736301,2025-12-07 15:39:37.081645,2025-12-07 15:39:37.294139,0 days 00:00:00.212494,none,COMPLETE
31,-34.77475430736301,2025-12-07 15:39:37.295144,2025-12-07 15:39:37.520797,0 days 00:00:00.225653,none,COMPLETE
32,-34.77475430736301,2025-12-07 15:39:37.520797,2025-12-07 15:39:37.726102,0 days 00:00:00.205305,none,COMPLETE
33,-34.77475430736301,2025-12-07 15:39:37.727157,2025-12-07 15:39:37.926626,0 days 00:00:00.199469,none,COMPLETE
34,-34.77475430736301,2025-12-07 15:39:37.929345,2025-12-07 15:39:38.126311,0 days 00:00:00.196966,none,COMPLETE
35,-34.77475430736301,2025-12-07 15:39:38.126311,2025-12-07 15:39:38.325918,0 days 00:00:00.199607,none,COMPLETE
36,-34.77475430736301,2025-12-07 15:39:38.327076,2025-12-07 15:39:38.555551,0 days 00:00:00.228475,none,COMPLETE
37,-34.77475430736301,2025-12-07 15:39:38.555551,2025-12-07 15:39:38.756548,0 days 00:00:00.200997,none,COMPLETE
38,-34.77475430736301,2025-12-07 15:39:38.756548,2025-12-07 15:39:38.958287,0 days 00:00:00.201739,none,COMPLETE
39,-34.77475430736301,2025-12-07 15:39:38.959240,2025-12-07 15:39:39.158515,0 days 00:00:00.199275,none,COMPLETE
40,-34.77475430736301,2025-12-07 15:39:39.158987,2025-12-07 15:39:39.373447,0 days 00:00:00.214460,none,COMPLETE
41,-34.77475430736301,2025-12-07 15:39:39.373447,2025-12-07 15:39:39.575175,0 days 00:00:00.201728,none,COMPLETE
42,-34.77475430736301,2025-12-07 15:39:39.575175,2025-12-07 15:39:39.789164,0 days 00:00:00.213989,none,COMPLETE
43,-34.77475430736301,2025-12-07 15:39:39.789164,2025-12-07 15:39:40.004988,0 days 00:00:00.215824,none,COMPLETE
44,-34.77475430736301,2025-12-07 15:39:40.004988,2025-12-07 15:39:40.222822,0 days 00:00:00.217834,none,COMPLETE
45,-34.77475430736301,2025-12-07 15:39:40.222822,2025-12-07 15:39:40.437044,0 days 00:00:00.214222,none,COMPLETE
46,-34.77475430736301,2025-12-07 15:39:40.437044,2025-12-07 15:39:40.625207,0 days 00:00:00.188163,none,COMPLETE
47,-34.77475430736301,2025-12-07 15:39:40.625207,2025-12-07 15:39:40.838916,0 days 00:00:00.213709,none,COMPLETE
48,-34.77475430736301,2025-12-07 15:39:40.838916,2025-12-07 15:39:41.040417,0 days 00:00:00.201501,none,COMPLETE
49,-34.77475430736301,2025-12-07 15:39:41.040417,2025-12-07 15:39:41.254424,0 days 00:00:00.214007,none,COMPLETE
50,-34.77475430736301,2025-12-07 15:39:41.254424,2025-12-07 15:39:41.455216,0 days 00:00:00.200792,none,COMPLETE
51,-34.77475430736301,2025-12-07 15:39:41.455216,2025-12-07 15:39:41.659124,0 days 00:00:00.203908,none,COMPLETE
52,-34.77475430736301,2025-12-07 15:39:41.659124,2025-12-07 15:39:41.872578,0 days 00:00:00.213454,none,COMPLETE
53,-34.77475430736301,2025-12-07 15:39:41.872578,2025-12-07 15:39:42.074160,0 days 00:00:00.201582,none,COMPLETE
54,-34.77475430736301,2025-12-07 15:39:42.074160,2025-12-07 15:39:42.288953,0 days 00:00:00.214793,none,COMPLETE
55,-34.77475430736301,2025-12-07 15:39:42.288953,2025-12-07 15:39:42.505057,0 days 00:00:00.216104,none,COMPLETE
56,-34.77475430736301,2025-12-07 15:39:42.505057,2025-12-07 15:39:42.721867,0 days 00:00:00.216810,none,COMPLETE
57,-34.77475430736301,2025-12-07 15:39:42.722936,2025-12-07 15:39:42.939784,0 days 00:00:00.216848,none,COMPLETE
58,-34.77475430736301,2025-12-07 15:39:42.939784,2025-12-07 15:39:43.140084,0 days 00:00:00.200300,none,COMPLETE
59,-34.77475430736301,2025-12-07 15:39:43.140084,2025-12-07 15:39:43.353858,0 days 00:00:00.213774,none,COMPLETE
60,-34.77475430736301,2025-12-07 15:39:43.353858,2025-12-07 15:39:43.556819,0 days 00:00:00.202961,none,COMPLETE
61,-34.77475430736301,2025-12-07 15:39:43.556819,2025-12-07 15:39:43.772518,0 days 00:00:00.215699,none,COMPLETE
62,-34.77475430736301,2025-12-07 15:39:43.773522,2025-12-07 15:39:43.972707,0 days 00:00:00.199185,none,COMPLETE
63,-34.77475430736301,2025-12-07 15:39:43.972707,2025-12-07 15:39:44.188436,0 days 00:00:00.215729,none,COMPLETE
64,-34.77475430736301,2025-12-07 15:39:44.188943,2025-12-07 15:39:44.389995,0 days 00:00:00.201052,none,COMPLETE
65,-34.77475430736301,2025-12-07 15:39:44.389995,2025-12-07 15:39:44.604899,0 days 00:00:00.214904,none,COMPLETE
