number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-29.060330059634044,2025-12-07 15:41:42.958729,2025-12-07 15:41:43.302032,0 days 00:00:00.343303,simple2,COMPLETE
1,-29.060330059634044,2025-12-07 15:41:43.302032,2025-12-07 15:41:43.620927,0 days 00:00:00.318895,simple2,COMPLETE
2,-29.060330059634044,2025-12-07 15:41:43.620927,2025-12-07 15:41:43.938958,0 days 00:00:00.318031,simple2,COMPLETE
3,-29.060330059634044,2025-12-07 15:41:43.938958,2025-12-07 15:41:44.255281,0 days 00:00:00.316323,simple2,COMPLETE
4,-29.060330059634044,2025-12-07 15:41:44.255281,2025-12-07 15:41:44.569734,0 days 00:00:00.314453,simple2,COMPLETE
5,-29.060330059634044,2025-12-07 15:41:44.569734,2025-12-07 15:41:44.889346,0 days 00:00:00.319612,simple2,COMPLETE
6,-29.060330059634044,2025-12-07 15:41:44.889346,2025-12-07 15:41:45.204700,0 days 00:00:00.315354,simple2,COMPLETE
7,-29.060330059634044,2025-12-07 15:41:45.205202,2025-12-07 15:41:45.521721,0 days 00:00:00.316519,simple2,COMPLETE
8,-29.060330059634044,2025-12-07 15:41:45.521721,2025-12-07 15:41:45.836356,0 days 00:00:00.314635,simple2,COMPLETE
9,-29.060330059634044,2025-12-07 15:41:45.836356,2025-12-07 15:41:46.155124,0 days 00:00:00.318768,simple2,COMPLETE
10,-29.060330059634044,2025-12-07 15:41:46.155124,2025-12-07 15:41:46.471392,0 days 00:00:00.316268,simple2,COMPLETE
11,-29.060330059634044,2025-12-07 15:41:46.471392,2025-12-07 15:41:46.790147,0 days 00:00:00.318755,simple2,COMPLETE
12,-29.060330059634044,2025-12-07 15:41:46.790147,2025-12-07 15:41:47.120897,0 days 00:00:00.330750,simple2,COMPLETE
13,-29.060330059634044,2025-12-07 15:41:47.120897,2025-12-07 15:41:47.439821,0 days 00:00:00.318924,simple2,COMPLETE
14,-29.060330059634044,2025-12-07 15:41:47.439821,2025-12-07 15:41:47.770222,0 days 00:00:00.330401,simple2,COMPLETE
15,-29.060330059634044,2025-12-07 15:41:47.770222,2025-12-07 15:41:48.088225,0 days 00:00:00.318003,simple2,COMPLETE
16,-29.060330059634044,2025-12-07 15:41:48.088225,2025-12-07 15:41:48.404825,0 days 00:00:00.316600,simple2,COMPLETE
17,-29.060330059634044,2025-12-07 15:41:48.404825,2025-12-07 15:41:48.721732,0 days 00:00:00.316907,simple2,COMPLETE
18,-29.060330059634044,2025-12-07 15:41:48.721732,2025-12-07 15:41:49.038134,0 days 00:00:00.316402,simple2,COMPLETE
19,-29.060330059634044,2025-12-07 15:41:49.038134,2025-12-07 15:41:49.355599,0 days 00:00:00.317465,simple2,COMPLETE
20,-29.060330059634044,2025-12-07 15:41:49.356103,2025-12-07 15:41:49.670010,0 days 00:00:00.313907,simple2,COMPLETE
21,-29.060330059634044,2025-12-07 15:41:49.670667,2025-12-07 15:41:49.988005,0 days 00:00:00.317338,simple2,COMPLETE
22,-29.060330059634044,2025-12-07 15:41:49.988005,2025-12-07 15:41:50.306983,0 days 00:00:00.318978,simple2,COMPLETE
23,-29.060330059634044,2025-12-07 15:41:50.306983,2025-12-07 15:41:50.623400,0 days 00:00:00.316417,simple2,COMPLETE
24,-29.060330059634044,2025-12-07 15:41:50.623400,2025-12-07 15:41:50.939390,0 days 00:00:00.315990,simple2,COMPLETE
25,-29.060330059634044,2025-12-07 15:41:50.939390,2025-12-07 15:41:51.255237,0 days 00:00:00.315847,simple2,COMPLETE
26,-29.060330059634044,2025-12-07 15:41:51.255237,2025-12-07 15:41:51.570923,0 days 00:00:00.315686,simple2,COMPLETE
27,-29.060330059634044,2025-12-07 15:41:51.570923,2025-12-07 15:41:51.888388,0 days 00:00:00.317465,simple2,COMPLETE
28,-29.060330059634044,2025-12-07 15:41:51.888388,2025-12-07 15:41:52.205429,0 days 00:00:00.317041,simple2,COMPLETE
29,-29.060330059634044,2025-12-07 15:41:52.205429,2025-12-07 15:41:52.523294,0 days 00:00:00.317865,simple2,COMPLETE
30,-29.060330059634044,2025-12-07 15:41:52.523294,2025-12-07 15:41:52.838869,0 days 00:00:00.315575,simple2,COMPLETE
31,-29.060330059634044,2025-12-07 15:41:52.838869,2025-12-07 15:41:53.153724,0 days 00:00:00.314855,simple2,COMPLETE
32,-29.060330059634044,2025-12-07 15:41:53.153724,2025-12-07 15:41:53.470434,0 days 00:00:00.316710,simple2,COMPLETE
33,-29.060330059634044,2025-12-07 15:41:53.470434,2025-12-07 15:41:53.787744,0 days 00:00:00.317310,simple2,COMPLETE
34,-29.060330059634044,2025-12-07 15:41:53.787744,2025-12-07 15:41:54.089843,0 days 00:00:00.302099,simple2,COMPLETE
35,-29.060330059634044,2025-12-07 15:41:54.089843,2025-12-07 15:41:54.404439,0 days 00:00:00.314596,simple2,COMPLETE
36,-29.060330059634044,2025-12-07 15:41:54.406029,2025-12-07 15:41:54.702671,0 days 00:00:00.296642,simple2,COMPLETE
37,-29.060330059634044,2025-12-07 15:41:54.702671,2025-12-07 15:41:55.021096,0 days 00:00:00.318425,simple2,COMPLETE
38,-29.060330059634044,2025-12-07 15:41:55.021096,2025-12-07 15:41:55.339007,0 days 00:00:00.317911,simple2,COMPLETE
39,-29.060330059634044,2025-12-07 15:41:55.339007,2025-12-07 15:41:55.655121,0 days 00:00:00.316114,simple2,COMPLETE
40,-29.060330059634044,2025-12-07 15:41:55.655121,2025-12-07 15:41:55.969890,0 days 00:00:00.314769,simple2,COMPLETE
41,-29.060330059634044,2025-12-07 15:41:55.969890,2025-12-07 15:41:56.288871,0 days 00:00:00.318981,simple2,COMPLETE
42,-29.060330059634044,2025-12-07 15:41:56.288871,2025-12-07 15:41:56.606064,0 days 00:00:00.317193,simple2,COMPLETE
43,-29.060330059634044,2025-12-07 15:41:56.606064,2025-12-07 15:41:56.923184,0 days 00:00:00.317120,simple2,COMPLETE
44,-29.060330059634044,2025-12-07 15:41:56.923184,2025-12-07 15:41:57.238992,0 days 00:00:00.315808,simple2,COMPLETE
45,-29.060330059634044,2025-12-07 15:41:57.238992,2025-12-07 15:41:57.554848,0 days 00:00:00.315856,simple2,COMPLETE
46,-29.060330059634044,2025-12-07 15:41:57.555353,2025-12-07 15:41:57.870758,0 days 00:00:00.315405,simple2,COMPLETE
47,-29.060330059634044,2025-12-07 15:41:57.870758,2025-12-07 15:41:58.189251,0 days 00:00:00.318493,simple2,COMPLETE
48,-29.060330059634044,2025-12-07 15:41:58.189251,2025-12-07 15:41:58.506450,0 days 00:00:00.317199,simple2,COMPLETE
49,-29.060330059634044,2025-12-07 15:41:58.506450,2025-12-07 15:41:58.819708,0 days 00:00:00.313258,simple2,COMPLETE
50,-29.060330059634044,2025-12-07 15:41:58.819708,2025-12-07 15:41:59.138156,0 days 00:00:00.318448,simple2,COMPLETE
51,-29.060330059634044,2025-12-07 15:41:59.138660,2025-12-07 15:41:59.456229,0 days 00:00:00.317569,simple2,COMPLETE
52,-29.060330059634044,2025-12-07 15:41:59.456229,2025-12-07 15:41:59.771205,0 days 00:00:00.314976,simple2,COMPLETE
53,-29.060330059634044,2025-12-07 15:41:59.771849,2025-12-07 15:42:00.088130,0 days 00:00:00.316281,simple2,COMPLETE
54,-29.060330059634044,2025-12-07 15:42:00.088130,2025-12-07 15:42:00.406063,0 days 00:00:00.317933,simple2,COMPLETE
55,-29.060330059634044,2025-12-07 15:42:00.406063,2025-12-07 15:42:00.721641,0 days 00:00:00.315578,simple2,COMPLETE
56,-29.060330059634044,2025-12-07 15:42:00.721641,2025-12-07 15:42:01.038341,0 days 00:00:00.316700,simple2,COMPLETE
57,-29.060330059634044,2025-12-07 15:42:01.038341,2025-12-07 15:42:01.356645,0 days 00:00:00.318304,simple2,COMPLETE
