number,value,datetime_start,datetime_complete,duration,user_attrs_feature_level,state
0,-27.39197360030307,2025-12-07 15:40:32.806914,2025-12-07 15:40:33.039002,0 days 00:00:00.232088,simple,COMPLETE
1,-27.39197360030307,2025-12-07 15:40:33.039002,2025-12-07 15:40:33.273206,0 days 00:00:00.234204,simple,COMPLETE
2,-27.39197360030307,2025-12-07 15:40:33.273206,2025-12-07 15:40:33.505848,0 days 00:00:00.232642,simple,COMPLETE
3,-27.39197360030307,2025-12-07 15:40:33.505848,2025-12-07 15:40:33.741420,0 days 00:00:00.235572,simple,COMPLETE
4,-27.39197360030307,2025-12-07 15:40:33.741420,2025-12-07 15:40:33.976661,0 days 00:00:00.235241,simple,COMPLETE
5,-27.39197360030307,2025-12-07 15:40:33.976661,2025-12-07 15:40:34.204751,0 days 00:00:00.228090,simple,COMPLETE
6,-27.39197360030307,2025-12-07 15:40:34.204751,2025-12-07 15:40:34.440087,0 days 00:00:00.235336,simple,COMPLETE
7,-27.39197360030307,2025-12-07 15:40:34.440087,2025-12-07 15:40:34.673595,0 days 00:00:00.233508,simple,COMPLETE
8,-27.39197360030307,2025-12-07 15:40:34.673595,2025-12-07 15:40:34.905702,0 days 00:00:00.232107,simple,COMPLETE
9,-27.39197360030307,2025-12-07 15:40:34.907713,2025-12-07 15:40:35.138549,0 days 00:00:00.230836,simple,COMPLETE
10,-27.39197360030307,2025-12-07 15:40:35.138549,2025-12-07 15:40:35.373528,0 days 00:00:00.234979,simple,COMPLETE
11,-27.39197360030307,2025-12-07 15:40:35.373528,2025-12-07 15:40:35.604854,0 days 00:00:00.231326,simple,COMPLETE
12,-27.39197360030307,2025-12-07 15:40:35.604854,2025-12-07 15:40:35.839718,0 days 00:00:00.234864,simple,COMPLETE
13,-27.39197360030307,2025-12-07 15:40:35.839718,2025-12-07 15:40:36.073494,0 days 00:00:00.233776,simple,COMPLETE
14,-27.39197360030307,2025-12-07 15:40:36.073494,2025-12-07 15:40:36.306275,0 days 00:00:00.232781,simple,COMPLETE
15,-27.39197360030307,2025-12-07 15:40:36.307339,2025-12-07 15:40:36.539686,0 days 00:00:00.232347,simple,COMPLETE
16,-27.39197360030307,2025-12-07 15:40:36.539686,2025-12-07 15:40:36.773633,0 days 00:00:00.233947,simple,COMPLETE
17,-27.39197360030307,2025-12-07 15:40:36.773633,2025-12-07 15:40:37.021875,0 days 00:00:00.248242,simple,COMPLETE
18,-27.39197360030307,2025-12-07 15:40:37.021875,2025-12-07 15:40:37.255575,0 days 00:00:00.233700,simple,COMPLETE
19,-27.39197360030307,2025-12-07 15:40:37.255575,2025-12-07 15:40:37.490094,0 days 00:00:00.234519,simple,COMPLETE
20,-27.39197360030307,2025-12-07 15:40:37.490094,2025-12-07 15:40:37.724920,0 days 00:00:00.234826,simple,COMPLETE
21,-27.39197360030307,2025-12-07 15:40:37.724920,2025-12-07 15:40:37.956879,0 days 00:00:00.231959,simple,COMPLETE
22,-27.39197360030307,2025-12-07 15:40:37.956879,2025-12-07 15:40:38.189773,0 days 00:00:00.232894,simple,COMPLETE
23,-27.39197360030307,2025-12-07 15:40:38.189773,2025-12-07 15:40:38.422571,0 days 00:00:00.232798,simple,COMPLETE
24,-27.39197360030307,2025-12-07 15:40:38.422571,2025-12-07 15:40:38.655571,0 days 00:00:00.233000,simple,COMPLETE
25,-27.39197360030307,2025-12-07 15:40:38.655571,2025-12-07 15:40:38.889421,0 days 00:00:00.233850,simple,COMPLETE
26,-27.39197360030307,2025-12-07 15:40:38.889421,2025-12-07 15:40:39.124562,0 days 00:00:00.235141,simple,COMPLETE
27,-27.39197360030307,2025-12-07 15:40:39.124562,2025-12-07 15:40:39.355387,0 days 00:00:00.230825,simple,COMPLETE
28,-27.39197360030307,2025-12-07 15:40:39.355387,2025-12-07 15:40:39.591155,0 days 00:00:00.235768,simple,COMPLETE
29,-27.39197360030307,2025-12-07 15:40:39.591155,2025-12-07 15:40:39.823855,0 days 00:00:00.232700,simple,COMPLETE
30,-27.39197360030307,2025-12-07 15:40:39.823855,2025-12-07 15:40:40.056087,0 days 00:00:00.232232,simple,COMPLETE
31,-27.39197360030307,2025-12-07 15:40:40.056087,2025-12-07 15:40:40.290358,0 days 00:00:00.234271,simple,COMPLETE
32,-27.39197360030307,2025-12-07 15:40:40.290358,2025-12-07 15:40:40.523708,0 days 00:00:00.233350,simple,COMPLETE
33,-27.39197360030307,2025-12-07 15:40:40.523708,2025-12-07 15:40:40.756473,0 days 00:00:00.232765,simple,COMPLETE
34,-27.39197360030307,2025-12-07 15:40:40.756473,2025-12-07 15:40:40.989653,0 days 00:00:00.233180,simple,COMPLETE
35,-27.39197360030307,2025-12-07 15:40:40.989653,2025-12-07 15:40:41.223899,0 days 00:00:00.234246,simple,COMPLETE
36,-27.39197360030307,2025-12-07 15:40:41.223899,2025-12-07 15:40:41.455231,0 days 00:00:00.231332,simple,COMPLETE
37,-27.39197360030307,2025-12-07 15:40:41.455740,2025-12-07 15:40:41.691451,0 days 00:00:00.235711,simple,COMPLETE
