number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-1336518.217142487,2025-12-07 16:40:47.017510,2025-12-07 16:40:48.557308,0 days 00:00:01.539798,0.041858227295469716,advanced,COMPLETE
1,-26683.416468970627,2025-12-07 16:40:48.558307,2025-12-07 16:40:50.124442,0 days 00:00:01.566135,451.85609510240965,advanced,COMPLETE
2,-262298.52981481777,2025-12-07 16:40:50.125511,2025-12-07 16:40:51.641085,0 days 00:00:01.515574,13.3032451015229,advanced,COMPLETE
3,-195883.15142299896,2025-12-07 16:40:51.643093,2025-12-07 16:40:53.102208,0 days 00:00:01.459115,1.55099139875943,advanced,COMPLETE
4,-2675276.7026013406,2025-12-07 16:40:53.104213,2025-12-07 16:40:54.538299,0 days 00:00:01.434086,0.0012363188277052211,advanced,COMPLETE
5,-2675386.8337234315,2025-12-07 16:40:54.538299,2025-12-07 16:40:56.037403,0 days 00:00:01.499104,0.0012358382772306934,advanced,COMPLETE
6,-3522743.604038725,2025-12-07 16:40:56.039412,2025-12-07 16:40:57.456854,0 days 00:00:01.417442,0.00025502648504032837,advanced,COMPLETE
7,-81432.30481430545,2025-12-07 16:40:57.456854,2025-12-07 16:40:58.842106,0 days 00:00:01.385252,115.67327199145953,advanced,COMPLETE
8,-195518.50022355458,2025-12-07 16:40:58.842106,2025-12-07 16:41:00.368249,0 days 00:00:01.526143,1.6136341713591311,advanced,COMPLETE
9,-261815.67504570071,2025-12-07 16:41:00.368249,2025-12-07 16:41:01.873904,0 days 00:00:01.505655,9.047071957568372,advanced,COMPLETE
10,-16897.69214441015,2025-12-07 16:41:01.874905,2025-12-07 16:41:03.303996,0 days 00:00:01.429091,718.5614470935544,advanced,COMPLETE
11,-34483.254402252096,2025-12-07 16:41:03.306126,2025-12-07 16:41:04.790299,0 days 00:00:01.484173,338.8706842735184,advanced,COMPLETE
12,-19924.487289507215,2025-12-07 16:41:04.790299,2025-12-07 16:41:06.142645,0 days 00:00:01.352346,612.0117715317866,advanced,COMPLETE
13,-166670.0780215654,2025-12-07 16:41:06.144155,2025-12-07 16:41:07.589190,0 days 00:00:01.445035,42.78248928108161,advanced,COMPLETE
14,-13847.776383595912,2025-12-07 16:41:07.591197,2025-12-07 16:41:09.056553,0 days 00:00:01.465356,864.5839377181267,advanced,COMPLETE
15,-1694117.8193586487,2025-12-07 16:41:09.058560,2025-12-07 16:41:10.520175,0 days 00:00:01.461615,0.025531292949199733,advanced,COMPLETE
16,-148491.96913279407,2025-12-07 16:41:10.520175,2025-12-07 16:41:11.977212,0 days 00:00:01.457037,51.03761342445244,advanced,COMPLETE
17,-230495.0358377484,2025-12-07 16:41:11.978218,2025-12-07 16:41:13.476350,0 days 00:00:01.498132,0.6053400498632163,advanced,COMPLETE
18,-261973.36536503278,2025-12-07 16:41:13.477353,2025-12-07 16:41:14.958812,0 days 00:00:01.481459,13.472557458267847,advanced,COMPLETE
19,-12261.049131211732,2025-12-07 16:41:14.960819,2025-12-07 16:41:16.475692,0 days 00:00:01.514873,964.0917821827791,advanced,COMPLETE
20,-599271.3854680392,2025-12-07 16:41:16.475692,2025-12-07 16:41:18.106779,0 days 00:00:01.631087,0.12715685875133698,advanced,COMPLETE
21,-18004.10895009744,2025-12-07 16:41:18.108637,2025-12-07 16:41:19.606368,0 days 00:00:01.497731,676.0829634943044,advanced,COMPLETE
22,-82285.20616719517,2025-12-07 16:41:19.607440,2025-12-07 16:41:21.101152,0 days 00:00:01.493712,114.11020267415068,advanced,COMPLETE
23,-13609.43277901219,2025-12-07 16:41:21.101152,2025-12-07 16:41:22.592744,0 days 00:00:01.491592,878.2837156621935,advanced,COMPLETE
