number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-33263030.52011223,2025-12-07 16:48:16.793878,2025-12-07 16:48:18.870822,0 days 00:00:02.076944,0.041858227295469716,extensive,COMPLETE
1,-9823.040330334594,2025-12-07 16:48:18.872828,2025-12-07 16:48:20.926767,0 days 00:00:02.053939,451.85609510240965,extensive,COMPLETE
2,-468122.4571242337,2025-12-07 16:48:20.927969,2025-12-07 16:48:22.936047,0 days 00:00:02.008078,13.3032451015229,extensive,COMPLETE
3,-2367218.0335213933,2025-12-07 16:48:22.936047,2025-12-07 16:48:25.038000,0 days 00:00:02.101953,1.55099139875943,extensive,COMPLETE
4,-30833532.399971154,2025-12-07 16:48:25.038000,2025-12-07 16:48:26.993893,0 days 00:00:01.955893,0.0012363188277052211,extensive,COMPLETE
5,-30845383.69032656,2025-12-07 16:48:26.993893,2025-12-07 16:48:29.107734,0 days 00:00:02.113841,0.0012358382772306934,extensive,COMPLETE
6,-106040431.28885442,2025-12-07 16:48:29.110569,2025-12-07 16:48:31.206085,0 days 00:00:02.095516,0.00025502648504032837,extensive,COMPLETE
7,-51601.1485516472,2025-12-07 16:48:31.207090,2025-12-07 16:48:33.257037,0 days 00:00:02.049947,115.67327199145953,extensive,COMPLETE
8,-2268731.395901562,2025-12-07 16:48:33.258041,2025-12-07 16:48:35.260210,0 days 00:00:02.002169,1.6136341713591311,extensive,COMPLETE
9,-601648.8567327327,2025-12-07 16:48:35.261184,2025-12-07 16:48:37.345971,0 days 00:00:02.084787,9.047071957568372,extensive,COMPLETE
10,-6147.703367778892,2025-12-07 16:48:37.346976,2025-12-07 16:48:39.459813,0 days 00:00:02.112837,718.5614470935544,extensive,COMPLETE
11,-13577.785879215613,2025-12-07 16:48:39.461823,2025-12-07 16:48:41.529499,0 days 00:00:02.067676,338.8706842735184,extensive,COMPLETE
12,-7172.166856356415,2025-12-07 16:48:41.531629,2025-12-07 16:48:43.627109,0 days 00:00:02.095480,612.0117715317866,extensive,COMPLETE
13,-168670.32238438367,2025-12-07 16:48:43.627109,2025-12-07 16:48:45.676468,0 days 00:00:02.049359,42.78248928108161,extensive,COMPLETE
14,-5203.005511887935,2025-12-07 16:48:45.676468,2025-12-07 16:48:47.797884,0 days 00:00:02.121416,864.5839377181267,extensive,COMPLETE
15,-26508960.450331394,2025-12-07 16:48:47.797884,2025-12-07 16:48:49.931882,0 days 00:00:02.133998,0.025531292949199733,extensive,COMPLETE
16,-138944.31488344644,2025-12-07 16:48:49.932445,2025-12-07 16:48:52.093964,0 days 00:00:02.161519,51.03761342445244,extensive,COMPLETE
