number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-883846.4701577062,2025-12-07 16:34:25.735778,2025-12-07 16:34:26.960252,0 days 00:00:01.224474,0.041858227295469716,medium,COMPLETE
1,-30517.34228856121,2025-12-07 16:34:26.960252,2025-12-07 16:34:28.233692,0 days 00:00:01.273440,451.85609510240965,medium,COMPLETE
2,-492856.61809631763,2025-12-07 16:34:28.235701,2025-12-07 16:34:29.481703,0 days 00:00:01.246002,13.3032451015229,medium,COMPLETE
3,-424193.30069871276,2025-12-07 16:34:29.482279,2025-12-07 16:34:30.756375,0 days 00:00:01.274096,1.55099139875943,medium,COMPLETE
4,-1630514.9274989495,2025-12-07 16:34:30.756375,2025-12-07 16:34:32.022030,0 days 00:00:01.265655,0.0012363188277052211,medium,COMPLETE
5,-1630578.5631373625,2025-12-07 16:34:32.022030,2025-12-07 16:34:33.309475,0 days 00:00:01.287445,0.0012358382772306934,medium,COMPLETE
6,-2238060.130035054,2025-12-07 16:34:33.309475,2025-12-07 16:34:34.584500,0 days 00:00:01.275025,0.00025502648504032837,medium,COMPLETE
7,-105283.71578348143,2025-12-07 16:34:34.584500,2025-12-07 16:34:35.847758,0 days 00:00:01.263258,115.67327199145953,medium,COMPLETE
8,-429498.0810453696,2025-12-07 16:34:35.847758,2025-12-07 16:34:37.138940,0 days 00:00:01.291182,1.6136341713591311,medium,COMPLETE
9,-542746.1604723622,2025-12-07 16:34:37.139949,2025-12-07 16:34:38.389040,0 days 00:00:01.249091,9.047071957568372,medium,COMPLETE
10,-19168.63030113036,2025-12-07 16:34:38.389040,2025-12-07 16:34:39.645473,0 days 00:00:01.256433,718.5614470935544,medium,COMPLETE
11,-40028.7997626534,2025-12-07 16:34:39.645473,2025-12-07 16:34:40.934496,0 days 00:00:01.289023,338.8706842735184,medium,COMPLETE
12,-22615.196114558934,2025-12-07 16:34:40.934496,2025-12-07 16:34:42.200306,0 days 00:00:01.265810,612.0117715317866,medium,COMPLETE
13,-248140.09398167886,2025-12-07 16:34:42.201553,2025-12-07 16:34:43.487241,0 days 00:00:01.285688,42.78248928108161,medium,COMPLETE
14,-15743.205683843304,2025-12-07 16:34:43.487241,2025-12-07 16:34:44.787270,0 days 00:00:01.300029,864.5839377181267,medium,COMPLETE
15,-1114504.9544278265,2025-12-07 16:34:44.788279,2025-12-07 16:34:46.075239,0 days 00:00:01.286960,0.025531292949199733,medium,COMPLETE
16,-215113.06667684042,2025-12-07 16:34:46.076390,2025-12-07 16:34:47.341764,0 days 00:00:01.265374,51.03761342445244,medium,COMPLETE
17,-311513.8285357345,2025-12-07 16:34:47.343772,2025-12-07 16:34:48.628414,0 days 00:00:01.284642,0.6053400498632163,medium,COMPLETE
18,-490722.6398002652,2025-12-07 16:34:48.628414,2025-12-07 16:34:49.902705,0 days 00:00:01.274291,13.472557458267847,medium,COMPLETE
19,-13975.943260777904,2025-12-07 16:34:49.902705,2025-12-07 16:34:51.185589,0 days 00:00:01.282884,964.0917821827791,medium,COMPLETE
20,-406134.75840415485,2025-12-07 16:34:51.185589,2025-12-07 16:34:52.443667,0 days 00:00:01.258078,0.12715685875133698,medium,COMPLETE
21,-20422.54489065133,2025-12-07 16:34:52.443667,2025-12-07 16:34:53.724722,0 days 00:00:01.281055,676.0829634943044,medium,COMPLETE
22,-106571.06901014973,2025-12-07 16:34:53.724722,2025-12-07 16:34:55.013576,0 days 00:00:01.288854,114.11020267415068,medium,COMPLETE
23,-15477.19090627866,2025-12-07 16:34:55.015121,2025-12-07 16:34:56.253221,0 days 00:00:01.238100,878.2837156621935,medium,COMPLETE
24,-77964.68849880244,2025-12-07 16:34:56.254227,2025-12-07 16:34:57.488406,0 days 00:00:01.234179,161.913329039408,medium,COMPLETE
25,-309859.14801955054,2025-12-07 16:34:57.488406,2025-12-07 16:34:58.759455,0 days 00:00:01.271049,31.807050326647353,medium,COMPLETE
26,-520399.73695263074,2025-12-07 16:34:58.759455,2025-12-07 16:35:00.019011,0 days 00:00:01.259556,3.2881108327352506,medium,COMPLETE
27,-13612.566747908322,2025-12-07 16:35:00.019011,2025-12-07 16:35:01.284051,0 days 00:00:01.265040,987.337322016025,medium,COMPLETE
28,-72523.07491544429,2025-12-07 16:35:01.284051,2025-12-07 16:35:02.556863,0 days 00:00:01.272812,175.57701770856028,medium,COMPLETE
29,-780190.3712407482,2025-12-07 16:35:02.556863,2025-12-07 16:35:03.807701,0 days 00:00:01.250838,0.05166059792654139,medium,COMPLETE
30,-210762.9488515407,2025-12-07 16:35:03.807701,2025-12-07 16:35:05.080373,0 days 00:00:01.272672,52.30948962651508,medium,COMPLETE
31,-13720.879843085177,2025-12-07 16:35:05.081886,2025-12-07 16:35:06.350652,0 days 00:00:01.268766,980.2957517319637,medium,COMPLETE
32,-51744.135453258,2025-12-07 16:35:06.351157,2025-12-07 16:35:07.634943,0 days 00:00:01.283786,255.83558526365496,medium,COMPLETE
33,-55413.55581755282,2025-12-07 16:35:07.634943,2025-12-07 16:35:08.908066,0 days 00:00:01.273123,237.11303475209897,medium,COMPLETE
