number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-34.6164732868097,2025-12-07 16:30:46.793762,2025-12-07 16:30:46.997110,0 days 00:00:00.203348,0.041858227295469716,none,COMPLETE
1,-0.3236302049846189,2025-12-07 16:30:46.997110,2025-12-07 16:30:47.195587,0 days 00:00:00.198477,451.85609510240965,none,COMPLETE
2,-13.554508446655271,2025-12-07 16:30:47.195587,2025-12-07 16:30:47.395214,0 days 00:00:00.199627,13.3032451015229,none,COMPLETE
3,-29.855094583321446,2025-12-07 16:30:47.395214,2025-12-07 16:30:47.596234,0 days 00:00:00.201020,1.55099139875943,none,COMPLETE
4,-34.77004954042685,2025-12-07 16:30:47.596234,2025-12-07 16:30:47.797588,0 days 00:00:00.201354,0.0012363188277052211,none,COMPLETE
5,-34.770051368824106,2025-12-07 16:30:47.797588,2025-12-07 16:30:47.996623,0 days 00:00:00.199035,0.0012358382772306934,none,COMPLETE
6,-34.77378366418572,2025-12-07 16:30:47.996623,2025-12-07 16:30:48.196716,0 days 00:00:00.200093,0.00025502648504032837,none,COMPLETE
7,-1.4528068641880358,2025-12-07 16:30:48.202245,2025-12-07 16:30:48.394561,0 days 00:00:00.192316,115.67327199145953,none,COMPLETE
8,-29.68682149358891,2025-12-07 16:30:48.396765,2025-12-07 16:30:48.596243,0 days 00:00:00.199478,1.6136341713591311,none,COMPLETE
9,-17.266071202416693,2025-12-07 16:30:48.596243,2025-12-07 16:30:48.796147,0 days 00:00:00.199904,9.047071957568372,none,COMPLETE
10,-0.19185134437979082,2025-12-07 16:30:48.796147,2025-12-07 16:30:48.883728,0 days 00:00:00.087581,718.5614470935544,none,COMPLETE
11,-0.4437857121393021,2025-12-07 16:30:48.883728,2025-12-07 16:30:49.080092,0 days 00:00:00.196364,338.8706842735184,none,COMPLETE
12,-0.23038565348684478,2025-12-07 16:30:49.082158,2025-12-07 16:30:49.167611,0 days 00:00:00.085453,612.0117715317866,none,COMPLETE
13,-4.593517366550453,2025-12-07 16:30:49.168611,2025-12-07 16:30:49.365265,0 days 00:00:00.196654,42.78248928108161,none,COMPLETE
14,-0.15496459476156632,2025-12-07 16:30:49.366437,2025-12-07 16:30:49.562537,0 days 00:00:00.196100,864.5839377181267,none,COMPLETE
15,-34.677966535168984,2025-12-07 16:30:49.562537,2025-12-07 16:30:49.762180,0 days 00:00:00.199643,0.025531292949199733,none,COMPLETE
16,-3.7631789229887964,2025-12-07 16:30:49.765256,2025-12-07 16:30:49.962773,0 days 00:00:00.197517,51.03761342445244,none,COMPLETE
17,-32.65213341895197,2025-12-07 16:30:49.962773,2025-12-07 16:30:50.164137,0 days 00:00:00.201364,0.6053400498632163,none,COMPLETE
18,-13.434074143383782,2025-12-07 16:30:50.165188,2025-12-07 16:30:50.364545,0 days 00:00:00.199357,13.472557458267847,none,COMPLETE
19,-0.13650462247819584,2025-12-07 16:30:50.365652,2025-12-07 16:30:50.564076,0 days 00:00:00.198424,964.0917821827791,none,COMPLETE
20,-34.30004391784996,2025-12-07 16:30:50.565086,2025-12-07 16:30:50.764152,0 days 00:00:00.199066,0.12715685875133698,none,COMPLETE
21,-0.20571028436821726,2025-12-07 16:30:50.765164,2025-12-07 16:30:50.950976,0 days 00:00:00.185812,676.0829634943044,none,COMPLETE
22,-1.475664240898894,2025-12-07 16:30:50.951500,2025-12-07 16:30:51.147848,0 days 00:00:00.196348,114.11020267415068,none,COMPLETE
23,-0.1521608981977999,2025-12-07 16:30:51.147848,2025-12-07 16:30:51.346262,0 days 00:00:00.198414,878.2837156621935,none,COMPLETE
24,-0.9937615166453234,2025-12-07 16:30:51.346262,2025-12-07 16:30:51.545783,0 days 00:00:00.199521,161.913329039408,none,COMPLETE
25,-6.319914831677679,2025-12-07 16:30:51.547361,2025-12-07 16:30:51.746453,0 days 00:00:00.199092,31.807050326647353,none,COMPLETE
26,-25.766028025944852,2025-12-07 16:30:51.746453,2025-12-07 16:30:51.946428,0 days 00:00:00.199975,3.2881108327352506,none,COMPLETE
27,-0.13275742143873118,2025-12-07 16:30:51.946428,2025-12-07 16:30:52.145939,0 days 00:00:00.199511,987.337322016025,none,COMPLETE
28,-0.9084312555131504,2025-12-07 16:30:52.145939,2025-12-07 16:30:52.345911,0 days 00:00:00.199972,175.57701770856028,none,COMPLETE
29,-34.579701110051,2025-12-07 16:30:52.345911,2025-12-07 16:30:52.533684,0 days 00:00:00.187773,0.05166059792654139,none,COMPLETE
30,-3.6584409194326604,2025-12-07 16:30:52.534730,2025-12-07 16:30:52.717025,0 days 00:00:00.182295,52.30948962651508,none,COMPLETE
31,-0.13387264341081226,2025-12-07 16:30:52.717025,2025-12-07 16:30:52.914714,0 days 00:00:00.197689,980.2957517319637,none,COMPLETE
32,-0.6021430240994969,2025-12-07 16:30:52.915263,2025-12-07 16:30:53.098504,0 days 00:00:00.183241,255.83558526365496,none,COMPLETE
33,-0.6539259520742808,2025-12-07 16:30:53.098504,2025-12-07 16:30:53.296645,0 days 00:00:00.198141,237.11303475209897,none,COMPLETE
34,-0.14524493434889404,2025-12-07 16:30:53.296645,2025-12-07 16:30:53.496558,0 days 00:00:00.199913,914.1194350205664,none,COMPLETE
35,-10.406716981466786,2025-12-07 16:30:53.496558,2025-12-07 16:30:53.695641,0 days 00:00:00.199083,18.73142243121762,none,COMPLETE
36,-2.205614199344385,2025-12-07 16:30:53.695641,2025-12-07 16:30:53.895796,0 days 00:00:00.200155,80.74148824028408,none,COMPLETE
37,-22.267856268478024,2025-12-07 16:30:53.895796,2025-12-07 16:30:54.111509,0 days 00:00:00.215713,5.212535701960554,none,COMPLETE
38,-34.75159546704242,2025-12-07 16:30:54.112514,2025-12-07 16:30:54.311417,0 days 00:00:00.198903,0.006090362383240358,none,COMPLETE
39,-0.4179318291443935,2025-12-07 16:30:54.312527,2025-12-07 16:30:54.513238,0 days 00:00:00.200711,358.0484793286321,none,COMPLETE
40,-0.13237505969861396,2025-12-07 16:30:54.513238,2025-12-07 16:30:54.600684,0 days 00:00:00.087446,989.7763455528143,none,COMPLETE
41,-0.4315608369923245,2025-12-07 16:30:54.601191,2025-12-07 16:30:54.796429,0 days 00:00:00.195238,347.66991055392435,none,COMPLETE
42,-1.428991439661529,2025-12-07 16:30:54.796429,2025-12-07 16:30:54.995899,0 days 00:00:00.199470,117.3536339077416,none,COMPLETE
43,-0.13343961229764081,2025-12-07 16:30:54.995899,2025-12-07 16:30:55.183850,0 days 00:00:00.187951,983.017249636398,none,COMPLETE
44,-0.5109055862994988,2025-12-07 16:30:55.184385,2025-12-07 16:30:55.379921,0 days 00:00:00.195536,297.68375110108406,none,COMPLETE
45,-0.1322652436817852,2025-12-07 16:30:55.379921,2025-12-07 16:30:55.580216,0 days 00:00:00.200295,990.479209014587,none,COMPLETE
46,-0.316502264635895,2025-12-07 16:30:55.580216,2025-12-07 16:30:55.765322,0 days 00:00:00.185106,461.02973991062873,none,COMPLETE
47,-8.58114778234932,2025-12-07 16:30:55.766920,2025-12-07 16:30:55.962964,0 days 00:00:00.196044,23.29676504351426,none,COMPLETE
48,-2.5644217494371437,2025-12-07 16:30:55.965689,2025-12-07 16:30:56.162274,0 days 00:00:00.196585,70.99772233056154,none,COMPLETE
49,-0.3334409529403446,2025-12-07 16:30:56.162274,2025-12-07 16:30:56.361872,0 days 00:00:00.199598,439.82059764464526,none,COMPLETE
50,-0.9543634661564973,2025-12-07 16:30:56.363508,2025-12-07 16:30:56.563445,0 days 00:00:00.199937,167.92187259253407,none,COMPLETE
51,-0.14872595993427007,2025-12-07 16:30:56.564957,2025-12-07 16:30:56.761296,0 days 00:00:00.196339,895.7046097805197,none,COMPLETE
