number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-28.862724684991814,2025-12-07 16:32:53.984510,2025-12-07 16:32:54.294115,0 days 00:00:00.309605,0.041858227295469716,simple2,COMPLETE
1,-0.41994433883712134,2025-12-07 16:32:54.294115,2025-12-07 16:32:54.611267,0 days 00:00:00.317152,451.85609510240965,simple2,COMPLETE
2,-10.746833349904449,2025-12-07 16:32:54.611267,2025-12-07 16:32:54.914263,0 days 00:00:00.302996,13.3032451015229,simple2,COMPLETE
3,-23.958409209581642,2025-12-07 16:32:54.915272,2025-12-07 16:32:55.229901,0 days 00:00:00.314629,1.55099139875943,simple2,COMPLETE
4,-29.054379748922255,2025-12-07 16:32:55.229901,2025-12-07 16:32:55.535406,0 days 00:00:00.305505,0.0012363188277052211,simple2,COMPLETE
5,-29.05438206036853,2025-12-07 16:32:55.535406,2025-12-07 16:32:55.845226,0 days 00:00:00.309820,0.0012358382772306934,simple2,COMPLETE
6,-29.05910203758118,2025-12-07 16:32:55.845226,2025-12-07 16:32:56.147759,0 days 00:00:00.302533,0.00025502648504032837,simple2,COMPLETE
7,-1.5907031922709638,2025-12-07 16:32:56.147759,2025-12-07 16:32:56.447709,0 days 00:00:00.299950,115.67327199145953,simple2,COMPLETE
8,-23.803546910688535,2025-12-07 16:32:56.447709,2025-12-07 16:32:56.745262,0 days 00:00:00.297553,1.6136341713591311,simple2,COMPLETE
9,-13.557360595402235,2025-12-07 16:32:56.745262,2025-12-07 16:32:57.046246,0 days 00:00:00.300984,9.047071957568372,simple2,COMPLETE
10,-0.2600226363123413,2025-12-07 16:32:57.047251,2025-12-07 16:32:57.343685,0 days 00:00:00.296434,718.5614470935544,simple2,COMPLETE
11,-0.5605923274324779,2025-12-07 16:32:57.345673,2025-12-07 16:32:57.637642,0 days 00:00:00.291969,338.8706842735184,simple2,COMPLETE
12,-0.3075263385742184,2025-12-07 16:32:57.637642,2025-12-07 16:32:57.945314,0 days 00:00:00.307672,612.0117715317866,simple2,COMPLETE
13,-4.124336625813986,2025-12-07 16:32:57.945816,2025-12-07 16:32:58.248934,0 days 00:00:00.303118,42.78248928108161,simple2,COMPLETE
14,-0.21376545457538568,2025-12-07 16:32:58.249939,2025-12-07 16:32:58.561039,0 days 00:00:00.311100,864.5839377181267,simple2,COMPLETE
15,-28.93888503203714,2025-12-07 16:32:58.561039,2025-12-07 16:32:58.862424,0 days 00:00:00.301385,0.025531292949199733,simple2,COMPLETE
16,-3.4922092028733953,2025-12-07 16:32:58.862926,2025-12-07 16:32:59.162495,0 days 00:00:00.299569,51.03761342445244,simple2,COMPLETE
17,-26.674651626354432,2025-12-07 16:32:59.162495,2025-12-07 16:32:59.460057,0 days 00:00:00.297562,0.6053400498632163,simple2,COMPLETE
18,-10.656808502909962,2025-12-07 16:32:59.460057,2025-12-07 16:32:59.754040,0 days 00:00:00.293983,13.472557458267847,simple2,COMPLETE
19,-0.19024421406351713,2025-12-07 16:32:59.754040,2025-12-07 16:33:00.062975,0 days 00:00:00.308935,964.0917821827791,simple2,COMPLETE
20,-28.481326182756685,2025-12-07 16:33:00.062975,2025-12-07 16:33:00.381708,0 days 00:00:00.318733,0.12715685875133698,simple2,COMPLETE
21,-0.2771924100835774,2025-12-07 16:33:00.382229,2025-12-07 16:33:00.695263,0 days 00:00:00.313034,676.0829634943044,simple2,COMPLETE
22,-1.611656601161796,2025-12-07 16:33:00.695263,2025-12-07 16:33:01.009964,0 days 00:00:00.314701,114.11020267415068,simple2,COMPLETE
23,-0.21021104532660018,2025-12-07 16:33:01.009964,2025-12-07 16:33:01.310978,0 days 00:00:00.301014,878.2837156621935,simple2,COMPLETE
24,-1.1512113835326672,2025-12-07 16:33:01.311982,2025-12-07 16:33:01.598074,0 days 00:00:00.286092,161.913329039408,simple2,COMPLETE
25,-5.409667599406091,2025-12-07 16:33:01.598074,2025-12-07 16:33:01.886794,0 days 00:00:00.288720,31.807050326647353,simple2,COMPLETE
26,-20.365172064126003,2025-12-07 16:33:01.886794,2025-12-07 16:33:02.179651,0 days 00:00:00.292857,3.2881108327352506,simple2,COMPLETE
27,-0.1854331786737394,2025-12-07 16:33:02.180154,2025-12-07 16:33:02.515569,0 days 00:00:00.335415,987.337322016025,simple2,COMPLETE
28,-1.0648186561316477,2025-12-07 16:33:02.516578,2025-12-07 16:33:02.812513,0 days 00:00:00.295935,175.57701770856028,simple2,COMPLETE
29,-28.81752797783018,2025-12-07 16:33:02.812513,2025-12-07 16:33:03.110964,0 days 00:00:00.298451,0.05166059792654139,simple2,COMPLETE
30,-3.4114159053878637,2025-12-07 16:33:03.110964,2025-12-07 16:33:03.410976,0 days 00:00:00.300012,52.30948962651508,simple2,COMPLETE
31,-0.1868663950825232,2025-12-07 16:33:03.410976,2025-12-07 16:33:03.726956,0 days 00:00:00.315980,980.2957517319637,simple2,COMPLETE
32,-0.7393307436928253,2025-12-07 16:33:03.726956,2025-12-07 16:33:04.034470,0 days 00:00:00.307514,255.83558526365496,simple2,COMPLETE
33,-0.7961795197118358,2025-12-07 16:33:04.034470,2025-12-07 16:33:04.329583,0 days 00:00:00.295113,237.11303475209897,simple2,COMPLETE
34,-0.20141653234125387,2025-12-07 16:33:04.331591,2025-12-07 16:33:04.630453,0 days 00:00:00.298862,914.1194350205664,simple2,COMPLETE
35,-8.412535956274239,2025-12-07 16:33:04.630453,2025-12-07 16:33:04.929497,0 days 00:00:00.299044,18.73142243121762,simple2,COMPLETE
36,-2.248834012693747,2025-12-07 16:33:04.929497,2025-12-07 16:33:05.229526,0 days 00:00:00.300029,80.74148824028408,simple2,COMPLETE
