number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feature_level,state
0,-27.265304495108367,2025-12-07 16:31:46.146963,2025-12-07 16:31:46.380163,0 days 00:00:00.233200,0.041858227295469716,simple,COMPLETE
1,-0.29251969035470743,2025-12-07 16:31:46.380163,2025-12-07 16:31:46.585969,0 days 00:00:00.205806,451.85609510240965,simple,COMPLETE
2,-10.558504850971232,2025-12-07 16:31:46.585969,2025-12-07 16:31:46.813922,0 days 00:00:00.227953,13.3032451015229,simple,COMPLETE
3,-23.464831700004186,2025-12-07 16:31:46.815427,2025-12-07 16:31:47.046399,0 days 00:00:00.230972,1.55099139875943,simple,COMPLETE
4,-27.388200555785613,2025-12-07 16:31:47.046399,2025-12-07 16:31:47.265644,0 days 00:00:00.219245,0.0012363188277052211,simple,COMPLETE
5,-27.388202021977254,2025-12-07 16:31:47.266155,2025-12-07 16:31:47.498084,0 days 00:00:00.231929,0.0012358382772306934,simple,COMPLETE
6,-27.391195134112376,2025-12-07 16:31:47.498594,2025-12-07 16:31:47.718583,0 days 00:00:00.219989,0.00025502648504032837,simple,COMPLETE
7,-1.2636827786531806,2025-12-07 16:31:47.718583,2025-12-07 16:31:47.946841,0 days 00:00:00.228258,115.67327199145953,simple,COMPLETE
8,-23.330060195246734,2025-12-07 16:31:47.946841,2025-12-07 16:31:48.164503,0 days 00:00:00.217662,1.6136341713591311,simple,COMPLETE
9,-13.456914753521529,2025-12-07 16:31:48.165011,2025-12-07 16:31:48.396124,0 days 00:00:00.231113,9.047071957568372,simple,COMPLETE
10,-0.17353005268606805,2025-12-07 16:31:48.396124,2025-12-07 16:31:48.630518,0 days 00:00:00.234394,718.5614470935544,simple,COMPLETE
11,-0.4013122770995338,2025-12-07 16:31:48.630518,2025-12-07 16:31:48.863246,0 days 00:00:00.232728,338.8706842735184,simple,COMPLETE
12,-0.20816290962820702,2025-12-07 16:31:48.863246,2025-12-07 16:31:49.096062,0 days 00:00:00.232816,612.0117715317866,simple,COMPLETE
13,-3.695225997389431,2025-12-07 16:31:49.096062,2025-12-07 16:31:49.331737,0 days 00:00:00.235675,42.78248928108161,simple,COMPLETE
14,-0.14060594304721352,2025-12-07 16:31:49.332281,2025-12-07 16:31:49.548018,0 days 00:00:00.215737,864.5839377181267,simple,COMPLETE
15,-27.314456383478575,2025-12-07 16:31:49.548018,2025-12-07 16:31:49.763732,0 days 00:00:00.215714,0.025531292949199733,simple,COMPLETE
16,-3.063274345198561,2025-12-07 16:31:49.763732,2025-12-07 16:31:49.982577,0 days 00:00:00.218845,51.03761342445244,simple,COMPLETE
17,-25.702087062896766,2025-12-07 16:31:49.983584,2025-12-07 16:31:50.198696,0 days 00:00:00.215112,0.6053400498632163,simple,COMPLETE
18,-10.465006007601568,2025-12-07 16:31:50.198696,2025-12-07 16:31:50.413309,0 days 00:00:00.214613,13.472557458267847,simple,COMPLETE
19,-0.12423479942800124,2025-12-07 16:31:50.413309,2025-12-07 16:31:50.631345,0 days 00:00:00.218036,964.0917821827791,simple,COMPLETE
