model_type,feature_level,label,best_value,best_ridge_alpha,best_lasso_alpha,best_enet_alpha,best_enet_l1_ratio,best_lgbm_num_leaves,best_lgbm_max_depth,best_lgbm_learning_rate,best_lgbm_min_child_samples,best_lgbm_subsample,best_lgbm_colsample_bytree,best_lgbm_n_estimators,best_lgbm_reg_alpha,best_lgbm_reg_lambda,best_xgb_max_depth,best_xgb_min_child_weight,best_xgb_subsample,best_xgb_colsample_bytree,best_xgb_learning_rate,best_xgb_n_estimators,best_xgb_reg_lambda,best_xgb_reg_alpha
ols,pca_only,PCA,-3332.5230811349197,,,,,,,,,,,,,,,,,,,,,
ols,pca_hybrid,PCA,-20081.63548509342,,,,,,,,,,,,,,,,,,,,,
ols,pca_block,PCA,-88871.84018645296,,,,,,,,,,,,,,,,,,,,,
ridge,pca_only,PCA,-2782.2682532238778,0.8841499243325358,,,,,,,,,,,,,,,,,,,,
ridge,pca_hybrid,PCA,-10933.213844098738,719.295090969188,,,,,,,,,,,,,,,,,,,,
ridge,pca_block,PCA,-10.845725709381108,770.2284805053762,,,,,,,,,,,,,,,,,,,,
lasso,pca_only,PCA,-0.0016559721242364045,,0.007822088163547633,,,,,,,,,,,,,,,,,,,
lasso,pca_hybrid,PCA,-0.0016559721242364045,,0.010808471593765783,,,,,,,,,,,,,,,,,,,
lasso,pca_block,PCA,-0.0016559721242364045,,0.020193900150363646,,,,,,,,,,,,,,,,,,,
elastic,pca_only,PCA,-0.0016559721242364045,,,0.018388966315648278,0.4288839493093892,,,,,,,,,,,,,,,,,
elastic,pca_hybrid,PCA,-0.0016559721242364045,,,0.005293345011040575,0.8417753753135306,,,,,,,,,,,,,,,,,
elastic,pca_block,PCA,-0.0016559721242364045,,,0.07609970795608066,0.9335598818570779,,,,,,,,,,,,,,,,,
lgbm,pca_only,PCA,-0.0016559720935109083,,,,,119.0,10.0,0.029404060427871935,12.0,0.7920787257435137,0.6147280941432274,1354.0,3.723600479594975,2.1152109722807,,,,,,,,
lgbm,pca_hybrid,PCA,-0.0016559720935109083,,,,,100.0,3.0,0.006409997891698702,75.0,0.8344979637208045,0.8546406059442023,1556.0,2.756144005880408,0.13430032417330034,,,,,,,,
lgbm,pca_block,PCA,-0.0016559720935109083,,,,,97.0,3.0,0.00965027683425112,75.0,0.6161144516372556,0.9347470633465322,543.0,3.9418053762097887,1.0716799457423047,,,,,,,,
xgb,pca_only,PCA,-0.0016559721404409238,,,,,,,,,,,,,,4.0,12.0,0.405253492932024,0.6699580979814084,0.007951915991944477,2113.0,0.12568822378554217,2.250350157304818
xgb,pca_hybrid,PCA,-0.0016559721404409238,,,,,,,,,,,,,,3.0,6.0,0.3903087805348842,0.8201000934084164,0.0027673358074557525,1078.0,0.6383148379577946,2.278260734739948
xgb,pca_block,PCA,-0.0008639002278224931,,,,,,,,,,,,,,6.0,4.0,0.8183896598780172,0.38485939423873383,0.011107580172580888,3337.0,1.4132463489609157,1.1657797331942088
