number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.0016559721404409238,2025-12-08 01:45:27.719323,2025-12-08 01:45:35.499082,0 days 00:00:07.779759,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,extensive,COMPLETE
1,-0.008256042854008458,2025-12-08 01:45:35.499082,2025-12-08 01:45:52.862284,0 days 00:00:17.363202,0.8819459112971966,0.025959425503112647,7,15,1007,0.9170225492671691,0.2620503255096255,0.31235069657748143,extensive,COMPLETE
2,-0.00165061301430236,2025-12-08 01:45:52.863284,2025-12-08 01:46:00.013154,0 days 00:00:07.149870,0.47473748411882516,0.010952662748632562,5,11,730,1.8318092164684585,0.4701469243560972,0.5591670111852695,extensive,COMPLETE
3,-0.004176376954991771,2025-12-08 01:46:00.015360,2025-12-08 01:46:10.036439,0 days 00:00:10.021079,0.608540663048167,0.010150667045928576,6,16,376,0.8526206184364576,2.5002240473339543,0.41980426929501585,extensive,COMPLETE
4,-0.0016559721404409238,2025-12-08 01:46:10.036439,2025-12-08 01:46:16.239750,0 days 00:00:06.203311,0.7850384088698767,0.0032925293631105254,3,19,571,2.2007624686980067,3.753537145233125,0.8793792198447357,extensive,COMPLETE
5,-0.0016559721404409238,2025-12-08 01:46:16.240750,2025-12-08 01:46:39.437065,0 days 00:00:23.196315,0.8455922412472694,0.0027520696850790523,3,10,2718,2.600340105889054,0.5215026697411662,0.320633112669131,extensive,COMPLETE
6,-0.0016559721404409238,2025-12-08 01:46:39.438066,2025-12-08 01:47:09.135564,0 days 00:00:29.697498,0.7650796940166689,0.03946212980759095,7,4,3601,4.609371175115584,2.375668206925437,0.8817507766587351,extensive,COMPLETE
7,-0.0016559721404409238,2025-12-08 01:47:09.135564,2025-12-08 01:47:19.629890,0 days 00:00:10.494326,0.49519819845795865,0.004574578205475401,3,4,1231,1.7837666334679465,8.071418522169695,0.32713637334632284,extensive,COMPLETE
8,-0.002177201567998721,2025-12-08 01:47:19.632088,2025-12-08 01:48:20.253683,0 days 00:01:00.621595,0.7813181884524238,0.0013386261584543908,5,11,3951,0.993578407670862,5.983542473217019,0.3845545349848576,extensive,COMPLETE
9,-0.023352324206027102,2025-12-08 01:48:20.254686,2025-12-08 01:48:31.766978,0 days 00:00:11.512292,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,extensive,COMPLETE
10,-0.0016559721404409238,2025-12-08 01:48:31.766978,2025-12-08 01:48:46.013280,0 days 00:00:14.246302,0.310777125368892,0.009273525384446297,10,10,1884,3.334291375412892,16.16074119637322,0.5212372636326583,extensive,COMPLETE
11,-0.0016559721404409238,2025-12-08 01:48:46.014708,2025-12-08 01:48:59.784484,0 days 00:00:13.769776,0.5136547340009963,0.0011014724251195624,5,1,1701,4.695776478353494,0.12801139880962656,0.670766746553186,extensive,COMPLETE
12,-0.0016559721404409238,2025-12-08 01:48:59.785485,2025-12-08 01:49:09.988414,0 days 00:00:10.202929,0.6215444219993109,0.012865681082993814,5,20,1115,3.7109617606161134,0.1342229832868124,0.5882256132574295,extensive,COMPLETE
13,-0.0016559721404409238,2025-12-08 01:49:09.990089,2025-12-08 01:49:30.127144,0 days 00:00:20.137055,0.3946771723074462,0.0056265565046301905,9,13,2711,3.71324245436504,0.867951396637233,0.763157750256116,extensive,COMPLETE
14,-0.0016559721404409238,2025-12-08 01:49:30.127144,2025-12-08 01:49:41.729327,0 days 00:00:11.602183,0.49827058667934154,0.002077128177927737,6,7,1398,2.8931722737456926,0.30715057921363803,0.5189480298210062,extensive,COMPLETE
15,-0.0018101134980927542,2025-12-08 01:49:41.729327,2025-12-08 01:50:06.084183,0 days 00:00:24.354856,0.6777242273310715,0.015763402633808796,8,13,2349,1.5325000367638486,0.27835754889420783,0.7887613312944662,extensive,COMPLETE
16,-0.038234777658709605,2025-12-08 01:50:06.085981,2025-12-08 01:50:27.851813,0 days 00:00:21.765832,0.42237416984784654,0.007350426025509245,4,7,771,0.10456783241701961,0.10254326881299437,0.6429884972933552,extensive,COMPLETE
17,-0.0016559721404409238,2025-12-08 01:50:27.852813,2025-12-08 01:50:32.015922,0 days 00:00:04.163109,0.5686913599596384,0.0016983358339402897,4,18,303,4.102078258697054,1.2158932190101244,0.5394680940274434,extensive,COMPLETE
18,-0.0016559721404409238,2025-12-08 01:50:32.019941,2025-12-08 01:50:45.704058,0 days 00:00:13.684117,0.6758873481309698,0.004376192267784829,6,14,1570,4.9864367334813675,0.38966407384858365,0.8109104317140341,extensive,COMPLETE
19,-0.0016576637249795152,2025-12-08 01:50:45.704058,2025-12-08 01:51:02.481526,0 days 00:00:16.777468,0.4179697526339657,0.002605096501850406,4,7,2144,1.8693516938940695,0.1797951177434505,0.6975020770245692,extensive,COMPLETE
20,-0.0016559721404409238,2025-12-08 01:51:02.482527,2025-12-08 01:51:10.458176,0 days 00:00:07.975649,0.5576780615129473,0.04832259207239233,8,20,861,2.97095730557929,0.20329244253870954,0.6096112306191741,extensive,COMPLETE
21,-0.0016559721404409238,2025-12-08 01:51:10.458680,2025-12-08 01:51:17.206246,0 days 00:00:06.747566,0.6992020092489893,0.0025982031107980564,4,18,652,2.0563988060258334,3.35082561957348,0.8728557298143396,extensive,COMPLETE
22,-0.0016559721404409238,2025-12-08 01:51:17.207801,2025-12-08 01:51:21.085207,0 days 00:00:03.877406,0.821411634518281,0.003526361408513758,5,20,245,2.34029505988944,1.4359719791188508,0.8443683490321584,extensive,COMPLETE
23,-0.0016090060834661097,2025-12-08 01:51:21.085207,2025-12-08 01:51:31.728648,0 days 00:00:10.643441,0.637991356128071,0.0014987302840350335,4,18,717,1.3392212829336758,6.972722896648096,0.7308311673362831,extensive,COMPLETE
24,-0.0017339200605134646,2025-12-08 01:51:31.730139,2025-12-08 01:51:50.255780,0 days 00:00:18.525641,0.6216807959450946,0.0016770651661069742,5,16,1270,1.3678613939322435,18.254908851652328,0.744629027350832,extensive,COMPLETE
25,-0.0016022548127759457,2025-12-08 01:51:50.257896,2025-12-08 01:51:59.871906,0 days 00:00:09.614010,0.5504265679198894,0.001057924899360663,4,12,850,1.3755134222313103,0.4779927753945541,0.5709299157307591,extensive,COMPLETE
26,-0.0016555100612158924,2025-12-08 01:51:59.872906,2025-12-08 01:52:09.283365,0 days 00:00:09.410459,0.5473516572077354,0.0010417667253165392,4,8,993,1.5010033341482472,1.1191684555803685,0.46619784308431816,extensive,COMPLETE
27,-0.00598974046856134,2025-12-08 01:52:09.283365,2025-12-08 01:52:52.236852,0 days 00:00:42.953487,0.46193941771764546,0.0013517755644810124,4,12,1503,0.20345535024937744,0.5619559212428372,0.5757757684546256,extensive,COMPLETE
28,-0.0018347338400866997,2025-12-08 01:52:52.240844,2025-12-08 01:53:11.581194,0 days 00:00:19.340350,0.3539062069594575,0.006878533089809049,6,9,1909,1.3282484765518947,1.7678865881215027,0.6381571470976981,extensive,COMPLETE
29,-0.0027663425863619917,2025-12-08 01:53:11.581194,2025-12-08 01:53:26.989862,0 days 00:00:15.408668,0.4530411676989652,0.0021021733020984037,3,12,791,0.39266128393223143,7.436022714648922,0.47793830772789725,extensive,COMPLETE
30,-0.004620730908863724,2025-12-08 01:53:26.990865,2025-12-08 01:53:36.435517,0 days 00:00:09.444652,0.6483321065208851,0.02530473423625893,5,14,636,1.188282650912904,0.8468086779449882,0.5519011079826175,extensive,COMPLETE
31,-0.001660670064496846,2025-12-08 01:53:36.436517,2025-12-08 01:53:46.129339,0 days 00:00:09.692822,0.560152697613261,0.0010251180134022025,4,9,1046,1.6680027080218183,1.0047142961997604,0.4775283244735674,extensive,COMPLETE
32,-0.0022618230081656123,2025-12-08 01:53:46.131854,2025-12-08 01:54:06.781171,0 days 00:00:20.649317,0.5462663220477912,0.001335394496768243,4,5,917,0.7478146991108432,0.40673679521976847,0.4776734315272083,extensive,COMPLETE
