number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.0016559721404409238,2025-12-07 19:57:11.258482,2025-12-07 19:57:14.636152,0 days 00:00:03.377670,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,none,COMPLETE
1,-0.002584579716141233,2025-12-07 19:57:14.636152,2025-12-07 19:57:19.241796,0 days 00:00:04.605644,0.8819459112971966,0.025959425503112647,7,15,1007,0.9170225492671691,0.2620503255096255,0.31235069657748143,none,COMPLETE
2,-0.0016559721404409238,2025-12-07 19:57:19.242960,2025-12-07 19:57:22.329629,0 days 00:00:03.086669,0.47473748411882516,0.010952662748632562,5,11,730,1.8318092164684585,0.4701469243560972,0.5591670111852695,none,COMPLETE
3,-0.0014484151315282319,2025-12-07 19:57:22.330027,2025-12-07 19:57:24.495010,0 days 00:00:02.164983,0.608540663048167,0.010150667045928576,6,16,376,0.8526206184364576,2.5002240473339543,0.41980426929501585,none,COMPLETE
4,-0.0016559721404409238,2025-12-07 19:57:24.495010,2025-12-07 19:57:26.993074,0 days 00:00:02.498064,0.7850384088698767,0.0032925293631105254,3,19,571,2.2007624686980067,3.753537145233125,0.8793792198447357,none,COMPLETE
5,-0.0016559721404409238,2025-12-07 19:57:26.995077,2025-12-07 19:57:37.609358,0 days 00:00:10.614281,0.8455922412472694,0.0027520696850790523,3,10,2718,2.600340105889054,0.5215026697411662,0.320633112669131,none,COMPLETE
6,-0.0016559721404409238,2025-12-07 19:57:37.609358,2025-12-07 19:57:51.558616,0 days 00:00:13.949258,0.7650796940166689,0.03946212980759095,7,4,3601,4.609371175115584,2.375668206925437,0.8817507766587351,none,COMPLETE
7,-0.0016559721404409238,2025-12-07 19:57:51.558616,2025-12-07 19:57:56.364343,0 days 00:00:04.805727,0.49519819845795865,0.004574578205475401,3,4,1231,1.7837666334679465,8.071418522169695,0.32713637334632284,none,COMPLETE
8,-0.0016092937002776992,2025-12-07 19:57:56.365343,2025-12-07 19:58:13.433332,0 days 00:00:17.067989,0.7813181884524238,0.0013386261584543908,5,11,3951,0.993578407670862,5.983542473217019,0.3845545349848576,none,COMPLETE
9,-0.008660811971462179,2025-12-07 19:58:13.434331,2025-12-07 19:58:16.330728,0 days 00:00:02.896397,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,none,COMPLETE
10,-0.0983418560576208,2025-12-07 19:58:16.332732,2025-12-07 19:58:48.170841,0 days 00:00:31.838109,0.310777125368892,0.009140283686703719,10,14,1822,0.05926297805822678,16.16074119637322,0.48461652687015744,none,COMPLETE
11,-0.0016773696524897315,2025-12-07 19:58:48.170841,2025-12-07 19:59:03.483364,0 days 00:00:15.312523,0.6122043737729015,0.00132403062488207,5,9,3761,1.2003329156932683,5.531817948589211,0.44877230848385635,none,COMPLETE
12,-0.0016559721404409238,2025-12-07 19:59:03.484629,2025-12-07 19:59:14.467790,0 days 00:00:10.983161,0.5121247007031318,0.006848342316856315,9,13,2820,3.2634060011249044,1.4102385037522365,0.4357297432683836,none,COMPLETE
13,-0.18303836948452945,2025-12-07 19:59:14.468173,2025-12-07 19:59:37.716445,0 days 00:00:23.248272,0.6868767216042063,0.012929109590202272,6,7,1777,0.02616525959119631,1.654667832673062,0.5502249707155165,none,COMPLETE
14,-0.001640361635534937,2025-12-07 19:59:37.717448,2025-12-07 19:59:50.643527,0 days 00:00:12.926079,0.5768429036921325,0.0010527493992239132,8,17,3093,1.1639132893665802,18.80266323739734,0.41052777792639944,none,COMPLETE
15,-0.0016325532020640872,2025-12-07 19:59:50.645535,2025-12-07 19:59:59.095374,0 days 00:00:08.449839,0.39933376883122673,0.005867982875188021,6,1,2135,1.5243709036217088,8.790014935342638,0.6488729286376165,none,COMPLETE
16,-0.0016559721404409238,2025-12-07 19:59:59.097383,2025-12-07 20:00:04.612978,0 days 00:00:05.515595,0.8177563931119516,0.0170573656733123,4,12,1393,3.197342331354388,3.1971349083826466,0.38183850356942156,none,COMPLETE
17,-0.004209904791381576,2025-12-07 20:00:04.614891,2025-12-07 20:00:29.718740,0 days 00:00:25.103849,0.6994381558954033,0.0021392659455262463,8,16,2328,0.48932424403376107,1.1304860481747994,0.4967911928810774,none,COMPLETE
18,-0.0016559721404409238,2025-12-07 20:00:29.719746,2025-12-07 20:00:42.423246,0 days 00:00:12.703500,0.5782704472026667,0.004376192267784829,4,8,3293,2.9476872494684914,6.912101042281132,0.6277082570574324,none,COMPLETE
19,-0.0016559721404409238,2025-12-07 20:00:42.424250,2025-12-07 20:00:43.919852,0 days 00:00:01.495602,0.636174426082581,0.03233269140273978,6,6,325,4.078649186547714,3.7650069251580804,0.3564461911967799,none,COMPLETE
20,-0.05779374702501457,2025-12-07 20:00:43.920604,2025-12-07 20:01:02.284778,0 days 00:00:18.364174,0.4208181725537298,0.04832259207239233,4,18,3922,0.6554011644642393,11.854152861871677,0.5092885568688409,none,COMPLETE
21,-0.001615541652482344,2025-12-07 20:01:02.285547,2025-12-07 20:01:11.599590,0 days 00:00:09.314043,0.34912869295495536,0.0057905342956396395,6,1,2346,1.5937129799807837,10.332919474558707,0.6568483800455777,none,COMPLETE
22,-0.001869320212013507,2025-12-07 20:01:11.602158,2025-12-07 20:01:21.567768,0 days 00:00:09.965610,0.30021599428923074,0.007837160878623137,7,1,2492,1.4642406674350203,5.190218165128781,0.7210826016938755,none,COMPLETE
23,-0.0016559721404409238,2025-12-07 20:01:21.569775,2025-12-07 20:01:27.834184,0 days 00:00:06.264409,0.3744594194838401,0.013160247769644836,5,5,1603,2.412807198314778,2.282530379754112,0.6675100022461659,none,COMPLETE
24,-0.0016562678702493432,2025-12-07 20:01:27.836191,2025-12-07 20:01:40.756082,0 days 00:00:12.919891,0.5418594448003391,0.004711716276133936,6,13,3329,1.9815385852196974,11.845995850838584,0.7921100489856184,none,COMPLETE
25,-0.0017752477658685706,2025-12-07 20:01:40.758088,2025-12-07 20:01:53.140213,0 days 00:00:12.382125,0.7108801981375648,0.0018470066338772528,8,10,2061,0.9332268760563104,4.838756091495739,0.567940035203948,none,COMPLETE
26,-0.012638674138423974,2025-12-07 20:01:53.140213,2025-12-07 20:02:16.327359,0 days 00:00:23.187146,0.458596971939773,0.003203926298936706,5,3,2936,0.39040552946330426,11.059672741151793,0.37753442169453777,none,COMPLETE
27,-0.0019488549922094627,2025-12-07 20:02:16.328358,2025-12-07 20:02:20.707793,0 days 00:00:04.379435,0.5480514075971621,0.018411548269854496,7,15,1064,1.3501722713178244,0.9234613638761312,0.5989627666666124,none,COMPLETE
28,-0.0014280385179430792,2025-12-07 20:02:20.709499,2025-12-07 20:02:34.619780,0 days 00:00:13.910281,0.36237108239025717,0.0014086270110928477,6,8,2506,0.7746770626064073,2.2615882706804453,0.4585190602728606,none,COMPLETE
29,-0.001539432650485469,2025-12-07 20:02:34.619780,2025-12-07 20:02:35.837756,0 days 00:00:01.217976,0.642083955724556,0.001444476688697767,4,20,213,0.8439131023542292,2.2859612772938407,0.447886439283992,none,COMPLETE
30,-0.0008951033327603275,2025-12-07 20:02:35.840265,2025-12-07 20:02:37.837343,0 days 00:00:01.997078,0.6734726279346046,0.0010724328509245165,4,19,229,0.32789011181239036,0.1254174428157919,0.458731912702515,none,COMPLETE
31,-0.0009146823435522237,2025-12-07 20:02:37.837343,2025-12-07 20:02:39.821200,0 days 00:00:01.983857,0.6524006093226072,0.001065062673393586,4,20,226,0.29305032593404223,0.13269456712914562,0.45321579322403993,none,COMPLETE
32,-0.0004928209200644185,2025-12-07 20:02:39.823528,2025-12-07 20:02:46.192753,0 days 00:00:06.369225,0.6726430362959764,0.0010082728820690323,4,19,773,0.26385644688547627,0.12476053494907564,0.48588268974998405,none,COMPLETE
33,-0.0004698420447141564,2025-12-07 20:02:46.194322,2025-12-07 20:02:52.311199,0 days 00:00:06.116877,0.6711792817826685,0.001027285250210201,4,19,747,0.3440755833986744,0.11846863890123394,0.5235418524807259,none,COMPLETE
