number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.0016559721404409238,2025-12-07 21:07:24.864812,2025-12-07 21:07:28.195814,0 days 00:00:03.331002,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,simple2,COMPLETE
1,-0.0032260843681083027,2025-12-07 21:07:28.196826,2025-12-07 21:07:33.070542,0 days 00:00:04.873716,0.8819459112971966,0.025959425503112647,7,15,1007,0.9170225492671691,0.2620503255096255,0.31235069657748143,simple2,COMPLETE
2,-0.0016559721404409238,2025-12-07 21:07:33.070542,2025-12-07 21:07:36.136154,0 days 00:00:03.065612,0.47473748411882516,0.010952662748632562,5,11,730,1.8318092164684585,0.4701469243560972,0.5591670111852695,simple2,COMPLETE
3,-0.0019157667263377531,2025-12-07 21:07:36.136154,2025-12-07 21:07:38.311430,0 days 00:00:02.175276,0.608540663048167,0.010150667045928576,6,16,376,0.8526206184364576,2.5002240473339543,0.41980426929501585,simple2,COMPLETE
4,-0.0016559721404409238,2025-12-07 21:07:38.312434,2025-12-07 21:07:40.753380,0 days 00:00:02.440946,0.7850384088698767,0.0032925293631105254,3,19,571,2.2007624686980067,3.753537145233125,0.8793792198447357,simple2,COMPLETE
5,-0.0016559721404409238,2025-12-07 21:07:40.753380,2025-12-07 21:07:51.728431,0 days 00:00:10.975051,0.8455922412472694,0.0027520696850790523,3,10,2718,2.600340105889054,0.5215026697411662,0.320633112669131,simple2,COMPLETE
6,-0.0016559721404409238,2025-12-07 21:07:51.729262,2025-12-07 21:08:06.325985,0 days 00:00:14.596723,0.7650796940166689,0.03946212980759095,7,4,3601,4.609371175115584,2.375668206925437,0.8817507766587351,simple2,COMPLETE
7,-0.0016559721404409238,2025-12-07 21:08:06.327429,2025-12-07 21:08:11.361503,0 days 00:00:05.034074,0.49519819845795865,0.004574578205475401,3,4,1231,1.7837666334679465,8.071418522169695,0.32713637334632284,simple2,COMPLETE
8,-0.0016231705040676097,2025-12-07 21:08:11.362626,2025-12-07 21:08:29.593628,0 days 00:00:18.231002,0.7813181884524238,0.0013386261584543908,5,11,3951,0.993578407670862,5.983542473217019,0.3845545349848576,simple2,COMPLETE
9,-0.010680546173370479,2025-12-07 21:08:29.595775,2025-12-07 21:08:32.877609,0 days 00:00:03.281834,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,simple2,COMPLETE
10,-0.0016559721404409238,2025-12-07 21:08:32.878820,2025-12-07 21:08:47.315308,0 days 00:00:14.436488,0.310777125368892,0.0010586414866322784,10,10,3650,3.3820892378437533,16.685321327549868,0.48461652687015744,simple2,COMPLETE
11,-0.0016559721404409238,2025-12-07 21:08:47.316870,2025-12-07 21:08:55.203259,0 days 00:00:07.886389,0.6554989635091168,0.0011014724251195624,5,1,1930,4.695776478353494,0.14323741358858905,0.7094834936314305,simple2,COMPLETE
