number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,state
0,-0.0016559721404409238,2025-12-07 20:37:17.855548,2025-12-07 20:37:23.025951,0 days 00:00:05.170403,0.659195090518222,0.0018410729205738682,5,20,792,4.330880728874676,0.1360354613611808,0.7391963650868432,simple,COMPLETE
1,-0.001583762492324059,2025-12-07 20:37:23.026951,2025-12-07 20:37:30.868883,0 days 00:00:07.841932,0.8819459112971966,0.025959425503112647,7,15,1007,0.9170225492671691,0.2620503255096255,0.31235069657748143,simple,COMPLETE
2,-0.0016559721404409238,2025-12-07 20:37:30.868883,2025-12-07 20:37:33.867023,0 days 00:00:02.998140,0.47473748411882516,0.010952662748632562,5,11,730,1.8318092164684585,0.4701469243560972,0.5591670111852695,simple,COMPLETE
3,-0.001548189733535173,2025-12-07 20:37:33.868378,2025-12-07 20:37:36.031547,0 days 00:00:02.163169,0.608540663048167,0.010150667045928576,6,16,376,0.8526206184364576,2.5002240473339543,0.41980426929501585,simple,COMPLETE
4,-0.0016559721404409238,2025-12-07 20:37:36.032552,2025-12-07 20:37:38.417642,0 days 00:00:02.385090,0.7850384088698767,0.0032925293631105254,3,19,571,2.2007624686980067,3.753537145233125,0.8793792198447357,simple,COMPLETE
5,-0.0016559721404409238,2025-12-07 20:37:38.418641,2025-12-07 20:37:49.233896,0 days 00:00:10.815255,0.8455922412472694,0.0027520696850790523,3,10,2718,2.600340105889054,0.5215026697411662,0.320633112669131,simple,COMPLETE
6,-0.0016559721404409238,2025-12-07 20:37:49.235030,2025-12-07 20:38:03.434962,0 days 00:00:14.199932,0.7650796940166689,0.03946212980759095,7,4,3601,4.609371175115584,2.375668206925437,0.8817507766587351,simple,COMPLETE
7,-0.0016559721404409238,2025-12-07 20:38:03.437004,2025-12-07 20:38:08.350711,0 days 00:00:04.913707,0.49519819845795865,0.004574578205475401,3,4,1231,1.7837666334679465,8.071418522169695,0.32713637334632284,simple,COMPLETE
8,-0.0015739692243072294,2025-12-07 20:38:08.352324,2025-12-07 20:38:26.001508,0 days 00:00:17.649184,0.7813181884524238,0.0013386261584543908,5,11,3951,0.993578407670862,5.983542473217019,0.3845545349848576,simple,COMPLETE
9,-0.01065035665195957,2025-12-07 20:38:26.006292,2025-12-07 20:38:29.095164,0 days 00:00:03.088872,0.7374043008245925,0.0204345549841614,3,17,481,0.5793452976256486,0.6680983417211186,0.7241144063085703,simple,COMPLETE
10,-0.09484510194436191,2025-12-07 20:38:29.096473,2025-12-07 20:39:02.638236,0 days 00:00:33.541763,0.310777125368892,0.009140283686703719,10,14,1822,0.05926297805822678,16.16074119637322,0.48461652687015744,simple,COMPLETE
11,-0.0016522773873502243,2025-12-07 20:39:02.640240,2025-12-07 20:39:18.307025,0 days 00:00:15.666785,0.6122043737729015,0.00132403062488207,5,9,3761,1.2003329156932683,5.531817948589211,0.44877230848385635,simple,COMPLETE
12,-0.0016559721404409238,2025-12-07 20:39:18.307025,2025-12-07 20:39:29.421094,0 days 00:00:11.114069,0.5121247007031318,0.006848342316856315,9,13,2820,3.2634060011249044,1.4102385037522365,0.4357297432683836,simple,COMPLETE
13,-0.15754796638147858,2025-12-07 20:39:29.422017,2025-12-07 20:39:55.874597,0 days 00:00:26.452580,0.6868767216042063,0.012929109590202272,6,7,1777,0.02616525959119631,1.654667832673062,0.5502249707155165,simple,COMPLETE
14,-0.0016663263162421948,2025-12-07 20:39:55.874597,2025-12-07 20:40:15.259836,0 days 00:00:19.385239,0.5768429036921325,0.0010527493992239132,8,17,3093,1.1639132893665802,18.80266323739734,0.41052777792639944,simple,COMPLETE
15,-0.0016560643784594802,2025-12-07 20:40:15.260841,2025-12-07 20:40:23.891595,0 days 00:00:08.630754,0.39933376883122673,0.005867982875188021,6,1,2135,1.5243709036217088,8.790014935342638,0.6488729286376165,simple,COMPLETE
16,-0.0016559721404409238,2025-12-07 20:40:23.892595,2025-12-07 20:40:29.490448,0 days 00:00:05.597853,0.8177563931119516,0.0170573656733123,4,12,1393,3.197342331354388,3.1971349083826466,0.38183850356942156,simple,COMPLETE
17,-0.006349897408255052,2025-12-07 20:40:29.491227,2025-12-07 20:40:57.079474,0 days 00:00:27.588247,0.6994381558954033,0.0021392659455262463,8,16,2328,0.48932424403376107,1.1304860481747994,0.4967911928810774,simple,COMPLETE
18,-0.0016559721404409238,2025-12-07 20:40:57.080451,2025-12-07 20:41:10.077283,0 days 00:00:12.996832,0.5782704472026667,0.004376192267784829,4,8,3293,2.9476872494684914,6.912101042281132,0.6277082570574324,simple,COMPLETE
19,-0.0016559721404409238,2025-12-07 20:41:10.078822,2025-12-07 20:41:11.524263,0 days 00:00:01.445441,0.636174426082581,0.03233269140273978,6,6,325,4.078649186547714,3.7650069251580804,0.3564461911967799,simple,COMPLETE
20,-0.0652916225761185,2025-12-07 20:41:11.526984,2025-12-07 20:41:30.724839,0 days 00:00:19.197855,0.4208181725537298,0.04832259207239233,4,18,3922,0.6554011644642393,11.854152861871677,0.5092885568688409,simple,COMPLETE
21,-0.0017377204653915939,2025-12-07 20:41:30.724839,2025-12-07 20:41:36.252548,0 days 00:00:05.527709,0.8982146891091002,0.025435961170111994,7,15,1296,1.104043973037657,0.10828399210435159,0.31666300401009634,simple,COMPLETE
22,-0.006259724580191935,2025-12-07 20:41:36.253551,2025-12-07 20:41:42.578175,0 days 00:00:06.324624,0.8920980211411094,0.01526978336277062,7,14,988,0.7448551207580785,0.293909848440671,0.38618862654104424,simple,COMPLETE
23,-0.001628905082436886,2025-12-07 20:41:42.579776,2025-12-07 20:41:43.781193,0 days 00:00:01.201417,0.8271762039498198,0.008089797735859385,8,12,262,1.5893599146917894,0.2215612888788419,0.4325806398999637,simple,COMPLETE
24,-0.0016559721404409238,2025-12-07 20:41:43.782192,2025-12-07 20:41:50.245971,0 days 00:00:06.463779,0.7307963751746064,0.02409749292284616,6,15,1618,2.261057123949106,0.9096947583077137,0.36538714885716667,simple,COMPLETE
25,-0.0018233008733924045,2025-12-07 20:41:50.246754,2025-12-07 20:41:54.830342,0 days 00:00:04.583588,0.8588287735223865,0.011272247598792497,5,13,1015,1.122229800187927,2.1125732002076325,0.46001739838365335,simple,COMPLETE
26,-0.14257740325003612,2025-12-07 20:41:54.831274,2025-12-07 20:42:21.729820,0 days 00:00:26.898546,0.8083534997344525,0.030024407086637925,7,10,2432,0.2807717970762367,4.8723698674423295,0.3182759212084186,simple,COMPLETE
27,-0.002236675381948198,2025-12-07 20:42:21.729820,2025-12-07 20:42:27.816275,0 days 00:00:06.086455,0.7516356169736502,0.005862221001787177,9,16,925,0.9420759137032042,0.2808310893889879,0.5366193024804227,simple,COMPLETE
28,-0.0017874010324578915,2025-12-07 20:42:27.816275,2025-12-07 20:42:41.731883,0 days 00:00:13.915608,0.5485551102279159,0.018042686321849306,6,19,3464,1.4585423127108759,2.0855507961749145,0.4033653590526647,simple,COMPLETE
29,-0.0016559721404409238,2025-12-07 20:42:41.732930,2025-12-07 20:42:44.566597,0 days 00:00:02.833667,0.6667843042632701,0.0016853675473601558,5,20,682,2.16575208733694,0.8019200115874313,0.7100808041670148,simple,COMPLETE
30,-0.0016559721404409238,2025-12-07 20:42:44.567675,2025-12-07 20:42:51.064702,0 days 00:00:06.497027,0.8629589430089765,0.003396236850796245,4,12,1610,3.755534438213288,0.1923660855932807,0.5877889419961508,simple,COMPLETE
31,-0.0016303706631632942,2025-12-07 20:42:51.065701,2025-12-07 20:42:52.808852,0 days 00:00:01.743151,0.8134264849889772,0.008573724376262517,8,11,401,1.579455424149941,0.24813388181914758,0.43885837465115046,simple,COMPLETE
32,-0.0016559721404409238,2025-12-07 20:42:52.809852,2025-12-07 20:42:54.331144,0 days 00:00:01.521292,0.8314309185264044,0.00866687436475184,8,12,351,1.8426293402531417,0.15265477031466562,0.36404127276560344,simple,COMPLETE
33,-0.018220653404905047,2025-12-07 20:42:54.332472,2025-12-07 20:43:04.459920,0 days 00:00:10.127448,0.7807604678006143,0.013181740390509778,9,14,733,0.3440755833986744,0.3727307101851261,0.3007381601463194,simple,COMPLETE
