number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-80411.39452785115,2025-12-08 13:52:14.976938,2025-12-08 13:52:19.890641,0 days 00:00:04.913703,1.655123038850427e-05,0.04719165771068701,extensive,final,elastic,pca_block,True,COMPLETE
1,-0.0016559721242364045,2025-12-08 13:52:19.891641,2025-12-08 13:52:21.426772,0 days 00:00:01.535131,0.06883809438653712,0.14297958604320238,extensive,final,elastic,pca_block,True,COMPLETE
2,-0.0016559721242364045,2025-12-08 13:52:21.426772,2025-12-08 13:52:22.946547,0 days 00:00:01.519775,0.0018739423394702709,0.9670730210319556,extensive,final,elastic,pca_block,True,COMPLETE
3,-0.0016559721242364045,2025-12-08 13:52:22.946547,2025-12-08 13:52:24.475706,0 days 00:00:01.529159,0.05447064416116532,0.6725644781856368,extensive,final,elastic,pca_block,True,COMPLETE
4,-40.16946272900944,2025-12-08 13:52:24.476969,2025-12-08 13:52:26.025816,0 days 00:00:01.548847,4.747186277573873e-05,0.8251517545437739,extensive,final,elastic,pca_block,True,COMPLETE
5,-0.0016559721242364045,2025-12-08 13:52:26.026823,2025-12-08 13:52:27.525903,0 days 00:00:01.499080,0.0015108330622422893,0.810141378499372,extensive,final,elastic,pca_block,True,COMPLETE
6,-61517.60645754853,2025-12-08 13:52:27.525903,2025-12-08 13:52:29.675995,0 days 00:00:02.150092,1.2026611186840856e-05,0.2584892614523717,extensive,final,elastic,pca_block,True,COMPLETE
7,-0.0035050343926350536,2025-12-08 13:52:29.677004,2025-12-08 13:52:31.408525,0 days 00:00:01.731521,0.0010145402167990188,0.4291995900786082,extensive,final,elastic,pca_block,True,COMPLETE
8,-1.1612508632055407,2025-12-08 13:52:31.409481,2025-12-08 13:52:32.940778,0 days 00:00:01.531297,0.0001373872821329411,0.9346046533534134,extensive,final,elastic,pca_block,True,COMPLETE
9,-29802.23251811021,2025-12-08 13:52:32.941779,2025-12-08 13:52:35.008726,0 days 00:00:02.066947,1.7972893158424912e-05,0.5187284380866216,extensive,final,elastic,pca_block,True,COMPLETE
10,-0.0016559721242364045,2025-12-08 13:52:35.010480,2025-12-08 13:52:36.859775,0 days 00:00:01.849295,0.09187699253967832,0.05749734099821835,extensive,final,elastic,pca_block,True,COMPLETE
11,-0.0016559721242364045,2025-12-08 13:52:36.860385,2025-12-08 13:52:38.579072,0 days 00:00:01.718687,0.009908250643996915,0.2818543679907335,extensive,final,elastic,pca_block,True,COMPLETE
12,-0.0016559721242364045,2025-12-08 13:52:38.579687,2025-12-08 13:52:40.460783,0 days 00:00:01.881096,0.00798193631479597,0.9874752533883988,extensive,final,elastic,pca_block,True,COMPLETE
13,-0.0016559721242364045,2025-12-08 13:52:40.460783,2025-12-08 13:52:42.114033,0 days 00:00:01.653250,0.012137044883573415,0.585892914280114,extensive,final,elastic,pca_block,True,COMPLETE
14,-950.4887679882964,2025-12-08 13:52:42.114033,2025-12-08 13:52:43.697464,0 days 00:00:01.583431,0.0001327667868481194,0.2530505901021808,extensive,final,elastic,pca_block,True,COMPLETE
15,-0.0016559721242364045,2025-12-08 13:52:43.697464,2025-12-08 13:52:45.265253,0 days 00:00:01.567789,0.0031221904744919145,0.4192190598705901,extensive,final,elastic,pca_block,True,COMPLETE
16,-15.471065202038409,2025-12-08 13:52:45.265253,2025-12-08 13:52:47.180516,0 days 00:00:01.915263,0.00027928633781695964,0.153841360289021,extensive,final,elastic,pca_block,True,COMPLETE
17,-0.0016559721242364045,2025-12-08 13:52:47.180516,2025-12-08 13:52:48.750896,0 days 00:00:01.570380,0.03297706702763218,0.7025650643776995,extensive,final,elastic,pca_block,True,COMPLETE
18,-0.3013926905044964,2025-12-08 13:52:48.751405,2025-12-08 13:52:50.697496,0 days 00:00:01.946091,0.000471602931113578,0.4147027570395457,extensive,final,elastic,pca_block,True,COMPLETE
19,-0.0016559721242364045,2025-12-08 13:52:50.697496,2025-12-08 13:52:52.361152,0 days 00:00:01.663656,0.002636180337295242,0.8287876928040971,extensive,final,elastic,pca_block,True,COMPLETE
20,-0.0016559721242364045,2025-12-08 13:52:52.361152,2025-12-08 13:52:53.911144,0 days 00:00:01.549992,0.022919811982665968,0.15128097275215896,extensive,final,elastic,pca_block,True,COMPLETE
21,-0.0016559721242364045,2025-12-08 13:52:53.911144,2025-12-08 13:52:55.416785,0 days 00:00:01.505641,0.08471595023632812,0.6217977833145889,extensive,final,elastic,pca_block,True,COMPLETE
22,-0.0016559721242364045,2025-12-08 13:52:55.416785,2025-12-08 13:52:57.059902,0 days 00:00:01.643117,0.03760902598802121,0.7168474321366897,extensive,final,elastic,pca_block,True,COMPLETE
23,-0.0016559721242364045,2025-12-08 13:52:57.060859,2025-12-08 13:52:58.613965,0 days 00:00:01.553106,0.004489752116708097,0.916652406848179,extensive,final,elastic,pca_block,True,COMPLETE
24,-0.0016559721242364045,2025-12-08 13:52:58.614662,2025-12-08 13:53:00.163811,0 days 00:00:01.549149,0.045540632989020655,0.7049546729590193,extensive,final,elastic,pca_block,True,COMPLETE
25,-0.0016559721242364045,2025-12-08 13:53:00.163811,2025-12-08 13:53:01.664172,0 days 00:00:01.500361,0.016170956088853043,0.5279065329450527,extensive,final,elastic,pca_block,True,COMPLETE
26,-0.0016559721242364045,2025-12-08 13:53:01.664172,2025-12-08 13:53:03.162183,0 days 00:00:01.498011,0.00548043398218647,0.3197765479802389,extensive,final,elastic,pca_block,True,COMPLETE
27,-0.0016559721242364045,2025-12-08 13:53:03.163184,2025-12-08 13:53:04.597781,0 days 00:00:01.434597,0.09554930365682543,0.6273693205886133,extensive,final,elastic,pca_block,True,COMPLETE
28,-0.0016559721242364045,2025-12-08 13:53:04.597781,2025-12-08 13:53:06.045338,0 days 00:00:01.447557,0.050631494404531886,0.7706999986459727,extensive,final,elastic,pca_block,True,COMPLETE
29,-0.0016559721242364045,2025-12-08 13:53:06.045889,2025-12-08 13:53:07.493524,0 days 00:00:01.447635,0.002091848233238511,0.8870280049938851,extensive,final,elastic,pca_block,True,COMPLETE
30,-4918.809561413187,2025-12-08 13:53:07.494525,2025-12-08 13:53:09.061486,0 days 00:00:01.566961,0.0005463930969695196,0.04740297102220334,extensive,final,elastic,pca_block,True,COMPLETE
31,-0.0016559721242364045,2025-12-08 13:53:09.061486,2025-12-08 13:53:10.493694,0 days 00:00:01.432208,0.0011940340470438487,0.8204311504307581,extensive,final,elastic,pca_block,True,COMPLETE
32,-0.0016559721242364045,2025-12-08 13:53:10.493694,2025-12-08 13:53:11.996124,0 days 00:00:01.502430,0.0017276584534054922,0.9768216502979096,extensive,final,elastic,pca_block,True,COMPLETE
33,-0.0016559721242364045,2025-12-08 13:53:11.996124,2025-12-08 13:53:13.481102,0 days 00:00:01.484978,0.021483075753197124,0.8672104064129946,extensive,final,elastic,pca_block,True,COMPLETE
34,-0.001778228133036371,2025-12-08 13:53:13.481102,2025-12-08 13:53:15.296235,0 days 00:00:01.815133,0.0007112909851143536,0.7573438728127884,extensive,final,elastic,pca_block,True,COMPLETE
35,-10.40981068669058,2025-12-08 13:53:15.297240,2025-12-08 13:53:16.764972,0 days 00:00:01.467732,5.567247200803925e-05,0.8057414127886869,extensive,final,elastic,pca_block,True,COMPLETE
36,-0.3083777575371267,2025-12-08 13:53:16.764972,2025-12-08 13:53:18.512173,0 days 00:00:01.747201,0.0003029913514296404,0.640994135289381,extensive,final,elastic,pca_block,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:53:18.513180,2025-12-08 13:53:20.164631,0 days 00:00:01.651451,0.0064907247159941275,0.9204818052975466,extensive,final,elastic,pca_block,True,COMPLETE
38,-2.794311586006143,2025-12-08 13:53:20.164631,2025-12-08 13:53:21.840455,0 days 00:00:01.675824,0.00011909037865327685,0.8599873673676555,extensive,final,elastic,pca_block,True,COMPLETE
39,-12533.02696338456,2025-12-08 13:53:21.841457,2025-12-08 13:53:23.600313,0 days 00:00:01.758856,2.8544095686548223e-05,0.557763445057549,extensive,final,elastic,pca_block,True,COMPLETE
40,-0.0017786082918616053,2025-12-08 13:53:23.601409,2025-12-08 13:53:25.263277,0 days 00:00:01.661868,0.0010970562087092416,0.4852075025721644,extensive,final,elastic,pca_block,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:53:25.263277,2025-12-08 13:53:26.731762,0 days 00:00:01.468485,0.05391246904325912,0.09908070513707479,extensive,final,elastic,pca_block,True,COMPLETE
