number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721242364045,2025-12-08 13:44:04.847668,2025-12-08 13:44:06.397889,0 days 00:00:01.550221,0.004333326353213267,0.7668487527826934,extensive,final,elastic,pca_hybrid,True,COMPLETE
1,-15516.029104707333,2025-12-08 13:44:06.397889,2025-12-08 13:44:07.930840,0 days 00:00:01.532951,3.9510385611704886e-05,0.4831029575969654,extensive,final,elastic,pca_hybrid,True,COMPLETE
2,-0.0016559721242364045,2025-12-08 13:44:07.930840,2025-12-08 13:44:09.914876,0 days 00:00:01.984036,0.0033966209296192053,0.4420056790960496,extensive,final,elastic,pca_hybrid,True,COMPLETE
3,-1112.632046383572,2025-12-08 13:44:09.914876,2025-12-08 13:44:11.533476,0 days 00:00:01.618600,0.0002537721168752331,0.6369104206964517,extensive,final,elastic,pca_hybrid,True,COMPLETE
4,-0.0016559721242364045,2025-12-08 13:44:11.534526,2025-12-08 13:44:13.066454,0 days 00:00:01.531928,0.0008799290294821404,0.9937239753270982,extensive,final,elastic,pca_hybrid,True,COMPLETE
5,-188.58602997257768,2025-12-08 13:44:13.067413,2025-12-08 13:44:14.635643,0 days 00:00:01.568230,0.00017185602428384256,0.7677707800197199,extensive,final,elastic,pca_hybrid,True,COMPLETE
6,-0.0016559721242364045,2025-12-08 13:44:14.636646,2025-12-08 13:44:16.297901,0 days 00:00:01.661255,0.026727778104716722,0.8774723310153385,extensive,final,elastic,pca_hybrid,True,COMPLETE
7,-3340.0531674866975,2025-12-08 13:44:16.298385,2025-12-08 13:44:18.082412,0 days 00:00:01.784027,0.00027706094468434137,0.2565959226838167,extensive,final,elastic,pca_hybrid,True,COMPLETE
8,-0.0016559721242364045,2025-12-08 13:44:18.083412,2025-12-08 13:44:19.600783,0 days 00:00:01.517371,0.011006794274084733,0.08756048387973958,extensive,final,elastic,pca_hybrid,True,COMPLETE
9,-0.0016559721242364045,2025-12-08 13:44:19.600783,2025-12-08 13:44:21.199244,0 days 00:00:01.598461,0.052137539407910674,0.5610484762329758,extensive,final,elastic,pca_hybrid,True,COMPLETE
10,-16717.32219127228,2025-12-08 13:44:21.200239,2025-12-08 13:44:22.775707,0 days 00:00:01.575468,1.0976443740700615e-05,0.7293388805072619,extensive,final,elastic,pca_hybrid,True,COMPLETE
11,-0.0016559721242364045,2025-12-08 13:44:22.775707,2025-12-08 13:44:24.298436,0 days 00:00:01.522729,0.005243961300010467,0.4065370757362345,extensive,final,elastic,pca_hybrid,True,COMPLETE
12,-0.001731707722258946,2025-12-08 13:44:24.298985,2025-12-08 13:44:25.915193,0 days 00:00:01.616208,0.0028647402919047605,0.279634234367164,extensive,final,elastic,pca_hybrid,True,COMPLETE
13,-0.0022293197474102153,2025-12-08 13:44:25.915193,2025-12-08 13:44:27.465318,0 days 00:00:01.550125,0.0014763459063365364,0.4061325075729536,extensive,final,elastic,pca_hybrid,True,COMPLETE
14,-0.0016559721242364045,2025-12-08 13:44:27.465968,2025-12-08 13:44:28.980340,0 days 00:00:01.514372,0.010976966811406245,0.7017677619565289,extensive,final,elastic,pca_hybrid,True,COMPLETE
15,-0.002750497300733734,2025-12-08 13:44:28.980340,2025-12-08 13:44:30.932177,0 days 00:00:01.951837,0.000682621408898291,0.8636562380623645,extensive,final,elastic,pca_hybrid,True,COMPLETE
16,-0.0016559721242364045,2025-12-08 13:44:30.932528,2025-12-08 13:44:32.548812,0 days 00:00:01.616284,0.0905284802050682,0.03838851665906662,extensive,final,elastic,pca_hybrid,True,COMPLETE
17,-0.0016559721242364045,2025-12-08 13:44:32.549923,2025-12-08 13:44:34.048972,0 days 00:00:01.499049,0.004409572246722938,0.561633692165812,extensive,final,elastic,pca_hybrid,True,COMPLETE
18,-0.0016559721242364045,2025-12-08 13:44:34.049976,2025-12-08 13:44:35.550047,0 days 00:00:01.500071,0.013317505568066615,0.22515331411765466,extensive,final,elastic,pca_hybrid,True,COMPLETE
19,-0.0017395062350795687,2025-12-08 13:44:35.550047,2025-12-08 13:44:37.232766,0 days 00:00:01.682719,0.001864980197818082,0.4263847985780852,extensive,final,elastic,pca_hybrid,True,COMPLETE
20,-11.061642656974486,2025-12-08 13:44:37.232766,2025-12-08 13:44:38.847962,0 days 00:00:01.615196,0.0005211497123966815,0.833784498298116,extensive,final,elastic,pca_hybrid,True,COMPLETE
21,-0.0016559721242364045,2025-12-08 13:44:38.847962,2025-12-08 13:44:40.399396,0 days 00:00:01.551434,0.0009782195484237814,0.9990361671352043,extensive,final,elastic,pca_hybrid,True,COMPLETE
22,-847.4044925611806,2025-12-08 13:44:40.399845,2025-12-08 13:44:41.949917,0 days 00:00:01.550072,9.56909133230294e-05,0.9772051740424815,extensive,final,elastic,pca_hybrid,True,COMPLETE
23,-0.0016559721242364045,2025-12-08 13:44:41.949917,2025-12-08 13:44:43.499989,0 days 00:00:01.550072,0.005008161375090085,0.6357190116300389,extensive,final,elastic,pca_hybrid,True,COMPLETE
24,-0.0016559721242364045,2025-12-08 13:44:43.499989,2025-12-08 13:44:45.049141,0 days 00:00:01.549152,0.0020704593284002815,0.9059355840295586,extensive,final,elastic,pca_hybrid,True,COMPLETE
25,-1.52037592376839,2025-12-08 13:44:45.049531,2025-12-08 13:44:46.734039,0 days 00:00:01.684508,0.0006025697690209656,0.7824494707126761,extensive,final,elastic,pca_hybrid,True,COMPLETE
26,-0.0016559721242364045,2025-12-08 13:44:46.735038,2025-12-08 13:44:48.299521,0 days 00:00:01.564483,0.024783557260253605,0.9344070262993223,extensive,final,elastic,pca_hybrid,True,COMPLETE
27,-0.0016559721242364045,2025-12-08 13:44:48.299521,2025-12-08 13:44:49.719400,0 days 00:00:01.419879,0.0036177057217848924,0.6525716241921882,extensive,final,elastic,pca_hybrid,True,COMPLETE
28,-0.001979264900528429,2025-12-08 13:44:49.719400,2025-12-08 13:44:51.233939,0 days 00:00:01.514539,0.001221552337992759,0.5126679280535686,extensive,final,elastic,pca_hybrid,True,COMPLETE
29,-9212.228648260245,2025-12-08 13:44:51.233939,2025-12-08 13:44:52.833312,0 days 00:00:01.599373,4.5903341702845765e-05,0.830473509674423,extensive,final,elastic,pca_hybrid,True,COMPLETE
30,-0.0016559721242364045,2025-12-08 13:44:52.833762,2025-12-08 13:44:54.450585,0 days 00:00:01.616823,0.007405859134654288,0.32370976882992863,extensive,final,elastic,pca_hybrid,True,COMPLETE
31,-0.0016559721242364045,2025-12-08 13:44:54.450585,2025-12-08 13:44:55.883586,0 days 00:00:01.433001,0.029706002971996322,0.9094556489563275,extensive,final,elastic,pca_hybrid,True,COMPLETE
32,-0.0016559721242364045,2025-12-08 13:44:55.884146,2025-12-08 13:44:57.433894,0 days 00:00:01.549748,0.027067308745301107,0.9426055073278999,extensive,final,elastic,pca_hybrid,True,COMPLETE
33,-0.0016559721242364045,2025-12-08 13:44:57.434553,2025-12-08 13:44:59.284393,0 days 00:00:01.849840,0.018579609566517743,0.7782851291864651,extensive,final,elastic,pca_hybrid,True,COMPLETE
34,-1348.1051216816466,2025-12-08 13:44:59.284393,2025-12-08 13:45:00.800263,0 days 00:00:01.515870,0.0003138469627834522,0.8785709800016672,extensive,final,elastic,pca_hybrid,True,COMPLETE
35,-0.0016559721242364045,2025-12-08 13:45:00.801020,2025-12-08 13:45:02.283871,0 days 00:00:01.482851,0.05038096805766877,0.15560132632630613,extensive,final,elastic,pca_hybrid,True,COMPLETE
36,-805.6003872336206,2025-12-08 13:45:02.284430,2025-12-08 13:45:03.776634,0 days 00:00:01.492204,0.00013948545537773274,0.6780009273971062,extensive,final,elastic,pca_hybrid,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:45:03.776634,2025-12-08 13:45:05.251107,0 days 00:00:01.474473,0.0025932057811833675,0.59152416561808,extensive,final,elastic,pca_hybrid,True,COMPLETE
38,-0.0016559721242364045,2025-12-08 13:45:05.251107,2025-12-08 13:45:06.846821,0 days 00:00:01.595714,0.007709849329435869,0.45681476423841566,extensive,final,elastic,pca_hybrid,True,COMPLETE
39,-0.0016559721242364045,2025-12-08 13:45:06.846821,2025-12-08 13:45:08.465022,0 days 00:00:01.618201,0.04604799383329121,0.7441716387454002,extensive,final,elastic,pca_hybrid,True,COMPLETE
40,-0.0016559721242364045,2025-12-08 13:45:08.465022,2025-12-08 13:45:10.101905,0 days 00:00:01.636883,0.09832278592021727,0.8170297528168509,extensive,final,elastic,pca_hybrid,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:45:10.102912,2025-12-08 13:45:11.660230,0 days 00:00:01.557318,0.009949507481652792,0.12760471508935922,extensive,final,elastic,pca_hybrid,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:45:11.660766,2025-12-08 13:45:13.102925,0 days 00:00:01.442159,0.016606114872240715,0.36473219969420967,extensive,final,elastic,pca_hybrid,True,COMPLETE
43,-0.001804893385218535,2025-12-08 13:45:13.102925,2025-12-08 13:45:14.553506,0 days 00:00:01.450581,0.00691102157268452,0.1084627501720673,extensive,final,elastic,pca_hybrid,True,COMPLETE
44,-0.00185829116362779,2025-12-08 13:45:14.553987,2025-12-08 13:45:16.018127,0 days 00:00:01.464140,0.0033353502045508692,0.21525193336642792,extensive,final,elastic,pca_hybrid,True,COMPLETE
45,-11008.862555826849,2025-12-08 13:45:16.018127,2025-12-08 13:45:17.602627,0 days 00:00:01.584500,0.0010673350553921312,0.029858279944732516,extensive,final,elastic,pca_hybrid,True,COMPLETE
46,-0.0016559721242364045,2025-12-08 13:45:17.603624,2025-12-08 13:45:19.085841,0 days 00:00:01.482217,0.012565156738066687,0.49456286463424287,extensive,final,elastic,pca_hybrid,True,COMPLETE
47,-0.0016559721242364045,2025-12-08 13:45:19.086877,2025-12-08 13:45:20.601738,0 days 00:00:01.514861,0.005562141680419522,0.95939532557874,extensive,final,elastic,pca_hybrid,True,COMPLETE
48,-1455.1645810002158,2025-12-08 13:45:20.602982,2025-12-08 13:45:22.236355,0 days 00:00:01.633373,0.0003752770597430004,0.7170184537573171,extensive,final,elastic,pca_hybrid,True,COMPLETE
49,-0.0016559721242364045,2025-12-08 13:45:22.236355,2025-12-08 13:45:23.721855,0 days 00:00:01.485500,0.002059094653536019,0.8690153076665178,extensive,final,elastic,pca_hybrid,True,COMPLETE
50,-13.393804749152181,2025-12-08 13:45:23.721855,2025-12-08 13:45:25.930987,0 days 00:00:02.209132,0.0007165089089664098,0.5958107738506339,extensive,final,elastic,pca_hybrid,True,COMPLETE
51,-0.0016559721242364045,2025-12-08 13:45:25.930987,2025-12-08 13:45:27.484026,0 days 00:00:01.553039,0.0449837542077572,0.2575468570842285,extensive,final,elastic,pca_hybrid,True,COMPLETE
