number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721242364045,2025-12-08 13:36:12.337155,2025-12-08 13:36:13.902054,0 days 00:00:01.564899,0.04566370843240339,0.08976427208249105,extensive,final,elastic,pca_only,True,COMPLETE
1,-4492.07823084909,2025-12-08 13:36:13.903415,2025-12-08 13:36:15.385829,0 days 00:00:01.482414,0.00321032768849063,0.01166185991715707,extensive,final,elastic,pca_only,True,COMPLETE
2,-0.0016559721242364045,2025-12-08 13:36:15.387054,2025-12-08 13:36:17.020158,0 days 00:00:01.633104,0.05357856069229244,0.0837983818553849,extensive,final,elastic,pca_only,True,COMPLETE
3,-0.0016559721242364045,2025-12-08 13:36:17.020158,2025-12-08 13:36:18.720956,0 days 00:00:01.700798,0.0007827183669563823,0.9371675106807452,extensive,final,elastic,pca_only,True,COMPLETE
4,-0.0016559721242364045,2025-12-08 13:36:18.720956,2025-12-08 13:36:20.220982,0 days 00:00:01.500026,0.017748359947275603,0.662657994574752,extensive,final,elastic,pca_only,True,COMPLETE
5,-5.574147977342644,2025-12-08 13:36:20.220982,2025-12-08 13:36:21.622493,0 days 00:00:01.401511,0.0005316201980197848,0.8297111807503142,extensive,final,elastic,pca_only,True,COMPLETE
6,-3724.3746491717375,2025-12-08 13:36:21.623164,2025-12-08 13:36:23.520568,0 days 00:00:01.897404,5.788362420510898e-05,0.9108101504232236,extensive,final,elastic,pca_only,True,COMPLETE
7,-4175.458441354384,2025-12-08 13:36:23.520568,2025-12-08 13:36:25.139812,0 days 00:00:01.619244,1.1059502283503817e-05,0.41342326213500125,extensive,final,elastic,pca_only,True,COMPLETE
8,-759.2265211524674,2025-12-08 13:36:25.140295,2025-12-08 13:36:26.688492,0 days 00:00:01.548197,0.0007059656291094628,0.17327572192204732,extensive,final,elastic,pca_only,True,COMPLETE
9,-0.0016559721242364045,2025-12-08 13:36:26.689492,2025-12-08 13:36:28.158186,0 days 00:00:01.468694,0.056521551137442866,0.8739056275152713,extensive,final,elastic,pca_only,True,COMPLETE
10,-0.0016559721242364045,2025-12-08 13:36:28.158186,2025-12-08 13:36:29.739646,0 days 00:00:01.581460,0.006615290308805591,0.31695001739298245,extensive,final,elastic,pca_only,True,COMPLETE
11,-0.0016559721242364045,2025-12-08 13:36:29.740648,2025-12-08 13:36:31.321565,0 days 00:00:01.580917,0.07686508656900948,0.013077056789615918,extensive,final,elastic,pca_only,True,COMPLETE
12,-0.0016559721242364045,2025-12-08 13:36:31.321565,2025-12-08 13:36:32.921532,0 days 00:00:01.599967,0.018313137394100273,0.20518157845205845,extensive,final,elastic,pca_only,True,COMPLETE
13,-0.0016559721242364045,2025-12-08 13:36:32.921532,2025-12-08 13:36:34.438901,0 days 00:00:01.517369,0.0862428733278179,0.5166231553834336,extensive,final,elastic,pca_only,True,COMPLETE
14,-0.0016559721242364045,2025-12-08 13:36:34.439902,2025-12-08 13:36:35.971678,0 days 00:00:01.531776,0.004729308573635183,0.16896081991552853,extensive,final,elastic,pca_only,True,COMPLETE
15,-0.0016559721242364045,2025-12-08 13:36:35.971678,2025-12-08 13:36:37.488690,0 days 00:00:01.517012,0.027103273732189986,0.3113231501372232,extensive,final,elastic,pca_only,True,COMPLETE
16,-4730.211780798313,2025-12-08 13:36:37.488690,2025-12-08 13:36:39.206088,0 days 00:00:01.717398,0.00020016534215073437,0.10877438798914663,extensive,final,elastic,pca_only,True,COMPLETE
17,-0.0016559721242364045,2025-12-08 13:36:39.207087,2025-12-08 13:36:40.922197,0 days 00:00:01.715110,0.0023218726199341158,0.5592208212206276,extensive,final,elastic,pca_only,True,COMPLETE
18,-0.0016559721242364045,2025-12-08 13:36:40.922197,2025-12-08 13:36:42.607693,0 days 00:00:01.685496,0.01824495163893737,0.296223990728103,extensive,final,elastic,pca_only,True,COMPLETE
19,-0.0016559721242364045,2025-12-08 13:36:42.607693,2025-12-08 13:36:44.222320,0 days 00:00:01.614627,0.00716528024218401,0.7236640842153945,extensive,final,elastic,pca_only,True,COMPLETE
20,-0.0016559721242364045,2025-12-08 13:36:44.222320,2025-12-08 13:36:45.804374,0 days 00:00:01.582054,0.03837899152263735,0.4074967513539187,extensive,final,elastic,pca_only,True,COMPLETE
21,-157.98603544851403,2025-12-08 13:36:45.805585,2025-12-08 13:36:47.337940,0 days 00:00:01.532355,0.00022393242198187973,0.9603161679978772,extensive,final,elastic,pca_only,True,COMPLETE
22,-108.26881211265668,2025-12-08 13:36:47.337940,2025-12-08 13:36:48.872015,0 days 00:00:01.534075,0.0016907836711552212,0.09876647450970291,extensive,final,elastic,pca_only,True,COMPLETE
23,-178.8317072284235,2025-12-08 13:36:48.872548,2025-12-08 13:36:50.389074,0 days 00:00:01.516526,0.0003162615088007435,0.7661204205341293,extensive,final,elastic,pca_only,True,COMPLETE
24,-3534.9184079707024,2025-12-08 13:36:50.389074,2025-12-08 13:36:51.939347,0 days 00:00:01.550273,0.00010410525846877707,0.6536452247778577,extensive,final,elastic,pca_only,True,COMPLETE
25,-0.0016559721242364045,2025-12-08 13:36:51.939347,2025-12-08 13:36:53.690100,0 days 00:00:01.750753,0.009213060348217122,0.26393309935202897,extensive,final,elastic,pca_only,True,COMPLETE
26,-4.607370287013864,2025-12-08 13:36:53.691099,2025-12-08 13:36:55.306133,0 days 00:00:01.615034,0.001150866454726131,0.39468966032263475,extensive,final,elastic,pca_only,True,COMPLETE
27,-4570.438945785453,2025-12-08 13:36:55.307193,2025-12-08 13:36:56.806284,0 days 00:00:01.499091,3.7400028661313666e-05,0.09098202263624765,extensive,final,elastic,pca_only,True,COMPLETE
28,-0.0016559721242364045,2025-12-08 13:36:56.807325,2025-12-08 13:36:58.323468,0 days 00:00:01.516143,0.03825691250333625,0.4667172916860486,extensive,final,elastic,pca_only,True,COMPLETE
29,-4138.093492774859,2025-12-08 13:36:58.323468,2025-12-08 13:36:59.872738,0 days 00:00:01.549270,0.0024007783262234195,0.020868152848067756,extensive,final,elastic,pca_only,True,COMPLETE
30,-0.0016559721242364045,2025-12-08 13:36:59.873261,2025-12-08 13:37:01.421874,0 days 00:00:01.548613,0.011326079305132283,0.613906289039212,extensive,final,elastic,pca_only,True,COMPLETE
31,-0.0016559721242364045,2025-12-08 13:37:01.422741,2025-12-08 13:37:03.021967,0 days 00:00:01.599226,0.01902625171363239,0.7030327757795317,extensive,final,elastic,pca_only,True,COMPLETE
32,-0.0016559721242364045,2025-12-08 13:37:03.022813,2025-12-08 13:37:04.557362,0 days 00:00:01.534549,0.04479862821240001,0.9999350047207902,extensive,final,elastic,pca_only,True,COMPLETE
33,-0.0016559721242364045,2025-12-08 13:37:04.557362,2025-12-08 13:37:05.956879,0 days 00:00:01.399517,0.09090060496615993,0.8179701017564984,extensive,final,elastic,pca_only,True,COMPLETE
34,-0.0016559721242364045,2025-12-08 13:37:05.956879,2025-12-08 13:37:07.308714,0 days 00:00:01.351835,0.0036571286658218746,0.7853841521002812,extensive,final,elastic,pca_only,True,COMPLETE
35,-0.0016559721242364045,2025-12-08 13:37:07.309716,2025-12-08 13:37:09.322401,0 days 00:00:02.012685,0.0008781466053694779,0.8939378049437635,extensive,final,elastic,pca_only,True,COMPLETE
36,-143.5562012862857,2025-12-08 13:37:09.323350,2025-12-08 13:37:11.043420,0 days 00:00:01.720070,0.0004164546934773622,0.6059819764879376,extensive,final,elastic,pca_only,True,COMPLETE
37,-0.0016559721242364045,2025-12-08 13:37:11.043420,2025-12-08 13:37:12.607818,0 days 00:00:01.564398,0.013376950334364856,0.22988692593138416,extensive,final,elastic,pca_only,True,COMPLETE
38,-0.0016559721242364045,2025-12-08 13:37:12.608815,2025-12-08 13:37:14.223110,0 days 00:00:01.614295,0.02855134601493884,0.14053664464215168,extensive,final,elastic,pca_only,True,COMPLETE
39,-0.0016559721242364045,2025-12-08 13:37:14.223579,2025-12-08 13:37:15.823071,0 days 00:00:01.599492,0.06333570659776792,0.05464925421275464,extensive,final,elastic,pca_only,True,COMPLETE
40,-129.0752087310922,2025-12-08 13:37:15.823609,2025-12-08 13:37:17.473675,0 days 00:00:01.650066,0.0005861737844654353,0.35750543871108786,extensive,final,elastic,pca_only,True,COMPLETE
41,-0.0016559721242364045,2025-12-08 13:37:17.474037,2025-12-08 13:37:19.140798,0 days 00:00:01.666761,0.052191102140299137,0.8709525883481992,extensive,final,elastic,pca_only,True,COMPLETE
42,-0.0016559721242364045,2025-12-08 13:37:19.141529,2025-12-08 13:37:20.858075,0 days 00:00:01.716546,0.09813494357918179,0.9179850936385507,extensive,final,elastic,pca_only,True,COMPLETE
43,-0.0016559721242364045,2025-12-08 13:37:20.858075,2025-12-08 13:37:22.575941,0 days 00:00:01.717866,0.032134184576958026,0.8476950542368338,extensive,final,elastic,pca_only,True,COMPLETE
44,-0.0016559721242364045,2025-12-08 13:37:22.576948,2025-12-08 13:37:24.193479,0 days 00:00:01.616531,0.021350815189446964,0.9362854218306982,extensive,final,elastic,pca_only,True,COMPLETE
45,-0.0016559721242364045,2025-12-08 13:37:24.193479,2025-12-08 13:37:25.727096,0 days 00:00:01.533617,0.05148133337109125,0.9987716495664294,extensive,final,elastic,pca_only,True,COMPLETE
46,-0.0016559721242364045,2025-12-08 13:37:25.728150,2025-12-08 13:37:27.291145,0 days 00:00:01.562995,0.005412690169239776,0.4831732504025971,extensive,final,elastic,pca_only,True,COMPLETE
47,-4092.945855334827,2025-12-08 13:37:27.291712,2025-12-08 13:37:28.824688,0 days 00:00:01.532976,1.2762796225830368e-05,0.7108294258893906,extensive,final,elastic,pca_only,True,COMPLETE
48,-0.0016559721242364045,2025-12-08 13:37:28.824688,2025-12-08 13:37:30.374545,0 days 00:00:01.549857,0.06527807394925264,0.8039746071255685,extensive,final,elastic,pca_only,True,COMPLETE
49,-0.0016559721242364045,2025-12-08 13:37:30.374545,2025-12-08 13:37:31.956850,0 days 00:00:01.582305,0.016180702616204294,0.546329314693764,extensive,final,elastic,pca_only,True,COMPLETE
50,-0.0016559721242364045,2025-12-08 13:37:31.957994,2025-12-08 13:37:33.440047,0 days 00:00:01.482053,0.008152194324532652,0.19128337424851924,extensive,final,elastic,pca_only,True,COMPLETE
51,-0.0016559721242364045,2025-12-08 13:37:33.441355,2025-12-08 13:37:35.242293,0 days 00:00:01.800938,0.02548565309109133,0.15819046590795394,extensive,final,elastic,pca_only,True,COMPLETE
52,-3914.487972953661,2025-12-08 13:37:35.242293,2025-12-08 13:37:36.874774,0 days 00:00:01.632481,0.0015812181194796316,0.0009177905336601455,extensive,final,elastic,pca_only,True,COMPLETE
53,-0.0016559721242364045,2025-12-08 13:37:36.875163,2025-12-08 13:37:38.441952,0 days 00:00:01.566789,0.006542142898927818,0.3528553925623453,extensive,final,elastic,pca_only,True,COMPLETE
54,-0.0016559721242364045,2025-12-08 13:37:38.441952,2025-12-08 13:37:39.992334,0 days 00:00:01.550382,0.012554878723475153,0.2371534959075402,extensive,final,elastic,pca_only,True,COMPLETE
55,-0.0016559721242364045,2025-12-08 13:37:39.992334,2025-12-08 13:37:41.527853,0 days 00:00:01.535519,0.03852996472515205,0.055987110017834435,extensive,final,elastic,pca_only,True,COMPLETE
56,-0.0016559721242364045,2025-12-08 13:37:41.528921,2025-12-08 13:37:43.040447,0 days 00:00:01.511526,0.0034442208879896623,0.45318772609410246,extensive,final,elastic,pca_only,True,COMPLETE
57,-0.0016559721242364045,2025-12-08 13:37:43.041832,2025-12-08 13:37:44.677010,0 days 00:00:01.635178,0.06773157154810992,0.28375864268954065,extensive,final,elastic,pca_only,True,COMPLETE
58,-1385.6206538560918,2025-12-08 13:37:44.677010,2025-12-08 13:37:46.227117,0 days 00:00:01.550107,0.00014153140694145926,0.7472558781080827,extensive,final,elastic,pca_only,True,COMPLETE
59,-0.0016559721242364045,2025-12-08 13:37:46.227117,2025-12-08 13:37:48.025836,0 days 00:00:01.798719,0.022635527126455047,0.1321268808893653,extensive,final,elastic,pca_only,True,COMPLETE
60,-0.0016559721242364045,2025-12-08 13:37:48.026885,2025-12-08 13:37:49.679369,0 days 00:00:01.652484,0.010530903793809124,0.6604888502043655,extensive,final,elastic,pca_only,True,COMPLETE
61,-0.0016559721242364045,2025-12-08 13:37:49.679369,2025-12-08 13:37:51.242268,0 days 00:00:01.562899,0.07619821515759732,0.09934426434438393,extensive,final,elastic,pca_only,True,COMPLETE
62,-0.0016559721242364045,2025-12-08 13:37:51.242965,2025-12-08 13:37:52.769232,0 days 00:00:01.526267,0.04771622519221773,0.045622288398423076,extensive,final,elastic,pca_only,True,COMPLETE
63,-0.0016559721242364045,2025-12-08 13:37:52.769232,2025-12-08 13:37:54.343224,0 days 00:00:01.573992,0.030060348785547662,0.9605929716955156,extensive,final,elastic,pca_only,True,COMPLETE
64,-0.0016559721242364045,2025-12-08 13:37:54.343224,2025-12-08 13:37:56.119833,0 days 00:00:01.776609,0.017007135512322726,0.08152286773980424,extensive,final,elastic,pca_only,True,COMPLETE
65,-0.0016559721242364045,2025-12-08 13:37:56.119833,2025-12-08 13:37:57.793632,0 days 00:00:01.673799,0.038757821630027896,0.022560432930755013,extensive,final,elastic,pca_only,True,COMPLETE
66,-0.0016559721242364045,2025-12-08 13:37:57.793632,2025-12-08 13:37:59.563495,0 days 00:00:01.769863,0.09849564614813552,0.12333960679657197,extensive,final,elastic,pca_only,True,COMPLETE
67,-0.0016559721242364045,2025-12-08 13:37:59.563495,2025-12-08 13:38:01.114411,0 days 00:00:01.550916,0.05750750859038905,0.8465742514132776,extensive,final,elastic,pca_only,True,COMPLETE
68,-6.056440115821,2025-12-08 13:38:01.114411,2025-12-08 13:38:02.694525,0 days 00:00:01.580114,0.0008320473925381274,0.5197513008967987,extensive,final,elastic,pca_only,True,COMPLETE
69,-141.82516230409774,2025-12-08 13:38:02.694525,2025-12-08 13:38:04.196121,0 days 00:00:01.501596,0.0014212778092267853,0.20963437634627308,extensive,final,elastic,pca_only,True,COMPLETE
70,-439.79459370089234,2025-12-08 13:38:04.196121,2025-12-08 13:38:05.693873,0 days 00:00:01.497752,0.0003388368583328939,0.43261759008883044,extensive,final,elastic,pca_only,True,COMPLETE
71,-11.456105555110609,2025-12-08 13:38:05.693873,2025-12-08 13:38:07.044593,0 days 00:00:01.350720,0.0023153003021842886,0.1650225272021359,extensive,final,elastic,pca_only,True,COMPLETE
72,-0.0016559721242364045,2025-12-08 13:38:07.045593,2025-12-08 13:38:08.561642,0 days 00:00:01.516049,0.03337499933437231,0.07259004308160476,extensive,final,elastic,pca_only,True,COMPLETE
73,-0.0016559721242364045,2025-12-08 13:38:08.561642,2025-12-08 13:38:10.077569,0 days 00:00:01.515927,0.07495969789674077,0.1947174808968506,extensive,final,elastic,pca_only,True,COMPLETE
74,-0.0016559721242364045,2025-12-08 13:38:10.077569,2025-12-08 13:38:11.594461,0 days 00:00:01.516892,0.024427266552407997,0.3519278642989633,extensive,final,elastic,pca_only,True,COMPLETE
75,-0.0016559721242364045,2025-12-08 13:38:11.595460,2025-12-08 13:38:13.144598,0 days 00:00:01.549138,0.015597192647997624,0.8882593412832722,extensive,final,elastic,pca_only,True,COMPLETE
