number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721242364045,2025-12-08 13:28:59.428149,2025-12-08 13:29:00.826645,0 days 00:00:01.398496,0.500749083830163,extensive,final,lasso,pca_block,True,COMPLETE
1,-0.19831091007515647,2025-12-08 13:29:00.826645,2025-12-08 13:29:02.210425,0 days 00:00:01.383780,0.0002809538099473401,extensive,final,lasso,pca_block,True,COMPLETE
2,-0.0016559721242364045,2025-12-08 13:29:02.211556,2025-12-08 13:29:03.680084,0 days 00:00:01.468528,0.0064362029485852896,extensive,final,lasso,pca_block,True,COMPLETE
3,-0.0016559721242364045,2025-12-08 13:29:03.680084,2025-12-08 13:29:05.165338,0 days 00:00:01.485254,4.414007849491318,extensive,final,lasso,pca_block,True,COMPLETE
4,-0.0042447240558171435,2025-12-08 13:29:05.165338,2025-12-08 13:29:06.894144,0 days 00:00:01.728806,0.00041668309629435475,extensive,final,lasso,pca_block,True,COMPLETE
5,-0.0016559721242364045,2025-12-08 13:29:06.895646,2025-12-08 13:29:08.930289,0 days 00:00:02.034643,6.117899878686071,extensive,final,lasso,pca_block,True,COMPLETE
6,-0.0016559721242364045,2025-12-08 13:29:08.931301,2025-12-08 13:29:10.843901,0 days 00:00:01.912600,1.4615944684367632,extensive,final,lasso,pca_block,True,COMPLETE
7,-0.002356485876132982,2025-12-08 13:29:10.843901,2025-12-08 13:29:12.556785,0 days 00:00:01.712884,0.0004707154269619621,extensive,final,lasso,pca_block,True,COMPLETE
8,-0.0016559721242364045,2025-12-08 13:29:12.557785,2025-12-08 13:29:14.099081,0 days 00:00:01.541296,7.03843775316638,extensive,final,lasso,pca_block,True,COMPLETE
9,-0.0016559721242364045,2025-12-08 13:29:14.099081,2025-12-08 13:29:15.648861,0 days 00:00:01.549780,0.014564194368482105,extensive,final,lasso,pca_block,True,COMPLETE
10,-0.0016559721242364045,2025-12-08 13:29:15.648861,2025-12-08 13:29:17.147896,0 days 00:00:01.499035,0.18118199422118988,extensive,final,lasso,pca_block,True,COMPLETE
11,-0.0016559721242364045,2025-12-08 13:29:17.147896,2025-12-08 13:29:18.698063,0 days 00:00:01.550167,0.008794795694834686,extensive,final,lasso,pca_block,True,COMPLETE
12,-0.0016559721242364045,2025-12-08 13:29:18.698063,2025-12-08 13:29:20.512724,0 days 00:00:01.814661,0.15738012186100725,extensive,final,lasso,pca_block,True,COMPLETE
13,-0.0016559721242364045,2025-12-08 13:29:20.513845,2025-12-08 13:29:22.279089,0 days 00:00:01.765244,0.0029387401230009237,extensive,final,lasso,pca_block,True,COMPLETE
14,-0.0016559721242364045,2025-12-08 13:29:22.279594,2025-12-08 13:29:23.846411,0 days 00:00:01.566817,0.07454813111164926,extensive,final,lasso,pca_block,True,COMPLETE
15,-0.0016559721242364045,2025-12-08 13:29:23.846916,2025-12-08 13:29:25.532949,0 days 00:00:01.686033,0.6222545607820452,extensive,final,lasso,pca_block,True,COMPLETE
16,-0.0016559721242364045,2025-12-08 13:29:25.532949,2025-12-08 13:29:27.198902,0 days 00:00:01.665953,0.0026314521393211643,extensive,final,lasso,pca_block,True,COMPLETE
17,-0.0016559721242364045,2025-12-08 13:29:27.198902,2025-12-08 13:29:28.648548,0 days 00:00:01.449646,0.039338439271596276,extensive,final,lasso,pca_block,True,COMPLETE
