number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721242364045,2025-12-08 13:21:31.719395,2025-12-08 13:21:33.201915,0 days 00:00:01.482520,0.004088726167607177,extensive,final,lasso,pca_hybrid,True,COMPLETE
1,-0.0016559721242364045,2025-12-08 13:21:33.201915,2025-12-08 13:21:34.572363,0 days 00:00:01.370448,1.080251116221146,extensive,final,lasso,pca_hybrid,True,COMPLETE
2,-0.0016559721242364045,2025-12-08 13:21:34.572363,2025-12-08 13:21:35.998553,0 days 00:00:01.426190,0.005039284678426523,extensive,final,lasso,pca_hybrid,True,COMPLETE
3,-0.0016559721242364045,2025-12-08 13:21:35.998553,2025-12-08 13:21:37.453693,0 days 00:00:01.455140,2.0626137625937573,extensive,final,lasso,pca_hybrid,True,COMPLETE
4,-0.0016559721242364045,2025-12-08 13:21:37.453693,2025-12-08 13:21:38.899016,0 days 00:00:01.445323,0.8912356763349621,extensive,final,lasso,pca_hybrid,True,COMPLETE
5,-0.0016559721242364045,2025-12-08 13:21:38.899016,2025-12-08 13:21:40.367330,0 days 00:00:01.468314,0.007099699737238504,extensive,final,lasso,pca_hybrid,True,COMPLETE
6,-0.0016559721242364045,2025-12-08 13:21:40.367330,2025-12-08 13:21:41.834452,0 days 00:00:01.467122,0.1302354054345432,extensive,final,lasso,pca_hybrid,True,COMPLETE
7,-0.0016559721242364045,2025-12-08 13:21:41.835960,2025-12-08 13:21:43.269022,0 days 00:00:01.433062,0.12018618926660092,extensive,final,lasso,pca_hybrid,True,COMPLETE
8,-0.0016559721242364045,2025-12-08 13:21:43.269022,2025-12-08 13:21:44.836305,0 days 00:00:01.567283,0.7905602773937309,extensive,final,lasso,pca_hybrid,True,COMPLETE
9,-1901.3338103986125,2025-12-08 13:21:44.836305,2025-12-08 13:21:46.282684,0 days 00:00:01.446379,0.00024352555252609866,extensive,final,lasso,pca_hybrid,True,COMPLETE
10,-280.1841659034011,2025-12-08 13:21:46.282684,2025-12-08 13:21:47.736400,0 days 00:00:01.453716,0.00010422227077848489,extensive,final,lasso,pca_hybrid,True,COMPLETE
11,-0.0016559721242364045,2025-12-08 13:21:47.737684,2025-12-08 13:21:49.217745,0 days 00:00:01.480061,0.0020242051345265603,extensive,final,lasso,pca_hybrid,True,COMPLETE
12,-0.0016559721242364045,2025-12-08 13:21:49.218751,2025-12-08 13:21:50.639010,0 days 00:00:01.420259,0.04857064457348672,extensive,final,lasso,pca_hybrid,True,COMPLETE
13,-0.0016559721242364045,2025-12-08 13:21:50.639010,2025-12-08 13:21:52.069696,0 days 00:00:01.430686,5.361697694816658,extensive,final,lasso,pca_hybrid,True,COMPLETE
14,-0.0017476581037296768,2025-12-08 13:21:52.071205,2025-12-08 13:21:53.519687,0 days 00:00:01.448482,0.0007892222260805044,extensive,final,lasso,pca_hybrid,True,COMPLETE
15,-0.0016559721242364045,2025-12-08 13:21:53.519687,2025-12-08 13:21:55.053349,0 days 00:00:01.533662,0.02783079283404237,extensive,final,lasso,pca_hybrid,True,COMPLETE
16,-0.0016559721242364045,2025-12-08 13:21:55.053349,2025-12-08 13:21:56.502332,0 days 00:00:01.448983,0.013442469080356607,extensive,final,lasso,pca_hybrid,True,COMPLETE
17,-0.0016559721242364045,2025-12-08 13:21:56.503337,2025-12-08 13:21:57.934071,0 days 00:00:01.430734,0.2657993511648293,extensive,final,lasso,pca_hybrid,True,COMPLETE
18,-0.0016559721242364045,2025-12-08 13:21:57.934071,2025-12-08 13:21:59.403154,0 days 00:00:01.469083,0.0015402208865060631,extensive,final,lasso,pca_hybrid,True,COMPLETE
19,-0.0016559721242364045,2025-12-08 13:21:59.403154,2025-12-08 13:22:00.899421,0 days 00:00:01.496267,8.144510414959626,extensive,final,lasso,pca_hybrid,True,COMPLETE
20,-0.0016559721242364045,2025-12-08 13:22:00.899421,2025-12-08 13:22:02.379976,0 days 00:00:01.480555,0.5270713038780983,extensive,final,lasso,pca_hybrid,True,COMPLETE
21,-0.0016559721242364045,2025-12-08 13:22:02.379976,2025-12-08 13:22:03.835478,0 days 00:00:01.455502,0.005139406430678893,extensive,final,lasso,pca_hybrid,True,COMPLETE
22,-0.0016559721242364045,2025-12-08 13:22:03.835478,2025-12-08 13:22:05.319316,0 days 00:00:01.483838,0.005058287342500696,extensive,final,lasso,pca_hybrid,True,COMPLETE
23,-0.0016559721242364045,2025-12-08 13:22:05.320627,2025-12-08 13:22:06.819090,0 days 00:00:01.498463,0.03466052733286391,extensive,final,lasso,pca_hybrid,True,COMPLETE
24,-0.001773790317651865,2025-12-08 13:22:06.819090,2025-12-08 13:22:08.351309,0 days 00:00:01.532219,0.0007707466080098899,extensive,final,lasso,pca_hybrid,True,COMPLETE
25,-0.0016559721242364045,2025-12-08 13:22:08.351309,2025-12-08 13:22:09.850676,0 days 00:00:01.499367,0.013045491248370877,extensive,final,lasso,pca_hybrid,True,COMPLETE
26,-0.0016559721242364045,2025-12-08 13:22:09.850676,2025-12-08 13:22:11.384931,0 days 00:00:01.534255,0.0024010602769101905,extensive,final,lasso,pca_hybrid,True,COMPLETE
27,-0.0016559721242364045,2025-12-08 13:22:11.384931,2025-12-08 13:22:12.836868,0 days 00:00:01.451937,0.08513456650819594,extensive,final,lasso,pca_hybrid,True,COMPLETE
