number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721242364045,2025-12-08 13:10:42.254862,2025-12-08 13:10:45.019170,0 days 00:00:02.764308,3.5491028142856837,extensive,final,lasso,pca_only,True,COMPLETE
1,-0.0016559721242364045,2025-12-08 13:10:45.019170,2025-12-08 13:10:47.703727,0 days 00:00:02.684557,6.348899155134872,extensive,final,lasso,pca_only,True,COMPLETE
2,-609.0531561779391,2025-12-08 13:10:47.704736,2025-12-08 13:10:50.348335,0 days 00:00:02.643599,0.00012979810783768603,extensive,final,lasso,pca_only,True,COMPLETE
3,-0.0016559721242364045,2025-12-08 13:10:50.350333,2025-12-08 13:10:52.717445,0 days 00:00:02.367112,0.008378227430300202,extensive,final,lasso,pca_only,True,COMPLETE
4,-0.0016559721242364045,2025-12-08 13:10:52.717445,2025-12-08 13:10:54.753394,0 days 00:00:02.035949,0.013504207831995657,extensive,final,lasso,pca_only,True,COMPLETE
5,-0.0016559721242364045,2025-12-08 13:10:54.753394,2025-12-08 13:10:57.083788,0 days 00:00:02.330394,1.253889524855136,extensive,final,lasso,pca_only,True,COMPLETE
6,-3.0842525016792415,2025-12-08 13:10:57.083788,2025-12-08 13:10:59.717807,0 days 00:00:02.634019,0.0004145901072173086,extensive,final,lasso,pca_only,True,COMPLETE
7,-0.0016559721242364045,2025-12-08 13:10:59.717807,2025-12-08 13:11:01.686045,0 days 00:00:01.968238,1.8450621712107083,extensive,final,lasso,pca_only,True,COMPLETE
8,-0.0016559721242364045,2025-12-08 13:11:01.686045,2025-12-08 13:11:04.590248,0 days 00:00:02.904203,0.00302137152256146,extensive,final,lasso,pca_only,True,COMPLETE
9,-1169.0663279289622,2025-12-08 13:11:04.591755,2025-12-08 13:11:07.177982,0 days 00:00:02.586227,0.00011168565736639527,extensive,final,lasso,pca_only,True,COMPLETE
10,-0.0016559721242364045,2025-12-08 13:11:07.178980,2025-12-08 13:11:09.786991,0 days 00:00:02.608011,0.2014892835133722,extensive,final,lasso,pca_only,True,COMPLETE
11,-0.0016559721242364045,2025-12-08 13:11:09.788266,2025-12-08 13:11:12.404601,0 days 00:00:02.616335,9.327505815121539,extensive,final,lasso,pca_only,True,COMPLETE
12,-0.0016559721242364045,2025-12-08 13:11:12.406618,2025-12-08 13:11:14.985814,0 days 00:00:02.579196,0.21983519004145188,extensive,final,lasso,pca_only,True,COMPLETE
13,-0.0016559721242364045,2025-12-08 13:11:14.986727,2025-12-08 13:11:17.770611,0 days 00:00:02.783884,8.633236915426588,extensive,final,lasso,pca_only,True,COMPLETE
14,-0.0016559721242364045,2025-12-08 13:11:17.771612,2025-12-08 13:11:20.392017,0 days 00:00:02.620405,0.13957672551008143,extensive,final,lasso,pca_only,True,COMPLETE
15,-0.0016559721242364045,2025-12-08 13:11:20.393735,2025-12-08 13:11:22.381040,0 days 00:00:01.987305,1.8776688873520662,extensive,final,lasso,pca_only,True,COMPLETE
16,-0.0016559721242364045,2025-12-08 13:11:22.381040,2025-12-08 13:11:24.940830,0 days 00:00:02.559790,0.5312225373773392,extensive,final,lasso,pca_only,True,COMPLETE
17,-0.0016559721242364045,2025-12-08 13:11:24.942347,2025-12-08 13:11:27.690010,0 days 00:00:02.747663,0.0646815680594561,extensive,final,lasso,pca_only,True,COMPLETE
18,-0.0016559721242364045,2025-12-08 13:11:27.692016,2025-12-08 13:11:30.367252,0 days 00:00:02.675236,5.34796919548063,extensive,final,lasso,pca_only,True,COMPLETE
19,-0.0016559721242364045,2025-12-08 13:11:30.369263,2025-12-08 13:11:33.025288,0 days 00:00:02.656025,0.5945647976694294,extensive,final,lasso,pca_only,True,COMPLETE
20,-0.0016559721242364045,2025-12-08 13:11:33.025810,2025-12-08 13:11:35.734559,0 days 00:00:02.708749,3.888752106157984,extensive,final,lasso,pca_only,True,COMPLETE
21,-0.0016559721242364045,2025-12-08 13:11:35.734559,2025-12-08 13:11:38.418166,0 days 00:00:02.683607,0.0026164339713939627,extensive,final,lasso,pca_only,True,COMPLETE
22,-0.0016559721242364045,2025-12-08 13:11:38.419164,2025-12-08 13:11:41.080397,0 days 00:00:02.661233,0.017768085257676952,extensive,final,lasso,pca_only,True,COMPLETE
23,-0.0016559721242364045,2025-12-08 13:11:41.080397,2025-12-08 13:11:43.170177,0 days 00:00:02.089780,0.005534692642207794,extensive,final,lasso,pca_only,True,COMPLETE
24,-0.0016559721242364045,2025-12-08 13:11:43.171288,2025-12-08 13:11:45.402942,0 days 00:00:02.231654,0.0007035580081618926,extensive,final,lasso,pca_only,True,COMPLETE
25,-0.0016559721242364045,2025-12-08 13:11:45.405515,2025-12-08 13:11:47.891553,0 days 00:00:02.486038,0.04892292601907803,extensive,final,lasso,pca_only,True,COMPLETE
26,-0.0016559721242364045,2025-12-08 13:11:47.892067,2025-12-08 13:11:50.082066,0 days 00:00:02.189999,0.7294636683120596,extensive,final,lasso,pca_only,True,COMPLETE
27,-0.0016559721242364045,2025-12-08 13:11:50.083153,2025-12-08 13:11:52.885027,0 days 00:00:02.801874,3.250218277535503,extensive,final,lasso,pca_only,True,COMPLETE
28,-0.0016559721242364045,2025-12-08 13:11:52.885027,2025-12-08 13:11:55.434465,0 days 00:00:02.549438,0.00696506323346891,extensive,final,lasso,pca_only,True,COMPLETE
29,-0.0016559721242364045,2025-12-08 13:11:55.434465,2025-12-08 13:11:57.495131,0 days 00:00:02.060666,0.0009045845533749608,extensive,final,lasso,pca_only,True,COMPLETE
30,-0.0016559721242364045,2025-12-08 13:11:57.495131,2025-12-08 13:12:00.690915,0 days 00:00:03.195784,0.09410084099657673,extensive,final,lasso,pca_only,True,COMPLETE
31,-0.0016559721242364045,2025-12-08 13:12:00.692422,2025-12-08 13:12:03.286433,0 days 00:00:02.594011,0.009530070581015517,extensive,final,lasso,pca_only,True,COMPLETE
