number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559720935109083,2025-12-08 12:57:59.938175,2025-12-08 12:58:13.336446,0 days 00:00:13.398271,0.9747266304390827,0.08290369257409178,5,51,1336,69,4.926620179896979,0.6501973386620219,0.8169227426234759,extensive,final,lgbm,,False,COMPLETE
1,-0.0016559720935109083,2025-12-08 12:58:13.337454,2025-12-08 12:58:36.267316,0 days 00:00:22.929862,0.9505506950053844,0.012230906746941736,3,60,3301,109,2.8237082854655156,15.096402536993624,0.9178755624152138,extensive,final,lgbm,,False,COMPLETE
2,-0.0016559720935109083,2025-12-08 12:58:36.267316,2025-12-08 12:58:55.622025,0 days 00:00:19.354709,0.7448632507279447,0.06738717676415268,10,63,2690,94,2.946739848108086,0.13082608367485596,0.7870456803319731,extensive,final,lgbm,,False,COMPLETE
3,-0.017197322877811283,2025-12-08 12:58:55.623244,2025-12-08 12:59:11.572220,0 days 00:00:15.948976,0.6024615713482775,0.018973408642512856,8,57,2132,113,0.7127230573862886,0.6300762533032191,0.8132130075804169,extensive,final,lgbm,,False,COMPLETE
4,-0.002186170849405644,2025-12-08 12:59:11.574252,2025-12-08 12:59:25.523418,0 days 00:00:13.949166,0.5488655212835816,0.05202255281561092,9,52,2460,66,1.2125133946046933,0.5356873818908656,0.7287119443318086,extensive,final,lgbm,,False,COMPLETE
5,-0.0016559720935109083,2025-12-08 12:59:25.524997,2025-12-08 12:59:42.677266,0 days 00:00:17.152269,0.6149399076486806,0.009353562802928263,12,91,3429,109,2.9145276022031985,9.410050981317925,0.5214336688235064,extensive,final,lgbm,,False,COMPLETE
6,-0.0016559720935109083,2025-12-08 12:59:42.678297,2025-12-08 12:59:52.109615,0 days 00:00:09.431318,0.6942594630746335,0.007295094821836094,10,71,1526,73,3.555680635719984,0.7515025875475033,0.7005179544129647,extensive,final,lgbm,,False,COMPLETE
7,-0.0016559720935109083,2025-12-08 12:59:52.110503,2025-12-08 13:00:05.959359,0 days 00:00:13.848856,0.6516544770916091,0.02773233659186646,4,79,2083,113,1.886261049115202,0.4910016828912524,0.8890222355864174,extensive,final,lgbm,,False,COMPLETE
8,-0.024833177474930263,2025-12-08 13:00:05.959866,2025-12-08 13:00:18.513934,0 days 00:00:12.554068,0.8923650961091101,0.0072970517329908014,4,66,905,98,0.5572865682918432,0.6097580724666504,0.562163296951661,extensive,final,lgbm,,False,COMPLETE
9,-0.0016559720935109083,2025-12-08 13:00:18.515945,2025-12-08 13:00:39.513580,0 days 00:00:20.997635,0.8767538199484957,0.008926727713817958,12,88,3342,110,4.166058557582392,0.21565245257958157,0.9257634514691692,extensive,final,lgbm,,False,COMPLETE
10,-0.0016559720935109083,2025-12-08 13:00:39.515609,2025-12-08 13:00:43.411061,0 days 00:00:03.895452,0.8232916799619692,0.09351983287027751,6,26,360,82,4.5418498271752705,3.843986645172111,0.9980242374557979,extensive,final,lgbm,,False,COMPLETE
