number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559720935109083,2025-12-08 14:19:26.863271,2025-12-08 14:19:28.483399,0 days 00:00:01.620128,0.7444264363039298,0.04728785871058122,3,61,2323,64,2.5545225354663694,0.381404291915143,0.8277417894476571,extensive,final,lgbm,pca_block,True,COMPLETE
1,-0.0016559720935109083,2025-12-08 14:19:28.483399,2025-12-08 14:19:30.057310,0 days 00:00:01.573911,0.7141818111509257,0.06509792977303107,4,47,2420,93,3.0304703031933773,1.0579032568412732,0.7504382755147203,extensive,final,lgbm,pca_block,True,COMPLETE
2,-0.0016559720935109083,2025-12-08 14:19:30.058315,2025-12-08 14:19:31.926527,0 days 00:00:01.868212,0.5788349363513516,0.008044343122967004,9,31,3115,99,2.7721686981218814,0.3440730923797898,0.578800407080287,extensive,final,lgbm,pca_block,True,COMPLETE
3,-0.0016559720935109083,2025-12-08 14:19:31.927033,2025-12-08 14:19:33.650679,0 days 00:00:01.723646,0.7114333119486179,0.04139164596677553,7,34,3009,85,4.709334679294425,0.4139088130951945,0.6028916132043569,extensive,final,lgbm,pca_block,True,COMPLETE
4,-0.0016559720935109083,2025-12-08 14:19:33.650679,2025-12-08 14:19:35.183813,0 days 00:00:01.533134,0.8588489972260448,0.010450130317938585,9,88,1380,125,2.769292146241537,0.19102693711545074,0.6757632709988916,extensive,final,lgbm,pca_block,True,COMPLETE
5,-0.0016559720935109083,2025-12-08 14:19:35.183813,2025-12-08 14:19:36.886581,0 days 00:00:01.702768,0.6531462225820688,0.007563914669523985,7,42,2799,66,4.543340457029264,0.39474068009950963,0.8387260884467611,extensive,final,lgbm,pca_block,True,COMPLETE
6,-0.0016559720935109083,2025-12-08 14:19:36.886581,2025-12-08 14:19:38.849397,0 days 00:00:01.962816,0.5803596481300117,0.04022520413958123,9,61,3329,77,2.0181501856729565,12.590259651002047,0.6056351132708955,extensive,final,lgbm,pca_block,True,COMPLETE
7,-0.0013169979203427145,2025-12-08 14:19:38.849397,2025-12-08 14:19:40.600888,0 days 00:00:01.751491,0.6989219550333914,0.01580439648658522,5,91,3023,89,0.7996549384812646,8.467093186748876,0.5265479606453045,extensive,final,lgbm,pca_block,True,COMPLETE
8,-0.0016559720935109083,2025-12-08 14:19:40.601902,2025-12-08 14:19:42.050300,0 days 00:00:01.448398,0.9992312170241233,0.007729121656764141,6,75,1037,84,4.114612146684071,5.420987900217114,0.5695373903912895,extensive,final,lgbm,pca_block,True,COMPLETE
9,-0.0011775230917223285,2025-12-08 14:19:42.050300,2025-12-08 14:19:43.501106,0 days 00:00:01.450806,0.9853304167128046,0.011418602383152317,12,33,1049,109,0.8581514113928301,0.18018518678510545,0.6359536702256774,extensive,final,lgbm,pca_block,True,COMPLETE
10,-0.034934957144201695,2025-12-08 14:19:43.501106,2025-12-08 14:19:45.816703,0 days 00:00:02.315597,0.9939265543523436,0.01920263199962329,12,11,279,114,0.19981967626126018,0.10332378916934792,0.985036837304007,extensive,final,lgbm,pca_block,True,COMPLETE
11,-0.0038465178267229247,2025-12-08 14:19:45.817707,2025-12-08 14:19:47.849488,0 days 00:00:02.031781,0.8616171848003448,0.0188769496904379,12,98,3901,106,0.4829316782791457,5.050750462073455,0.5063573218094547,extensive,final,lgbm,pca_block,True,COMPLETE
12,-0.0016103149795376748,2025-12-08 14:19:47.849488,2025-12-08 14:19:49.367937,0 days 00:00:01.518449,0.8410666629607294,0.013665022829516817,5,23,1583,113,1.0568535895180073,1.6379099566382844,0.5093727103080139,extensive,final,lgbm,pca_block,True,COMPLETE
13,-0.0016559720935109083,2025-12-08 14:19:49.369442,2025-12-08 14:19:50.703353,0 days 00:00:01.333911,0.8179984181301303,0.005275193069806504,10,80,393,98,1.4413285730548764,1.5869252696037235,0.7022159519584769,extensive,final,lgbm,pca_block,True,COMPLETE
14,-0.0016559720935109083,2025-12-08 14:19:50.704599,2025-12-08 14:19:52.203272,0 days 00:00:01.498673,0.6434315774244581,0.026607842608243892,5,72,1674,128,1.0936070987532784,19.375818609686227,0.6672524331357853,extensive,final,lgbm,pca_block,True,COMPLETE
15,-0.0016559720935109083,2025-12-08 14:19:52.204307,2025-12-08 14:19:53.602379,0 days 00:00:01.398072,0.9365572629414997,0.015251889310457128,11,53,893,110,1.571944223717161,4.464990414221249,0.7762967913660626,extensive,final,lgbm,pca_block,True,COMPLETE
16,-0.6447447020598026,2025-12-08 14:19:53.602379,2025-12-08 14:19:57.851993,0 days 00:00:04.249614,0.5079480408402357,0.027643332025589988,3,10,3991,90,0.06348169385679592,0.7536580909115659,0.6386940173083506,extensive,final,lgbm,pca_block,True,COMPLETE
17,-0.0019026394982766999,2025-12-08 14:19:57.851993,2025-12-08 14:19:59.491350,0 days 00:00:01.639357,0.7962312067386659,0.012563302456155109,6,94,2018,102,0.7163391488737774,9.824564681354184,0.5386405691052023,extensive,final,lgbm,pca_block,True,COMPLETE
18,-0.0016559720935109083,2025-12-08 14:19:59.492487,2025-12-08 14:20:00.928825,0 days 00:00:01.436338,0.9123162729169927,0.005193722498736068,8,65,926,120,2.0638595591980753,2.736744670851884,0.9348468545838453,extensive,final,lgbm,pca_block,True,COMPLETE
19,-0.0016559720935109083,2025-12-08 14:20:00.928825,2025-12-08 14:20:02.702211,0 days 00:00:01.773386,0.7712645079009505,0.010234576770110259,5,20,3517,73,3.5455491617806945,0.10698399315193263,0.7088525697237149,extensive,final,lgbm,pca_block,True,COMPLETE
20,-0.0016559720935109083,2025-12-08 14:20:02.703365,2025-12-08 14:20:04.350316,0 days 00:00:01.646951,0.6502721526005777,0.09187672564220255,11,37,2642,86,1.990231396778879,0.6593312611334118,0.6393258402478773,extensive,final,lgbm,pca_block,True,COMPLETE
21,-0.0011297998844634893,2025-12-08 14:20:04.350316,2025-12-08 14:20:05.987933,0 days 00:00:01.637617,0.9384148002829679,0.014137040451160468,5,26,1797,115,0.8747339144557621,2.068856898821291,0.5176580678172943,extensive,final,lgbm,pca_block,True,COMPLETE
22,-0.0013951856135709189,2025-12-08 14:20:05.987933,2025-12-08 14:20:07.565023,0 days 00:00:01.577090,0.9545201082255205,0.017222348221679014,4,27,1937,120,0.7765125256349645,2.934353280791523,0.5481208881051418,extensive,final,lgbm,pca_block,True,COMPLETE
23,-0.0016559720935109083,2025-12-08 14:20:07.565023,2025-12-08 14:20:09.082088,0 days 00:00:01.517065,0.9006449828730374,0.024889165264115803,6,47,1303,107,1.3618041752208363,8.813898817404864,0.5036327590661588,extensive,final,lgbm,pca_block,True,COMPLETE
24,-0.0026065579871152136,2025-12-08 14:20:09.082088,2025-12-08 14:20:11.008128,0 days 00:00:01.926040,0.9523901336522637,0.010714600508901797,4,18,1872,117,0.5540383665890976,2.6727091846311426,0.6133086121337867,extensive,final,lgbm,pca_block,True,COMPLETE
25,-0.0016559720935109083,2025-12-08 14:20:11.008128,2025-12-08 14:20:12.409947,0 days 00:00:01.401819,0.8915103383626223,0.020835242838208635,8,40,637,107,1.6900868168997016,0.22386546129421228,0.5388305633252919,extensive,final,lgbm,pca_block,True,COMPLETE
26,-0.0013308200389016884,2025-12-08 14:20:12.410467,2025-12-08 14:20:14.024160,0 days 00:00:01.613693,0.7021855443072694,0.01294206770122487,7,29,1248,103,0.989603932766314,1.0605213560515454,0.5789000986005481,extensive,final,lgbm,pca_block,True,COMPLETE
27,-0.02051801835418554,2025-12-08 14:20:14.024160,2025-12-08 14:20:15.770297,0 days 00:00:01.746137,0.9720405719642752,0.03081872560583079,5,53,1603,94,0.3440457020937421,19.96833878408374,0.5490313554299322,extensive,final,lgbm,pca_block,True,COMPLETE
28,-0.0016559720935109083,2025-12-08 14:20:15.771305,2025-12-08 14:20:17.348719,0 days 00:00:01.577414,0.7881447608221506,0.009625293997406074,6,87,2273,79,1.2774643991200334,7.241864688081929,0.6413402548936847,extensive,final,lgbm,pca_block,True,COMPLETE
29,-0.0016559720935109083,2025-12-08 14:20:17.348719,2025-12-08 14:20:18.929626,0 days 00:00:01.580907,0.9134978961441672,0.01573776968913584,3,61,2392,122,2.4320143160277152,2.414876310881423,0.8219899688474399,extensive,final,lgbm,pca_block,True,COMPLETE
30,-0.0011945229521233003,2025-12-08 14:20:18.929626,2025-12-08 14:20:20.705715,0 days 00:00:01.776089,0.7501054192381549,0.03516439755949636,4,15,3570,113,0.8028606299674824,0.622106393879753,0.7073994882896211,extensive,final,lgbm,pca_block,True,COMPLETE
31,-0.0011256962097214347,2025-12-08 14:20:20.706715,2025-12-08 14:20:22.639846,0 days 00:00:01.933131,0.7457757956724644,0.05910481345197659,4,16,3243,113,0.8157838365860373,0.16374932541521772,0.7180780334530756,extensive,final,lgbm,pca_block,True,COMPLETE
32,-0.0016559720935109083,2025-12-08 14:20:22.639846,2025-12-08 14:20:24.504207,0 days 00:00:01.864361,0.7415626345344916,0.060095683979073174,3,16,3626,115,1.7627221030904974,0.23750179002056232,0.7271308512677536,extensive,final,lgbm,pca_block,True,COMPLETE
33,-0.025718997924040272,2025-12-08 14:20:24.504207,2025-12-08 14:20:26.561236,0 days 00:00:02.057029,0.75003979971991,0.05773782142713478,4,24,3595,111,0.3107629747326992,0.14599046582394848,0.7762558939513473,extensive,final,lgbm,pca_block,True,COMPLETE
34,-0.0016559720935109083,2025-12-08 14:20:26.562303,2025-12-08 14:20:28.203566,0 days 00:00:01.641263,0.8228528553303467,0.08001159391576522,4,15,2736,117,1.1159682712334793,0.5890176045288708,0.7514576476281514,extensive,final,lgbm,pca_block,True,COMPLETE
35,-0.0016559720935109083,2025-12-08 14:20:28.204870,2025-12-08 14:20:30.170220,0 days 00:00:01.965350,0.5905768793381666,0.03648582656407035,3,33,3278,101,2.380076512517524,0.28421788532807596,0.6806338378658028,extensive,final,lgbm,pca_block,True,COMPLETE
36,-0.6336482872615617,2025-12-08 14:20:30.171489,2025-12-08 14:20:33.427766,0 days 00:00:03.256277,0.8763739255383344,0.05393402327260102,4,25,2176,110,0.06873345647701168,0.1486213231287985,0.8246375985699934,extensive,final,lgbm,pca_block,True,COMPLETE
37,-0.002436587549686453,2025-12-08 14:20:33.427766,2025-12-08 14:20:35.138467,0 days 00:00:01.710701,0.6811449013036088,0.0445085928767128,4,46,2515,123,0.5603767260906991,0.45856917242454753,0.7442439093633709,extensive,final,lgbm,pca_block,True,COMPLETE
38,-0.0016559720935109083,2025-12-08 14:20:35.138467,2025-12-08 14:20:37.137460,0 days 00:00:01.998993,0.5093004287817121,0.06726477557097965,8,32,2907,128,3.0544911037699216,1.200137176400919,0.7929698518238506,extensive,final,lgbm,pca_block,True,COMPLETE
39,-0.0011412108411612554,2025-12-08 14:20:37.138659,2025-12-08 14:20:39.026954,0 days 00:00:01.888295,0.736639722287313,0.034734729782585926,10,20,3774,105,0.8560376567624953,0.32139748764056014,0.8756065936649553,extensive,final,lgbm,pca_block,True,COMPLETE
40,-0.0016559720935109083,2025-12-08 14:20:39.026954,2025-12-08 14:20:40.756530,0 days 00:00:01.729576,0.722455812040282,0.04932039777772786,10,38,3175,105,1.2526119988316387,0.1671683201859847,0.8751627804362391,extensive,final,lgbm,pca_block,True,COMPLETE
41,-0.0011595735071801005,2025-12-08 14:20:40.757671,2025-12-08 14:20:42.773144,0 days 00:00:02.015473,0.6157140999051163,0.03441218902151235,10,20,3851,110,0.9110190962744417,0.2684892886124617,0.8840667363485903,extensive,final,lgbm,pca_block,True,COMPLETE
42,-0.001340485105759015,2025-12-08 14:20:42.773144,2025-12-08 14:20:44.789753,0 days 00:00:02.016609,0.6142515028466842,0.023698929106192423,10,22,3787,108,0.9881484400123037,0.262639599153036,0.8897940760494343,extensive,final,lgbm,pca_block,True,COMPLETE
43,-0.002240794251801237,2025-12-08 14:20:44.790847,2025-12-08 14:20:46.772935,0 days 00:00:01.982088,0.6767044884646309,0.03179936477389805,11,29,3876,117,0.5686448402138107,0.3362726841097792,0.9173235211503626,extensive,final,lgbm,pca_block,True,COMPLETE
44,-0.001223847784417642,2025-12-08 14:20:46.772935,2025-12-08 14:20:48.584003,0 days 00:00:01.811068,0.9788369500005488,0.07155631506875226,9,13,3372,98,0.834584212955599,0.46297500525048435,0.9622460177646407,extensive,final,lgbm,pca_block,True,COMPLETE
45,-0.0016559720935109083,2025-12-08 14:20:48.584003,2025-12-08 14:20:50.592027,0 days 00:00:02.008024,0.6155041199117718,0.00881692477680147,12,21,3785,104,1.8729685073044553,0.18461845092219809,0.8890620148709877,extensive,final,lgbm,pca_block,True,COMPLETE
46,-0.0016559720935109083,2025-12-08 14:20:50.592027,2025-12-08 14:20:52.011412,0 days 00:00:01.419385,0.5425785204211637,0.006035387295558584,11,35,663,111,1.4372878345058453,0.3177686816736184,0.8535007437000546,extensive,final,lgbm,pca_block,True,COMPLETE
47,-0.012916905134715254,2025-12-08 14:20:52.013938,2025-12-08 14:20:53.916790,0 days 00:00:01.902852,0.839558774503407,0.03978870130594059,9,43,3405,95,0.3848619333747443,0.13013124978306065,0.920396520796314,extensive,final,lgbm,pca_block,True,COMPLETE
48,-0.0016559720935109083,2025-12-08 14:20:53.916790,2025-12-08 14:20:55.621793,0 days 00:00:01.705003,0.7207407926166388,0.021959557898078994,10,19,3004,108,2.1684865450538675,1.8857295333388793,0.8064239974045818,extensive,final,lgbm,pca_block,True,COMPLETE
49,-0.0016559720935109083,2025-12-08 14:20:55.622903,2025-12-08 14:20:57.157080,0 days 00:00:01.534177,0.932137360075872,0.048562116926834896,12,10,1454,101,1.52722797767155,0.20802698260071684,0.9990851007790549,extensive,final,lgbm,pca_block,True,COMPLETE
50,-0.6812391735694252,2025-12-08 14:20:57.157080,2025-12-08 14:21:06.871753,0 days 00:00:09.714673,0.6709875102525492,0.029167961291534972,7,26,3993,119,0.016153002999990118,0.11697153810484323,0.8552219341568278,extensive,final,lgbm,pca_block,True,COMPLETE
51,-0.0015829917918897725,2025-12-08 14:21:06.871753,2025-12-08 14:21:08.705884,0 days 00:00:01.834131,0.7763717124199006,0.03314839989368747,11,15,3692,113,0.7836122965153707,0.4296297369862493,0.6959461269494152,extensive,final,lgbm,pca_block,True,COMPLETE
52,-0.0011391820876069196,2025-12-08 14:21:08.705884,2025-12-08 14:21:10.563753,0 days 00:00:01.857869,0.9998656593005852,0.03810874267094313,5,18,3211,114,0.9351494666498044,0.7501536438078712,0.6600000685798121,extensive,final,lgbm,pca_block,True,COMPLETE
53,-0.0016559720935109083,2025-12-08 14:21:10.564833,2025-12-08 14:21:12.289126,0 days 00:00:01.724293,0.9827702274618312,0.03860764455609599,6,22,3202,115,1.175343998665348,0.8860122277880174,0.6539816615677456,extensive,final,lgbm,pca_block,True,COMPLETE
54,-0.0017985164097546285,2025-12-08 14:21:12.290207,2025-12-08 14:21:14.089381,0 days 00:00:01.799174,0.9991917044537202,0.04577575805096254,5,29,3049,110,0.5813053041885677,3.541539987592228,0.6169287589192657,extensive,final,lgbm,pca_block,True,COMPLETE
55,-0.0016559720935109083,2025-12-08 14:21:14.090473,2025-12-08 14:21:15.932136,0 days 00:00:01.841663,0.9619451705444736,0.006919528310076347,9,19,3501,123,4.8649878643768325,0.37264356125128784,0.5753756331953872,extensive,final,lgbm,pca_block,True,COMPLETE
56,-0.0013632506049767363,2025-12-08 14:21:15.932136,2025-12-08 14:21:17.756638,0 days 00:00:01.824502,0.9358725490161606,0.011746302471880283,5,17,1722,125,0.9906354194855533,1.3891409362642793,0.6645069773442922,extensive,final,lgbm,pca_block,True,COMPLETE
57,-0.0016559720935109083,2025-12-08 14:21:17.756638,2025-12-08 14:21:19.239647,0 days 00:00:01.483009,0.8059927359131169,0.01816689114843741,12,11,1206,105,4.115528566153372,0.5255009055517796,0.6837913947136554,extensive,final,lgbm,pca_block,True,COMPLETE
58,-0.05007076982218991,2025-12-08 14:21:19.240784,2025-12-08 14:21:23.256571,0 days 00:00:04.015787,0.634954745490858,0.01455429905215733,10,26,3751,91,0.21846488010542076,2.0515919887163014,0.7393647418896369,extensive,final,lgbm,pca_block,True,COMPLETE
59,-0.0016559720935109083,2025-12-08 14:21:23.257666,2025-12-08 14:21:24.688963,0 days 00:00:01.431297,0.8568752676306399,0.025886228608182866,8,57,1087,64,1.6473202476199131,0.8351940961187433,0.5972744099981027,extensive,final,lgbm,pca_block,True,COMPLETE
60,-0.001185793424608302,2025-12-08 14:21:24.688963,2025-12-08 14:21:26.432093,0 days 00:00:01.743130,0.5544865600528452,0.09503501818833862,6,30,2536,112,0.9050224148308226,0.2565670032664359,0.9428928334391257,extensive,final,lgbm,pca_block,True,COMPLETE
61,-0.0016855894445368576,2025-12-08 14:21:26.432093,2025-12-08 14:21:28.107989,0 days 00:00:01.675896,0.5422788149390001,0.0990455441871432,6,30,2067,113,0.6695137945413145,0.176146437077812,0.97012549739998,extensive,final,lgbm,pca_block,True,COMPLETE
62,-0.0012529591047545363,2025-12-08 14:21:28.107989,2025-12-08 14:21:29.886922,0 days 00:00:01.778933,0.5553134324991269,0.08306012716266284,5,35,2677,116,0.9018909897190998,0.2787168428819726,0.9520600059644166,extensive,final,lgbm,pca_block,True,COMPLETE
63,-0.0016559720935109083,2025-12-08 14:21:29.886922,2025-12-08 14:21:31.606314,0 days 00:00:01.719392,0.6074208219197104,0.05188526601490123,6,23,2816,119,1.3043264778213919,0.22566684046784743,0.9076353443180797,extensive,final,lgbm,pca_block,True,COMPLETE
64,-0.010265423274201954,2025-12-08 14:21:31.606314,2025-12-08 14:21:33.353295,0 days 00:00:01.746981,0.9493796824156346,0.042300518873184215,5,13,2555,108,0.3906566312087233,0.10102027446033143,0.9376264448456386,extensive,final,lgbm,pca_block,True,COMPLETE
65,-0.0016559720935109083,2025-12-08 14:21:33.353295,2025-12-08 14:21:34.934872,0 days 00:00:01.581577,0.5723031099899565,0.07769128002716987,7,19,1833,112,1.1140166401485794,0.3128327593789849,0.7664332843113213,extensive,final,lgbm,pca_block,True,COMPLETE
66,-0.0017234732891373932,2025-12-08 14:21:34.934872,2025-12-08 14:21:36.706147,0 days 00:00:01.771275,0.7664678535132292,0.061634930551856676,6,27,3452,100,0.6826768186378278,0.3758688400039818,0.6201509003348207,extensive,final,lgbm,pca_block,True,COMPLETE
67,-0.0011212464927901067,2025-12-08 14:21:36.707151,2025-12-08 14:21:38.281822,0 days 00:00:01.574671,0.9800216030400803,0.011606967586182662,11,32,1453,109,0.9068275569896128,0.1312317563070265,0.728840654077597,extensive,final,lgbm,pca_block,True,COMPLETE
68,-0.0016559720935109083,2025-12-08 14:21:38.281822,2025-12-08 14:21:39.806482,0 days 00:00:01.524660,0.9877611890575292,0.011110133143995555,11,38,1530,109,1.4124171362872462,0.1381832356576738,0.7244978547789918,extensive,final,lgbm,pca_block,True,COMPLETE
69,-0.03473270138676162,2025-12-08 14:21:39.806482,2025-12-08 14:21:44.433396,0 days 00:00:04.626914,0.9626692085643829,0.008725421326323386,11,13,805,106,0.18972143152397836,0.1599754394934543,0.5216224064508651,extensive,final,lgbm,pca_block,True,COMPLETE
70,-0.0016559720935109083,2025-12-08 14:21:44.433396,2025-12-08 14:21:45.901114,0 days 00:00:01.467718,0.9220014685669333,0.013639267168609243,12,42,1418,97,1.1570102604497272,0.20583498917179946,0.7274448195835005,extensive,final,lgbm,pca_block,True,COMPLETE
71,-0.001086948353004787,2025-12-08 14:21:45.901114,2025-12-08 14:21:47.544140,0 days 00:00:01.643026,0.9994326691380064,0.01661112331729848,10,23,1701,114,0.915492155826793,0.2517927278805892,0.6932525756063663,extensive,final,lgbm,pca_block,True,COMPLETE
72,-0.0058303503729055794,2025-12-08 14:21:47.544140,2025-12-08 14:21:49.192450,0 days 00:00:01.648310,0.9964158752776402,0.019175231921676087,10,24,1123,114,0.4783274876004217,0.12202185122739896,0.6995431056866145,extensive,final,lgbm,pca_block,True,COMPLETE
73,-0.001282345951012435,2025-12-08 14:21:49.192450,2025-12-08 14:21:50.807815,0 days 00:00:01.615365,0.9767537279113745,0.016792244424485292,11,21,1787,121,0.963104076681157,0.18260573333327393,0.658099671334877,extensive,final,lgbm,pca_block,True,COMPLETE
74,-0.0019656563116568306,2025-12-08 14:21:50.807815,2025-12-08 14:21:52.573310,0 days 00:00:01.765495,0.9433041409438838,0.011844876531157561,10,17,1913,118,0.6817087767732557,0.20394423702074962,0.6852653785151245,extensive,final,lgbm,pca_block,True,COMPLETE
75,-0.0016559720935109083,2025-12-08 14:21:52.573310,2025-12-08 14:21:54.306474,0 days 00:00:01.733164,0.9669682473261252,0.014598396267965438,9,33,2230,103,3.1141114063672317,0.143080952829422,0.7156944357674775,extensive,final,lgbm,pca_block,True,COMPLETE
76,-0.0016559720935109083,2025-12-08 14:21:54.306474,2025-12-08 14:21:55.935054,0 days 00:00:01.628580,0.8941658431150635,0.010064500568148355,12,24,1315,115,1.208985509603409,0.24384902746240947,0.6303279895222004,extensive,final,lgbm,pca_block,True,COMPLETE
77,-0.0012319735106411933,2025-12-08 14:21:55.935054,2025-12-08 14:21:57.656695,0 days 00:00:01.721641,0.9888083856195995,0.020455825763278493,11,28,972,110,0.8313595893700753,0.11807346291761726,0.5990790728195632,extensive,final,lgbm,pca_block,True,COMPLETE
78,-0.0016559720935109083,2025-12-08 14:21:57.657851,2025-12-08 14:21:59.175900,0 days 00:00:01.518049,0.7369999891381656,0.012868112581215558,10,66,1656,106,2.695617572528902,0.5072806657264763,0.7617564541579632,extensive,final,lgbm,pca_block,True,COMPLETE
79,-0.0014975394840905192,2025-12-08 14:21:59.176459,2025-12-08 14:22:01.078172,0 days 00:00:01.901713,0.9202207464982946,0.03575746108046989,3,31,3917,116,1.0432983231926458,0.7211500288119509,0.6682349565598904,extensive,final,lgbm,pca_block,True,COMPLETE
80,-0.0016559720935109083,2025-12-08 14:22:01.078172,2025-12-08 14:22:02.808637,0 days 00:00:01.730465,0.6988792481573309,0.028428188301989336,12,13,3264,111,1.3126758960282139,1.4416444591280986,0.7960520504655759,extensive,final,lgbm,pca_block,True,COMPLETE
81,-0.00114279348580885,2025-12-08 14:22:02.809644,2025-12-08 14:22:04.354003,0 days 00:00:01.544359,0.9759906942636617,0.016697836011081046,4,20,1509,114,0.9116966792968453,0.29776791088725774,0.7339851723308822,extensive,final,lgbm,pca_block,True,COMPLETE
82,-0.007260184922921464,2025-12-08 14:22:04.354003,2025-12-08 14:22:05.983328,0 days 00:00:01.629325,0.9582111218620439,0.016697387566230067,4,20,1451,109,0.43605280940297547,0.28935058585279577,0.7139631216437323,extensive,final,lgbm,pca_block,True,COMPLETE
83,-0.0016559720935109083,2025-12-08 14:22:05.983328,2025-12-08 14:22:07.496949,0 days 00:00:01.513621,0.9742580215340522,0.015549025002042765,4,16,1545,113,1.5403207532171486,0.1619812640150443,0.7402348869034459,extensive,final,lgbm,pca_block,True,COMPLETE
