number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559720935109083,2025-12-08 14:09:27.417862,2025-12-08 14:09:29.016643,0 days 00:00:01.598781,0.822485914722294,0.05395397113117647,4,65,367,87,1.6206610536235462,0.6018320261265143,0.5037803837009349,extensive,final,lgbm,pca_hybrid,True,COMPLETE
1,-0.0016559720935109083,2025-12-08 14:09:29.016643,2025-12-08 14:09:30.785614,0 days 00:00:01.768971,0.9806389057571501,0.018498713280000436,10,32,1187,75,4.477402973114283,0.13374710285454497,0.5201608754625464,extensive,final,lgbm,pca_hybrid,True,COMPLETE
2,-0.002308080516184733,2025-12-08 14:09:30.786615,2025-12-08 14:09:32.880755,0 days 00:00:02.094140,0.6920447528220665,0.04221325610464527,5,88,3009,99,0.9500698489481813,0.1603887059753481,0.9458826321416345,extensive,final,lgbm,pca_hybrid,True,COMPLETE
3,-0.01375719733374566,2025-12-08 14:09:32.881759,2025-12-08 14:09:38.184867,0 days 00:00:05.303108,0.9728088768927403,0.00961968953077598,8,25,3478,87,0.2319033938733034,0.3919983389666828,0.5138005567833265,extensive,final,lgbm,pca_hybrid,True,COMPLETE
4,-0.0016559720935109083,2025-12-08 14:09:38.184867,2025-12-08 14:09:40.101070,0 days 00:00:01.916203,0.7753562333847863,0.011145619372225253,8,92,2599,64,1.5018802987213309,0.43324862207864484,0.9831571303325836,extensive,final,lgbm,pca_hybrid,True,COMPLETE
5,-0.0016559720935109083,2025-12-08 14:09:40.102159,2025-12-08 14:09:42.315810,0 days 00:00:02.213651,0.8413399962608064,0.006380563398945924,10,69,3911,110,3.071674127932927,4.482372286006346,0.6940842862081694,extensive,final,lgbm,pca_hybrid,True,COMPLETE
6,-0.0016559720935109083,2025-12-08 14:09:42.315810,2025-12-08 14:09:44.388192,0 days 00:00:02.072382,0.8627547358267029,0.018153939729957057,9,18,3831,117,3.8401227917748644,0.1226739487227794,0.9578522010763023,extensive,final,lgbm,pca_hybrid,True,COMPLETE
7,-0.0016559720935109083,2025-12-08 14:09:44.389197,2025-12-08 14:09:46.810682,0 days 00:00:02.421485,0.7651195751436508,0.0880090424884241,11,73,3833,91,3.3154927018864644,0.8587269772751851,0.9910170999322769,extensive,final,lgbm,pca_hybrid,True,COMPLETE
8,-0.0016559720935109083,2025-12-08 14:09:46.810682,2025-12-08 14:09:48.484409,0 days 00:00:01.673727,0.8742924744910922,0.011070049848964033,3,39,591,118,3.7485820694762784,0.7529582918064855,0.9365860465498164,extensive,final,lgbm,pca_hybrid,True,COMPLETE
9,-0.0016559720935109083,2025-12-08 14:09:48.484409,2025-12-08 14:09:50.221656,0 days 00:00:01.737247,0.9973252145424288,0.09091542792000955,5,91,1250,87,2.735106077429757,0.8063342789248444,0.8531476608274675,extensive,final,lgbm,pca_hybrid,True,COMPLETE
10,-0.0016559720935109083,2025-12-08 14:09:50.221656,2025-12-08 14:09:51.930927,0 days 00:00:01.709271,0.5486002343612247,0.042215193682333285,3,50,232,128,1.8327769181200757,19.099290299469125,0.6524631902021119,extensive,final,lgbm,pca_hybrid,True,COMPLETE
11,-0.0016559720935109083,2025-12-08 14:09:51.930927,2025-12-08 14:09:53.735731,0 days 00:00:01.804804,0.6447803091330534,0.028988558565723035,12,41,1439,71,4.9866137204502925,2.4961491983434514,0.5025733908082072,extensive,final,lgbm,pca_hybrid,True,COMPLETE
12,-0.0016559720935109083,2025-12-08 14:09:53.735731,2025-12-08 14:09:55.516303,0 days 00:00:01.780572,0.9350927764813145,0.02029244206995907,6,64,1085,77,4.875521720966635,0.24539354949097034,0.5935172939483898,extensive,final,lgbm,pca_hybrid,True,COMPLETE
13,-0.0016559720935109083,2025-12-08 14:09:55.516303,2025-12-08 14:09:57.432354,0 days 00:00:01.916051,0.908280817547257,0.051858253578326304,6,10,1927,78,2.068410873738006,0.11522219602483211,0.5855219277676023,extensive,final,lgbm,pca_hybrid,True,COMPLETE
14,-0.0018069705568189616,2025-12-08 14:09:57.433468,2025-12-08 14:09:59.555177,0 days 00:00:02.121709,0.7890238812796793,0.02738850804730108,10,33,630,98,1.0912883865063074,2.56211168688203,0.7797810676824926,extensive,final,lgbm,pca_hybrid,True,COMPLETE
15,-0.0016559720935109083,2025-12-08 14:09:59.556274,2025-12-08 14:10:01.704685,0 days 00:00:02.148411,0.6157117514274271,0.060914342049744254,7,57,1837,80,4.149073858268152,0.3538439888512664,0.5794148087173538,extensive,final,lgbm,pca_hybrid,True,COMPLETE
16,-0.0016559720935109083,2025-12-08 14:10:01.705815,2025-12-08 14:10:03.482259,0 days 00:00:01.776444,0.6977847111232118,0.017923543204908653,12,80,821,68,2.4014198264923228,8.779289628818143,0.7505890477436742,extensive,final,lgbm,pca_hybrid,True,COMPLETE
17,-0.026331180006662496,2025-12-08 14:10:03.483901,2025-12-08 14:10:05.272334,0 days 00:00:01.788433,0.8137239589389242,0.027550857481628492,4,51,297,104,0.23438060436426955,1.6777618198629543,0.6509378390931431,extensive,final,lgbm,pca_hybrid,True,COMPLETE
18,-0.0016559720935109083,2025-12-08 14:10:05.272334,2025-12-08 14:10:07.085397,0 days 00:00:01.813063,0.9248226360811079,0.015614623065554568,7,27,1568,82,4.391323307780824,0.26727718385452504,0.5462589236716971,extensive,final,lgbm,pca_hybrid,True,COMPLETE
19,-0.0025081058353479215,2025-12-08 14:10:07.086643,2025-12-08 14:10:09.103283,0 days 00:00:02.016640,0.7160057039930898,0.005928127117110828,9,44,2405,73,0.9618129168151448,0.19620502979856685,0.641775152580524,extensive,final,lgbm,pca_hybrid,True,COMPLETE
20,-0.0016559720935109083,2025-12-08 14:10:09.103283,2025-12-08 14:10:10.900211,0 days 00:00:01.796928,0.5084323501525847,0.0639686204479817,10,60,1057,91,2.7277292836654086,0.6081618929181619,0.8142216711980552,extensive,final,lgbm,pca_hybrid,True,COMPLETE
21,-0.0016559720935109083,2025-12-08 14:10:10.901218,2025-12-08 14:10:12.832581,0 days 00:00:01.931363,0.750774580854439,0.009481741971018086,8,100,2355,65,1.5834089094608454,0.5504801141474531,0.8386004069660645,extensive,final,lgbm,pca_hybrid,True,COMPLETE
22,-0.0016559720935109083,2025-12-08 14:10:12.833694,2025-12-08 14:10:14.706872,0 days 00:00:01.873178,0.8338805033859494,0.012624941296743268,9,80,2667,65,1.419791173410919,1.0862069413531414,0.6992120748464428,extensive,final,lgbm,pca_hybrid,True,COMPLETE
