number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0023855694731637436,2025-12-08 13:59:57.301307,2025-12-08 14:00:01.068252,0 days 00:00:03.766945,0.55379223463738,0.018633849622908816,7,68,3991,71,0.971360477882588,0.13100484620524588,0.7450136582929829,extensive,final,lgbm,pca_only,True,COMPLETE
1,-0.0037068013606714376,2025-12-08 14:00:01.069253,2025-12-08 14:00:04.251416,0 days 00:00:03.182163,0.9301780836510403,0.03345309171368315,12,71,1055,106,0.6321331160903815,1.1492071020262122,0.850837908707073,extensive,final,lgbm,pca_only,True,COMPLETE
2,-0.0016559720935109083,2025-12-08 14:00:04.251416,2025-12-08 14:00:07.469218,0 days 00:00:03.217802,0.5511446482702094,0.006805667222662842,3,40,2740,80,4.682363330874883,0.2922205455136748,0.8871152667198151,extensive,final,lgbm,pca_only,True,COMPLETE
3,-0.0016559720935109083,2025-12-08 14:00:07.469218,2025-12-08 14:00:10.573456,0 days 00:00:03.104238,0.7972714699313832,0.0433763895872593,6,12,883,124,1.247441195675032,16.82809869291056,0.6971370510740359,extensive,final,lgbm,pca_only,True,COMPLETE
4,-0.0016559720935109083,2025-12-08 14:00:10.573456,2025-12-08 14:00:13.800593,0 days 00:00:03.227137,0.6513486806430417,0.05429994586576643,10,90,3872,99,1.8855990653392818,1.1440830999900626,0.8092015617592843,extensive,final,lgbm,pca_only,True,COMPLETE
5,-0.0017182028671814582,2025-12-08 14:00:13.801595,2025-12-08 14:00:16.786684,0 days 00:00:02.985089,0.7772467375497982,0.016920948972325822,7,21,1082,90,1.1751536186695106,1.2861395515723684,0.612895902919891,extensive,final,lgbm,pca_only,True,COMPLETE
6,-0.0016559720935109083,2025-12-08 14:00:16.787710,2025-12-08 14:00:18.721783,0 days 00:00:01.934073,0.7937028075883321,0.08835457208728117,5,50,3135,118,3.959795647743429,2.0987483080474285,0.8921448102946459,extensive,final,lgbm,pca_only,True,COMPLETE
7,-0.0016559720935109083,2025-12-08 14:00:18.721783,2025-12-08 14:00:20.485948,0 days 00:00:01.764165,0.5332146759036273,0.034327283216659156,5,88,770,69,3.1934332359094544,0.12962813377119456,0.9663269829402029,extensive,final,lgbm,pca_only,True,COMPLETE
8,-0.003813881630776006,2025-12-08 14:00:20.485948,2025-12-08 14:00:23.102591,0 days 00:00:02.616643,0.7874424917522677,0.011319945088216992,9,10,405,71,0.2801992761922967,1.7236844082028189,0.7409560317362958,extensive,final,lgbm,pca_only,True,COMPLETE
9,-0.0016559720935109083,2025-12-08 14:00:23.103843,2025-12-08 14:00:24.969694,0 days 00:00:01.865851,0.9527686363797776,0.012275436144615792,5,77,868,76,1.786785958559105,2.0387769401307168,0.6472997067295365,extensive,final,lgbm,pca_only,True,COMPLETE
10,-0.0016559720935109083,2025-12-08 14:00:24.969694,2025-12-08 14:00:26.786378,0 days 00:00:01.816684,0.6533089128280031,0.005931129982108475,3,39,2097,86,4.950897171784973,0.33456206497510294,0.963447769632299,extensive,final,lgbm,pca_only,True,COMPLETE
11,-0.0016559720935109083,2025-12-08 14:00:26.787638,2025-12-08 14:00:28.686306,0 days 00:00:01.898668,0.8813376010999843,0.005381195375510497,3,33,2112,123,2.573809475108038,19.687041725637354,0.5242720184933417,extensive,final,lgbm,pca_only,True,COMPLETE
12,-0.0016559720935109083,2025-12-08 14:00:28.687469,2025-12-08 14:00:30.453985,0 days 00:00:01.766516,0.6746190245538516,0.03590927478998473,4,27,2121,110,4.589885892573632,17.59491623259199,0.6651258010990221,extensive,final,lgbm,pca_only,True,COMPLETE
13,-0.0016559720935109083,2025-12-08 14:00:30.455207,2025-12-08 14:00:32.376276,0 days 00:00:01.921069,0.8414752869270489,0.0681452481359059,6,48,2673,87,3.3023368869678924,6.371914935785378,0.7949782849415675,extensive,final,lgbm,pca_only,True,COMPLETE
14,-0.0016559720935109083,2025-12-08 14:00:32.376276,2025-12-08 14:00:34.137379,0 days 00:00:01.761103,0.7096925445637178,0.008605929088394516,9,14,1455,79,2.2370076197196074,0.38066054968902413,0.8765592462598958,extensive,final,lgbm,pca_only,True,COMPLETE
15,-0.0016559720935109083,2025-12-08 14:00:34.137379,2025-12-08 14:00:36.204598,0 days 00:00:02.067219,0.5956629423497963,0.024835703442784542,3,60,3167,128,3.993772085760991,5.638905877497293,0.6984577133660094,extensive,final,lgbm,pca_only,True,COMPLETE
16,-0.0016559720935109083,2025-12-08 14:00:36.204598,2025-12-08 14:00:38.109106,0 days 00:00:01.904508,0.725534500822428,0.05246047073203592,8,40,1603,98,1.4087901040881554,0.45370317616776573,0.5626922120577245,extensive,final,lgbm,pca_only,True,COMPLETE
17,-0.10886394889658561,2025-12-08 14:00:38.109631,2025-12-08 14:00:44.821020,0 days 00:00:06.711389,0.5948123027889716,0.008007147652822514,6,20,2773,64,0.10668683333550488,6.0010077494617144,0.9301143640749243,extensive,final,lgbm,pca_only,True,COMPLETE
18,-0.0016559720935109083,2025-12-08 14:00:44.821020,2025-12-08 14:00:46.580462,0 days 00:00:01.759442,0.8478901581185732,0.02447896628947888,4,30,298,112,2.768249867839935,0.2282552751649893,0.9973131083837534,extensive,final,lgbm,pca_only,True,COMPLETE
19,-0.0016559720935109083,2025-12-08 14:00:46.580462,2025-12-08 14:00:48.659465,0 days 00:00:02.079003,0.5185655249647122,0.013417687212751467,12,57,1563,81,4.03609883023513,0.6607965956714839,0.8010892942734733,extensive,final,lgbm,pca_only,True,COMPLETE
20,-0.0016559720935109083,2025-12-08 14:00:48.659973,2025-12-08 14:00:50.503374,0 days 00:00:01.843401,0.5868255622358602,0.04554120310075199,6,42,3519,93,3.1532074973353863,10.81679117534334,0.7020336918482056,extensive,final,lgbm,pca_only,True,COMPLETE
21,-0.0016559720935109083,2025-12-08 14:00:50.504265,2025-12-08 14:00:52.437702,0 days 00:00:01.933437,0.6467080693056447,0.0576044226921645,10,98,3926,100,1.8457599860717109,3.4228214616713366,0.815151497953335,extensive,final,lgbm,pca_only,True,COMPLETE
22,-0.0016559720935109083,2025-12-08 14:00:52.438974,2025-12-08 14:00:54.238256,0 days 00:00:01.799282,0.6802669547014635,0.07983084102941837,11,83,2523,105,1.998716580597617,0.7571867269503985,0.8374005511301144,extensive,final,lgbm,pca_only,True,COMPLETE
23,-0.0016559720935109083,2025-12-08 14:00:54.239298,2025-12-08 14:00:56.105238,0 days 00:00:01.865940,0.6305767228121016,0.04375833099143254,8,100,3489,119,1.4773683112384648,3.554355763570204,0.7731043990169011,extensive,final,lgbm,pca_only,True,COMPLETE
24,-0.0036190501987749535,2025-12-08 14:00:56.105238,2025-12-08 14:00:57.970336,0 days 00:00:01.865098,0.7278806242328922,0.028710107275578985,10,66,3593,84,0.735225245350839,0.8655286239124279,0.9046578853285743,extensive,final,lgbm,pca_only,True,COMPLETE
25,-0.0016559720935109083,2025-12-08 14:00:57.971463,2025-12-08 14:00:59.809184,0 days 00:00:01.837721,0.5654605403132672,0.06269312758729842,9,21,3032,94,2.4159266126881405,0.21209044475268427,0.7145528080437201,extensive,final,lgbm,pca_only,True,COMPLETE
26,-0.0016559720935109083,2025-12-08 14:00:59.809184,2025-12-08 14:01:01.593758,0 days 00:00:01.784574,0.6117698911665357,0.042874240423306335,4,92,2453,102,1.6099787243161083,0.5578673365516664,0.858487944628239,extensive,final,lgbm,pca_only,True,COMPLETE
27,-0.0016559720935109083,2025-12-08 14:01:01.593758,2025-12-08 14:01:03.305012,0 days 00:00:01.711254,0.8369021573513754,0.09895743646129104,11,51,1841,112,2.8704035874689975,3.071470696792533,0.7642495575708925,extensive,final,lgbm,pca_only,True,COMPLETE
28,-0.0016559720935109083,2025-12-08 14:01:03.305012,2025-12-08 14:01:05.021059,0 days 00:00:01.716047,0.7568243139367891,0.020387353999087157,7,75,2927,128,3.6772162718008623,0.19978438209744542,0.8251503935646248,extensive,final,lgbm,pca_only,True,COMPLETE
29,-0.0023041140597118335,2025-12-08 14:01:05.022019,2025-12-08 14:01:07.188564,0 days 00:00:02.166545,0.5548680929083241,0.01774710460079694,8,63,3789,78,0.7783258222246621,0.10338277558382665,0.6092307756905332,extensive,final,lgbm,pca_only,True,COMPLETE
30,-0.0016988109356315857,2025-12-08 14:01:07.189658,2025-12-08 14:01:09.006109,0 days 00:00:01.816451,0.5012943983315861,0.0734004768761813,10,35,2361,118,1.230845700145473,11.654258583967469,0.7428112646938186,extensive,final,lgbm,pca_only,True,COMPLETE
31,-0.0016559720935109083,2025-12-08 14:01:09.007134,2025-12-08 14:01:10.922140,0 days 00:00:01.915006,0.7972892341090752,0.0961817535422593,5,51,3286,121,4.553586849781879,2.3080576984015035,0.9039696619885974,extensive,final,lgbm,pca_only,True,COMPLETE
32,-0.0016559720935109083,2025-12-08 14:01:10.922140,2025-12-08 14:01:12.890244,0 days 00:00:01.968104,0.8963276753315207,0.049697467647033595,5,46,3285,116,4.471015710712411,1.2242684131208963,0.8805742237330894,extensive,final,lgbm,pca_only,True,COMPLETE
33,-0.0016559720935109083,2025-12-08 14:01:12.890244,2025-12-08 14:01:14.857378,0 days 00:00:01.967134,0.995565303995418,0.08482673225299299,6,71,3989,124,4.058010355954171,0.9166656414146696,0.9507501948410559,extensive,final,lgbm,pca_only,True,COMPLETE
34,-0.001882988881343417,2025-12-08 14:01:14.857378,2025-12-08 14:01:16.939277,0 days 00:00:02.081899,0.8070929920463583,0.03812607605713194,7,56,2957,109,1.0973092036871939,0.30768146276676583,0.9147742835270045,extensive,final,lgbm,pca_only,True,COMPLETE
35,-0.0016559720935109083,2025-12-08 14:01:16.940542,2025-12-08 14:01:19.076304,0 days 00:00:02.135762,0.7451488456859192,0.02987441813735821,4,26,3740,115,4.867544064375721,1.6910113270980252,0.8530017481956303,extensive,final,lgbm,pca_only,True,COMPLETE
36,-0.0016559720935109083,2025-12-08 14:01:19.076304,2025-12-08 14:01:21.021344,0 days 00:00:01.945040,0.69484661400254,0.057665712858625005,5,83,1152,74,2.1139820643034692,9.221591502428623,0.767470636753505,extensive,final,lgbm,pca_only,True,COMPLETE
37,-0.0016559720935109083,2025-12-08 14:01:21.022731,2025-12-08 14:01:22.693327,0 days 00:00:01.670596,0.7713468373551218,0.01587081967485931,7,15,700,90,3.6277946802927907,0.16774185760319002,0.8781263670667492,extensive,final,lgbm,pca_only,True,COMPLETE
